iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-124.06137527284494,-129.30319185902056,-140.20675871097228,-138.55725704718014,-102.38265825818064,-124.92809303671133,-132.0942628327082,-130.65056696642338,-108.7346628686449,-125.1155154309719
1,-121.13147260617177,-148.51438576952523,-106.50888160302385,-129.55646788112173,-122.4514446414668,-117.91275284068443,-101.6277018912208,-116.12048549396854,-125.90329817135435,-128.99021581438618
2,-101.28728125601094,-111.85265045419999,-85.9962294636198,-103.67782544409063,-93.95700222090466,-103.71217303906286,-125.47498233846619,-97.18075263806261,-125.50803853785087,-101.56222020108743
3,-102.29283328194813,-117.13983203564437,-123.84347270696951,-107.40715566961552,-135.32487674570268,-129.8155095301343,-101.28564155716805,-115.94160200265812,-124.34410175959317,-96.72298915215137
4,-94.39465131064439,-86.46347354096281,-111.91609501643923,-99.61312219036742,-111.33925072166726,-103.29112896819426,-89.02078447391042,-95.00382090321287,-119.0549740193594,-112.8198850205259
5,-121.60955877862423,-97.56530306761164,-108.3239181467111,-89.781988762797,-107.51370366099073,-104.33103566751603,-134.60186430775002,-94.86874042148025,-108.61089953448655,-117.46010265070223
6,-101.70571908204286,-105.31985363992618,-111.24400641221978,-136.33049599435225,-89.08959875485505,-116.25087692023442,-104.58367060899326,-113.95486817495524,-139.19706873427234,-128.3432555861583
7,-102.85159695849882,-100.23748335771373,-101.88301567398179,-104.11606681726033,-101.36011603158649,-101.4267379390557,-114.21673557235954,-123.61517883552871,-91.13317332678217,-130.2991857047408
8,-111.61668622828665,-116.85931990830395,-90.17965417550627,-94.92791982103307,-138.12806990858277,-112.9613342708073,-93.82333548293059,-109.96706521484957,-116.1524670851586,-93.6191090348163
9,-101.63287612588687,-86.48838096202147,-107.95739678503818,-100.13892490845976,-102.28703199735818,-119.73954608161367,-104.94281779442903,-92.87162020186898,-104.0864458027048,-99.40857604150719
10,-88.01169639803223,-80.397230012059,-80.55024429700204,-110.6659545162847,-134.17713099794702,-107.14682240735422,-111.0087200387334,-127.99143577948763,-120.89771603032514,-100.73236799566399
11,-105.30167002478473,-77.14683252138886,-119.9432663946396,-90.48165893491992,-112.85668503442415,-90.13850497206423,-117.82867541054787,-111.46361451017063,-112.57193145482586,-99.2328443942769
12,-103.2665016866913,-110.28987102486391,-91.55505458501267,-99.82981004973095,-95.84631957022063,-117.12602467162762,-88.15639777980402,-101.51032844217642,-109.53020701461882,-112.00242093840434
13,-106.92712764166936,-101.66382057145117,-107.23813929642792,-94.21543159476906,-96.57735435825504,-106.52471849195558,-109.84594460812664,-110.96152493842936,-79.44772204513586,-103.42631214027429
14,-96.45014601540889,-85.764937836628,-85.56583060305817,-80.38277665408953,-98.13748622365672,-107.37779619680455,-104.60751432537671,-120.08420880445225,-105.41859294739454,-93.6225891282246
15,-123.07907124409115,-92.8269511892226,-126.47660779528411,-93.07254831747889,-112.05191090662271,-103.45733830338409,-107.64753157545586,-100.63746098597636,-113.19501786626759,-81.5342527668653
16,-101.96382595359266,-91.57770675993905,-83.61224452676805,-90.46047977428609,-107.35996369176692,-92.09946552208133,-97.92819259584552,-95.48543814834812,-104.66888950789765,-107.60228640606684
17,-118.53927424419038,-96.03849260374702,-97.17197614523616,-81.69086683370094,-116.53594388206231,-99.19694475871383,-94.70008322903524,-106.00013656178066,-101.36584832662365,-96.92254612289507
18,-76.0675915618756,-134.60897192925708,-97.28737264640955,-95.81652037145588,-95.1025458146632,-80.62518045505459,-83.21275849983729,-97.12250649935802,-82.25482270938372,-125.30206140132911
19,-83.4197482475716,-110.68219172721774,-99.24267599875375,-111.97331844437178,-81.80159292122465,-100.76884924080805,-98.70199294482313,-102.84640703501317,-108.80796735821474,-99.77739835203117
20,-120.18458534180935,-87.3961650657923,-87.6790236483139,-98.64452927601297,-82.73034239545552,-96.47464079452348,-90.70513708349426,-84.27959331387679,-95.10094436384004,-78.46485081681095
21,-111.64443551033733,-120.74192544250755,-89.99047181929944,-97.03503995902929,-128.6839170374119,-91.34824632017941,-121.7075503286862,-100.19748508444077,-91.69063884599646,-90.11703210415976
22,-106.14688582009484,-83.07917483447943,-84.9974948481543,-86.5075734124121,-94.8070063866554,-94.94148356324605,-94.14667284390508,-82.52378215050936,-85.6965504845908,-86.76020575267007
23,-95.3483747170328,-84.60949364882389,-62.607333612314655,-93.93138759257846,-95.56076353445823,-96.40481142182489,-103.69498068107096,-108.45665287940501,-84.39383455265083,-95.74427419665736
24,-97.198501144175,-87.25350990470437,-79.55802658961963,-90.4716897350859,-95.55933080370858,-93.02802982494009,-87.58365008069902,-95.46646679062786,-86.56136755625283,-102.43127222368486
25,-97.10729200734829,-105.56052865473112,-84.49961815475447,-82.16970042293295,-84.10698569858218,-127.86665524292246,-91.01987004541039,-104.72730886331667,-85.71734276009141,-108.91717496459202
26,-93.79242925889521,-78.65194443519391,-77.51131091033004,-97.22495420731697,-98.2481635103934,-94.84686747540329,-113.94262691244572,-83.05905100141088,-103.7812639000674,-117.58163746652849
