iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-35.453729389200674,-37.27252412462628,-30.969228123859786,-35.21909764044287,-41.445727371740716,-40.65615281465439,-39.14495922561481,-38.2448744028645,-40.49009594105506,-38.61616298963758
1,-25.665947025830786,-21.417040127647482,-17.503565501209287,-23.672441429621095,-27.619375704714226,-22.409897343574507,-23.546135428519385,-24.72651527927742,-24.870615161301878,-25.768854389681636
2,-21.75747523374214,-18.84772312630341,-15.378343635444317,-21.2494613232834,-22.812822028591462,-18.7782990666459,-19.051761317173234,-19.223664793656578,-16.889305790441377,-20.229232766501347
3,-20.92214359853194,-17.141700234201675,-15.151952622074509,-19.38437280352676,-21.53217448719075,-17.640292441637463,-18.63829074567265,-17.105433719884488,-15.27220018884548,-16.381717717746177
4,-20.551995587138926,-15.841601163562675,-13.36535061040559,-19.366143836699127,-20.403630150132713,-17.609753689353155,-16.21733111485364,-13.98376380116939,-14.260288350572544,-13.979685287630772
5,-20.53877609516768,-15.027432075655534,-9.944581699254599,-18.76006382003034,-18.621765953320068,-15.993341790893739,-14.544062023974277,-13.42522031430267,-13.365331315487168,-13.429956763656516
6,-19.187202742323745,-13.498540018296332,-9.578082831689045,-17.244225663147482,-18.46718726014569,-15.209146257296538,-12.960979820743834,-12.937746660688095,-12.138517916283885,-11.28451167077848
7,-16.787956064449943,-12.889103697986705,-9.471046721629868,-16.888821166118724,-17.342974575744257,-13.636171559726522,-12.363287127523131,-11.717619514394194,-10.512782681617313,-10.731917058464173
8,-14.607145655467068,-11.69522001486235,-8.339256773685094,-16.550252662150026,-15.903761939041093,-12.818994101047132,-12.363287127523131,-11.49622487483822,-10.275327686488612,-8.968668866751162
9,-13.93734767383296,-11.18904412983553,-8.107058652034912,-15.083087810120634,-15.895726824200558,-11.964757551858561,-11.727459559878561,-10.98105485924896,-9.710127912359154,-8.473835604058616
10,-12.913906470101157,-9.583499996791126,-7.494819609324769,-13.961561476642888,-15.398499906459922,-10.485881787476469,-9.790448905273085,-10.678293714664877,-9.590440252247905,-7.925074294769261
11,-11.134145116354535,-9.484024648557705,-7.212437895701121,-13.252401613045958,-15.061607073515273,-10.249509564980668,-9.686335570487136,-10.570124817488274,-9.258162431554375,-7.644967177458392
12,-10.835266947070282,-8.00081043785164,-7.029646983994931,-12.916699294774386,-14.13830212632625,-10.24850030803082,-9.421479246804232,-9.607981550285889,-8.274079583622296,-6.532085404390239
13,-10.610924824506426,-7.918743975694522,-6.574684527982708,-12.205368623902704,-13.982908769495756,-9.567088848118432,-9.083752433835903,-9.104616886380526,-8.025651712938878,-6.062960732629335
14,-10.610924824506426,-7.6873999291749495,-6.243074342178977,-12.014539900859686,-13.03291100113507,-9.20253829801115,-7.894174620740837,-8.183703735879208,-7.864343314636969,-5.956578005505474
