iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-124.06137527284494,-129.30319185902056,-140.20675871097228,-138.55725704718014,-102.38265825818064,-124.92809303671133,-132.0942628327082,-130.65056696642338,-108.7346628686449,-125.1155154309719
1,-33.00658268226058,-24.305918768558673,-19.306712466097945,-30.66687655604126,-33.06997464189731,-26.147218648500793,-26.010318275682252,-27.334926971102767,-26.89432792784956,-29.486185376748907
2,-47.35537682132811,-33.15852465371819,-27.100825988496887,-36.23322798833928,-34.972185406337644,-30.38753307938518,-24.682217419976013,-21.144088519608545,-20.81404960382421,-26.489215587647557
3,-33.505343156426996,-28.506127347265014,-23.66527339343276,-38.1095752942093,-37.57889594858016,-30.323370727647557,-28.84151648183936,-27.34070070938468,-23.736845493183402,-28.704867924467983
4,-34.27062176388854,-23.617228948169654,-28.08634573428729,-33.16342129308854,-35.533247326986086,-33.280836935161766,-27.366109837960792,-18.58536733715732,-22.499465685189648,-23.46913936219378
5,-36.15842969021888,-25.376641472517996,-18.296436808269988,-36.23331491496175,-30.24927035290634,-25.72127855937166,-23.366542516363047,-19.92280579293454,-25.08139332370208,-22.395872477970514
6,-30.23121145081517,-22.05313715027356,-18.854934691894666,-32.7270831909248,-33.910973639499566,-25.105557123163116,-22.339219365896405,-22.745274711626287,-22.51525312070506,-20.006257165126115
7,-29.065256657179166,-24.37960576762395,-22.866808667530297,-24.082131885110694,-29.088387377986507,-20.27112734066674,-26.581907131634665,-19.94179031624755,-17.175714190708206,-19.757588989158407
8,-23.87357476774222,-23.271017216670046,-17.90263534093757,-28.65218596196477,-26.775867084385737,-21.61124977990419,-26.08976671922533,-18.436198242468624,-18.157284697539946,-17.0840392036515
9,-24.634473847036187,-19.79179215311929,-15.038952505173613,-27.074877726521365,-23.583240999283554,-21.763036996583935,-21.85499270750408,-18.04857612922494,-19.144915590510657,-18.019280090816473
10,-22.47702402246084,-17.190893395329887,-16.03241609029411,-24.51617462914534,-27.716086205812513,-17.098984242491845,-18.236637464209167,-19.410676931345222,-18.949308284569405,-14.736772792011276
11,-21.804323471635314,-17.676176470438996,-15.680187930842806,-19.87389325978452,-28.15062666173373,-18.357679173075468,-18.1340871014481,-19.426980959650756,-17.66207123447245,-14.290931966908168
12,-19.040806320370447,-18.997549453563266,-13.659736179018912,-21.285360769243383,-21.760707436403166,-21.45478160138942,-18.323074484968405,-14.36028666647405,-18.094436662597253,-10.386359498156406
13,-20.75311175465844,-14.666890582573458,-13.201549375125763,-20.86953777713585,-25.7060503597505,-13.22393516022681,-16.671000181012406,-15.588138863675038,-16.602991458965498,-12.820221789719124
14,-22.085798260019878,-12.365522361226407,-11.622347556168897,-17.390812434833286,-27.871396468990987,-15.534359765642993,-14.620166702479153,-12.67050824395605,-14.883175251438404,-9.604780786808163
15,-17.259748190872124,-12.96055177458696,-12.76035535618194,-20.343198849160665,-17.517728016851343,-13.732698993902716,-14.072497402370919,-13.791021218280267,-17.395078749361716,-9.045619271710931
16,-17.63912755736843,-10.783414893758778,-11.677399249765532,-17.87475578837967,-20.46626792961758,-12.903752432033786,-13.013617933694732,-14.44870945810458,-17.200705577189115,-9.805130347044642
17,-15.592500864546562,-10.937059651132715,-9.123936507576023,-17.066669277494757,-17.14560291713358,-13.64715209959744,-10.022748032448188,-14.849161321977292,-15.786215083216346,-6.914042335107344
18,-15.70727337446515,-9.027992549149609,-9.294818421581283,-18.106885744839683,-15.620198119714505,-8.656226927099425,-13.001655376879759,-11.830948062219942,-13.309410646224102,-5.795918659311423
19,-17.22737142081551,-8.586789188620221,-9.251030665770731,-17.748839866878825,-16.017737177384877,-12.078566470033524,-11.428513369159349,-11.729061926577486,-12.059935729475283,-8.928177289033721
20,-14.531709877867407,-9.052648678057103,-7.1027510772636955,-13.39863722492536,-16.142965745004915,-10.30421779628753,-10.063447173706527,-10.853460223938768,-11.038524158996061,-7.797223482867594
21,-12.12242092610082,-11.433138106881596,-7.236018387352067,-13.453420333756823,-13.677876936276316,-9.659516690059402,-9.54202335017476,-9.718158941596695,-10.818689395054218,-6.286411550329637
22,-14.278726300355945,-9.703133439601675,-6.920682238932683,-17.085173170092283,-11.26290914783752,-10.912848175473274,-7.967681512257682,-9.10428809973531,-9.194021182014833,-7.534392101554512
23,-12.242618001222155,-7.625502602224246,-6.825593168771384,-12.011133158941893,-13.631876737320082,-9.843250439237002,-7.162115753668906,-9.44282707287091,-9.411699339812369,-6.10466042199347
24,-11.629115939704995,-10.0105300212082,-8.151165607370142,-13.097268358987252,-14.171713420532107,-7.290951878142226,-7.980967696799613,-10.597798647268664,-8.826961180148551,-5.825044726275788
25,-19.551603645512806,-7.912400735241993,-8.195511703235898,-12.353300054332482,-17.82525922791334,-7.62028913156308,-8.818840974071712,-9.108747529993213,-11.114068005881467,-5.543493682713203
26,-10.178241873078118,-13.311234044121225,-8.06837917098248,-14.28711796251736,-12.991185041869322,-9.925782241259043,-7.938539454892336,-8.923328054538471,-9.158762777530875,-8.020071488550226
27,-10.149498991118334,-9.94273279189295,-6.88665168107653,-10.158617471015624,-13.61346925656209,-6.849895379753688,-7.7864635512167215,-8.750027462042679,-8.765230233419345,-4.941607331864894
28,-8.641546576483725,-7.161023111358057,-7.561159915392884,-11.712134963522075,-12.126187564814824,-6.9064554217554965,-7.3469646735664815,-6.80839103603832,-8.035651054596348,-6.064683297321833
29,-8.884135710615634,-7.040273974790529,-9.172478907718245,-11.66027277375213,-10.016634613595272,-6.432861615736298,-6.428638009053932,-6.420267083468399,-7.758368854353412,-6.345531547670943
30,-11.273796892222666,-6.200399039325774,-8.877135210682754,-10.583161737030558,-9.978672167837821,-8.296768211230194,-5.3158533182319445,-9.00929331540013,-8.076937503453125,-5.6303320087953885
