iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,2.8670639688263586,2.825687673819452,3.048090070845398,2.796306932987622,2.8217418798768295,2.942968784657728,2.90036053693395,2.989910173654015,2.697116510387434,2.786325721063215
1,2.8670639688263586,2.825687673819452,3.048090070845398,2.859941653580579,2.8217418798768295,3.0527986186351512,3.067793290530694,2.989910173654015,2.7413177067961785,2.8723180080456867
2,2.8670639688263586,2.825687673819452,3.048090070845398,2.900549467237466,2.8422113869789416,3.0527986186351512,3.0953024679785894,2.989910173654015,2.8092873677358714,2.910060496032944
3,2.8670639688263586,3.0188662849099517,3.0518427996400326,2.9199147491701645,2.8422113869789416,3.0636377417819864,3.0953024679785894,3.2216835460959654,2.8092873677358714,2.968837360194877
4,2.8790621624669317,3.0188662849099517,3.0657200810759595,2.9593858003391063,2.846838536726747,3.0636377417819864,3.0953024679785894,3.265039877703347,2.8121711581140563,2.969922204193372
5,2.9351421581330133,3.064040620110065,3.0854854269682996,2.9754912754388783,2.9385624092235334,3.079117627970818,3.0953024679785894,3.265039877703347,2.854204081575961,2.969922204193372
6,2.98081844723143,3.102010240947825,3.0854854269682996,3.0109224426518244,2.9385624092235334,3.079117627970818,3.109868411100031,3.265039877703347,2.946717334572094,3.0151819922771557
7,2.9820459555133567,3.1305809558072295,3.1378656809390084,3.0109224426518244,2.9385624092235334,3.079117627970818,3.1373926905783667,3.334525828115703,2.9476924593976603,3.0151819922771557
8,3.1170069668180465,3.147020538934664,3.1378656809390084,3.0109224426518244,2.9730960012487397,3.079117627970818,3.1373926905783667,3.334525828115703,2.9476924593976603,3.0151819922771557
9,3.1170069668180465,3.147610791401549,3.1378656809390084,3.0386241670153322,2.99797177440748,3.1096916636590106,3.169734460635847,3.334525828115703,2.9518692235818396,3.072008596326999
10,3.1170069668180465,3.160716968887006,3.1378656809390084,3.081294626249375,3.007942549217052,3.1669399384279346,3.169734460635847,3.334525828115703,3.010085435132335,3.083596133044972
11,3.136976834910721,3.2472116070488317,3.1785212633605306,3.081549673249075,3.151705407940182,3.1669399384279346,3.2011925090019884,3.334525828115703,3.0566290973714394,3.1271705456946317
12,3.136976834910721,3.250542477371895,3.186856908169088,3.081549673249075,3.179215211402274,3.2452314280484407,3.2011925090019884,3.3467186511987492,3.0627750641563267,3.152378523856534
13,3.1681775876663245,3.380261228353979,3.186856908169088,3.100460292891712,3.179215211402274,3.289947683031409,3.2011925090019884,3.4249722444257857,3.095808735100664,3.152378523856534
14,3.1681775876663245,3.5018759833217072,3.26771821591237,3.1932135130859107,3.2332388776814254,3.323808991751762,3.2972496436579535,3.439873854914315,3.165728094839684,3.174563838220278
15,3.181921452943187,3.5153953562084137,3.3391227640587178,3.2549340199446313,3.3228618437218254,3.331153609327619,3.2972496436579535,3.439873854914315,3.2599059777856167,3.174563838220278
16,3.181921452943187,3.649280183804773,3.3746331947511647,3.2549340199446313,3.332312338079451,3.3467627459036353,3.2972496436579535,3.439873854914315,3.3372070811130063,3.174563838220278
17,3.2565897558287995,3.75414217723307,3.3746331947511647,3.258305058925454,3.332312338079451,3.418036573249634,3.3816290836542082,3.439873854914315,3.3372070811130063,3.2168237862806954
18,3.3683629821037986,3.75414217723307,3.4071841913449052,3.349382618620109,3.374301123419637,3.5296211479047392,3.496040980152073,3.4990087582630833,3.3372070811130063,3.2168237862806954
19,3.4604047249691363,3.7908377811401164,3.5302362357867416,3.390594428010947,3.3814368381611932,3.6117153857047612,3.614294474001402,3.5041451210044974,3.363186444467061,3.262648081195588
20,3.476264459057879,3.889122811580627,3.5302362357867416,3.4475420330735362,3.4559641622667305,3.6805714663993023,3.68549336396692,3.5041451210044974,3.363186444467061,3.262648081195588
21,3.6156944159991657,3.938723299502164,3.536761006355168,3.4971941111286267,3.4559641622667305,3.6805714663993023,3.68549336396692,3.5679327075797174,3.4756141450841627,3.3256241976962873
22,3.6156944159991657,4.013270111215768,3.536761006355168,3.4971941111286267,3.4559641622667305,3.715112986853147,3.769698041179426,3.5679327075797174,3.4756141450841627,3.3256241976962873
23,3.7460931121451044,4.013270111215768,3.536761006355168,3.5768453503560504,3.505386221004834,3.727863780131047,3.769698041179426,3.686217933934855,3.569902744625705,3.370970055104927
24,3.867607253294698,4.013270111215768,3.572389222081813,3.598284664725134,3.5205847582485337,3.727863780131047,3.769698041179426,3.6971859876612685,3.6086875004608197,3.370970055104927
