iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.148243105006953,0.9709406801542679,0.7686559509855267,0.7816418696923735,1.005831823090912,1.0529334428877486,1.008964102616771,0.9954782760363867,1.225360083574953,1.0625840112727074
1,1.3439393089715854,1.3379797636298232,1.3296031227396656,1.7851023994475186,1.36418434909372,1.617931610002572,1.9097030782248092,1.3405170812856235,1.3758288693217318,1.620410079173391
2,1.350634729803067,1.0972073504498958,1.4201889800411807,1.4464179341853507,1.6866734222206117,1.3252501989388659,1.3557473153221982,1.5214668909104172,1.6334624995472038,1.7304901712289644
3,1.2024962160659034,1.6296804600372319,1.3067792264212046,1.4033056169898308,1.3454840906485992,1.418021616386948,1.4756062695771628,1.594538468934398,1.4144019702821136,1.3803437651541524
4,1.5672359800895515,1.402554770711002,1.6987884615488036,1.5970493831472754,1.1865391948706674,1.416001598801523,1.2760902320698109,1.5447892583280938,1.2869331930391534,1.4734737657381416
5,1.4814550304671756,1.61753596385728,1.5810574572964433,1.6222840583079188,1.4547201045038887,1.6323226875778811,1.0889105084096404,1.6248435333063924,1.5618622326448248,1.2899100023571375
6,1.390805504343955,1.311426447481825,1.1584538134746887,1.628126326249978,1.36046957027768,1.6460784392116232,1.508731050252936,1.4315250126006216,1.659741310101329,1.6455862019224854
7,1.687198104041153,1.6688410920471928,1.7345773089476175,1.546812599046552,1.303409078547435,1.6846118897373175,1.589348388002997,1.9954292845654396,1.4877873865116173,1.6854994411475874
8,1.4526613812876321,1.9803117078025758,1.2735428847431192,1.4225956990121122,1.1782857625036711,1.5025390236302991,1.7659570671371516,1.7817423947894873,1.6253464946736176,1.4041020633120358
9,1.4134412520143345,1.7557431322640307,1.5153094820815896,1.5945145958062463,1.3897303377862733,1.815610208192659,1.559937669704504,1.3683564809793798,1.7719457569513573,1.5219184987541454
10,1.4243504893216044,1.7109256310142844,1.796342842219731,1.531899536542129,1.6801155320063799,2.0377603766747763,1.3587540447012758,1.8302061014462585,1.6548601189469414,1.7878552450182545
11,1.582007463273603,1.8758215210110112,1.6259009808211213,1.6555428076981262,1.8600648282976189,1.510274312251223,1.5132009003962015,1.7390433141311044,1.9656098090561702,1.4920791982920036
12,1.7091559960740441,1.7269455901032944,1.9280993206591748,1.7028389298015978,1.5868073622285412,1.9390816847597512,1.3587883484614902,1.6028729645842126,1.6446274302203032,1.80514820933235
13,2.1700629464717953,2.1458757535781867,1.5049266570875535,1.385094677548449,1.8372005660033293,1.892405527314563,1.3920422371580465,2.070806699248794,1.6027760435124103,1.3760086412890145
14,1.9959349793340992,2.093896705629187,2.0973783871152607,2.1460906397429067,2.0100033815000358,1.764144078992273,1.8780249445696335,1.8455041165827657,1.5223611970263944,1.9537600287425008
15,1.4999064224312595,1.977482202653142,1.8923693137837108,1.7363251998208504,2.0966832262959483,1.903061800540749,1.5565443047201042,1.6612919022097707,1.9558150757284434,1.5379215413321963
16,1.850846857490667,2.156603095092696,1.7122710291252967,1.6890039800938448,1.8270017835677352,1.7982623030636733,1.6082395519085213,1.8425055312407117,2.11698473099195,1.5997620056413318
17,2.1635549640808804,2.2614197476395432,1.8152715275594915,1.6341142821057555,1.838903066338352,2.130456481581988,2.117811439824272,1.8625465503616843,2.220303141987635,2.1192032229150333
18,1.792156128438159,2.3895612323163893,1.6007080244677208,1.8815765516199607,1.7057424387208504,2.4446339482553627,2.268819308074301,2.074048165272232,2.0175194527886555,1.3239678838227822
19,2.029097625506044,2.489866203616886,1.7184185766135478,1.8435004694259902,2.009353070299863,2.4682583126737967,1.979068713838207,1.7411172015943541,1.9242388080083612,1.6087476661058286
20,2.333908332957971,2.476623581875693,1.8056779668466176,1.657306542477075,1.7630432331011168,2.171997068273386,1.900191251180304,1.7881118755562406,1.9457162003962356,1.4635420311767597
21,2.5213615890977863,2.2640999836305116,2.198827778988001,1.8069674800291269,2.044815649862633,1.974323254116439,1.8569263973854357,2.122754706499242,2.3136479988742202,1.7439986264223757
22,2.2025536708916995,2.3844977751009346,2.3850993412469847,2.102198673605779,1.8936708969630218,2.1249171508928124,2.248859534236647,1.6329059005552493,1.7107968303914949,1.6396562740634146
23,2.0947917503646423,2.2529556352246103,2.2859502428968126,1.9299207637915183,2.0030372229264417,1.973321369132782,1.8037265015970971,2.030156601996813,1.916987343751812,1.7738042280865907
24,2.928129412438484,1.8476692570839601,2.3132985249298494,1.8935723152461474,1.7316686737412756,1.9179676877407597,1.8746318734386715,1.8838473928796011,2.1917908692027854,1.6107235382359453
25,2.5348755663194122,2.3166255182889652,2.3766405099912937,2.07529764825121,2.134940293698957,2.1741739926095094,1.6990292476286817,2.118447231196273,2.3310026274819236,1.874883141945539
26,2.95096904187955,2.7461225808462872,2.3675352205578717,1.788997044252496,2.2312637384896585,1.7899236774457796,1.672048108620303,1.7044517272383752,2.5646618160855175,2.132727413175699
27,2.7619093730744178,2.340369275358937,2.0950596995651853,1.8368592104916068,2.3777240861977305,2.1685250592778282,1.8763942304549264,1.698252994054961,2.508372753800521,1.832505977977533
28,3.155306063840242,2.319549925810547,2.4846371737301935,1.86875979487828,2.6444570469800976,2.1598385314892634,2.076035663727044,1.7502456863472975,2.540768247467807,1.8017499130753138
29,2.548339423291951,2.6130668995334805,2.3116097917959895,2.0190409428344314,2.329734194119525,2.2067649059939276,2.3129653428547474,1.8946216932962419,2.9454124673421624,1.8674420667684406
30,3.099292358689076,2.449006644474276,2.2265248934335413,1.853050457239883,2.2984854688775402,2.4051506398852838,2.0555626498063546,2.048505091171199,2.412334128303643,1.9641758856784781
31,2.872362536598276,2.4381889540933974,2.6892388465934953,2.1991089020410293,2.025368419617345,1.841518609091695,1.9238923106300425,2.2062518788069165,2.8001116270379294,1.975811626841028
32,3.4113915336576204,2.4498307377221726,2.6589788207218525,1.834084640357627,2.3360658686487294,2.233198783865217,2.0748389812340893,1.7679607985755226,2.951005885204392,1.8635691153253247
33,3.516838428037917,2.401252599321081,2.388124302658229,1.9665131948890193,2.267715537486331,2.112674686126105,1.7018794302731843,1.7688047541926277,2.982434117724261,1.6916335248397916
34,2.9642814562988438,2.530213687141077,2.906590854651957,2.3380347913876403,2.0768527277289346,2.165923656601936,1.9982560591502097,1.9092892529493848,3.1302794471841815,1.6134744721552234
35,3.3147419637096016,2.062608782023335,2.389323008861263,2.3820084374779578,2.2928627591778334,2.2223135345334013,2.1238503228265744,2.2257742977415256,2.8670560834895884,1.8780270124049017
36,3.660959317320161,2.3653719623017557,3.0192078403513714,2.2314429987688724,2.1864579743178503,2.198007206681492,1.7906545201236126,2.0581995531940076,2.8976056893045556,1.9180901606854213
37,3.257943164049423,2.7097810086022998,3.124489626622717,2.333347968784857,2.1658409802938454,2.2801040190297757,1.9396539514854432,1.8364460108484075,2.871876691218839,2.0683985487036325
38,3.1170511491613317,2.890475169050929,3.0450523877605935,2.4030012382334087,2.169581585545265,2.235592076897536,2.121410240824729,1.8329001764756736,2.4970887274224842,1.917411774789076
39,3.4085971249496416,2.641428742276007,2.542176813255039,2.1226853579814615,2.101698859543762,2.8527181294881756,1.7238467541505962,2.0036203629588956,2.98496566144855,1.4592932053534817
40,3.355548752295735,2.404204769429294,2.981946171789107,2.1579846274237604,2.14187879016862,1.8000767343068422,1.9273827322163564,2.0036966879393567,2.709351637429875,1.760944301398356
41,3.383635291555324,2.4139002492728214,2.8073467838844377,2.5928706661230443,2.17920155925692,2.7621813442387086,1.8768661899688208,2.1652335302851844,2.9071327032025818,2.230440684769292
42,3.657705654617908,2.88768234360812,3.002878003899726,1.881141818365943,2.5029079543968167,2.801624117874349,1.9025584700126448,2.3791668926096854,3.0920187527025096,1.9574090175794403
43,3.4992545506243307,2.983990719209408,2.9526990440553442,2.2967190631691077,2.3911207940811257,2.1495710106730503,1.9136528849142524,1.9910319008983268,3.043038218722319,1.7566091597589246
44,3.482490831024432,2.4735113766613197,3.419866900747881,2.3011614242319056,2.2662289620060267,2.1097930731527583,1.793012280345625,1.846499009269859,3.255314909860876,1.8661418414093724
45,3.2909983711209203,2.7237652233512124,3.180504167919564,2.4415785774251377,2.224553557287956,2.4608970539117,1.9488617991277828,2.6080277246148365,2.8527084802538294,1.7438402753764377
46,3.511760420631253,2.411657094551922,3.126008342167024,2.7994121820053484,2.617200906136647,2.4399712108233222,2.049295966271854,2.2748563115301597,2.8944446684812966,2.023180793643137
47,3.51350491722196,3.113486014720481,3.2037950960447925,2.7287801992285208,1.9129313691282332,2.4190096954754026,2.227899444158794,2.2658273141171934,2.6175546291920258,1.7999116479637556
48,3.5222592241151354,2.8942460396710166,3.2495534474836094,2.521368213557649,2.5291220370145213,2.396097683546346,2.3435343253971324,2.293360572491293,3.0461718243994667,2.3229910028634393
49,3.4610425231858803,2.4829434500225154,2.8985138404419595,2.9739525434786636,2.7230241204834718,2.5901951119383213,1.7758425645502223,2.1603115970054936,3.0096274739808058,1.8879546734023764
50,3.382973787210383,2.911635459300809,3.0707322688811662,2.3540907404567655,2.7827480866251735,2.091546895000813,2.165163718604502,2.3161125746451012,3.2373485946647023,2.366631877949847
