iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,2.8670639688263586,2.825687673819452,3.048090070845398,2.796306932987622,2.8217418798768295,2.942968784657728,2.90036053693395,2.989910173654015,2.697116510387434,2.786325721063215
1,2.954819599684103,2.995368390487223,3.0631297083784927,2.8510249946586104,2.921505247918428,3.0216421876307535,2.9742259045039345,3.0394589793424154,2.807682238170011,2.790606673448682
2,2.9776563269267013,2.998582887715411,3.096358518685891,2.887121538696332,2.9869931691159417,3.0817984320416265,3.114382777136315,3.0907776240021634,2.8398443452799924,2.8075282596194553
3,3.0427993588889777,3.060284140765953,3.112521780897791,2.935136233199432,3.009789681797212,3.2145259670645014,3.2481076816125096,3.1100128979736277,2.8468486343870163,2.814776866637831
4,3.0445808513449015,3.071340891798891,3.463791675387327,3.072341372428892,3.147865626475275,3.216605832480947,3.2623504134455175,3.1100128979736277,2.8468486343870163,2.814776866637831
5,3.1003889217679874,3.1641427813785197,3.573883373178367,3.150936872833007,3.1694185794862,3.216605832480947,3.3169325133698275,3.115282919027629,2.8468486343870163,2.814776866637831
6,3.164691798269613,3.1641427813785197,3.6331100498194084,3.1733420571633033,3.1694185794862,3.3232634249622124,3.3169325133698275,3.1203738112212664,2.954797137365633,2.912848417684412
7,3.1973622018420453,3.2515602402907895,3.6331100498194084,3.1940511442016555,3.195624113638851,3.339726060793347,3.3221754278552798,3.1203738112212664,3.0793237364478765,2.941466262717931
8,3.339975875298726,3.3042685256254276,3.6331100498194084,3.3054541183263155,3.2443445034008374,3.4422004481191526,3.348371734224183,3.1352893918939144,3.0806575067929143,2.9452491747092973
9,3.4102449329188746,3.364239454550629,3.6331100498194084,3.3054541183263155,3.2443445034008374,3.468800742333049,3.405910351133765,3.153892892594796,3.099196395331994,3.0217281808132217
10,3.4102449329188746,3.420233188321877,3.6889092217384034,3.3467690534187433,3.253557233074271,3.637883238455391,3.4117293746404087,3.2936563419072824,3.118815036979562,3.1163509224072965
11,3.4700001516783274,3.524665578912357,3.702944741959059,3.351133429969983,3.253557233074271,3.637883238455391,3.467009038918678,3.3844294489510265,3.1332228323002154,3.127022235772115
12,3.4849538357266843,3.642266060184406,3.7811301987196337,3.388298966624445,3.281671402961902,3.637883238455391,3.478425640076713,3.435298540294359,3.152775126304873,3.205952711293765
13,3.5211272678816377,3.6485350060208046,3.7811301987196337,3.4363429714148332,3.281671402961902,3.637883238455391,3.4998032225428934,3.437704432172141,3.213605631470548,3.256401839972515
14,3.5263274345689104,3.684066909355959,3.7811301987196337,3.4464729462556094,3.312326944621744,3.6695856941136737,3.4998032225428934,3.481889210145514,3.213605631470548,3.2629048960562583
