iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.148243105006953,0.9709406801542679,0.7686559509855267,0.7816418696923735,1.005831823090912,1.0529334428877486,1.008964102616771,0.9954782760363867,1.225360083574953,1.0625840112727074
1,2.3024988905418695,2.536024563535448,2.499416138662297,2.463611152594407,2.569766128037654,2.6345139659802306,2.5149524027033725,2.6232951912008122,2.4957681478245126,2.1960133515573697
2,2.449836302863006,2.4591497216625715,2.4397564661623594,2.498707955078121,2.5726127130983096,2.730438507937988,2.659921970970415,2.665901623199821,2.442886436861987,2.2009247644019094
3,2.6235430329692457,2.500120377364591,2.4895490893033188,2.3857773130545112,2.367760140036668,2.548075189613119,2.778201673763484,2.5639134940976476,2.178290903484557,1.9930259344721015
4,2.034397151986349,2.2391950408068864,2.5645945242894204,2.6657409120820166,2.422665276457373,2.559751880183496,2.533910140371992,2.2659412415619054,1.868502517520049,1.5318458790228282
5,2.224906478499584,2.071194666209171,2.7705639486998463,2.2958088388439974,2.0433772141520037,2.261802258063052,2.4188303604290735,1.8973169566325263,1.8250687683645892,1.4151372180390704
6,2.316134172742763,1.8885215853267212,2.4965165953470745,2.031387228631022,2.10757732979141,2.290841593841782,2.1795560321931164,2.0132343916253825,2.073001042811436,1.6848470242985094
7,1.9876990826879215,2.1005643905813023,2.457490892776776,1.969503449296462,1.9920856333483157,2.128169933864748,2.226845276406093,1.624820998443007,2.100806248214659,1.6822938511948795
8,2.403933531162237,2.2970258341980516,2.214810454296412,2.3497380655906768,2.0481582841431356,2.413265858966643,2.329574124196215,1.8294775618399615,2.0242710498101166,1.5418656011135625
9,2.5228883370728417,2.486597417931308,2.2022058625605454,1.850341848218283,1.7541317441214104,2.3896027525937265,2.448536176541996,1.7032099414459996,2.068775029224284,1.974270444853135
10,2.159329020607825,2.4574557663579197,2.5905826682162694,2.3151817099212972,1.9188966301135184,2.510134941251067,2.223571013394105,1.9415682966945143,2.0996022458554857,1.969099095809548
11,2.105066979103958,2.5402914071496427,2.2311010508759996,1.911920683209579,2.0011684582555676,2.2436713959809333,2.295117716701893,1.8970588852845407,2.2162592476985004,2.032551282855813
12,1.946575090270963,2.3456047383889542,2.5831433872241067,1.9478596407127673,1.9778058152018183,2.1371889191680395,2.1468217032002768,1.903441363439371,2.111023605225181,2.374060912378794
13,2.4326176857536916,2.253551420713991,2.1267314749342834,2.211349291590264,1.9218578979660883,2.176463950523096,2.2784144020665824,1.9043160183005645,1.9324167155040115,2.2222551287472636
14,2.239771523157827,2.722766729732908,2.350809114079727,2.3299676810061616,2.054189332072911,2.397134254507301,2.139094665509478,2.210808160718436,2.2397304615031004,1.9230068485894778
15,2.617612001447842,2.4021344295653275,2.743114964263915,1.9961376278321097,1.8355913734804377,2.4421399993104362,2.3115942419200026,2.3250529340220845,2.0278674866207327,2.0821298613806904
16,2.087098628735305,2.5538810912700165,2.33032504642384,2.518794056009761,1.917669320882911,2.1584072044215734,2.3990751218023476,2.385061785026271,2.0561776868055928,1.9015715894554515
17,2.329883713937051,2.320550094861746,2.234061483642303,2.0116401022284225,2.0985333226574863,2.6738571618799765,2.2781329976583136,2.3228873725152424,2.4487260779106865,1.6494661771375891
18,2.6158489394759763,2.530377692905684,2.215739112888798,2.6506123342579437,2.2500721530872907,2.4062831830723805,2.450420623219964,2.1984537195654603,2.2075294495115285,1.9927233619757692
19,2.1855129087458818,2.7555359528556105,2.273920166526258,2.278777422506144,2.262892315970828,2.6652885758187845,2.5365978402878935,1.9703061903254584,2.414132429911759,2.4890839398113904
20,2.4601760919932625,2.3983564656449063,2.5871250000674735,2.324771451424512,2.197732157350922,2.6131113375176076,2.5449050480863806,2.1519185891439916,2.634668089167448,2.320926356587049
21,2.8148847793248413,2.6090680943653006,2.570139675067793,2.488077029581497,2.171494972597432,2.5401314631089753,2.445545690039153,1.9259963217505622,2.060557035617094,2.527440592327424
22,2.563770914475533,2.5809543277258715,2.757458795366397,2.3689012537247534,2.0637252668295005,2.209462938374511,2.759954588269125,1.8291482255437677,2.3814093862511894,2.218333294846966
23,2.4216977352640994,2.296410823142174,2.742630687027407,2.3131210800496613,2.277111689980736,2.2514288053936684,2.1211170882796493,2.4110099911325387,2.6305359527311247,2.1160095066827433
24,2.6478491759838265,2.5671876693382107,2.829060337361254,2.4729306674725775,2.3461358512422583,2.3323244421504423,2.5917961291087512,2.4050378020999728,2.6532821197964402,2.3726350732309354
25,2.7285809493855933,2.6838202878763635,2.6862807855706614,2.5060483926535877,2.3082046584178135,2.44347486827735,2.5963092307376323,2.219483817635095,2.6807675202400407,2.7085312373903587
26,2.6449582318356173,3.2023622266072866,2.6843054961498414,2.462517640934941,2.0348697464113883,2.379574179381949,2.326012590193467,2.6596953742266827,2.642403471324018,2.5151829824208423
27,2.6984698122533826,2.826493162982473,2.8283942407392817,2.553956808797325,1.9455748656036282,2.6970291933244033,2.166484747316541,2.973868852703493,2.7614070939922652,2.6589422643955167
28,2.4956080197329307,2.6018241994244566,2.9181663873662522,2.5303387057251756,2.5620517268725265,2.624827098493404,2.5101730002646256,2.812370402673908,2.9121957081453553,2.328825186190323
29,3.1187392516527295,2.820072853545774,2.7438542408626727,2.73244857059138,2.561154101812303,2.3676338378530577,2.279739714841038,2.6731716398188192,2.882245980354009,2.659928606925591
30,3.0534022807959795,2.4605857096618027,2.8713469832335923,2.478912221343913,2.342218177091996,2.7059462982129863,2.482516364242459,2.5452494226677387,3.0827964640221657,2.5559322677658427
