iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.205278839846057,1.152071623503614,0.7735314339832684,1.013554361362515,0.8918492485132896,1.0172234436497543,1.0452575364340888,1.0130829549211213,0.9415164671964042,0.8649522165570375
1,1.2884995470734923,1.6137169502392719,1.2102867514627773,1.2052014460837683,1.294256798708745,1.2873446121771424,1.105102021240466,1.1112973161248882,1.2011813109566698,1.3359481472286525
2,1.5739085596184772,1.1822849472215495,1.392418422532051,1.287526952877609,1.2881314785653768,1.3654151488353767,1.4066369453106327,1.3250863938645219,1.273229103547703,0.9285321552298633
3,1.2872481957980404,1.19770018464134,1.1270097430346386,1.411521063239236,1.0582935076119664,1.5800125388595891,1.4861748795895182,1.3808004136176273,1.2933550358212726,1.2691797341625617
4,1.3136365740563145,1.096870736681137,1.5608394964766892,0.9430697544314337,1.727660317172126,1.168374185899728,1.1513745553977395,1.5718253106951516,1.2339900791613758,1.8008938513102362
5,1.1057168934569916,1.3341966352385994,1.706307007845567,1.257860030994208,0.8911338905774999,1.1730546947762348,1.3510304509925048,1.545533973351586,1.0166196705564963,1.4692354928720466
6,1.2798663046507357,1.21880596643596,1.3563958888735237,1.318122392263023,1.3386874206101278,1.46036467283258,1.3225712576742152,1.454665354605513,1.3068085811664287,1.214530760853628
7,1.0067387367182064,1.2172544645163446,1.2503741854797332,1.3164377435178731,1.3939743320492324,1.2009041421000868,1.2515499125357037,1.394278960190634,0.97828453387937,1.3256252875622447
8,1.0492284746080247,1.2291561108239841,0.9964420575550216,1.0224087097635992,1.138459438899819,1.3138812068714785,1.5240245202998852,1.0368683911623162,1.580534430773988,1.7170776804921664
9,1.411749101263294,1.331251732146315,1.3044704966236869,1.2247049964845615,1.7337192682846174,1.0716184562654116,1.0825296201329595,1.149636067912572,1.0569502532193007,1.1608305204094709
10,1.1692136354881206,1.4287876229584793,1.2038728183661989,1.332540326333242,1.2991953372318599,1.3692679261776688,1.2300809963770931,1.3905076551223974,1.162802001356989,1.4785892046664526
11,1.165246409738955,1.7622542166504847,1.6192965281100467,0.9325222978604534,1.1973116480068415,1.063328766649947,1.47579036509651,1.3376552505672457,1.1927324548698097,1.0750177950343807
12,1.7868605542300906,1.3599571041816527,1.3724524999851115,1.2858433053699057,1.269445557574628,1.2547802769433065,1.4165423468105183,1.9426687666287807,1.4781810758633185,1.2163450635164452
13,1.2911697994705118,1.4165177889420102,1.3116498750386727,1.4528532608615035,1.1896471482768847,1.265824872025664,1.3255520588744292,1.4588851876897002,1.001244918457353,1.2761161109313917
14,1.4505171976989688,0.9209706493144474,1.397447283577615,1.2209885137016505,1.1367186743129851,1.2912428035748298,1.2111762176615444,1.193384007268049,0.9024794852714769,1.5005214065497965
15,1.1882392445163354,1.1609353717393691,1.1500847350695238,1.2586300709249505,1.4816809554918846,1.3824020256702196,0.9604445321310049,1.2631029558177265,0.7743657373980155,1.0639481606012544
16,1.0241256732627957,1.1006438286271814,1.3247154164801087,1.138589758114027,1.199411345943683,1.2268808513904494,1.270839315333494,0.9440154733073962,1.3626409980442848,1.0430989667093025
17,1.3138464328327335,1.3044489973451632,0.9615988948344699,1.1125965495113834,1.3320928788118733,1.5569598266630744,1.324708799658041,1.5124033360318248,1.2104980716100733,1.0866946215950186
18,1.0841129619770467,1.414453835314363,1.1350033231100576,1.1383469337079752,1.3674510994887346,1.1388811491212318,1.2134660682563108,1.0588615317247085,1.5395989516894246,1.1844689975698022
19,1.0076284902767985,1.1616049801695771,1.2302134099261521,0.9298507076257692,1.5687599250051216,1.7978286753589998,1.1951270637275764,1.4688465666945683,1.2640769091858082,1.2331006390533763
20,1.0229461683855252,1.2771188383384826,1.3221679237927548,1.2074788594080341,1.3492025399444594,1.4662909735255836,1.3178713370090138,1.3309436625969435,0.9320490100637138,0.9230356114221021
21,1.1247926122250527,1.1931582008779629,1.2948210053506828,1.0410138631072532,1.3976521060562723,0.8741049143398281,0.9138698829577268,0.9494371153509469,1.5464367281498028,0.9714839714367882
22,1.0048527507004021,1.1725467763682427,1.4927187305982907,1.233870515540479,1.4258632344671616,1.2898998660649061,1.3780518692280954,1.054329569737883,1.055671421318847,1.3311447560484373
23,1.2905207710742268,1.3516968948806847,1.3223739651547741,1.4290392448636848,1.0493667012347332,1.0827880845974298,1.0904803092388016,1.3065023518004388,1.6282615975701433,1.4071428956094654
24,1.4663493822229272,1.060441764604089,1.3591755270423573,1.3174353185252985,1.2494238916895366,1.3735731973934437,1.238781568251805,1.6271308796979467,1.3686704824380032,1.369575398469397
25,1.1979595619083527,1.340645502350059,1.3820125451993457,1.3958366481654545,1.4850296227104245,1.0027127190314309,0.808014769022218,1.238625916131548,1.3448872862469694,1.250375481624009
26,1.0691621648312088,1.285533751668611,1.1379931476942127,1.208117558167297,1.4830070989095625,1.1667921178969638,1.4118339813420362,1.3173501515224542,1.1292278534835867,1.3102116496531924
27,1.3286055713299896,1.376893726402106,1.1026503403489294,1.5308799343696962,1.2395895565153732,1.5745348254054607,0.868175132293614,1.0135569177578858,1.2849892722603025,1.5458590991142587
28,1.3160711436600303,1.2566144381254118,1.1316648024048466,1.400787937694934,1.3409288361033098,0.9250540633145445,1.199336747158192,1.244102815291054,1.1030723875845143,1.2179648424362908
29,1.7196398220729245,1.0541119172668467,1.2606817404792303,1.1199333312929642,1.383672220805248,1.3859265866796988,1.225387311665723,1.2453052368214592,1.1940581067196336,1.4446013013104002
30,1.0510006740245117,1.1980834113167422,1.3817687071344045,1.4761772515622025,1.2148513934525116,1.1453422963433493,1.1882602959404143,1.384189344064751,1.739768214987194,1.1193658391901216
31,1.605383639364152,1.1933818231171254,1.2125978374517874,1.4614077092103293,1.0403565719984766,1.2427171499815028,1.211683983237642,1.4767125931046967,1.0928853796920954,1.3360576266722184
32,1.4255001810658625,1.2143448677783453,1.3812576009769106,1.6491445449998692,1.1629957362272507,1.4910170884915392,1.4301398826055773,1.1418369326351292,1.484548041230799,1.1495953697379733
33,1.329683474504398,1.349120398800804,1.1611109724405007,1.139342849836444,1.5814447912905591,1.3654648951945316,1.182015462685507,1.1902967913060694,1.1546449744764016,1.2789340866900414
34,1.3094140198753013,1.3025415934522422,1.2369848718339211,1.512690069644639,1.1269511392823115,1.5758019896985025,1.2447106790429547,1.1429722859568854,1.1837202999974124,0.9860885909576558
35,1.189913111552001,1.1335116768171125,1.2511483740299056,0.8827685070477455,1.2643466206244112,1.1449224881830504,1.3457131688466177,1.5096904513264815,1.0357560630020965,1.5441921796974045
36,1.0995542962028666,0.9486614660938255,1.542051569510642,1.4260649879206688,1.2872776894318227,1.0924933216313744,1.3391905751602118,0.9480130539800343,1.527082061915932,1.2103131514426178
37,1.0589633001415695,1.3376124853671716,1.3637290185632331,1.1241291596867118,1.1321357452258742,1.252672768688423,1.3759151578486026,1.2819336020954517,1.4766928354916478,1.0983254300805876
38,1.0633037856850756,1.0208116729989756,1.509812990921258,1.1693000893117147,1.570543497531241,1.0523989473014588,1.2843466263936572,1.1599918107245188,0.9051972063879079,1.1032577422879164
39,1.2738985723654546,1.3488900333154001,1.6764851931558564,1.504210617891896,1.0440280347677984,0.9994480491890315,0.9789873303813543,1.1136172469513497,1.3520432731629366,1.2114968893401539
40,1.1268870391104935,1.4660585478365853,1.2595357998823933,1.4053503319131113,1.5117482535946525,1.5031607784635115,1.3045464750361297,1.2810047075648328,0.964264132160684,1.2560489550303444
41,1.3371757709877907,0.8591636520020841,1.3740251226674183,1.580474411080321,1.1927651118570461,1.4155164425750255,1.4775759500518575,1.194573651036311,1.4900881051958668,1.5986511738944467
42,1.0524613521164476,1.3475352287172528,1.5222753588534341,1.005368699832708,1.6816999837884423,1.3222239633119806,1.1919185421007104,1.209834078616809,1.6074484701719287,1.1848840171954698
43,1.1365675987493349,1.2490424246935765,1.5800448584206452,1.247425130095671,1.6971135168867135,1.130500494168846,1.5125437122658227,1.0511754372166324,1.8142454901580112,2.0523902749118674
44,1.231195984603191,1.269653200633986,1.1630900135273552,1.600321263872126,1.2206153665224138,1.3274569511967145,1.3718206032827225,1.2364867605289596,1.5787592038279343,1.464528329721991
45,1.433344656518563,0.9196802269527241,0.8351064112688587,1.1867383408078025,1.0199298916643627,1.283374591694532,1.234301632602689,1.4005338993309182,1.290404801335683,1.478600427082885
46,1.2351952601488316,1.2890000175048024,0.8498732594356572,0.9903348113435939,0.9720292899989577,1.5063300775104997,1.5157237406678121,1.0526870637374723,1.6856067758970266,1.1577177323282506
47,1.4999292086832878,1.033105298611417,1.4246740255400385,1.5999305090945999,1.5072338500950917,1.5067400748125501,1.2217965148569339,1.3155275464678668,1.3039965145328682,1.5464523497487797
48,1.3129778281827633,1.353169739308814,1.4688016204135432,1.18277921392666,1.2851953381696042,1.0988583766405298,1.4599542245532484,1.5313751802355475,1.0371826377262436,1.5201454368032037
49,1.3203515915784836,0.9389367273412091,1.0799831939002038,1.1206890038981747,1.0605369093054964,0.9194699688981648,1.3803364280335635,1.4386609143174864,1.3316174720426757,1.10182996670322
50,1.5935545255133472,1.039514862340723,1.2221945913801897,1.024235397946799,1.1500626811139338,1.409793033208579,1.2807700912359217,1.2985432566804764,0.86040649346223,1.1012368171900877
