iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,2.798154116865749,2.87388441204041,2.778517531257102,2.9648702178191755,2.970335924191269,2.9579771688886263,2.65370342120631,2.9713816349313307,2.91483791230481,2.7670088142287503
1,2.828209635100504,2.900950296770258,2.9239853268729163,3.140823307775876,2.997124288785223,3.007952779568863,2.7279726307321273,3.2131605512000863,3.1298603459614673,2.9053832266705077
2,2.8466093800955745,2.900950296770258,3.0116695824709687,3.191775891948327,2.997124288785223,3.065341250321688,2.897940361231331,3.2131605512000863,3.148054333652502,2.9851498960820217
3,2.8518712174180627,2.9694137958963935,3.0334427312858137,3.322179419249117,3.0836366839347136,3.0697947871210274,2.897940361231331,3.2765518954293382,3.250589044876113,3.0258145774300407
4,2.962771002326261,2.9926563879342547,3.1239452888308734,3.4113638376868143,3.1068815143291753,3.0932762393786097,3.0318181111664932,3.332837997601371,3.2726155577183307,3.0294904647116723
5,2.964818452147679,3.079695420527914,3.1239452888308734,3.4113638376868143,3.2313522623022846,3.264424760709506,3.089297739169606,3.3466903102830976,3.2726155577183307,3.148358372231373
6,2.964818452147679,3.0857936222340125,3.3200757237964957,3.4113638376868143,3.258313961103074,3.360919128422429,3.089297739169606,3.350526252531347,3.3726589483768876,3.2565342331025278
7,2.964818452147679,3.1699569293109393,3.3200757237964957,3.4113638376868143,3.32264183789886,3.428583843480024,3.1077665209661474,3.383857843396725,3.375945706740593,3.2565342331025278
8,2.97444761098941,3.1699569293109393,3.323440416689904,3.4113638376868143,3.3655651279645715,3.5087684233058196,3.2098194900637687,3.383857843396725,3.375945706740593,3.25688073588453
9,3.1332239051884754,3.2918172982491205,3.345899548203774,3.6431561664724637,3.426504057855703,3.606220806974061,3.244354777988244,3.7045646223105058,3.375945706740593,3.314136746891085
10,3.1332239051884754,3.3346446267004106,3.345899548203774,3.6729511545735223,3.426504057855703,3.634825129800472,3.307997186323848,3.7823333258479304,3.375945706740593,3.3599791646588297
11,3.168166351291476,3.40058771242055,3.3998597064240723,3.6957183158949194,3.431931926622675,3.634825129800472,3.3577477253877985,3.817479730234118,3.4779170819058858,3.41336249357897
12,3.2307037783784036,3.4561336405221406,3.4681435574455177,3.9026314828615503,3.465519093396616,3.665572443805157,3.3773627665850454,3.857811913670856,3.5790088983441457,3.524742183725103
13,3.3606404249556387,3.5826347099000095,3.4681435574455177,3.9108510671977417,3.499123079571492,3.665572443805157,3.4993693462690265,3.868793893757772,3.5790088983441457,3.6596319966005044
