iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.205278839846057,1.152071623503614,0.7735314339832684,1.013554361362515,0.8918492485132896,1.0172234436497543,1.0452575364340888,1.0130829549211213,0.9415164671964042,0.8649522165570375
1,1.5097043752171864,1.478954546784034,2.0376943970602834,2.067475933488798,1.6604075878916573,1.4551431949264253,1.7256230899632161,2.41334402687545,1.8853152070595804,1.9892202571594864
2,1.5028046986109893,1.4449790833446976,2.0541629846745053,2.157452216342623,1.50016448388443,2.1802585988671277,2.2511179694589227,1.6613292164539468,1.7944542025411767,1.6637321393086797
3,1.4559804023526592,2.034165823302976,1.537828274512369,2.0763235020739064,1.8338860341519314,1.7403623762213511,1.6811723913177483,2.023076820639359,1.8496300204902285,2.183881537707484
4,2.0950689628928343,2.3177140768031945,1.9008268268048822,2.037273435688452,1.7995515943908553,1.7682856567225125,1.9102141187312218,2.1245087741049167,1.98231780356311,1.7788387509700876
5,1.8327500616564696,2.192626626185794,1.7251632038841136,1.6143736533008402,2.5837671749576074,2.0911047708966217,2.253589266404724,2.013056986078098,1.7914814953722877,2.1657901083162168
6,1.96497202388817,1.9408675696642765,2.416456430046746,1.7496071582103139,2.1429990318586567,2.1382164654225697,1.667787742016542,1.8629272507092156,2.1344773062049645,2.1008968103671157
7,1.9201772598282352,2.3501566420712763,1.911401881832548,1.9957319615157638,2.2032620831773793,2.3067552228749335,1.9424344106271856,1.7692622829127722,1.652004890071189,1.6146403990873222
8,1.8206984936224466,2.4054695920078295,1.7907751632963798,1.6509989271212335,2.4484529745346553,2.048504366786857,2.2461193764581324,1.2307608228543154,1.8138032071969041,1.9819742990005085
9,2.286758118729394,2.3842335980812783,1.9675708784165562,2.7656119518578737,1.90402971882176,2.264423873756745,1.8587035858333971,2.9974450670008776,1.3261196257668608,2.100178387097996
10,1.345394378706073,2.178723399808028,0.9591265379509566,2.5786216237887727,1.837674861661598,2.132116896161742,2.2415705968735598,2.175270830951537,1.2269901617364776,1.9730460490072987
11,2.3295505904681617,2.337914046735875,2.4072737105744224,1.763125656532079,1.6792658036386299,1.8856279640007823,1.929863282507847,2.3898276260152707,2.5460040757902274,2.3750749606788557
12,2.1249730285502793,1.8818060759612896,2.2235010825619166,2.980167524049749,1.7191236458556756,2.0876590636518437,2.013966150428671,2.522481005260488,1.88487386920799,2.065074847814536
13,2.521763336688365,2.02145905429623,1.2635137107514711,2.1818196992526366,2.2563820625682762,0.9196551991454429,2.432941168317485,2.298170989827903,1.332366813213536,2.795344236547855
14,2.385318820478661,2.0743493175478127,2.014110026913823,2.6119330019595037,1.9517348408272885,1.7439943317982238,1.9993665826836087,2.4644104920397414,1.8810708837324261,1.9291783325700518
15,2.605332981257418,2.34396502652465,1.7790799297774829,2.3343946514813094,1.9382363048099887,2.1420929345647752,2.2693050114421456,2.5972096129609734,2.209058529854158,2.0036821922467145
16,2.5418129498525692,2.0202655072291904,1.6892940332185005,2.3401931367089768,2.209962957385466,1.8008497403602823,2.0211231837545394,2.5660997828381964,2.0132212331989594,2.1112267612467486
17,2.366215922683395,2.47494753874019,1.636710876565242,1.6273692721375879,2.3734611547049,1.4960131093625288,1.9918625838630848,2.9150444536425053,2.224546040042702,2.7255611610523958
18,2.525553305860906,1.5916614951230352,1.6111161621028502,2.128818672735121,2.0226251133002235,2.007871294436752,2.2433941513503153,2.2783914623606005,1.9976359595435453,2.3145719050401548
19,2.018391225223607,2.1523618451716233,2.3918120823784017,2.7441380679528784,2.353119624938386,2.5767857223006496,2.1636952098375035,2.2409995331019323,1.890592903771397,2.058013373010273
20,2.544980725988017,1.901763710190048,1.2376052246837437,1.765270374162658,2.4968852239311197,2.2104821943407607,2.6380032179963497,2.5028349390536277,2.5406121392178287,1.8627925595898542
21,2.5244752342464176,2.0241619005422,2.181504327421235,1.7470674875573025,1.5246385275685603,2.3654838059097765,2.6031688530571415,3.1595011473955896,2.6579210110066187,1.8046746302597594
22,2.7387746947401275,1.9466267447070211,1.8615598939317857,2.314568975255756,2.446498403327269,1.590761094041347,2.536119592538107,2.53041976162256,2.3352546053695127,2.1555623189949475
23,2.084073405907782,2.4169092833398533,2.2806165295166503,2.4775790997716527,2.1754844115533665,2.1590436764417875,2.434514293815928,2.5872452082538646,2.1505758964078105,1.8295706793898567
24,2.2002908403405392,2.1474281595781672,2.1425200938418683,2.4525152433904465,2.576006494377769,2.211216142942074,2.2224865858628853,2.312149017557144,2.805383552156448,2.4140451269706116
25,2.5743567248815458,1.5102059010995372,1.8031568645535292,1.7849756999013566,2.517483598446911,2.2170212733861283,2.2590641770105284,2.49905480570579,2.2526814822092085,2.409374405307489
26,1.936497164050947,2.4524362933716657,2.231280437934137,2.0136543494868864,2.8789314351428135,2.877829140295514,3.444172137119976,2.1414131419567832,2.3682791467000417,2.8726370909119554
27,2.32163032118145,2.371341278347881,2.4924098040348683,2.196737191738553,2.672579371780313,2.7208277883852388,2.5391464068311542,2.7029062171184255,2.475428990021075,2.0272567350173327
28,2.36254515096985,2.3130527694020757,2.275191231935536,2.40791848860017,3.045313327741198,2.391366116059695,2.838629737338735,2.5484891852791205,2.2199564252989568,2.4222885931711104
29,2.3052527162456107,2.4375198032672176,2.018454858345364,2.1797515186823304,2.295008400445754,2.5629324171782635,2.4616709473690435,2.3710967960538003,2.003143259516551,3.0328160682336964
30,2.4563350395945216,2.541264399716723,2.1919913907735706,2.4247924194759802,2.7783759860413233,2.751339922092078,2.4474926304895073,2.488647636188385,2.1177146082169642,2.8429691763930367
31,2.225027546891292,2.637949217441467,1.8792479381766278,3.084199857575685,2.85573740291599,2.3393227994402186,2.4570730974498396,2.4108069835615478,2.336595816872996,2.821802806281637
32,2.2729657755790686,2.6587857869534766,2.5128694958747095,2.3236988349984378,2.8517490671418484,3.1793136664767068,2.851653745622942,2.7663187295692504,2.229850186743652,2.424422724450448
33,2.5851998663561573,1.9988272385954615,2.036228921448083,2.538539011743606,2.678491446448784,2.557700965180628,2.277723268176214,2.613780226997312,2.482673175961099,2.2516848208275846
34,3.154531914925738,2.7054546968398188,2.6377194385695777,2.4452710903761994,2.324994499720174,2.7747470160620606,2.835909228777812,2.471988164780969,1.9736452601083179,2.114580617565821
35,2.271309258116599,2.735991727706321,2.032684117450434,2.613252594607314,2.9681032908585663,2.8504018857356765,3.042068401895758,2.2650974810239997,2.1306410243461604,2.228382354363357
36,2.698962572494098,2.5572478620647887,2.143962606023146,1.9461702382663324,2.3828761839678245,3.0823749702983463,2.56376067042826,2.346377557183345,2.4047083134253113,2.090351388305721
37,2.8615216014548155,2.2067411857268437,2.6262327908780776,2.4922106013391545,2.8334922468477015,2.585920000523692,2.5266921046037476,2.633468446532788,2.7583710373657224,2.691368999326145
38,2.8119075363413337,2.412816153154125,2.2285815968541627,2.129380663542071,2.407777910075783,2.6434280940765973,2.94262838623218,2.920372462295079,2.2627973859433785,2.6298354974587514
39,2.6402424674556073,2.3406479755697873,2.163153718272949,2.2110860618835435,2.330602449676055,2.2761381983053237,2.6013981946778957,2.5898673211031538,2.6202834511890982,2.950296686807622
40,3.002003109890792,2.2127691637222022,2.1253888947296087,2.2127398180528233,2.8935293531467146,2.579988256209096,2.910799388038696,2.848563012782307,2.576789894922106,2.733211066541527
41,2.597133332506026,2.2657809494568775,2.201196429660682,2.5944443417600134,2.7364231574217506,2.598897673506471,2.4466064373210346,2.8611396259348068,2.390418321237192,2.764446624379012
42,2.8817967431005025,2.6017396477971824,2.0805281792096753,2.5862685954347038,2.39898963064073,2.6085056880414843,2.565928206299917,2.8974687780885287,2.528597600302497,3.0971378754599526
43,2.3823665806674725,2.9018168963959314,2.6491596186413964,2.107540371932395,2.611704214826112,2.286793576526069,2.659645976333491,2.4717419473150746,3.010044936143416,2.9743689202125827
44,2.8008335807361933,2.704181923922851,2.661131312467303,3.017136959659472,2.9997404795211793,2.780613912374755,2.249128191466616,2.4165683505049937,2.8725763477876427,2.8863343466590248
45,2.9727591986752575,2.7204671393953115,2.6162340428162265,2.5229587938581304,2.611060950884622,2.537149685014719,2.424207397054443,3.465458268112834,2.4057817834849295,2.8024438141593335
