iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,2.798154116865749,2.87388441204041,2.778517531257102,2.9648702178191755,2.970335924191269,2.9579771688886263,2.65370342120631,2.9713816349313307,2.91483791230481,2.7670088142287503
1,2.798154116865749,2.87388441204041,2.778517531257102,3.027992376403276,2.99244589758182,2.9579771688886263,2.681369014804833,2.974201778476221,2.91483791230481,2.7670088142287503
2,2.804091592611428,2.87388441204041,2.8059321141205706,3.027992376403276,3.0201392511676457,2.981954934124693,2.7601383936950334,2.9762079316664325,2.9244699878975005,2.784791259622758
3,2.804091592611428,2.87388441204041,2.8161277642363256,3.0740683353636147,3.0508740750719063,2.9999653221834826,2.8435651341213246,3.196541749295899,2.9282282019126935,2.8418501691504874
4,2.804091592611428,2.968533690844052,2.8405904573635126,3.0740683353636147,3.0538496084498505,3.0036549442450324,2.9412279646737813,3.196541749295899,2.9998204685481182,2.8418501691504874
5,2.833758539753615,3.0136415806707664,2.8405904573635126,3.09367211146161,3.058801406659457,3.0244802039541994,3.0597054861478554,3.240997808135906,3.0356788002300017,2.8418501691504874
6,2.833758539753615,3.0435310028736193,2.8706204092281107,3.108197881084116,3.1256282322702758,3.040961785042144,3.1862248588567526,3.2728960807963414,3.0893625574808534,2.86813226077642
7,2.8484615731899665,3.0774371938739016,2.8706204092281107,3.1653059131723724,3.1256282322702758,3.0821116201122285,3.2269380473073195,3.2728960807963414,3.1170193849015106,2.86813226077642
8,2.883641722362566,3.084248627942059,2.8845979855496138,3.1757989683086056,3.174915964870877,3.1016692101246743,3.2269380473073195,3.2968316745986295,3.1170193849015106,2.9592142518661007
9,2.8843430461051285,3.084248627942059,2.91557908913491,3.209317937870445,3.218982504889535,3.13493607960482,3.2269380473073195,3.2968316745986295,3.1170193849015106,2.9592142518661007
10,2.9772522905339383,3.084248627942059,2.989610585610797,3.235938389085422,3.2360833801104443,3.13493607960482,3.25983695582367,3.2968316745986295,3.1170193849015106,2.9862462872989273
11,3.0894470433572403,3.084248627942059,2.989610585610797,3.235938389085422,3.322117713944558,3.195656293772053,3.2639081509899404,3.3499051415398857,3.1170193849015106,3.034992004927091
12,3.0894470433572403,3.0851767767949503,3.0283118551903305,3.235938389085422,3.352783089336707,3.277495496489063,3.2913201143289528,3.3499051415398857,3.1170193849015106,3.034992004927091
13,3.093074721233609,3.0851767767949503,3.048629734102053,3.235938389085422,3.352783089336707,3.277495496489063,3.2913201143289528,3.3499051415398857,3.1293382932204428,3.064250002361545
14,3.2924508397610652,3.1144067242794944,3.048629734102053,3.235938389085422,3.390764063785673,3.3297921260995733,3.3061256256066294,3.3499051415398857,3.1293382932204428,3.1343839805997913
15,3.2924508397610652,3.1144067242794944,3.048629734102053,3.235938389085422,3.4321594694838096,3.3297921260995733,3.5009681060279685,3.3499051415398857,3.235712441233866,3.1343839805997913
16,3.3629225578300748,3.1144067242794944,3.0729001332993473,3.235938389085422,3.4321594694838096,3.3297921260995733,3.5009681060279685,3.375221134267329,3.235712441233866,3.2034733923825565
17,3.3629225578300748,3.1144067242794944,3.0799857661478867,3.246796366353351,3.4321594694838096,3.3297921260995733,3.5009681060279685,3.375221134267329,3.3223741695120292,3.2195828924917573
18,3.4188267657004037,3.194036971709061,3.262419371270616,3.246796366353351,3.4321594694838096,3.3297921260995733,3.5009681060279685,3.4161744234791662,3.33183082586175,3.2273895761500233
19,3.4188267657004037,3.194036971709061,3.307718200920293,3.246796366353351,3.4676951930197077,3.3297921260995733,3.5009681060279685,3.4161744234791662,3.33183082586175,3.2793468182577676
20,3.420799592005962,3.1962737220085278,3.3168341334516422,3.259593213456818,3.4676951930197077,3.340513347259188,3.5009681060279685,3.4410598684595786,3.392446671673788,3.2793468182577676
21,3.4940007524163716,3.2380096735662063,3.3168341334516422,3.259593213456818,3.4676951930197077,3.3541380036025394,3.5009681060279685,3.4410598684595786,3.392446671673788,3.2793468182577676
22,3.5205428866786623,3.2380096735662063,3.3168341334516422,3.2721923476703427,3.4830384739850855,3.3541380036025394,3.5009681060279685,3.4457424425665533,3.392446671673788,3.3191492476924784
