iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.205278839846057,1.152071623503614,0.7735314339832684,1.013554361362515,0.8918492485132896,1.0172234436497543,1.0452575364340888,1.0130829549211213,0.9415164671964042,0.8649522165570375
1,1.2350249978923047,1.3038517836705683,1.317072527648628,1.5684737663640549,1.1069363843246984,1.3246761554744397,1.4979686014669946,1.3779872501580106,1.304889143263971,1.398988009042331
2,1.542610415864886,1.266218140112564,1.5049646064108884,1.1330084472118918,1.7526496457316256,1.308127385344712,1.1668740563036888,1.288320153395592,1.168925342979763,1.3261793934106143
3,1.2407700747102584,0.9734522026205149,1.3673455038332645,1.7116948424698593,1.4149674864826358,1.2979362465329471,1.454648858464014,1.7599673332669672,1.1799662200984191,1.7319248298274657
4,1.4952377623158442,1.3932408171567556,1.5847681848367647,1.1305314822468646,1.5463552608535138,1.3317023833032402,1.4773779058593655,1.3636199269612017,1.8687748671338325,1.4695388072942892
5,1.8421368739683854,1.7926655829894602,1.241385129479521,1.379249327365414,1.6859004128711044,1.7152869511975442,1.7990377834483966,1.5921173233572787,1.2201155708233369,1.3771492560695546
6,1.4216989202122088,1.1963479021207208,1.3617378797256765,1.6504487158555807,1.7248931951855362,1.5573486738493565,1.4370341657169572,1.5044960263492442,1.6280685925429923,1.586124864309698
7,1.7225956538704819,1.4568065808796686,1.2765022467671896,1.417396048996556,1.121357583428338,1.6701250515433554,1.6006461878850244,1.8134204566209693,1.4104052830764497,1.346150632510358
8,1.5760128162893468,1.904556981779537,1.3496909272195896,1.6047836581181145,1.518984229848475,1.4185693268092505,1.558956939034279,1.5601715632336322,1.4520486903132275,1.7616331657047115
9,1.4040055496161752,1.264576901000587,1.7549853606136616,1.539316433192055,1.6942234863276644,1.457210397103156,1.6883843479611367,1.5787284478316392,1.6814848073744353,1.5023760481193178
10,1.7485062769638149,1.4627443456338938,1.9020172718493145,1.2345392290050736,1.598792398022479,1.439060117891736,1.7027556520016567,1.5092791149511506,1.575109317313784,1.2501125892013834
11,1.8418634288926499,1.350123213501446,1.3545956574505658,1.2260487891388294,1.9686015636456955,1.550210010222031,1.156834877476269,1.5036425826551953,1.267527679351446,1.8465808037817402
12,1.6717604096674248,1.3190470488341894,1.5775539354076642,1.1020983164457148,1.4942667827773786,1.706939095944825,1.3281780893651454,1.3366404060884274,1.3439174845287556,1.481689093886171
13,1.6213065881800106,1.2715116148859096,1.6308186235816013,1.3292052051741832,1.6567485556332946,1.4544665443827842,1.3209651282761112,1.5537880151958563,1.519297752808259,1.6593098956044172
14,2.0035241298055784,1.5311234337359438,1.4289770959744614,1.2451344833720757,1.5515481502593191,1.5019823736521873,1.5036954137241638,1.5419662243435677,1.5662118827702445,1.5810051407700514
15,1.583040159628516,1.4347873933790003,1.4756046462423127,1.5884970143776673,1.7375893889538747,1.3483271490845399,2.2014658785481096,1.5990910995714631,1.6535236918275635,1.3273150891422312
16,2.1618469076431763,1.6303171419552605,1.3931339366126354,1.943896968273801,1.7130522615207004,1.4129083654123469,1.4823939629295126,1.4413089054698527,1.4175063564650698,1.3667126053170642
17,1.7778704886799965,1.5241722898120305,1.4238223950065279,1.5688023376591143,1.5363396386219086,1.4140881306869382,1.6274076058343858,1.7811336333626018,1.772458725163388,1.5697110104448735
18,2.1911061198258297,1.6861585452637553,1.8074843341094458,1.3499084701231363,1.6322477375055908,1.2952928256612526,1.496272851115074,2.174720601244208,1.8154616312061322,1.4089018677392713
19,1.5644352731267435,1.8066303127774823,1.6499607087524573,1.4098582689788803,1.9503225828976143,1.168753397437846,1.249254662594483,1.5812790737974411,1.4184707337908449,1.7447877635680582
20,2.160950681521966,1.6970720172605522,1.8617924414926315,1.4443208387126305,1.7109013396919424,1.6304317239573685,1.4753756178305752,1.9050297858076557,1.9087942139128466,1.7668634344923988
21,1.945832310400805,2.038278556248975,2.0132128871837045,1.6264940742355751,1.531165623462388,1.303056561009718,1.6121180766679872,1.7609304162684623,1.2984616554352924,1.727479042287419
22,1.8761271219631146,1.5168843678991855,1.380541902162633,1.3896051240660832,1.5105752659022884,1.4389208773859337,1.4770856503231669,1.7954615585803118,1.5159096044200129,1.4503593000101878
23,2.134385066341454,1.4913346234492373,1.9413708490352628,1.1615300288310533,1.8915355298373027,1.6887548384994515,1.8500909967473322,1.7807976781002015,1.9480984015290748,1.9723797095215407
24,1.6988902542371038,1.9689604975004373,1.6938831527950455,1.4769180986662171,1.7247481839395509,1.815908681802794,1.385439151291231,1.6581984929824705,1.5542212301743314,1.7621556583973281
25,1.806669839591579,1.2236461502780425,1.6547561590224928,1.7635461749749077,1.6817059204279348,1.9425160017288292,1.4948267787763752,1.709916886869022,1.7436882632650075,1.5383649860143755
26,2.1003758782264117,1.5121412650418717,1.8958414757707713,1.8526100397014407,1.7659156229153479,1.9104204031456677,1.904547227738211,1.4897922757261297,1.9063135202055133,1.7183620327895202
27,2.0263113164249877,2.003659403178976,1.9233048718033663,1.4211759867416958,1.998116171438756,1.4904934160774352,1.8652938528652783,1.6801518500889057,1.7295842660544554,1.7866928898762962
28,2.1575097355385107,1.5101946057634161,1.9243589934589878,1.556274110006834,1.8785599348891,1.581213564506669,1.6422776985619925,1.8360333199789516,1.465852835438628,1.8743106220964312
29,1.6378233737145513,1.8854966634592678,1.5261926850664675,1.622301040045899,1.7720326534083841,1.8480409473607304,1.8296439874486485,1.6929943306856363,1.569911086896951,1.381198046925174
30,1.8814080222637704,1.9714390708859253,1.821780509950182,1.6616050731570227,1.626686980034027,1.6947552146543208,1.7716137417111437,1.730850077891419,1.6460799317935533,1.6709788083343864
31,2.118461399933072,1.730576914998326,1.8885916878957172,1.3489320728840388,1.694009215740853,1.4672488132252242,1.7832894381674536,2.156956079855186,1.5818523442440493,1.6476656948217323
32,2.1664342376228336,1.5284200024147958,1.3937461008125602,1.7030747894259037,1.9900897844868646,1.5362210286081615,1.663677701667638,2.2828276451143608,1.7437950034726066,1.5511412778127398
33,2.040393837855452,1.9043722575318078,2.2595448371719424,2.018735591034204,2.1879289960936257,1.82172313530554,2.1109980493257523,2.258332268677714,1.6728291923922742,1.8694384588024882
34,1.7853995581236397,1.5510912942614237,1.8073554229430542,1.3357044788574723,1.6872256931901097,2.384086785363978,1.925733477718563,2.341648154734065,1.5823656031863904,1.9740385340885571
35,1.9915384558839837,1.8757619340316685,1.8423374778109742,1.653702470691003,1.7619208237160209,1.8022444721037236,1.9741615821037966,1.9566064276638784,1.6292259439121524,1.9989318459868959
36,1.9710889998632586,1.4787056447599953,1.9128497600342573,1.539530753929327,1.6641690313682993,1.9574841542948593,2.093651688254365,2.3151837198208316,1.735622349765992,1.5207364034406294
37,1.8700961616149658,1.3165301132769398,1.4470932644253958,1.8413363262662887,2.180785276317489,2.276407876983539,1.8758227144851096,1.9759413251901934,1.6604510166759519,1.7833656861206855
38,1.9660197289812054,1.8378525407924187,1.6165634120819088,1.702702359192401,1.50786636921034,2.011539063851595,1.7499075013907643,2.0477493801194004,1.6464353887664116,1.7790791833135557
39,2.10733556769655,1.5726346347113545,1.8851017517185813,1.686425595940385,1.7768685434910907,1.9898089043836664,1.948985340763676,2.107039418280821,1.9340436006437818,2.197994255219408
40,2.125806972978588,1.739369188903544,1.8393435082350014,1.547043497781614,1.801339765966996,1.5069904481237442,1.7262531291359977,2.112022059492263,1.6598950200701275,1.9537729679440898
41,2.1428523557532957,2.3747902376841354,1.8350387784886435,1.5595249260093043,1.8439124615348779,2.0584912280857757,1.7327275916562868,1.8871262842851098,1.941616414023791,1.977026079086813
42,2.1096963781181217,2.008950532385726,1.7452435947922063,1.455465707034234,2.225388799996435,2.014180270923984,1.5850076498201267,1.842062198581197,1.8449354637057052,1.7520900871837795
43,1.9977560042537705,1.5592515196756975,1.6505614771702906,1.8082704357712824,1.758729402749582,1.9883362207006616,1.8561093609540875,1.8263826298939914,1.7174654077953972,1.7710203132986146
44,2.236655543069195,1.5847651148799358,1.4215150180075673,1.7210945249091911,2.0147507956357646,1.7602891100706528,1.9457262459939126,2.1733197305272656,1.9085579170592273,1.9900468224301195
45,2.0408944923603682,1.6731651966259202,1.8914423581917628,1.976931563422694,2.1197751502047124,1.8450510452339,2.220466475500935,2.0023359353589014,1.8889629890910382,2.1169154652567874
46,2.247548868377827,1.4972814362935978,1.5694466694465672,1.8273247301269944,2.009245586720657,1.8685767404892424,1.6801274094896168,2.2538228619040988,1.685524256895159,1.9797138269883066
47,2.4582351716166193,2.215997103274115,1.7830580739926365,2.1642738977682123,1.942035125937315,2.0165073431628056,2.2278343963400222,1.853807634907513,1.8976136390934069,1.8703800753873
48,2.1289075850271733,2.0142763951724847,1.9987166585165084,1.8546094016708747,2.1088013209321,1.6963271415543106,2.0349146037329318,1.6855168228454387,1.8726572097331036,1.8049534247801007
49,2.3684113806169704,1.9164039798723027,1.9451829150610975,1.986063564953404,2.3694863164570164,1.9328572745942687,2.199526386678351,1.9414634438841858,1.477082094611319,1.8952944563021858
50,2.2194561571470492,2.1432866371855357,2.0824965383502025,1.7884010836227398,1.768660138236588,2.450749320342603,2.276372737268553,1.9960339318397327,1.8246173618254677,1.8072309708672596
