iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,2.798154116865749,2.87388441204041,2.778517531257102,2.9648702178191755,2.970335924191269,2.9579771688886263,2.65370342120631,2.9713816349313307,2.91483791230481,2.7670088142287503
1,2.9870258173863014,2.8902529609906433,2.809383820574925,3.0615729261383815,3.0084895369010227,3.046393577288756,2.732369479598189,3.0415261087811416,3.1449737184693856,2.83485393665916
2,3.018964287299381,2.9093718128295976,2.8133865902700044,3.0793678409125596,3.0084895369010227,3.052184573685791,2.7576731771314105,3.0658512376660028,3.1667614077105943,2.919869155889212
3,3.0393565887223017,2.912288848705458,2.821124365952927,3.0810516271895554,3.0400495108350487,3.107067359067786,2.7708558766616016,3.0907301359075032,3.207732147439338,2.9638836548213954
4,3.0393565887223017,2.944149260794248,2.821124365952927,3.093966381594302,3.0400495108350487,3.1745791796399594,2.7846402799449184,3.0954509523920613,3.2429486754433574,2.9713407338092392
5,3.1973858782100484,2.990425953656027,2.8766975501721106,3.1021462595974967,3.066542953164457,3.1745791796399594,2.800954450938911,3.0954509523920613,3.2510656471768753,2.979293274382144
6,3.239203877875381,3.0207537274691663,2.885041041605076,3.134758034665543,3.0725209205361432,3.197513491359981,2.8917686196587433,3.1042447890887455,3.277921119630903,2.979293274382144
7,3.256449322149945,3.037231121802083,2.955537928784679,3.134758034665543,3.135380763069775,3.1986803923025215,2.9704855682026388,3.1042447890887455,3.3111969925791773,2.992948832598398
8,3.301018868143042,3.06091677783681,2.994176596310104,3.1900330166120647,3.2063610718169153,3.208381286203789,3.0559276867657714,3.105471973033974,3.3111969925791773,3.0018105764592797
9,3.3471991459369406,3.09195997706852,3.040308235133989,3.235055519035383,3.213820199054336,3.2651495275375324,3.0805484222125976,3.1259567753689197,3.336308792478146,3.003130455335835
10,3.3471991459369406,3.1056073705140363,3.040308235133989,3.235055519035383,3.213820199054336,3.3504009240112946,3.1140455803310942,3.1259567753689197,3.3410774920589867,3.033426502455068
