iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,1.205278839846057,1.152071623503614,0.7735314339832684,1.013554361362515,0.8918492485132896,1.0172234436497543,1.0452575364340888,1.0130829549211213,0.9415164671964042,0.8649522165570375
1,2.5319473375354518,2.4765907686062603,2.1580589713669873,2.743779559828969,2.7096084197534127,2.6555559838084104,2.496267091290611,2.518606208144525,2.8644701868318574,2.410021132318124
2,2.7196931327974077,2.5507504287123104,2.222197096929283,2.6559992177064737,2.584608733494477,2.6296269415574915,2.4721428868728053,2.563870341852363,2.847723862871353,2.565604600322172
3,2.562238526843693,2.5285437303117124,2.3472090335298237,2.618804669788095,2.6662949538797145,2.7955406362349597,2.4865746740475774,2.5960788876605676,2.769254054403122,2.563688954416207
4,2.4499897888417914,2.484591932461099,2.280416282874908,2.607798313947577,2.6129355813370543,2.7107318971585754,2.4122741691066123,2.455949985921105,2.838290225434707,2.443254938349559
5,2.552534990610112,2.601668352692942,2.3429409352594193,2.4722201311442693,2.544093298146142,2.466385101474071,2.457589477950795,2.2589461356612928,2.694701733355715,2.504531041573089
6,2.5935266837431104,2.3851865206302767,2.084605397021785,2.465051173063578,2.557018044235459,2.508858701076039,2.4580433912184807,2.3458184159105073,2.733026900502545,2.2039283925064126
7,2.6911911861176856,2.3302960848665366,2.3287783267326265,2.2833377887535886,2.364622080816164,2.3221391840274084,2.5295486521417554,2.3332205610450716,2.695459492576556,2.2146530070188906
8,2.4581761271522393,2.1795091736853953,2.2059975419796385,2.4754279432967214,2.2498426817486195,2.1567667256188128,2.265709567672462,2.254576215276953,2.6357822659870314,2.270629701079139
9,2.3788379165251454,2.041018597925179,2.157391295056151,2.1677406624240816,2.0617191751581925,2.499974508401947,2.01712103030172,2.2629240875509753,2.543597086328705,1.8728699524744767
10,2.341579783103272,2.0655699444488835,2.0762322224973575,2.2669765636504304,2.1343556930950207,2.7265180316510564,1.9057200161324803,1.895505839948808,2.274499534390971,1.810453658677015
11,2.4291121697527682,2.1102307862939376,2.0322765759316184,2.14267153433306,2.13330711041611,2.5008458161715197,1.9582637746686016,2.2859039486685795,1.8971469546417843,1.7168001042025678
12,2.3802242210238993,1.7583872816125163,2.1803560388433025,2.221434771281412,2.0338791186601313,2.271101872253159,1.90651927204837,2.0302562911437105,2.1830711469778454,1.748255585980491
13,2.2625821199698963,2.0720768530690865,2.044839356004413,2.1036025811878893,2.071878356095766,2.356632725983677,2.1630377948868658,2.0925987081106054,2.34981038912283,2.0728988097112384
14,2.3272661351747734,2.2726341021130954,2.0635494074586656,2.117512303048431,2.258202996374316,2.4451184304765006,2.182961810371372,2.344203427175941,2.5798179733795554,2.105292645151942
15,2.2032229883218415,2.241738004537675,2.0761662333371245,2.1444515274672487,2.268198087487935,2.2100515296820933,1.9843362459757548,2.2293259750236807,2.4262001568643754,1.9470321961295067
16,2.499716803163808,2.0640023005139727,2.1752310196060294,2.132626911209906,2.377132839636412,2.420087862969039,2.1564934967749485,2.4650233976083324,2.523752276870942,2.003439092918698
17,2.261884831063731,2.0764783763477994,2.1608301827549745,2.262329254155405,2.3818118472944683,2.4196875083354668,2.2805129635020007,2.6145119932658076,2.4472448012049766,1.776900235538024
18,2.5325606151910915,2.0554430548968305,2.2707074868657955,2.2703023265764606,2.254094930974313,2.5057327908632683,2.0725219090736835,2.4549979446054397,2.5086298282991804,1.9134319269157645
19,2.428198590408848,1.8935573897733742,2.5526247009589036,2.2158544054800013,2.515744667607051,2.3414235468725053,2.151663372611451,2.2714771871207207,2.3534678308612698,2.3513359432383933
20,2.610031328673168,2.153006751845346,2.3525272555645067,2.1156247877485796,2.463744965598409,2.3988834383364273,2.0150816521486976,2.3308271432873133,2.475529502119292,2.074124746712741
21,2.6658816518485735,2.055426460728724,2.5375261585552074,2.2981796982501885,2.497236283001045,2.2260386395562684,1.8195781888684701,2.3804125712134896,2.272217440780217,2.1300301055576294
22,2.6055890412177845,1.8349106343106725,2.5519160815378803,2.69205824989782,2.5876917676885616,2.408219903382995,1.9573811792493614,2.273021637434911,2.5875286423126465,1.9896801100750512
23,2.6125690797618946,2.2922859397248905,2.700839527369533,2.6158749993429113,2.2616479282696296,2.275832525729891,1.8781069189978121,2.12141498462121,2.5396968371519586,2.3551729166893782
24,2.8998822676287963,2.1744552760132074,2.574726367262569,2.5114178785081505,2.2423717939335126,2.253561249942732,1.926810717734053,2.2155061656073682,2.4578817213728,2.248102286919112
25,2.581025763252439,2.4092853593523467,2.8604708186872836,2.4666314400604588,2.2198422542365392,2.4827635470907676,1.9365703601163275,2.4034648136727155,2.70918000103752,2.3135127233933277
26,2.747969354597194,2.2189159520282944,2.846398621777098,2.188118726566381,2.3729267076605485,2.393492641955091,1.9440707843603418,2.3389608363043615,2.44174829011021,2.2720355884637558
27,2.345094729178741,2.2549252826339394,2.658337218795097,2.3779130232974595,2.282612306344916,2.5935645222923256,2.421292841060594,2.3798769076523234,2.4743559352487132,2.0673986823031045
28,2.6957357976583287,2.422771966573292,2.4091802431096485,2.604824443969508,2.2853211585269237,2.315756112902108,2.279853008006982,2.4403314910263427,2.394214119689636,2.12763185853414
29,2.3732418286828514,2.030983006741182,2.2779099773060043,2.3638274849429095,2.2281066148334796,2.438999233733609,2.297826991630429,2.372795987377134,2.0864919414308956,2.419908179021497
30,2.691784611584021,2.1481559229028093,2.488568382235062,2.1725737884779943,2.2906082739383007,2.6122466867751353,2.1491202793324753,2.3330748397599055,2.4436738567197245,2.2545389441827375
31,2.694487063320991,2.1651312373508524,2.1155240186733875,2.1546923084984333,2.4644452578905893,2.453836372252891,2.4549945882452073,2.4650958577149145,2.216295617838141,2.204767532485201
32,2.749682698500749,2.0953251664842725,2.580782113779512,2.4117708843817933,2.3611461320065947,2.283929032706716,2.4723749020581454,2.4256247427785236,2.3104240684604305,2.279232551677909
33,2.8307941399962457,2.143550881776955,2.6816070712964604,2.6055563178544583,2.3758941443860286,2.471031265411115,2.540239100601715,2.6407998548778675,2.3534138957574955,2.46663391873472
34,2.837334112109489,2.2223198544249296,2.678522642041442,2.4903960972326304,2.3880699058756876,2.5717393255265337,2.5596911466820824,2.4170018914028004,2.2224960915279763,2.491614060795234
35,2.636176982743994,2.4065591196578704,2.567055565703414,2.5575360282076813,2.4010660868893403,2.5846504719151686,2.516541323597192,2.696198281112146,2.624629505386083,2.388392493718678
36,2.9456283190767207,2.209575528887981,2.4343649180603917,2.481590218098026,2.3951824924275074,2.7037619079967667,2.2175193990004622,2.451349055918995,2.653150930182779,2.469195673956907
37,2.7832955576270937,2.4350940042692737,2.3535287843744297,2.55302220147639,2.3697122061148264,2.678849011683547,2.0018766071282763,2.375563381342976,2.7527618954458357,2.552594276025135
38,2.7264710668217913,2.4612317652230096,2.4988179079046144,2.529749692444707,2.7308354680020726,2.733818519740546,2.122804471757248,2.507196721033682,2.4590800743161614,2.498296603754787
39,2.8562101147468715,2.43376566970688,2.5689335034055345,2.3706983608812773,2.7442244290182076,2.6737853655311783,1.8909436206516772,2.393663884480332,2.647426860195406,2.463165905091137
40,2.7042084944027227,2.3280465031084114,2.5522797516656848,2.45760714969476,2.7405376518825815,2.9159586911007924,2.1235383000891606,2.7365499660056685,2.3513879859093922,2.6905804046588493
41,2.6908871606119877,2.4484862292280622,2.4272457464759007,2.1901199658125416,2.7363809359934312,2.8408716691250495,2.3910573091832,2.7181726703357976,2.533564470395153,2.948025795721712
42,2.937310875547273,2.5111919341704603,2.3910953688068357,2.3286199146046656,2.9342775374942445,2.6802240013346883,2.475149953698109,2.7664580554670937,2.5403842729497232,2.4256364252993867
43,2.9071611024225827,2.3605099792086044,2.4905274746589363,2.558870612114818,2.7886219379153365,2.419399750312785,2.516901056124348,2.5611033781082915,2.512465104313851,2.405147576556418
44,2.71121288210065,2.4186464856445786,2.2637763685860586,2.66699348315766,2.742421082516862,2.792013484762042,2.3085897735332606,2.5002897894257945,2.602271222740556,2.229186147673488
45,2.847021086414041,2.3036564657944174,2.499718456918713,2.818415274057757,2.803837758618954,2.610320557378925,2.532548656158376,2.601274312013617,2.7598898816808006,2.338594096458403
46,2.8215821222562947,2.322331648682394,2.473093314081721,2.7495644372556587,2.7362604850092076,2.7892979938606928,2.537430701949255,2.5111923032065127,2.8081854073899963,2.518553572991304
47,2.723444223079048,2.4064784354426383,2.798379164626146,2.6640761952371133,2.9283358438872136,2.8787977581445574,2.5636462599137113,2.5430929120081265,2.5608743998885695,2.4898854633212606
48,2.9194812373508015,2.4322889345977186,2.955116138052832,2.649975511589875,2.8740803862761775,2.8743915190996714,2.518630360824657,2.5745721442934797,2.7800878071248865,2.5678508606823147
49,2.8147481183054577,2.7005194960198673,2.6657692169268157,2.923960068118296,2.715445794936839,2.886796099820141,2.5047995765866684,2.711726874993277,2.8808434992334053,2.2914960018538757
50,2.635446238157146,2.6310133791052,2.6002546546908816,2.8540494741607914,2.8273417458259305,3.0037236634088376,2.3374576185744904,2.868372764149223,3.040033416779236,2.324612336309059
