iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1735.6030411412203,-1950.7210981574024,-1570.032128821996,-1642.5849102013706,-1332.3978920993427,-1908.804750042304,-1884.9651097415185,-1539.32327227747,-1625.6544972114148,-1898.3535675454318
1,-619.5920523101695,-809.1158556434225,-549.0791180132686,-508.5581270391371,-516.7391541180467,-726.3948049115477,-639.7664204548828,-449.5441777168265,-636.4017055024267,-608.3795467793847
2,-357.67866461757853,-409.2441582299057,-371.0984959169552,-266.8915132223412,-441.77765419412805,-347.61013895124904,-307.12007358423125,-288.14658684912786,-263.15549276395393,-331.270950921298
3,-301.58797751215207,-335.77310353080884,-346.4015257433437,-225.8216592447074,-397.78148662718934,-256.5336139825032,-247.87206209709973,-282.31385438937633,-258.9037334329721,-282.54435170700486
4,-275.85578921570703,-283.4514158624565,-337.34058007970725,-219.53134612064218,-348.8970413822719,-256.5336139825032,-243.91230153159717,-249.5349971351173,-213.00513716280128,-282.54435170700486
5,-257.72267010501133,-281.6511132988493,-287.8782087399781,-197.4111259332763,-341.06557889396043,-256.5336139825032,-240.07678765419885,-243.38798059609667,-187.37293753606474,-275.2534745744021
6,-242.45633708371153,-281.6511132988493,-270.7553106081986,-195.66290545112787,-312.8930284987206,-253.02659962756474,-236.39510480170543,-243.38532358706237,-181.50583294464505,-275.2534745744021
7,-242.45633708371153,-281.6511132988493,-270.7553106081986,-192.69386474847738,-294.53102066399174,-187.1203268440485,-226.87661587579422,-235.30714598334572,-171.4264526782514,-244.31302209242983
8,-225.3838695174327,-281.6511132988493,-270.7553106081986,-192.13194417652198,-283.88147883274917,-179.87700034709954,-226.87661587579422,-228.60733541542953,-171.4264526782514,-241.13712109228328
9,-225.3838695174327,-263.8164535149533,-267.92566658741424,-191.61392370865133,-272.8179581500011,-168.2146737995863,-214.72553011455113,-215.2907659690767,-171.4264526782514,-225.0733151944077
10,-225.3838695174327,-258.745126792976,-254.52583869879797,-177.5988221039048,-269.73202090582475,-150.61835118055916,-210.33915462218275,-207.87472374070785,-150.43842718961162,-225.0733151944077
11,-206.26316043449458,-258.745126792976,-250.94154472759476,-174.70432545632616,-252.02906508403476,-150.61835118055916,-208.73020238600367,-207.87472374070785,-143.32480692976077,-218.19912592444962
12,-198.71188797230246,-251.2177791723267,-225.60710397602082,-174.70432545632616,-248.83067329569525,-150.61835118055916,-200.7240573548175,-207.27555196235147,-143.32480692976077,-209.864749492613
13,-198.71188797230246,-250.4358709861819,-222.89518693855612,-172.36809042942815,-248.83067329569525,-150.61835118055916,-200.7240573548175,-207.27555196235147,-138.90767916515466,-209.864749492613
14,-196.73116785577048,-250.4358709861819,-222.89518693855612,-162.04260390668128,-243.85857643688075,-147.9834719494978,-192.57242860352818,-197.37181208241748,-138.90767916515466,-209.864749492613
15,-196.73116785577048,-250.4358709861819,-219.91633586131218,-155.5470793747242,-238.1037836177981,-147.9834719494978,-186.9831715938999,-197.37181208241748,-138.90767916515466,-209.864749492613
16,-196.73116785577048,-242.67949161776784,-180.2458090343343,-155.5470793747242,-238.1037836177981,-147.9834719494978,-186.9831715938999,-197.37181208241748,-138.90767916515466,-206.71493983531496
17,-196.73116785577048,-242.67949161776784,-170.99289979118237,-155.5470793747242,-230.65246840811594,-147.9834719494978,-186.9831715938999,-195.9433876830232,-132.37536231560307,-206.71493983531496
18,-196.73116785577048,-238.77564530306444,-152.3461591067125,-148.89199963959845,-230.65246840811594,-132.154238931142,-186.9831715938999,-190.2484786753133,-132.37536231560307,-194.48735027839814
19,-167.2394212145756,-238.77564530306444,-152.3461591067125,-148.89199963959845,-225.01141396513162,-129.22006285515482,-178.38702239264825,-176.00070524728181,-124.49353366861611,-194.48735027839814
20,-167.2394212145756,-234.63675598496593,-128.6477425933316,-148.89199963959845,-225.01141396513162,-129.22006285515482,-178.38702239264825,-176.00070524728181,-124.49353366861611,-175.30969864320008
21,-167.2394212145756,-211.5746479201468,-128.6477425933316,-138.84495578074365,-211.14600315349537,-129.22006285515482,-178.17354592711973,-176.00070524728181,-116.06566135124481,-175.30969864320008
22,-163.14708837442288,-197.65382120035508,-127.10775023273975,-138.48881408824587,-210.53541551995187,-129.22006285515482,-178.17354592711973,-162.1281162799164,-107.50728182626102,-175.30969864320008
23,-162.3545124233815,-197.65382120035508,-125.53724398394935,-134.9197159421706,-210.53541551995187,-129.22006285515482,-178.17354592711973,-159.70662720777796,-107.44378727262377,-159.64997276579544
24,-141.2860633163977,-197.65382120035508,-125.53724398394935,-134.9197159421706,-210.53541551995187,-129.22006285515482,-178.17354592711973,-155.96835173342177,-104.88397709623382,-158.0280761878866
25,-141.2860633163977,-193.07424741040262,-125.53724398394935,-134.9197159421706,-210.2284348422878,-129.22006285515482,-172.56109283487376,-150.06663501608432,-104.88397709623382,-151.95144905241244
26,-135.11240319660823,-187.35090735757672,-123.7859413611185,-127.12085878236418,-210.2284348422878,-127.25356724074561,-172.56109283487376,-150.06663501608432,-104.88397709623382,-151.95144905241244
27,-128.9269502067322,-187.35090735757672,-122.99366984418941,-127.12085878236418,-204.9271511166125,-123.06900597012802,-172.2494356389072,-150.06663501608432,-97.50565257611183,-151.95144905241244
28,-128.9269502067322,-182.2957022980311,-122.82344117094613,-125.49928863242394,-200.50774104080355,-123.06900597012802,-160.99613540224107,-149.942270438295,-95.49945611342292,-151.95144905241244
