iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-27760.676400825774,-17575.626512295465,-25115.153906729345,-26249.45562592893,-16882.929163672405,-20228.3054641681,-26428.541312141675,-30352.302542732352,-17040.94833301151,-21869.24441143859
1,-629.9444968298593,-820.4876703035693,-562.0406735872,-523.9439254987713,-571.2588182759707,-743.8849058342059,-644.3615920269658,-449.5441777168265,-636.4017055024267,-608.3795467793847
2,-509.5619254845609,-571.931532516657,-650.5456993121128,-404.25592200745973,-663.1430873229012,-614.4788285005112,-501.654103539477,-617.7718280515173,-505.90396048547854,-509.2312457521566
3,-678.2874577211171,-769.4770867352066,-817.705889233608,-533.6329531204148,-841.7882913555436,-515.3175236635399,-466.01090803391537,-898.5798563675066,-564.51104819144,-564.0449438747493
4,-797.7297497049431,-708.9674913507333,-863.438902226579,-732.0057895298074,-983.4926153750005,-852.0860828926682,-747.3051020087195,-745.497115143984,-739.5541354683405,-812.8933407361284
5,-765.5668980828493,-913.7312167231463,-880.325402196001,-597.0337600757016,-857.785854343733,-633.8045266997735,-762.5150117515602,-709.537347790829,-730.7903051073811,-603.9910196641935
6,-1222.6757060532698,-1030.7212681517963,-1010.8894077197522,-716.9076653092865,-1270.0386738012187,-704.4795651186655,-858.9576783498546,-741.0713013628346,-653.4546306885385,-1000.3983675762726
7,-812.3006245104832,-1233.3591751496483,-1181.9052497963726,-996.5349978026918,-1070.2398418373496,-735.4488999581715,-829.5921949056545,-874.4035082203093,-962.5667391949289,-787.1336098874872
8,-1144.1393398575153,-1247.5071757242285,-1009.4667553995264,-783.5918485090283,-889.4861026597257,-795.8802889914874,-897.1156892661883,-1160.75792023489,-840.7852071639611,-998.4505023724976
9,-965.5944605199849,-1051.4961671240644,-1115.613043100327,-998.9946681975624,-881.3499362481978,-780.3529762236807,-1086.7214113686782,-910.6908296426166,-931.8681103437519,-919.2675013867322
10,-1220.6924921024574,-1373.4923072444067,-1152.9512424466438,-908.2522613235476,-1280.072376647186,-957.4795551578115,-867.7258026491306,-1281.2211878849243,-626.4190319073463,-1200.059546845418
11,-924.957590790215,-1173.9920248594449,-1453.0068445807165,-1245.3058490400927,-984.6997926439353,-1111.9557711772131,-1276.3883765153782,-1432.7543130952438,-773.1257631568018,-968.6505225630062
12,-1309.7421913267053,-1315.40137828612,-1271.0480609095885,-1115.8918890267805,-838.0024457914176,-961.8897223509578,-1002.6561393713001,-958.7706499717807,-1330.5833562483617,-1014.7188999037916
13,-1046.8616849476282,-1690.606322906346,-1647.6085362951244,-1031.5725815447274,-1177.7698730558066,-1220.7436021063145,-1335.1768886005304,-1331.4793122975966,-979.2057769705118,-1448.5086082538846
14,-1090.2795047106956,-1209.599598635031,-1427.6489364936897,-1407.912939225864,-1256.9712825603237,-1331.4523665984339,-1200.0567434510642,-1129.2968581952146,-1477.516828694052,-1035.8540621358609
15,-2007.3778014866969,-1786.7800478530796,-1166.580859886867,-772.9733264834992,-1204.8509234893666,-937.4688921839229,-891.3838334938171,-1381.951016140339,-1410.4161798746122,-1252.0334891127677
16,-1025.6417227600152,-1383.71231828171,-1127.1675547463005,-1027.5933712316519,-1414.1037478833323,-876.9022025185194,-902.9407645661946,-1451.3465811125332,-1834.4974728586812,-1245.7733621869888
17,-950.8241190043834,-1508.51854626855,-1670.2102257291408,-1013.267478674936,-1113.2060786677014,-1540.408163569951,-1481.2481362588094,-1538.0663480671492,-1210.547256085115,-1722.2810452545964
18,-1210.6996776514954,-1459.6934611723796,-1296.0234341649038,-1650.8661256728165,-1405.5903610373568,-1737.660307618291,-1524.7156931259628,-1689.2601178478228,-1088.8509337900045,-1268.9785657307395
19,-1007.2462205170118,-1618.0460967680556,-1448.3989489631454,-1260.7012650637398,-1355.344174921529,-1046.190658304998,-1018.2231720363201,-1158.1759903716052,-952.660857984003,-1156.4827847717565
20,-1286.5183732080156,-2453.7637331797696,-1461.9592562286716,-1149.28259852638,-1724.1693521221332,-1309.6339525890912,-1488.5741710921982,-1505.6978854242652,-1326.1896842371057,-1328.7087092400748
21,-1416.82263298563,-1394.7266490231664,-1745.6511472626144,-1688.3047706209052,-1383.863882446452,-1307.137441327005,-2094.0734259648398,-1780.0410471282048,-1244.7274915210746,-2438.5128673440167
22,-1561.9755943065259,-2777.9193007047006,-2089.567943167513,-1599.4420034805814,-1435.8413771632581,-1242.4507490540907,-1908.7514103542944,-1236.4233378777847,-1663.7447048706777,-1587.1258566664244
