iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1735.6030411412203,-1950.7210981574024,-1570.032128821996,-1642.5849102013706,-1332.3978920993427,-1908.804750042304,-1884.9651097415185,-1539.32327227747,-1625.6544972114148,-1898.3535675454318
1,-1682.6326866899653,-1872.5662832517023,-1525.7999470106508,-1625.6572372730902,-1300.7281139580027,-1859.0061321262833,-1870.4462097347405,-1442.7575343827848,-1625.6544972114148,-1898.3535675454318
2,-1682.6326866899653,-1872.5662832517023,-1507.8108956568537,-1625.6572372730902,-1300.7281139580027,-1816.0814431255303,-1870.4462097347405,-1442.7575343827848,-1573.2564560613314,-1846.7640764765024
3,-1621.8569221415414,-1872.5662832517023,-1507.8108956568537,-1580.516234193663,-1265.3310735198065,-1709.7510356261532,-1791.7864693185593,-1442.7575343827848,-1573.2564560613314,-1846.7640764765024
4,-1621.8569221415414,-1872.5662832517023,-1474.6570668676816,-1549.659252376895,-1265.3310735198065,-1709.7510356261532,-1668.1629155095252,-1442.7575343827848,-1531.560505465492,-1844.528954315373
5,-1621.8569221415414,-1798.3533956024,-1466.2286258259726,-1549.659252376895,-1249.8142292057173,-1709.7510356261532,-1530.7754627110057,-1442.7575343827848,-1531.560505465492,-1844.528954315373
6,-1513.7306175390577,-1625.5759510806756,-1463.4989693978177,-1459.0667614488384,-1249.8142292057173,-1673.8152233641295,-1374.2678089335802,-1442.7575343827848,-1512.9563377649636,-1844.528954315373
7,-1513.7306175390577,-1600.7387596111485,-1463.4989693978177,-1334.2832739020173,-1249.8142292057173,-1673.8152233641295,-1333.9671997277096,-1442.7575343827848,-1499.6166318863693,-1788.9385989806376
8,-1492.492747080943,-1600.7387596111485,-1341.7725612376107,-1334.2832739020173,-1249.8142292057173,-1673.8152233641295,-1333.9671997277096,-1397.2184360940196,-1499.6166318863693,-1737.921820153687
9,-1492.492747080943,-1593.841905979205,-1341.7725612376107,-1334.2832739020173,-1143.9263465124022,-1673.8152233641295,-1333.9671997277096,-1397.2184360940196,-1499.6166318863693,-1737.921820153687
10,-1459.4164596880282,-1493.1950205975036,-1339.947453475521,-1296.313898030176,-1143.9263465124022,-1673.8152233641295,-1333.9671997277096,-1380.913975262693,-1494.304844968532,-1737.921820153687
11,-1404.6817694769156,-1420.4811711658683,-1339.947453475521,-1287.0092796138406,-1143.9263465124022,-1673.8152233641295,-1305.6231505425408,-1304.9645862577931,-1464.4639980317684,-1735.0324367149346
12,-1404.6817694769156,-1420.4811711658683,-1321.3723906487915,-1266.116659859223,-1126.9394188796334,-1673.8152233641295,-1281.9948821850362,-1283.7235435027362,-1464.4639980317684,-1695.1763309650219
13,-1285.5128001817477,-1332.4894850414653,-1321.3723906487915,-1236.8832248737954,-1126.9394188796334,-1655.512677050625,-1281.9948821850362,-1280.7471297115019,-1356.4061597844025,-1655.5686769873687
14,-1283.3595608016512,-1332.4894850414653,-1282.347510933456,-1236.8832248737954,-1126.9394188796334,-1655.512677050625,-1053.3259857698731,-1280.7471297115019,-1299.6252820626569,-1624.0073783987457
15,-1283.3595608016512,-1270.6612308621195,-1223.326790755967,-1230.7669178033648,-1126.9394188796334,-1655.512677050625,-1025.0521968143319,-1097.9096167150542,-1299.6252820626569,-1422.416132488696
16,-1281.3469040480131,-1270.6612308621195,-1223.326790755967,-1230.7669178033648,-1126.9394188796334,-1646.5566054084798,-1025.0521968143319,-1097.9096167150542,-1290.3689924932482,-1359.1158735606384
17,-1196.0915037377263,-1203.955562050443,-1223.326790755967,-1230.7669178033648,-1107.9759746728023,-1593.3947591823362,-1025.0521968143319,-1097.9096167150542,-1249.4174828227663,-1359.1158735606384
18,-1176.524696475875,-1203.955562050443,-1223.326790755967,-1211.5189184766425,-1107.9759746728023,-1552.8294325948762,-984.949067094693,-1097.9096167150542,-1077.6236398593105,-1359.1158735606384
19,-1176.524696475875,-1154.2264816148027,-1223.326790755967,-1176.296344489765,-1107.9759746728023,-1354.4245046824335,-984.949067094693,-936.4809490937076,-1077.6236398593105,-1359.1158735606384
20,-1176.524696475875,-1121.5138402628968,-1223.326790755967,-1176.296344489765,-1081.830089783652,-1341.401918108476,-984.949067094693,-909.5555842169413,-1077.6236398593105,-1359.1158735606384
21,-1098.3828064180902,-1074.0911041005527,-1191.5624708985542,-1139.943590546237,-1081.830089783652,-1341.401918108476,-984.949067094693,-909.5555842169413,-1077.6236398593105,-1359.1158735606384
22,-1098.3828064180902,-1061.7735304201524,-1191.5624708985542,-1139.943590546237,-1081.830089783652,-1341.401918108476,-942.0600564517991,-909.5555842169413,-1043.2231199615553,-1254.2329054897143
23,-1098.3828064180902,-1061.7735304201524,-1191.5624708985542,-1139.943590546237,-1043.3033201253616,-1231.1766107717335,-942.0600564517991,-851.5048997732065,-1043.2231199615553,-1248.2814319901065
24,-1098.3828064180902,-1061.7735304201524,-1186.2951033325094,-1063.83424597466,-1043.3033201253616,-1231.1766107717335,-883.3663239747365,-831.538269400332,-1015.2219251757435,-1248.2814319901065
25,-1098.3828064180902,-1061.7735304201524,-1159.3465790356925,-1063.83424597466,-1027.4279379647833,-1231.1766107717335,-883.3663239747365,-831.538269400332,-990.0619446418374,-1248.2814319901065
26,-1098.3828064180902,-1061.7735304201524,-1159.3465790356925,-1042.626894949391,-1027.4279379647833,-1221.5234955888616,-883.3663239747365,-831.538269400332,-990.0619446418374,-1248.2814319901065
