iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-27760.676400825774,-17575.626512295465,-25115.153906729345,-26249.45562592893,-16882.929163672405,-20228.3054641681,-26428.541312141675,-30352.302542732352,-17040.94833301151,-21869.24441143859
1,-20214.50434636126,-18446.148174554226,-15601.745924660769,-21324.629700857873,-26015.262072602818,-13617.621660306864,-13992.581005449436,-18430.647370508366,-21696.433239115555,-16356.163126765112
2,-41642.52589714716,-24587.314487367687,-17493.298179633206,-20810.943590953502,-15756.614655667738,-27074.887725937544,-16182.422994783448,-16216.124599989154,-19581.239950408177,-22431.564603555587
3,-11494.316886403563,-22802.33832117859,-19894.186881795456,-12028.475083991249,-12385.816608710913,-12350.517096873493,-14912.435962153824,-19186.10106875014,-17506.191204554212,-15192.976003177095
4,-13093.358568409034,-11134.13408601973,-18375.10821614252,-19406.015333106043,-14261.528384856661,-14259.941496188732,-14756.643616697673,-17406.308169827564,-17877.121868170263,-15752.900863766394
5,-18405.951872708625,-23983.459139765324,-18690.959005264005,-16793.288824291216,-23649.12516169573,-17349.75259867394,-17157.027322250608,-23369.038313520916,-13316.715678241035,-19703.69978655225
6,-16715.95047911362,-14239.058546752054,-10318.607407995409,-10529.131769124642,-23442.658333738524,-10867.20209950659,-13982.162435180835,-17743.435433010494,-20724.39626839357,-20859.312696005916
7,-15972.387431450918,-12902.995193668718,-14579.623074017183,-15998.635433529362,-15950.967122902071,-13996.708808642401,-24408.695803325834,-20790.42540997365,-17230.21247115364,-24761.381595854575
8,-13480.572867992003,-21117.375137870276,-18525.72881714185,-17820.970909057323,-25364.470797612445,-23866.87517975668,-13314.962563404062,-15899.424061072414,-10203.784311385589,-13106.676868779407
9,-16427.26734570617,-25261.40691911772,-23289.04886023854,-15710.96450524901,-16828.30744961055,-27684.086161343897,-17303.27977391642,-12393.179589602521,-11317.002623235836,-11970.998272641158
10,-23445.09217009032,-10753.933563186833,-10530.803258449629,-17172.54469294997,-24592.02558285314,-25386.44310441865,-9820.141166739038,-15065.52856748501,-21057.490975606925,-17441.153392742264
