iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1735.6030411412203,-1950.7210981574024,-1570.032128821996,-1642.5849102013706,-1332.3978920993427,-1908.804750042304,-1884.9651097415185,-1539.32327227747,-1625.6544972114148,-1898.3535675454318
1,-430.42637648209563,-593.4960802237416,-508.00649133534233,-389.85398665201774,-467.7747711902339,-397.79519070663815,-403.1084850988023,-453.6818300276905,-486.1330452750914,-484.51457079238014
2,-289.79994228020666,-432.2038987696912,-388.4555800512554,-284.8674857561657,-415.8561263919231,-359.5560411729883,-283.0148803330508,-362.998887681205,-323.1846644482385,-290.46603245354834
3,-264.16369648471357,-431.5303697204839,-325.76012235265205,-273.22854430598807,-396.3438914868847,-271.5680482155012,-272.5589896952659,-287.9798670455736,-310.36824025556587,-290.46603245354834
4,-264.16369648471357,-431.5303697204839,-302.56815397755065,-268.771884571996,-355.2153499015485,-269.9898991981833,-272.5589896952659,-287.9798670455736,-274.8069947753703,-267.50827531640516
5,-264.16369648471357,-431.5303697204839,-300.03792055219117,-230.3509617734287,-339.39375249233865,-264.9150255280933,-267.7706132011059,-276.5248656427658,-274.8069947753703,-267.50827531640516
6,-264.16369648471357,-402.38492634106416,-300.03792055219117,-230.3509617734287,-320.071948005241,-257.6154309250196,-265.0961087871741,-265.0400350706591,-262.4184917676044,-267.50827531640516
7,-264.16369648471357,-402.38492634106416,-279.7760257843016,-230.3509617734287,-320.071948005241,-257.6154309250196,-262.3608107784544,-257.7130930282085,-262.4184917676044,-252.2108273483461
8,-264.16369648471357,-383.18687111941665,-279.7760257843016,-230.3509617734287,-310.2886308453965,-237.95297043672508,-262.3608107784544,-257.7130930282085,-253.4446971322331,-252.2108273483461
9,-264.16369648471357,-383.18687111941665,-279.7760257843016,-230.3509617734287,-310.2886308453965,-237.95297043672508,-262.3608107784544,-257.7130930282085,-235.38951905409698,-236.96174244943566
10,-264.16369648471357,-383.18687111941665,-279.7760257843016,-224.258359861643,-308.7031824163844,-237.95297043672508,-261.2051482383913,-248.08614495352265,-235.34659206554343,-231.88469006177152
11,-264.16369648471357,-383.18687111941665,-279.7760257843016,-224.258359861643,-308.7031824163844,-218.14623467251295,-250.3676996827299,-248.08614495352265,-235.34659206554343,-215.81670014378665
12,-262.80363308327924,-380.4223113907172,-278.5616848618722,-224.258359861643,-308.7031824163844,-218.14623467251295,-248.1530966739902,-242.78341718959987,-235.34659206554343,-215.81670014378665
13,-220.8123265822695,-338.5030158700782,-278.5616848618722,-224.258359861643,-308.7031824163844,-218.14623467251295,-248.1530966739902,-242.78341718959987,-235.34659206554343,-215.81670014378665
14,-220.8123265822695,-338.5030158700782,-270.9042750481789,-224.258359861643,-306.93962864261624,-218.14623467251295,-235.34124435939452,-242.78341718959987,-235.34659206554343,-215.81670014378665
15,-203.71971989579103,-326.5954324741493,-270.9042750481789,-220.62452971565625,-306.93962864261624,-203.43384670702847,-233.10046971486793,-242.78341718959987,-235.34659206554343,-215.81670014378665
16,-203.71971989579103,-313.4865263119302,-270.9042750481789,-220.62452971565625,-302.8851899930583,-202.61400429017323,-233.10046971486793,-242.78341718959987,-226.37348053796174,-209.50790397026918
17,-203.71971989579103,-313.4865263119302,-270.9042750481789,-220.62452971565625,-302.8851899930583,-202.61400429017323,-233.10046971486793,-242.78341718959987,-226.37348053796174,-209.50790397026918
