iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1586.8570355554132,-2180.1248466667666,-1673.3125657274627,-1494.7209624001744,-1485.2396128923165,-1785.5389720613182,-1757.3963401493957,-1576.5715956402246,-1785.588218623839,-1690.3762901986677
1,-438.17364746732665,-1079.6613924493445,-624.4176958400276,-612.3658596791965,-845.4773787955451,-622.946601909048,-720.6204099691245,-424.8592958644249,-700.2357917213309,-772.7450408838986
2,-371.59117486096557,-825.4081420480388,-450.78206015280955,-375.1278249639426,-682.7926045212278,-539.3988938043478,-551.9072706750674,-350.73334143654597,-636.3346351484091,-574.4978470282379
3,-355.41136262436544,-677.8676081640574,-394.692331105992,-312.4044737161961,-507.1832122934364,-403.4351356232747,-428.2553749318894,-329.5827224282379,-470.0117199039621,-366.2276515215457
4,-314.80835395253746,-664.5731572825373,-338.1950540601216,-278.4750505753469,-481.5178017339445,-366.5547673405857,-380.351066114043,-314.2561529562605,-361.9615307417676,-329.68678893521366
5,-295.71708532389175,-603.151674416118,-331.12066075362213,-256.95364998645437,-435.13713081699154,-356.7260919637416,-366.3520742370477,-300.5582805594918,-353.81384200671073,-277.82735300833326
6,-283.96358237650816,-519.0644519194395,-301.39407392707966,-228.9435659497276,-409.152299445754,-329.87979816237123,-350.37547193396745,-278.3841659181203,-344.1318945618874,-262.0889516114071
7,-280.9913368011205,-469.72369866910674,-301.39407392707966,-222.22238267365185,-381.3671322114269,-276.2369057287412,-340.6109894910029,-275.68092910862833,-344.1318945618874,-257.75180025773136
8,-258.8794784139327,-449.7091846260553,-287.8742946362962,-213.98604665392634,-338.6772120040703,-276.2369057287412,-302.0979143662131,-236.12345286166982,-337.3722071376092,-235.89041266573315
9,-253.98810522460658,-438.84383366541306,-273.09350271338724,-213.98604665392634,-333.22343555646256,-272.71944057026553,-281.14622334499165,-235.32394610288551,-329.3434408073759,-225.24746075593933
10,-253.98810522460658,-410.91963935516003,-261.70125410352676,-213.98604665392634,-296.39376367353907,-272.71944057026553,-281.14622334499165,-232.8250056847583,-275.1043701314338,-207.10301234177516
11,-249.1537142658776,-410.91963935516003,-261.70125410352676,-213.98604665392634,-281.0875069323007,-253.0745223027841,-278.0101863612928,-232.8250056847583,-275.1043701314338,-197.79533000938756
12,-230.16362777109168,-403.805738107204,-252.87567088027373,-206.18617397808254,-281.0875069323007,-253.0745223027841,-263.5327418199146,-232.8250056847583,-275.1043701314338,-197.79533000938756
13,-225.27123658230164,-341.0531791882888,-232.1454535733959,-206.18617397808254,-256.13664196303995,-239.7967462661056,-255.34483586421936,-232.8250056847583,-200.56520629748985,-196.9107742051687
14,-225.27123658230164,-341.0531791882888,-232.1454535733959,-197.01164413127773,-256.13664196303995,-239.7967462661056,-237.34115985800915,-232.8250056847583,-195.79131334881333,-181.70073697808118
15,-223.35497187646732,-341.0531791882888,-232.07361914689398,-197.01164413127773,-239.23626519739912,-239.7967462661056,-225.42591584712358,-226.78225070461968,-189.47653810596785,-181.70073697808118
16,-208.77933576839916,-283.13692768788496,-222.21680685123476,-197.01164413127773,-222.8665853488985,-239.7967462661056,-225.42591584712358,-224.01525598327234,-178.05771181360143,-181.70073697808118
17,-201.97480962431467,-283.13692768788496,-205.41302607453179,-197.01164413127773,-215.9747116899896,-239.7967462661056,-199.81590913327432,-223.72344586575343,-171.67261853048473,-181.70073697808118
18,-201.97480962431467,-241.09543378398337,-205.41302607453179,-183.38477610165216,-212.67974199730799,-232.82780984038374,-199.81590913327432,-217.3699561206399,-171.49006595797397,-180.51851913005703
19,-201.97480962431467,-235.20621262494228,-201.15197482748863,-183.38477610165216,-212.67974199730799,-215.99258498092786,-199.81590913327432,-202.82283218874113,-171.49006595797397,-180.51851913005703
20,-201.97480962431467,-235.20621262494228,-201.15197482748863,-183.38477610165216,-212.67974199730799,-215.99258498092786,-190.0261925437299,-183.44393074109018,-166.4190775283462,-180.51851913005703
21,-199.2899999401346,-209.96632306278792,-200.27949648527158,-177.78938373097964,-202.26054195823002,-215.99258498092786,-190.0261925437299,-172.1991848284785,-147.04456349836113,-180.51851913005703
22,-199.09119639856607,-209.96632306278792,-182.4400952269458,-177.78938373097964,-187.55819348130905,-215.99258498092786,-175.3567792849098,-172.1991848284785,-139.72943280617005,-177.76545293103845
23,-199.09119639856607,-209.96632306278792,-153.88287941119216,-177.78938373097964,-169.0048880997344,-215.99258498092786,-169.55848215887517,-172.1991848284785,-136.82143900064017,-177.76545293103845
