iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-27487.96716286703,-18136.9660213609,-25428.476304504766,-25370.63554023226,-15478.388435550216,-19343.273125754182,-30387.151829921993,-31706.32718813193,-17805.141988376552,-23535.861270367943
1,-460.8907263092582,-1086.354641731388,-624.4176958400276,-640.1163545665215,-933.614365403923,-625.9402543520281,-740.9427054447574,-424.8592958644249,-723.4085173885217,-833.3618891306077
2,-549.8616507741181,-966.0806942152885,-758.1432354415,-662.3386200414719,-827.8706472859942,-964.339207704922,-803.1526078350533,-636.325139068722,-916.5397787335168,-1029.8318656909355
3,-764.0857354171801,-1010.3554874261255,-910.5243379043884,-484.78408252159534,-760.0821387063222,-606.2956903588945,-702.0532410609248,-949.9821149615062,-780.214512605756,-733.7618643522724
4,-733.6886017573818,-1566.1692806065819,-746.5241221263166,-680.9287917781783,-938.7461176270899,-763.8286494798926,-792.2989534840419,-1328.147566380594,-547.8403878241071,-852.1784117017257
5,-1062.3701397260993,-1310.0658789210602,-1018.8946951279443,-897.4493989747971,-854.7994968117803,-793.2811563947648,-756.7916191954264,-652.9669668870368,-1020.7771596579873,-850.437402301181
6,-969.4261087548741,-1434.6676103186496,-750.0512524956227,-979.9381627632198,-805.9325686207295,-860.1237758690656,-914.5794708875605,-933.2461346601233,-895.4296197852841,-1149.4848278408529
7,-1193.019272604642,-1006.2564908554186,-1225.084608613623,-1059.8416726664418,-1470.888182392644,-750.4019713826672,-1339.0195992775784,-942.1021274133086,-1085.4534867292448,-901.7786620675924
8,-870.0693098236316,-1248.7894415506748,-1123.2483636698826,-1023.6334378518837,-1197.9452496555723,-1150.8283026422926,-1057.7654853233346,-859.8471978566477,-1106.869893380373,-974.1748865556833
9,-959.4246130143904,-1120.8907996802004,-839.5993192773312,-832.6853806179101,-1050.4528848020045,-1044.308225955951,-1084.5929325412214,-893.6995140144365,-1311.617224258663,-1147.0730001368443
10,-1501.9263114852333,-1457.0355621211343,-1617.8895156473304,-1014.8174675116616,-915.6562077179827,-1266.2108262748293,-1416.946282095157,-1219.9443178992353,-801.4826333427657,-1219.4487540231426
11,-1348.8531679003831,-1951.3427520337236,-1471.2791932019318,-1063.1224811940024,-1274.5163203789384,-1554.8005765601226,-1126.19707896303,-1042.5131775309285,-1968.2754684336555,-878.0603627505641
12,-1885.338771434392,-1773.6810779411098,-1382.6557904532197,-1536.5965260348225,-1334.3921661881702,-1089.6681793429202,-1119.5473994664549,-1230.2464131027245,-994.3930961283598,-1218.2190543163201
13,-1320.839076628703,-1174.9150553930804,-991.254782822866,-1326.965974818212,-1382.270562438892,-1174.0291533464786,-1258.1975923996797,-1821.7007374245318,-1200.991937512683,-1211.3786118996454
14,-1377.2877040853023,-1075.0570588857595,-1400.4767794380161,-1146.1077429039947,-1537.8221533538515,-1454.7366564169997,-1527.1886548087764,-1626.141739579842,-1329.6216498214242,-1603.4062043098447
15,-1538.213935810983,-1567.9118421978417,-1341.3039545677464,-977.2147105458266,-1513.9480813966711,-1611.8532202700874,-1168.2493268685907,-1395.4100949487167,-737.291658080361,-1477.9422557043474
16,-905.6663515004944,-1246.909848148192,-1442.5064408893331,-1316.8046499508885,-1053.566713826394,-1694.0353457879837,-2141.430641936273,-1605.2899267158436,-1118.835965134856,-1266.588055501586
17,-963.8221530797109,-1553.478857580094,-1473.7364520102944,-1935.1563027759523,-1235.410100442044,-2487.2387098956506,-995.324906286831,-1033.0116203691236,-1548.279976000561,-1443.1325715187888
18,-1540.665840059854,-1375.2724503676175,-1060.4088139624555,-1324.8611199599413,-972.2064511787606,-1448.4268284506356,-1011.6309169645903,-1042.1961173039745,-1523.2014236560667,-1455.385154749547
19,-1405.0813096793768,-1475.8116310790933,-1355.9209424861078,-1681.5673628388793,-1342.201452147803,-1385.8337322168095,-1541.7940949375745,-1222.5003453423728,-1055.9523043978515,-1696.6073817858094
20,-1863.1615571301265,-1871.1485573238244,-1464.382867927835,-1548.9363245850525,-1486.926376494904,-1962.211032122761,-1217.4127987277961,-1501.6572763899417,-1732.2932364334806,-1178.3048945142755
21,-1235.6191307250326,-1126.483003207979,-1701.537720078419,-1016.4171666810599,-1249.4838027139372,-1917.6240516769226,-1123.0868472903126,-1387.4787750835217,-1128.833763708445,-1576.016940990367
22,-1808.2293807605981,-2253.928309455217,-1577.483753787123,-1501.5534600271967,-1162.1619782822752,-1363.9709366127363,-1245.2716305676304,-1397.931674902987,-1658.8968690974357,-1289.8957643983356
23,-2095.384648869852,-2148.8915901428336,-1472.692504043642,-1703.5976727013667,-1861.7894929094252,-1824.746532568134,-2028.559327476855,-1368.704686083085,-1140.6649302533733,-1865.7264914452396
24,-1704.642026629071,-1495.5968791919172,-2206.9667745252837,-1913.1544413063707,-1430.3485982329628,-1541.0470008623934,-1820.5401983689362,-1781.5880586930168,-1616.9843786446793,-1268.083091194533
25,-1489.9554875876054,-2203.988998123971,-1758.7100569082027,-1432.2905404416642,-1493.8598860174138,-1670.2876819069552,-1118.4378240782623,-1550.8741047201638,-976.393011123921,-1085.4116860350732
26,-2186.583628752578,-1187.916158709993,-1828.26702540605,-1646.468556280866,-1432.4861302961392,-1386.354287474727,-1582.101417634979,-1522.619226386606,-965.3719289951903,-2020.8765292088322
27,-1391.390775491574,-2293.3315946518546,-1614.8693564777318,-864.454189055417,-1980.8334790108613,-1925.1346514753604,-1271.079158433447,-1277.931343561922,-1019.2536169163899,-1759.7717620219125
28,-1646.082254762404,-1509.4902685272837,-1300.5762659759168,-1031.9218915784713,-769.6858488354517,-1356.4969505567396,-2023.5968731260248,-1420.5857494664497,-1509.8138850817502,-2243.74163353699
29,-1810.3836663055683,-1240.9695512709031,-1317.3148245574107,-943.5418954684424,-1323.5049237590133,-1411.217610650293,-1192.5214652102943,-1456.1334506879668,-1137.317999824306,-1100.5668975343406
