iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1556.6130068381478,-1728.53164186811,-1569.5020792425703,-1885.4954083682924,-1486.2605403802424,-1568.3073149689926,-1751.8951380518147,-2177.1565133339564,-1382.8860324971943,-1305.4737798470057
1,-1523.4457955196995,-1645.514404838093,-1534.6089329243473,-1673.6224331999047,-1486.2605403802424,-1544.162579286667,-1751.8951380518147,-2162.606285391976,-1382.8860324971943,-1302.6013555284217
2,-1523.4457955196995,-1645.514404838093,-1534.6089329243473,-1527.346518220122,-1486.2605403802424,-1544.162579286667,-1630.2913610378096,-2029.6080972756415,-1382.8860324971943,-1302.6013555284217
3,-1523.4457955196995,-1645.514404838093,-1534.6089329243473,-1527.346518220122,-1486.2605403802424,-1544.162579286667,-1343.327263044352,-1957.3724412188728,-1382.8860324971943,-1302.6013555284217
4,-1523.4457955196995,-1645.514404838093,-1534.6089329243473,-1527.346518220122,-1486.2605403802424,-1544.162579286667,-1343.327263044352,-1957.3724412188728,-1382.8860324971943,-1230.6532907949272
5,-1523.4457955196995,-1635.9422975672937,-1534.6089329243473,-1527.346518220122,-1486.2605403802424,-1542.6830621244903,-1343.327263044352,-1628.042298376688,-1382.8860324971943,-1191.0857305760187
6,-1523.4457955196995,-1560.3514687511492,-1534.6089329243473,-1527.346518220122,-1486.2605403802424,-1542.6830621244903,-1343.327263044352,-1628.042298376688,-1374.7818428851824,-1164.8053855675769
7,-1447.1530699611194,-1560.3514687511492,-1534.6089329243473,-1448.0310518691235,-1486.2605403802424,-1447.7457695026894,-1343.327263044352,-1628.042298376688,-1332.713224261355,-1164.8053855675769
8,-1431.5046187467929,-1560.3514687511492,-1505.679657526568,-1448.0310518691235,-1486.2605403802424,-1447.7457695026894,-1343.327263044352,-1628.042298376688,-1332.713224261355,-1164.8053855675769
9,-1431.5046187467929,-1515.449355057844,-1473.9277474800258,-1448.0310518691235,-1410.3172519321615,-1447.7457695026894,-1343.327263044352,-1561.8908956002588,-1221.597662117672,-1164.8053855675769
10,-1431.5046187467929,-1472.2006578807031,-1459.8144735130063,-1420.5401072385052,-1410.3172519321615,-1441.6979566258829,-1343.327263044352,-1561.8908956002588,-1221.597662117672,-1164.8053855675769
11,-1431.5046187467929,-1422.018666414434,-1352.6783594305557,-1360.2290940630483,-1410.3172519321615,-1441.6979566258829,-1343.327263044352,-1462.59256131755,-1221.597662117672,-1164.8053855675769
12,-1394.9567810630642,-1422.018666414434,-1352.6783594305557,-1360.2290940630483,-1390.8703443566706,-1381.6596529613635,-1235.8912637679243,-1462.59256131755,-1201.4451415299745,-1164.8053855675769
13,-1390.3871740543655,-1417.6538468582773,-1352.6783594305557,-1315.812691415321,-1372.5495092536112,-1381.6596529613635,-1235.8912637679243,-1462.59256131755,-1201.4451415299745,-1164.8053855675769
14,-1355.1129492660957,-1417.6538468582773,-1352.6783594305557,-1314.073492086898,-1372.5495092536112,-1381.6596529613635,-1235.8912637679243,-1462.59256131755,-1201.4451415299745,-1164.8053855675769
15,-1355.1129492660957,-1417.6538468582773,-1352.6783594305557,-1314.073492086898,-1333.2267946784948,-1381.6596529613635,-1235.8912637679243,-1421.852087816961,-1121.5520194306791,-1164.8053855675769
16,-1332.8273260916326,-1417.6538468582773,-1352.6783594305557,-1314.073492086898,-1333.2267946784948,-1381.6596529613635,-1235.8912637679243,-1421.852087816961,-1121.5520194306791,-1164.8053855675769
17,-1311.631170434223,-1318.1882443882942,-1352.6783594305557,-1314.073492086898,-1333.2267946784948,-1313.5079990598576,-1169.4530114744994,-1412.3274802220021,-1082.0757821697475,-1117.5768363540615
18,-1311.631170434223,-1209.2236851176701,-1341.597903169085,-1314.073492086898,-1333.2267946784948,-1313.5079990598576,-1169.4530114744994,-1412.3274802220021,-1082.0757821697475,-1117.5768363540615
19,-1311.631170434223,-1209.2236851176701,-1341.597903169085,-1314.073492086898,-1333.2267946784948,-1253.824890319629,-1169.4530114744994,-1412.3274802220021,-1028.9857343678962,-1117.5768363540615
20,-1311.631170434223,-1209.2236851176701,-1332.6559033480403,-1231.837381415962,-1333.2267946784948,-1253.824890319629,-1050.454070280713,-1407.174972656855,-1022.4509335322015,-1098.6275301013115
21,-1258.9273324950377,-1209.2236851176701,-1332.6559033480403,-1231.837381415962,-1251.6872296808258,-1253.824890319629,-1050.454070280713,-1335.4661265095078,-1012.1974465218475,-1090.1907944444251
22,-1179.9540026493632,-1209.2236851176701,-1316.2193411497988,-1231.837381415962,-1251.6872296808258,-1253.824890319629,-983.4293131085032,-1335.4661265095078,-1012.1974465218475,-1090.1907944444251
23,-1169.792779689503,-1193.890147017554,-1276.5344038576227,-1188.5994649168226,-1237.7013687381732,-1253.824890319629,-983.4293131085032,-1335.4661265095078,-974.5488774903513,-1090.1907944444251
24,-1105.4546059818656,-1139.0185007329017,-1206.1368217489176,-1132.8065758149473,-1191.3792685911912,-1223.494215969425,-983.4293131085032,-1335.4661265095078,-965.9763817406665,-1090.1907944444251
25,-1105.4546059818656,-1089.6656217406899,-1206.1368217489176,-1132.8065758149473,-1179.9344107728339,-1223.494215969425,-983.4293131085032,-1306.1128791819522,-965.9763817406665,-1082.427173436201
26,-1096.3841810594263,-1089.6656217406899,-1133.6709734782207,-1087.6370607111603,-1179.9344107728339,-1213.476427416148,-983.4293131085032,-1219.077042482642,-965.9763817406665,-1082.427173436201
27,-1096.3841810594263,-1089.6656217406899,-950.5668197059647,-1050.113577334816,-1179.9344107728339,-1213.476427416148,-971.9264847447521,-1219.077042482642,-947.3314548012687,-1082.427173436201
28,-1096.3841810594263,-1089.6656217406899,-950.5668197059647,-1050.113577334816,-1179.9344107728339,-1204.2636244090168,-971.9264847447521,-1191.6255728961385,-947.3314548012687,-1077.594965509163
29,-1059.3363606643575,-1023.7131294885181,-921.6810982071876,-1047.8579938613789,-1179.9344107728339,-1181.843628714255,-886.4030056878465,-1191.6255728961385,-947.3314548012687,-1060.9536401075059
30,-1059.3363606643575,-1023.7131294885181,-921.6810982071876,-1002.0681566933094,-1179.9344107728339,-1144.085870039688,-886.4030056878465,-1191.6255728961385,-947.3314548012687,-1060.9536401075059
31,-1054.226990488284,-1023.7131294885181,-921.6810982071876,-1002.0681566933094,-1179.9344107728339,-1144.085870039688,-863.3171091947188,-1191.6255728961385,-902.5349233593133,-1060.9536401075059
32,-1038.6953423851323,-1023.7131294885181,-921.6810982071876,-1002.0681566933094,-1179.9344107728339,-1144.085870039688,-863.3171091947188,-1191.6255728961385,-902.5349233593133,-1048.8318218440045
33,-1038.6953423851323,-1023.7131294885181,-921.6810982071876,-1002.0681566933094,-1179.9344107728339,-1074.4292746754682,-863.3171091947188,-1191.6255728961385,-891.6741746563184,-1048.8318218440045
34,-1027.031069197596,-1023.7131294885181,-862.0396091636858,-1002.0681566933094,-1179.9344107728339,-1039.024651948425,-863.3171091947188,-1191.6255728961385,-870.1310385505941,-1048.8318218440045
35,-1027.031069197596,-1023.7131294885181,-843.5264755223202,-992.2192029793187,-1179.9344107728339,-1039.024651948425,-863.3171091947188,-1138.0179338864164,-870.1310385505941,-1048.8318218440045
36,-1027.031069197596,-1023.7081081821049,-843.5264755223202,-992.2192029793187,-1148.3925302721884,-1002.2359296328877,-863.3171091947188,-1138.0179338864164,-870.1310385505941,-1024.2931466050184
37,-1014.0527030006781,-950.6243686728526,-843.5264755223202,-921.5854634757468,-1148.3925302721884,-1002.2359296328877,-863.3171091947188,-1065.6929206471757,-870.1310385505941,-1024.2931466050184
38,-945.3657413288431,-950.6243686728526,-843.5264755223202,-921.5854634757468,-1148.3925302721884,-838.8857406972317,-863.3171091947188,-1063.799499350895,-870.1310385505941,-996.4157031005658
39,-945.3657413288431,-950.6243686728526,-843.5264755223202,-921.5854634757468,-1130.8753691338463,-802.0456089834653,-863.3171091947188,-1063.799499350895,-866.0127605091164,-996.4157031005658
40,-923.7643545205766,-950.6243686728526,-799.160185378842,-909.1053571530863,-1130.8753691338463,-802.0456089834653,-863.3171091947188,-1063.799499350895,-837.5323281485951,-996.4157031005658
41,-887.1902200560344,-950.6243686728526,-799.160185378842,-909.1053571530863,-1130.8753691338463,-768.7518880849076,-858.7174548415843,-1063.799499350895,-837.5323281485951,-996.4157031005658
42,-878.8893863488548,-950.6243686728526,-732.3283410050619,-909.1053571530863,-1032.3353478457384,-768.7518880849076,-858.7174548415843,-1061.663328017145,-837.5323281485951,-996.4157031005658
43,-842.874849858504,-950.6243686728526,-732.3283410050619,-882.0755454451211,-1032.3353478457384,-766.146577514858,-858.7174548415843,-1061.663328017145,-837.5323281485951,-971.8520958167792
44,-795.7849667064997,-901.7560681071484,-732.3283410050619,-855.4434729898526,-1032.3353478457384,-766.146577514858,-824.4082235653185,-1058.1559085795936,-777.3976023128073,-971.8520958167792
