iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-20120.883658819188,-43147.003270329595,-13233.5413115904,-33746.11109323362,-20411.038677872617,-23617.41778290345,-18008.490864207113,-27685.53115657848,-16117.79844044365,-24053.71444072156
1,-17971.285343421245,-14853.798084287539,-35123.785741992186,-12090.820972191348,-21312.658468439462,-26595.945545400085,-22480.27488323793,-18886.652215683585,-19054.777727256922,-14329.404372112473
2,-21130.612281995738,-32700.217392562205,-33134.15147100236,-13341.548540277126,-53072.739613598744,-28062.719573332433,-7903.375729129971,-17956.776939403462,-21082.937625843097,-23593.52433072159
3,-17445.980221630954,-46366.83140577268,-25038.215632468076,-13260.03445135845,-13827.722091054336,-14282.084352780106,-15467.078535236069,-16589.832205577943,-20796.541029223525,-9857.594201677552
4,-16388.22518533735,-25316.253636261496,-20151.17734008926,-16056.762572657286,-19438.59926389537,-18784.60741842408,-22615.963774201817,-25286.718275755025,-11335.491820647843,-13009.546088652525
5,-22011.117948642885,-19336.98885354648,-25423.157817952033,-19475.49031440234,-20316.620601471404,-18221.213658946137,-16762.064486314375,-14559.668947835533,-35720.428815806416,-17643.617114461784
6,-31296.32182308476,-14271.131950014365,-13720.286545042622,-13942.98455422959,-26541.591963240015,-17244.85181990992,-14336.737948858776,-18309.06978478574,-22916.048621016027,-15677.63704506799
7,-20380.380180689353,-19215.600417857386,-23489.05156558437,-11194.273882752545,-11447.721657022701,-11813.38249423155,-15670.124788227527,-18920.58795457411,-15594.737534866403,-10184.677384169263
8,-12278.059922429331,-24493.050871423362,-14456.881444826719,-17169.321730676074,-35820.470253124564,-24320.454121369345,-13900.616359815685,-25306.203397988615,-20106.37842022044,-16708.190261251068
9,-14004.265452649186,-19198.923331892765,-28496.299285344012,-14458.085092989584,-22445.52845859174,-15591.853391223101,-28508.35088955143,-15204.487350620362,-13505.080859945934,-17571.02209051613
10,-18565.11583038779,-12608.99795636661,-17151.59341376626,-11126.004223005251,-21451.582061915262,-13089.966861418623,-13632.008983488213,-14462.811327368305,-11906.277614852424,-13684.619389195685
11,-12616.608117484262,-15221.396026966977,-29631.75017110674,-18046.23772566589,-20795.85554086669,-16756.04209786425,-17728.23871225644,-22114.319177677622,-33675.049747335055,-24828.690971580036
12,-11842.708783972841,-15678.987219623676,-33783.553085991225,-19290.693509006727,-21672.598265166882,-13449.099243399134,-16770.331946202554,-13498.293708767866,-16584.699046778667,-11581.637478976781
13,-19608.52253755062,-10555.85869442844,-15151.605971781228,-11396.214325614324,-13535.035084407124,-18331.938449254743,-15474.262728073561,-16048.075636822,-18774.94963967415,-17649.04615281479
14,-23223.37950995972,-17812.272094732325,-26085.16520241825,-16229.167341735527,-17912.07849096217,-14115.616832287571,-17205.749336402314,-11147.583602018862,-20030.95400975592,-11774.10305592858
