iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1586.8570355554132,-2180.1248466667666,-1673.3125657274627,-1494.7209624001744,-1485.2396128923165,-1785.5389720613182,-1757.3963401493957,-1576.5715956402246,-1785.588218623839,-1690.3762901986677
1,-1586.8570355554132,-2141.028017590469,-1618.4923186289486,-1437.1430969359071,-1383.7330345138778,-1703.8086220537562,-1757.3963401493957,-1545.2367791144788,-1785.588218623839,-1690.3762901986677
2,-1586.8570355554132,-2141.028017590469,-1618.4923186289486,-1437.1430969359071,-1292.1610605457643,-1703.8086220537562,-1757.3963401493957,-1501.8752312915528,-1534.0857377321322,-1690.3762901986677
3,-1550.7332950692562,-2141.028017590469,-1618.4923186289486,-1431.425253508529,-1292.1610605457643,-1566.0280652227573,-1698.5170962490033,-1501.8752312915528,-1447.0648029914973,-1690.3762901986677
4,-1478.2625656912346,-2135.8247216902264,-1594.8657375731236,-1431.425253508529,-1292.1610605457643,-1448.6140904709566,-1698.5170962490033,-1491.3422251175275,-1429.6076170502263,-1690.3762901986677
5,-1367.7905575975701,-2074.048235225996,-1594.8657375731236,-1413.047456407708,-1292.1610605457643,-1443.3235780071911,-1646.1751420482206,-1467.1118388276186,-1429.6076170502263,-1690.3762901986677
6,-1367.7905575975701,-1974.531777147433,-1594.8657375731236,-1413.047456407708,-1292.1610605457643,-1372.2199992419642,-1602.7532829032716,-1467.1118388276186,-1350.1687447682048,-1690.3762901986677
7,-1303.227767316146,-1974.531777147433,-1594.8657375731236,-1413.047456407708,-1292.1610605457643,-1313.9636787395016,-1602.7532829032716,-1467.1118388276186,-1322.9979549284762,-1688.7162338612047
8,-1303.227767316146,-1920.0488324438472,-1570.3223109439523,-1407.4493560039205,-1292.1610605457643,-1313.9636787395016,-1468.858840652493,-1467.1118388276186,-1322.9979549284762,-1688.7162338612047
9,-1280.1114496859348,-1786.0578510932748,-1473.3143314406075,-1407.4493560039205,-1292.1610605457643,-1313.9636787395016,-1468.858840652493,-1467.1118388276186,-1322.9979549284762,-1663.458168940906
