iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-27487.96716286703,-18136.9660213609,-25428.476304504766,-25370.63554023226,-15478.388435550216,-19343.273125754182,-30387.151829921993,-31706.32718813193,-17805.141988376552,-23535.861270367943
1,-20219.764800663557,-22066.028413039414,-16182.579928473751,-19181.94158404322,-20077.499177611928,-26015.589833176382,-21261.04444392046,-15820.237595822415,-29645.612746907842,-18431.90584618422
2,-33269.19788142055,-19520.11686810929,-13396.372865606438,-15350.90043862593,-11818.418191537305,-19330.321908922073,-25846.349288611043,-23708.78426851658,-18336.898108320147,-27810.4569782647
3,-16216.590322535973,-13802.859012465826,-14866.89148317011,-23988.897452424637,-27109.962528746786,-20723.926667820346,-16069.740615284038,-13588.339169316685,-16718.699204322736,-16832.22136918427
4,-26132.68773160623,-23015.006992428105,-16368.058534282365,-20409.111016514344,-21305.27010318556,-12323.695217987712,-12748.744984861232,-23413.2640650842,-9814.191592936812,-31230.910006187107
5,-17287.393125848852,-14074.947933293108,-30999.22638018215,-21591.579148741934,-14624.23152678351,-27601.231016914026,-18287.933866210195,-12349.020293415984,-17104.45541084835,-18393.88274068589
6,-17032.880774885114,-16831.330148518922,-17234.806370690785,-14285.145167179242,-28643.515303451866,-25577.664351663516,-21043.29474551766,-18627.966072056668,-18916.528928427335,-22083.72961523406
7,-11215.995401509557,-25595.58089369495,-21410.98616986804,-27238.375584599864,-19283.581905919476,-18755.480571542063,-19783.658800155554,-17173.534525013216,-19404.62948742153,-22289.011892833616
8,-19849.953226465113,-20284.120144506123,-18975.32790538152,-11154.178839568098,-18314.904549101724,-22217.352636559765,-19452.296696450816,-19952.45956029633,-19098.691509218726,-12741.58481060417
9,-14751.502713193096,-14420.367700876961,-17438.09060126919,-13294.567099112868,-15374.150002371258,-22515.03188419726,-22499.760886786557,-13477.215098919849,-19637.06655319503,-19009.766243770977
10,-18483.572959341236,-13343.938331523183,-19111.383779717908,-19745.630160495733,-21583.416693987052,-20136.376716117593,-15677.026967169902,-18658.41208086628,-31118.950417057982,-25622.791230522096
11,-11074.6983257822,-18484.438138948826,-18707.517926130626,-14694.3136125667,-10615.285395507784,-14951.734820389309,-20800.83219704807,-14235.283463874315,-20490.1026083496,-22207.522521611885
12,-10074.821082150766,-20705.729488665565,-22493.114959905484,-16326.949493411463,-18139.373891799332,-8136.983001657552,-25523.163565170697,-16370.826228899288,-16107.543808292188,-12912.56686788316
13,-19163.396526332763,-15264.91932912136,-41066.901807056085,-13098.61720270834,-16712.62567542426,-20542.621920812177,-15414.261486104271,-16076.847356253063,-12751.854043854042,-18986.525316282772
14,-19254.17258439723,-15576.167525729867,-13607.78998774157,-14197.199577835428,-11940.082703796721,-28251.274207110604,-21372.50668269739,-17098.41633092457,-11290.090310450909,-14608.82460770195
15,-22082.640738400725,-12955.36013172018,-14362.946971269599,-18789.637351205693,-13185.411546779847,-9472.619512970214,-14178.887564564146,-14590.900200509544,-23469.430838347453,-13187.715436256682
16,-17927.26524876929,-13312.950223438998,-10356.385096405487,-22208.434937761445,-18484.06304874764,-17168.33938422958,-17943.80055917002,-15339.542537926645,-17332.65894407496,-25679.861690374775
17,-17224.444631375274,-21758.41271843106,-11404.0328323322,-21727.91762498008,-22080.165532808816,-16488.75300192641,-13849.14700267167,-12928.282906451102,-13810.455389628913,-14952.384111284751
18,-22947.66980928668,-17161.29314496302,-17231.61042430043,-21057.177530648405,-15660.734178236471,-21324.027685673973,-17098.12672174671,-9402.233207040541,-21827.142338628702,-19160.045490287004
19,-7920.686241987655,-13039.131911895016,-9375.159376768182,-18505.44230840478,-16453.257151192753,-19246.293389706836,-22284.310883485377,-20411.47262017455,-14624.092777704374,-19644.35409027149
20,-17114.43964233985,-16681.3504018365,-12592.215684929291,-21394.11058093816,-31641.505231302897,-13443.25286744421,-21469.76904452118,-13152.76247370309,-10959.681841174719,-12342.831148645484
21,-11692.954755659073,-14760.974142320827,-10084.152119618517,-13985.86919248919,-16479.377061672065,-17682.088924969095,-8639.926152939297,-14534.219906515158,-14235.36424505044,-17492.27043850971
22,-18802.796309439254,-15636.974773969207,-14112.898139104665,-15272.349350409422,-19953.37103152353,-15540.877143823494,-19592.325154409347,-15550.30842971773,-11213.605811854664,-19221.07172051382
23,-11408.563513220588,-16059.145521069593,-10696.155001570296,-14288.013890700811,-8096.718276890459,-21121.774353168774,-6782.567406013606,-7821.054752115617,-8838.364329254397,-25503.10680716006
24,-19906.651868043686,-21100.633193405458,-25177.407870518397,-16561.231183706153,-10854.710661578549,-8770.428445770876,-22837.029359438257,-9153.91318286752,-16817.116430847585,-18470.410890183975
25,-10990.38515002757,-16193.635156778797,-9235.78236025093,-10964.820338498044,-13038.192684431968,-18136.783208717945,-16328.971332136653,-12121.484746020273,-12561.35474047314,-20599.436669581046
26,-11871.22414212676,-22534.70762369531,-10651.149689545804,-8130.510435109989,-15382.526868886856,-10805.20370157627,-15552.967881255136,-7370.233598011752,-13206.106226041295,-18278.88084004525
27,-22533.4772150875,-14282.439827532895,-11740.52927511742,-22729.874240500656,-13370.301969564225,-16689.008871219026,-10754.283675998122,-12630.020686777754,-20510.012807444786,-20625.489545770535
28,-14288.443326683686,-14557.802097738055,-7077.259948119108,-16285.179392266706,-12376.698230594939,-4767.739797579778,-15847.081639230417,-15893.154944950744,-11129.487565971202,-11632.088591997921
29,-11290.234470858843,-7995.968282196913,-14479.86175867225,-14362.64449629045,-16916.16089664704,-16704.23407206146,-12656.097039076816,-14706.780566760777,-12244.473200906821,-8138.789220929213
30,-25815.297005032407,-18306.51552402416,-14538.753939887256,-16017.31396772164,-19145.297248527964,-12775.93845198008,-14242.292993762774,-11186.750181215833,-14571.317156899124,-12653.323362879983
31,-11740.926329037276,-17670.263251449855,-8940.276677704434,-18847.89262332264,-18349.06372651016,-19470.907001656702,-11804.826763407586,-7768.20539996086,-18460.744873529122,-10904.729153188315
32,-17342.744716591773,-10487.398534599344,-17652.77066511158,-9605.933200406515,-11447.186299208492,-10398.061550045499,-20420.013876344412,-15718.739250435114,-15888.473119077007,-18667.58455300739
33,-12802.57700369529,-13048.130144478011,-16165.695062639137,-13929.91521087391,-12756.593069559614,-16516.11593525194,-16902.75559565956,-10539.836954001532,-14096.888145717949,-13058.800977369234
34,-16485.63366835538,-12858.213539323786,-17189.56657094196,-18896.589384449253,-13057.132356634858,-10585.438317599483,-11341.310729044784,-9149.714255091912,-14164.729176731798,-9646.166621357585
35,-12710.12126213883,-11095.889254409554,-9770.920987022208,-7114.080400590346,-14032.080424011703,-13329.14803644536,-9784.02897451678,-5710.094715470227,-17751.64398544993,-14036.542920395295
36,-17270.105313533466,-15986.628290966622,-16003.480433007018,-10552.879357149248,-9832.61035397162,-13209.258182809519,-13111.604869322015,-12762.214670176472,-13239.558788208571,-11131.544218939373
37,-20038.795573949697,-14007.500809912663,-15600.302925268017,-12269.635876066084,-10079.200606861374,-13720.466800395112,-10207.788635650732,-8385.924902301022,-13570.99670959554,-7551.305229384613
38,-9656.355055291591,-11138.83483185999,-10911.878668635618,-13194.136507097195,-12091.092142255044,-13891.243951496792,-6339.017375553711,-22610.35954047425,-12031.514839911464,-14683.634835020755
39,-10883.156690733327,-12574.64999328812,-10578.580704685213,-7404.840997651618,-12391.696244371993,-10896.22492910941,-18684.794194481277,-9012.330186765808,-13120.452407138688,-17422.05760894075
40,-18747.23048201145,-14519.037872097972,-14741.242859555732,-14627.673602806077,-19422.156087109586,-9612.249305397438,-8693.724013422014,-13847.333532996465,-18867.39823573808,-6670.543990498148
41,-17912.1712988025,-9634.63314302075,-10297.39709514378,-7235.810014452083,-12341.787917699352,-9434.227994581954,-8859.901070958573,-11333.774781079355,-10129.940367937168,-16513.703455631978
42,-13480.106101502028,-15163.141624373638,-9259.451738516396,-15370.33617114554,-14466.360174004725,-7870.750357245082,-12276.193137694658,-10052.203711969592,-17420.5772259518,-7297.510319314838
