iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1586.8570355554132,-2180.1248466667666,-1673.3125657274627,-1494.7209624001744,-1485.2396128923165,-1785.5389720613182,-1757.3963401493957,-1576.5715956402246,-1785.588218623839,-1690.3762901986677
1,-54.78830867264924,-50.31653404048514,-122.7214829617427,-47.63887837051735,-41.96978094752137,-61.83898571330071,-58.84179900344186,-43.26122579068054,-34.17063383832711,-50.975823723701154
2,-44.01278250028945,-43.55415924217428,-71.42475530675426,-41.867876220761175,-41.96978094752137,-60.80325428619439,-49.7080953473484,-39.059267328568026,-33.37323242349031,-48.99473850668987
3,-41.370097268639704,-41.031095019065134,-65.65521041267934,-41.64187068335987,-41.96978094752137,-49.67684218634456,-46.290932747035626,-39.059267328568026,-33.37323242349031,-42.206596822024125
4,-41.370097268639704,-39.67634917390022,-65.05607611495768,-41.64187068335987,-40.40607217220703,-49.67684218634456,-45.03713980800571,-39.059267328568026,-32.14685928704941,-38.642736029568766
5,-40.630422896953625,-39.67634917390022,-64.24261706260535,-34.22574571740302,-40.40607217220703,-47.04844053371353,-43.93470446122958,-37.78119484154138,-32.14685928704941,-38.642736029568766
6,-40.31408341504852,-35.838915356335114,-64.06311523102484,-34.22574571740302,-33.62972200879187,-47.04844053371353,-43.93470446122958,-37.78119484154138,-32.14685928704941,-38.642736029568766
7,-37.978597203159524,-35.838915356335114,-64.06311523102484,-34.22574571740302,-33.56965539441184,-46.23365417720929,-39.443800176016794,-29.779904494837655,-32.14685928704941,-38.642736029568766
8,-37.28374935378184,-35.838915356335114,-63.09671287832086,-33.22164031277262,-33.56965539441184,-42.62528989904282,-38.62556502905494,-29.269910884247153,-32.14685928704941,-38.35671989794483
9,-37.279615191420824,-32.50612030680162,-63.09671287832086,-29.375974422464765,-32.84263908614995,-38.256643613773974,-38.30234771103677,-28.182909935905098,-30.0648481624316,-37.579840769871176
10,-35.26520282823131,-32.50612030680162,-62.689844416872134,-29.375974422464765,-32.84263908614995,-37.47195551951873,-38.30234771103677,-27.956512964302085,-29.23814190746377,-34.54842306592266
