iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1586.8570355554132,-2180.1248466667666,-1673.3125657274627,-1494.7209624001744,-1485.2396128923165,-1785.5389720613182,-1757.3963401493957,-1576.5715956402246,-1785.588218623839,-1690.3762901986677
1,-438.2884296006123,-1074.106035125155,-627.1170229971001,-610.645779347735,-846.049664525563,-623.8466595105112,-719.106339437486,-424.1875957306843,-703.8312443364223,-780.405827551148
2,-372.0476987062632,-842.4944912326098,-452.5050738223335,-376.78376218228215,-654.4034781532469,-534.7249523384155,-551.093783534939,-349.7406534824504,-633.6139570002255,-565.8178891265663
3,-356.0302404533669,-682.0144394258476,-395.0842455525908,-312.00005058007207,-499.4276014491557,-405.9337408425173,-428.89358262598324,-329.4918189915894,-486.85818448163667,-369.9261196364772
4,-313.5659604215861,-668.8161502627763,-348.4105118017126,-277.92960755646845,-474.2406562783905,-369.0949329704507,-379.23849384010896,-314.3873539019538,-352.01255845374794,-295.40487480427544
5,-300.8924582620976,-606.3871814577387,-337.25053823596625,-257.08041212354146,-426.89081896685656,-355.6511758732743,-365.87957802324496,-300.96519414101203,-351.3573007970999,-267.27138573952544
6,-289.47923574866434,-554.3167978551352,-320.4699965514693,-229.74762659415194,-405.62137928951427,-327.2789520457512,-351.54218793631463,-278.47869137385055,-324.281874555204,-259.6010281524692
7,-279.6513279546366,-453.7862291231048,-311.0111122609716,-226.70374787479028,-380.9488834959036,-275.02196546766413,-341.34705727980406,-278.3485091077729,-257.18925309558404,-243.2907643573362
8,-258.53735261858174,-446.1455104174983,-295.06086972246203,-212.65943107726056,-341.60844174957435,-275.02196546766413,-302.6695641051515,-273.2439402340498,-243.86131535861512,-223.68477556754414
9,-242.37583608328416,-410.2886406060422,-295.06086972246203,-208.32581125454732,-309.4223655896735,-270.89023145115067,-280.400672081408,-273.2439402340498,-231.72077438105686,-223.68477556754414
10,-242.37583608328416,-400.8712281400611,-282.2584993249831,-208.32581125454732,-298.55465498693627,-270.89023145115067,-280.400672081408,-268.2664941330704,-210.88845649137735,-198.78583546439802
11,-226.5602805343285,-400.8712281400611,-282.2584993249831,-208.32581125454732,-265.50873280235203,-251.769887496084,-276.4955638117438,-259.379010961255,-210.7346578227179,-198.78583546439802
12,-226.5602805343285,-341.93963510646006,-271.08311019855955,-201.70594021902642,-265.50873280235203,-238.87825778840744,-262.4338428361065,-246.22987221440184,-210.7346578227179,-186.74734883243207
13,-214.69687397601035,-331.5127764730854,-265.717693990374,-194.50745151552007,-254.61467122425256,-234.34174548418406,-254.9374574957379,-234.626243069464,-183.79996294583313,-186.74734883243207
14,-214.69687397601035,-331.5127764730854,-249.8039317747597,-184.82098902660675,-254.61467122425256,-234.34174548418406,-238.54025801206078,-234.626243069464,-176.6351630529028,-186.74734883243207
15,-213.4697407330471,-303.2022499582429,-241.88671714301273,-184.82098902660675,-229.45534113185562,-234.34174548418406,-235.08544948304896,-230.60803855345938,-166.7666621478378,-177.3541542321648
16,-213.4697407330471,-302.32878457826666,-241.88671714301273,-184.82098902660675,-229.45534113185562,-234.34174548418406,-235.08544948304896,-227.0685825704614,-166.7666621478378,-177.3541542321648
17,-198.14381148493078,-250.68184464083427,-223.8530865732164,-184.82098902660675,-206.9981533251302,-229.50261700347903,-211.78070362575787,-226.56438821908785,-160.9945408910707,-173.34576633685003
18,-198.14381148493078,-225.51566662387864,-205.8068142298153,-176.3771628588401,-206.9981533251302,-229.50261700347903,-211.78070362575787,-210.57387721033248,-154.97055396007408,-171.5251360368919
19,-198.14381148493078,-225.51566662387864,-202.66089946495893,-176.2115304914998,-201.84846233754476,-225.68926663229638,-211.78070362575787,-191.1145733800937,-154.11680385315606,-171.5251360368919
20,-198.14381148493078,-225.51566662387864,-197.07957869140552,-176.2115304914998,-201.84846233754476,-225.68926663229638,-205.60861247983937,-174.9385514565733,-147.72806981567277,-171.5251360368919
21,-183.20605112292586,-224.99104537596418,-185.44120494908236,-174.9998098424091,-196.62780924719192,-225.68926663229638,-194.43055716760122,-174.28866164956813,-147.54435085896122,-171.5251360368919
22,-176.65839359728997,-224.99104537596418,-184.32418305210336,-174.9998098424091,-196.62780924719192,-223.8095784088161,-190.33267543830908,-174.28866164956813,-147.54435085896122,-171.5251360368919
23,-176.65839359728997,-224.99104537596418,-184.32418305210336,-174.57501027537336,-196.62780924719192,-223.8095784088161,-185.62168793440867,-173.26699756343862,-137.85789570715747,-171.5251360368919
24,-175.29040918081446,-224.99104537596418,-184.32418305210336,-168.5266422783679,-186.6024930748459,-223.8095784088161,-170.2610565409304,-173.26699756343862,-127.94605767777102,-166.4754232780304
25,-165.90910529949264,-224.99104537596418,-176.0063941883764,-168.5266422783679,-175.15914886025973,-223.8095784088161,-158.23068827630016,-173.26699756343862,-127.94605767777102,-165.44011053259453
26,-163.18879663179737,-224.99104537596418,-152.83361325704468,-163.03050565478432,-169.3914120782021,-196.11220112641794,-154.5867570045014,-169.9582507382509,-125.05376655891166,-164.5216983812704
27,-163.18879663179737,-208.870552271455,-142.79782022704853,-162.2808906317622,-169.3914120782021,-196.11220112641794,-154.5867570045014,-169.9582507382509,-125.05376655891166,-164.5216983812704
28,-159.50982830216154,-156.87892480959957,-142.79782022704853,-162.2808906317622,-163.27097952741383,-182.96554616365654,-148.30676500667576,-169.9582507382509,-125.05376655891166,-164.5216983812704
29,-159.50982830216154,-154.4617600734812,-142.79782022704853,-161.86501100862733,-150.88449613738064,-182.96554616365654,-139.36922015145035,-169.9582507382509,-115.2025717954341,-164.5216983812704
30,-159.50982830216154,-154.4617600734812,-140.37134529489543,-149.39584449693075,-150.88449613738064,-182.96554616365654,-139.36922015145035,-161.6963517060686,-113.60062499278679,-164.5216983812704
31,-155.63643929366003,-154.4617600734812,-140.37134529489543,-137.10457302434102,-136.20369800600423,-177.36390984032732,-139.36922015145035,-161.6963517060686,-103.17122225272362,-164.5216983812704
32,-155.63643929366003,-145.16876785153087,-140.37134529489543,-134.24715457331047,-136.20369800600423,-177.36390984032732,-139.36922015145035,-146.9279138527498,-99.02051994026466,-164.5216983812704
33,-154.56759692667046,-145.16876785153087,-136.24513208386279,-127.98169903632783,-136.20369800600423,-177.36390984032732,-139.36922015145035,-146.3267072091836,-99.02051994026466,-156.24338512731444
34,-154.56759692667046,-145.16876785153087,-136.24513208386279,-118.81395832408936,-132.40354572243515,-161.30213667599,-139.36922015145035,-139.2466011093019,-99.02051994026466,-156.24338512731444
35,-153.2872341025778,-145.16876785153087,-136.24513208386279,-118.81395832408936,-125.40102184383164,-161.30213667599,-139.36922015145035,-139.2466011093019,-97.64924408745692,-156.24338512731444
36,-153.2872341025778,-138.34957861594137,-136.24513208386279,-118.81395832408936,-119.64696510193559,-161.30213667599,-139.36922015145035,-129.90849888833685,-97.64924408745692,-153.5737859039304
37,-150.5762790872301,-122.1037360136273,-131.38764264788875,-111.38163207527975,-112.0882356594663,-161.30213667599,-139.26038547236408,-129.90849888833685,-97.64924408745692,-153.5737859039304
38,-150.5762790872301,-111.45645757275605,-131.38764264788875,-111.38163207527975,-105.99242409718849,-161.30213667599,-139.26038547236408,-99.8338445014187,-97.64924408745692,-139.27053533276566
39,-150.5762790872301,-111.45645757275605,-129.3425050225772,-111.38163207527975,-105.93302622681838,-161.30213667599,-137.04140968751125,-99.8338445014187,-95.17584558354335,-138.1060237704599
40,-148.4544932368542,-111.45645757275605,-129.3425050225772,-111.38163207527975,-104.7326100703725,-159.49124806200416,-137.04140968751125,-99.8338445014187,-95.17584558354335,-138.1060237704599
41,-137.8184500910184,-111.45645757275605,-129.3425050225772,-107.92059278639805,-104.7326100703725,-159.49124806200416,-131.31794461374045,-99.8338445014187,-88.78807737220107,-138.1060237704599
42,-137.8184500910184,-111.45645757275605,-129.3425050225772,-104.0781912840653,-104.7326100703725,-153.46168511839113,-128.8711925741992,-97.47536227163339,-88.78807737220107,-133.6635645728262
43,-133.4922753380215,-111.10360645851213,-105.97229946309588,-103.76944958417053,-104.7326100703725,-152.02938884387666,-125.98600025429084,-97.47536227163339,-88.78807737220107,-133.6635645728262
44,-133.4922753380215,-99.53770454439545,-105.97229946309588,-93.22715272725263,-104.7326100703725,-149.6611313103304,-125.98600025429084,-97.47536227163339,-88.16170680508878,-131.75572325244843
45,-133.4922753380215,-99.53770454439545,-100.95339027276074,-93.22715272725263,-104.7326100703725,-149.6611313103304,-125.23816968501583,-97.47536227163339,-84.86944555802343,-131.75572325244843
46,-133.4922753380215,-99.53770454439545,-100.95339027276074,-93.22715272725263,-104.7326100703725,-149.60991683793105,-124.85738055675367,-97.47536227163339,-82.61064208423488,-131.75572325244843
47,-133.4922753380215,-99.53770454439545,-99.81688754615516,-88.42792306448561,-103.66178208494935,-149.60991683793105,-124.85738055675367,-97.47536227163339,-82.53529741059202,-131.75572325244843
48,-133.4922753380215,-97.38273674022669,-92.57389419927443,-88.42792306448561,-100.4300520424267,-148.50544322854458,-120.436210618059,-97.47536227163339,-82.53529741059202,-129.17770760273294
