iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-27487.96716286703,-18136.9660213609,-25428.476304504766,-25370.63554023226,-15478.388435550216,-19343.273125754182,-30387.151829921993,-31706.32718813193,-17805.141988376552,-23535.861270367943
1,-461.6333964507161,-1080.2599119760812,-627.1170229971001,-638.398108448017,-929.9237191515922,-626.8224337208218,-739.7826830104968,-424.1875957306843,-726.9930701489075,-844.1395347624579
2,-576.7024291761126,-1000.9902183898578,-756.1756611153603,-664.0175720711014,-800.9914132325177,-957.4128621475229,-767.4629951339402,-635.1685310824246,-900.7068400553845,-983.4582629339934
3,-676.4649875118645,-1010.4420039508263,-905.0450680962174,-485.5747686334124,-778.0164499793757,-610.7590167155948,-714.2184368890985,-947.1954781602492,-794.6177343862174,-737.8153405437877
4,-722.8016791528592,-1454.1417463292264,-809.8528996491239,-682.404569047668,-950.6128903822836,-806.1231651005157,-853.9642017693745,-1220.4526490612789,-632.6864068070811,-811.4729291956887
5,-1007.7971837356683,-1246.7919627573792,-1018.2399588222888,-895.8948588176282,-864.9102141876059,-748.5573693405222,-742.6954642975626,-782.3316054869024,-923.8063759187066,-720.2575499302436
6,-960.6185266988384,-1445.5042429658813,-836.9133740001131,-1083.4870279601737,-951.2325571067904,-846.6322921815442,-932.7939752587195,-965.5821459720725,-843.610189617035,-1144.9499432524758
7,-1159.1307133182745,-1239.5825412169484,-1101.8921171001987,-977.3718026629671,-1445.7039779261388,-775.7477016569098,-1297.4256272182042,-1027.8878660269402,-743.666064500894,-709.8701717596566
8,-1065.190475078004,-1535.3375156767777,-1056.5168350516988,-1025.6428346054884,-1031.0512623808845,-1133.5201002561084,-1220.7767566709438,-919.6938721314098,-923.0299446647728,-1018.804362614941
9,-872.8361255427357,-893.1875340725899,-1327.1710265286256,-896.4805996894621,-1021.721346153983,-1120.3335374055011,-954.054965079541,-982.6722336465488,-1247.3776087973974,-1346.7229145804472
10,-1747.4997611740407,-1675.8141247358203,-1304.0955364084184,-973.8077862691806,-794.6879909649574,-1200.3655510008302,-1414.8292028613705,-1172.2087683661957,-990.4184232318587,-859.2461158297906
11,-1296.6044951128115,-1636.0595492307782,-1496.104109813637,-1213.230489284836,-1185.7625899876718,-1401.955749416551,-1020.1081132206136,-982.5118721074502,-1575.945240618495,-1302.2868247224756
12,-1578.7536235507175,-1678.4330060498846,-1487.0717026075295,-958.17706109044,-1543.6021012282417,-1137.730256154957,-1260.2622690451035,-1261.8505860779626,-934.5424206595915,-991.3978190624473
13,-1562.8408585074085,-1310.41458106304,-1188.0033143098253,-1344.2125982052098,-1504.3077872400236,-1152.7945380475212,-1017.3486963760311,-1208.2310466990225,-1309.3804056907086,-1443.4296765918525
14,-1539.6831069949576,-1514.1127684153853,-1241.414835391293,-1211.6416093835228,-1490.044052464324,-1292.1785762755726,-1783.6651370159293,-2113.787879607175,-718.044843388762,-1734.655172222694
15,-1412.5507824300403,-1354.1773586053282,-907.7386730574777,-1121.3031665686935,-1436.8697940374573,-1550.1611041238398,-1623.616666601096,-1363.2657042078497,-1255.294536567495,-1905.8559099910613
16,-1291.1465118774956,-1334.4029802920722,-1485.8132406912875,-1103.0664710770588,-1005.8086252915245,-2036.7974311485195,-1707.3907907867012,-1335.489316837263,-1177.9636732276613,-1102.2771588743758
