iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1586.8570355554132,-2180.1248466667666,-1673.3125657274627,-1494.7209624001744,-1485.2396128923165,-1785.5389720613182,-1757.3963401493957,-1576.5715956402246,-1785.588218623839,-1690.3762901986677
1,-1585.5338562449294,-2118.00638473221,-1621.4130789177214,-1376.694282384829,-1485.2396128923165,-1785.5389720613182,-1674.797583406596,-1484.7631691491158,-1785.588218623839,-1690.3762901986677
2,-1517.2038560645253,-2013.6786208423355,-1621.4130789177214,-1355.6486934532081,-1421.718193340869,-1746.6190714267273,-1674.797583406596,-1484.7631691491158,-1785.588218623839,-1690.3762901986677
3,-1444.298927426264,-1917.48311667898,-1621.4130789177214,-1355.6486934532081,-1421.718193340869,-1746.6190714267273,-1674.797583406596,-1484.7631691491158,-1694.912251894673,-1690.3762901986677
4,-1444.298927426264,-1917.48311667898,-1621.4130789177214,-1355.6486934532081,-1421.718193340869,-1746.6190714267273,-1674.797583406596,-1465.8026426675237,-1605.3481585296702,-1648.0661732226145
5,-1389.9599267357073,-1738.8599182925104,-1621.4130789177214,-1355.6486934532081,-1421.718193340869,-1746.6190714267273,-1629.858607313326,-1355.8467857585874,-1605.3481585296702,-1610.786572501977
6,-1306.6182756133576,-1738.8599182925104,-1563.7603219206194,-1355.6486934532081,-1421.718193340869,-1746.6190714267273,-1593.0564909624773,-1355.8467857585874,-1573.8777420512884,-1572.185217655166
7,-1306.6182756133576,-1738.8599182925104,-1505.5359661818738,-1355.6486934532081,-1421.718193340869,-1746.6190714267273,-1569.6044099149904,-1355.8467857585874,-1242.1576194797476,-1486.389344739819
8,-1306.6182756133576,-1637.4363825977282,-1490.5074496867778,-1355.6486934532081,-1421.718193340869,-1642.9198864643536,-1569.6044099149904,-1286.1019325204911,-1242.1576194797476,-1486.389344739819
9,-1306.6182756133576,-1637.4363825977282,-1473.8853399886398,-1355.6486934532081,-1421.718193340869,-1642.9198864643536,-1569.6044099149904,-1286.1019325204911,-1242.1576194797476,-1486.389344739819
10,-1306.6182756133576,-1637.4363825977282,-1473.311421457226,-1355.6486934532081,-1386.0678440466863,-1642.9198864643536,-1438.569802096071,-1258.1172370490344,-1242.1576194797476,-1486.389344739819
11,-1306.6182756133576,-1637.4363825977282,-1446.6961393465017,-1342.538359174238,-1386.0678440466863,-1545.921372636978,-1438.569802096071,-1258.1172370490344,-1242.1576194797476,-1467.6687501555998
12,-1306.6182756133576,-1637.4363825977282,-1436.3735366083483,-1342.538359174238,-1311.844190505147,-1545.921372636978,-1438.569802096071,-1258.1172370490344,-1242.1576194797476,-1467.6687501555998
13,-1306.6182756133576,-1637.4363825977282,-1320.7040767169565,-1292.4583357576307,-1285.5934627996344,-1523.2926405751105,-1397.4272320092762,-1254.8050786740469,-1203.046365694127,-1277.9825484280914
14,-1280.2474479254865,-1458.037111494727,-1262.385298603715,-1292.4583357576307,-1092.191535384152,-1488.762575670523,-1397.4272320092762,-1254.8050786740469,-1203.046365694127,-1277.9825484280914
15,-1280.2474479254865,-1458.037111494727,-1262.385298603715,-1241.6612322933806,-1092.191535384152,-1410.0589218583361,-1394.266583844869,-1250.1846796890854,-1153.2573990749834,-1154.328363755676
16,-1218.583597205387,-1458.037111494727,-1262.385298603715,-1215.0295970049822,-1092.191535384152,-1397.1699787256998,-1339.6617066905653,-1250.1846796890854,-1153.2573990749834,-1154.328363755676
17,-1218.583597205387,-1451.1204527664784,-1262.385298603715,-1202.3150341580877,-1092.191535384152,-1288.8979893281676,-1339.6617066905653,-1250.1846796890854,-1099.3589429302315,-1154.328363755676
