iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-27487.96716286703,-18136.9660213609,-25428.476304504766,-25370.63554023226,-15478.388435550216,-19343.273125754182,-30387.151829921993,-31706.32718813193,-17805.141988376552,-23535.861270367943
1,-24937.149231200674,-18059.719191171054,-25125.916643185185,-20886.569141792563,-19785.534252603316,-21832.498531531593,-14339.066878157219,-21209.027330015204,-23056.230585089528,-27785.45420196219
2,-16446.476200028075,-24842.80452043168,-12408.403928487794,-20202.283183862048,-16325.692717023157,-17815.272178020852,-24951.80638679897,-17912.461526569936,-14965.019017504412,-11869.154655236016
3,-17206.94906848785,-22895.957728247813,-18293.94937419689,-24366.52243338407,-26565.846631773828,-20190.55157122118,-16202.481738784198,-20721.893616646154,-23516.7146014401,-17503.702346215316
4,-16160.13186796653,-21000.266349573045,-31507.479225978546,-17243.177553219062,-21414.798523227873,-22893.717962333532,-16637.200864929782,-23048.907702928533,-22842.697494307162,-12497.872351189324
5,-21126.153752229024,-10159.532310052584,-17488.046128769445,-28150.69739436673,-17273.12635324304,-20173.58221758576,-20295.05516387184,-13296.83638057791,-13014.31441112054,-18610.44096680241
6,-15595.400117944455,-22294.598190287696,-19073.0733600515,-27571.86471254715,-21575.704798585153,-16674.38413927145,-21559.929604539695,-14069.80977915458,-15607.983524656283,-24729.456332543872
7,-25121.806992496393,-21726.968785920086,-32189.372996649498,-21421.012577948048,-27598.067050180965,-16487.89305887253,-15768.026217064144,-12611.390734326957,-13518.512189471388,-18903.963271941444
8,-21096.020399390847,-17784.27469001736,-22134.16857083338,-18593.27266539618,-17080.598694609194,-23281.04285250804,-19771.31149118648,-16574.351640810968,-14569.517509229321,-16362.909660554971
9,-20292.422570064322,-15127.54291758536,-18893.938684670364,-12384.287200247727,-21978.420624094757,-16409.837711166212,-12395.092252260827,-16832.79187958841,-12634.80866384561,-9800.260788244868
10,-23691.993590506172,-24528.729934081093,-16378.51203208764,-18165.33144086079,-20177.925720694224,-16714.262294404245,-18376.869002944943,-23825.425527981504,-23355.35110897191,-14363.05336923826
11,-16650.298278099544,-8236.640958805308,-13037.344663436117,-12850.491361010518,-19871.16138604623,-14785.38954644989,-20377.345717756834,-22908.808458175496,-18491.366165306255,-23181.938987354555
12,-19482.90239253036,-9941.584173554103,-11801.340601578737,-12568.390552308785,-12631.463919992937,-31052.53429422776,-14946.072694571289,-18622.058528959707,-11987.806368202766,-20152.73497791976
13,-18444.86372619154,-15458.982451087739,-13482.472372876022,-17483.962769782745,-20691.144989056105,-21522.124757091304,-21345.552323680415,-16662.96848016771,-8070.920195214854,-19975.585004599936
14,-18411.322354609387,-16336.80352752989,-13797.466350355724,-16961.14181034625,-8761.621158166174,-25084.320991442586,-14070.110625842277,-18325.93249489503,-20402.01290558895,-18091.259230142827
15,-27028.09236234473,-19659.41983732785,-35457.36987097698,-13938.042587530876,-16231.280610628572,-15888.316812425111,-9231.262625116968,-14652.364899087517,-16781.587723363853,-15389.564129120085
16,-12549.778467024287,-19587.205340619344,-22018.295467107633,-17972.841718812306,-20201.60003828723,-14510.552093549477,-17730.316324820527,-9840.714673816163,-15062.321141034528,-19910.96762646391
17,-14835.780860083012,-20368.73654767425,-14769.222525281175,-17076.836411740496,-22591.22808532264,-15944.96562115722,-15345.27931836855,-21949.056443029425,-14801.443470210468,-13695.493761547901
18,-13569.718230767507,-12478.172103914123,-11575.190256896294,-17213.569763089712,-15937.788215381432,-9345.421339660938,-15180.808407770575,-12455.786298351977,-8155.588617016491,-15250.38890843596
19,-20713.692756083714,-15978.464497690038,-15514.031472170123,-21853.569863524506,-16043.447893653834,-19227.653167341217,-19318.25231492545,-16191.440571624405,-25743.24791948068,-18559.497665783278
20,-14978.912040011652,-14137.634706532945,-18825.37169911435,-17705.99267235017,-12819.870085390421,-15585.22144572432,-23256.05627754281,-11234.732102919117,-14017.881237875885,-7284.047175006373
21,-16376.214719533798,-16967.857560841137,-12264.389409796408,-12121.503305982416,-22512.745433267377,-13740.359986707163,-13956.086301284684,-14758.261136135803,-16431.171463245777,-11972.69123860551
22,-10564.925645561578,-15516.723332489932,-13934.844884769573,-13294.268894902882,-14779.72012487732,-16655.44833663689,-15586.439960733827,-10014.690717337075,-15847.89953834059,-18326.481116945994
23,-10690.974671055836,-17041.190628178887,-8358.481167341552,-15261.046830769945,-10869.394965532581,-13894.28654741606,-12963.444253635314,-13009.177271209348,-16042.826289059434,-9960.504554732703
24,-18428.32277844061,-9165.285706154466,-11498.839193516866,-15853.498218983434,-20056.91956107455,-12849.4472915363,-14721.724455546795,-21816.00976877787,-15589.442328265035,-25387.970170670214
25,-10478.368032416409,-16647.00050443622,-14235.910224816005,-15125.380482352888,-14470.527333280024,-21053.7921151337,-19184.02691680617,-14346.108892853688,-20452.75117154523,-10969.880380389126
26,-15665.982328423368,-17690.108242158887,-10151.662838135093,-17965.378559845325,-23633.338899708564,-14754.467098269579,-15706.5798565377,-11982.283594180732,-22221.877662525112,-17534.783538581512
27,-15037.608245313113,-11439.628693517085,-14477.919965522487,-13874.300600135797,-17001.481611428328,-13456.821731439628,-19108.767505611388,-14483.465186837373,-19848.598662062515,-12349.629881836956
28,-22207.04403203942,-12662.729984975645,-18358.768100233057,-18274.08048476307,-12460.260074491012,-11744.631153264892,-12696.707714605716,-20303.48513691315,-10754.413550326495,-12845.882201302167
29,-26684.332780196528,-8333.204590371352,-16282.459244395572,-12422.191804261158,-9732.907143032113,-13091.132945472402,-6742.015471442963,-9937.179204204955,-8737.69814620619,-27901.745890097052
30,-7725.334176692525,-8546.860038710343,-14019.33884429335,-7534.441790626339,-13928.448840567606,-24015.22910265044,-14747.294922218636,-10409.16899964722,-9795.409177109861,-11349.62556805736
