iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1586.8570355554132,-2180.1248466667666,-1673.3125657274627,-1494.7209624001744,-1485.2396128923165,-1785.5389720613182,-1757.3963401493957,-1576.5715956402246,-1785.588218623839,-1690.3762901986677
1,-339.93244898801083,-948.420817368878,-531.740440297134,-465.2054793100406,-789.4208595372926,-527.0663222471875,-609.8505919520015,-389.8755723659451,-644.8380066113875,-708.9129000475634
2,-296.03341201647913,-734.2464771816766,-481.53676177284524,-334.59645820199455,-602.4727898832219,-425.0417153269169,-464.7602242495564,-347.5253041873705,-543.2710664537356,-434.45248803488306
3,-285.6583713782016,-639.0595970323891,-361.6649546552263,-294.5896315950787,-486.15730856622815,-402.96642616212745,-450.3289744422507,-326.3126879474006,-425.55863129322535,-347.3388835035647
4,-282.18889441291213,-556.3832273825224,-353.32259051995874,-269.25787190353157,-442.1330836519328,-389.9778431420633,-413.92477938018817,-281.50320621900823,-394.75776111540307,-317.19249669189253
5,-282.18889441291213,-539.9745974114912,-346.08700153677165,-250.7573669584649,-407.0009425279312,-363.75038048916196,-353.70902774737544,-281.50320621900823,-296.7405575319156,-315.2936512745233
6,-272.514211871249,-529.9059286277673,-313.2213105237961,-217.8682142505411,-398.71316746044545,-363.75038048916196,-341.4092966942882,-277.46128219483046,-275.8835175286332,-309.1519873283944
7,-270.06182222231075,-467.0987101518481,-293.7314584653453,-190.8621359225274,-379.8432873649116,-323.96240027907345,-297.5598247007835,-264.2796289573151,-275.8835175286332,-309.1519873283944
8,-250.41995451857974,-447.2663972207495,-241.68608902732865,-190.8621359225274,-358.85548287283257,-323.96240027907345,-288.1536470674655,-264.2796289573151,-275.8835175286332,-259.39941819727073
9,-250.41995451857974,-445.37509463223415,-236.62780083218354,-190.8621359225274,-305.11358856989256,-293.9069809816835,-281.9129935839154,-259.8333676339563,-250.8886908993978,-246.00695433320004
10,-246.8818047554083,-344.7239579725041,-236.62780083218354,-181.6665510409735,-299.91888492487647,-293.9069809816835,-281.9129935839154,-259.8333676339563,-236.64729381724229,-246.00695433320004
11,-246.8818047554083,-340.06665283781217,-236.62780083218354,-180.51553015991414,-295.9368353379536,-291.26691400737457,-281.9129935839154,-251.8829791222259,-236.64729381724229,-246.00695433320004
12,-243.65677148212202,-340.06665283781217,-236.62780083218354,-180.51553015991414,-295.9368353379536,-291.26691400737457,-279.82431552669163,-251.8829791222259,-230.29363671733472,-245.63178153110167
13,-236.5180452395157,-311.68983110689635,-236.62780083218354,-180.51553015991414,-293.66343704162836,-291.26691400737457,-279.82431552669163,-251.8829791222259,-206.60409180386063,-241.79089878805408
14,-236.5180452395157,-283.84138666844285,-227.0148868689886,-166.95137626154443,-287.55683267426735,-291.26691400737457,-279.82431552669163,-251.8829791222259,-188.8590483907626,-238.50731075082885
15,-236.5180452395157,-271.66586804096113,-222.98951077660294,-165.78262227742107,-287.55683267426735,-283.94101285448346,-260.22532682284816,-230.76504425071033,-188.8590483907626,-238.50731075082885
16,-236.5180452395157,-271.66586804096113,-222.98951077660294,-165.78262227742107,-287.55683267426735,-273.6308236227589,-231.91601473389002,-230.76504425071033,-188.8590483907626,-238.50731075082885
17,-236.5180452395157,-234.73590977765218,-214.28723137980285,-165.78262227742107,-287.55683267426735,-273.6308236227589,-231.91601473389002,-230.76504425071033,-180.93464087217527,-238.50731075082885
18,-236.5180452395157,-226.8884094282226,-214.28723137980285,-165.78262227742107,-287.55683267426735,-273.6308236227589,-231.91601473389002,-225.95726818376858,-180.93464087217527,-238.50731075082885
19,-236.5180452395157,-226.8884094282226,-208.5856279887305,-165.78262227742107,-287.55683267426735,-273.6308236227589,-231.91601473389002,-225.95726818376858,-179.11038952881734,-238.50731075082885
20,-231.29485106009702,-222.20738605670866,-201.8447381541862,-165.78262227742107,-287.55683267426735,-273.6308236227589,-231.91601473389002,-217.90595951294517,-179.11038952881734,-238.50731075082885
21,-206.2488984869227,-213.59049837965406,-199.25850746395133,-165.78262227742107,-273.8661189287936,-273.6308236227589,-231.91601473389002,-217.90595951294517,-179.11038952881734,-238.50731075082885
