iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-27487.96716286703,-18136.9660213609,-25428.476304504766,-25370.63554023226,-15478.388435550216,-19343.273125754182,-30387.151829921993,-31706.32718813193,-17805.141988376552,-23535.861270367943
1,-343.62910015719524,-948.420817368878,-531.740440297134,-494.39223070829826,-828.5259713648815,-527.0663222471875,-626.355995879801,-389.8755723659451,-665.7535373967838,-773.293573516611
2,-573.1714269162746,-1003.6648892975543,-1058.8384342538184,-611.4001961092487,-825.9557592198066,-970.2124676413086,-688.0277326283822,-683.5507461161877,-862.9211878185896,-808.3596724463865
3,-809.4848510861286,-1086.4144014120968,-674.6166039481762,-974.5244284254508,-880.5614814639094,-916.680534126496,-919.7046271382444,-1027.9033223566817,-927.7413807282053,-737.0998586973853
4,-906.005508844274,-1328.8812237715642,-1148.19516476947,-690.6126240030284,-1007.1290445978664,-1107.9277214726033,-1341.6662455366193,-1229.0259294708524,-939.3828941577169,-965.7239054019036
5,-1503.4577248596543,-1524.6762135280387,-856.9420044680069,-1221.9420697282685,-963.8900732937564,-828.5136036828176,-937.419050444189,-1552.648700956145,-876.3970822403246,-1037.570563271675
6,-1337.9032833587144,-1655.938173972832,-1492.0986761992742,-1179.3524178308624,-1174.3372645261634,-1092.2089726051024,-1045.7220858504359,-1359.4557847231122,-924.5064098626269,-1190.1351984616833
7,-1323.4857445054893,-2309.3256253084546,-1703.0775564087558,-1126.5888125883448,-1668.7970576431685,-1242.508351411769,-1410.423942800747,-1927.9258060822913,-1132.3168695685029,-2060.1952285993043
8,-1410.456544307238,-1440.3550650639568,-960.7311920350458,-1426.2402521938666,-1307.7410618032163,-892.2370860502461,-1363.5258688176064,-1439.995545991173,-1222.4015271218077,-1292.6396353597495
9,-1751.9237323014136,-1846.5861953833578,-2200.0120904843816,-1630.2631738464984,-768.4341480596563,-1562.0117815666058,-1393.9506982824082,-986.8803987729793,-1911.010318897941,-1658.3465425638738
10,-2184.274321008928,-1776.0662695679648,-2226.3969690972326,-1160.0824103842388,-1090.5295735615252,-1458.8254347270401,-1890.7255826950297,-1800.3518618256076,-2260.0960208286892,-1966.7634647296188
11,-2624.7261853866876,-2235.967143513693,-1194.9076936987049,-2296.0826763091227,-1662.6474510538542,-1877.7051539628471,-1095.7655523656622,-906.8197573231841,-1856.4751635695316,-1264.6285713072875
12,-2051.0637597403247,-2060.9726479132305,-1865.9109886884603,-1193.4086221673388,-2587.8809470363753,-1756.8439286712105,-1774.9368925092292,-1766.008084107963,-1535.3877749795497,-1745.6696081728192
13,-1677.2099930334043,-1650.6038642617136,-1936.5604032815882,-1860.1079510650347,-1476.2895558708258,-1670.5633799692268,-2190.7855430226864,-2414.7583166143995,-1293.9729475665,-1985.3078812594154
14,-1702.6772957107391,-2130.7287034213878,-2123.118209854294,-1212.0177617307586,-1789.976118491533,-1855.4888230566887,-2277.7142373439656,-2910.0838011180826,-1356.2310944477292,-2030.939774664399
15,-1631.3115493551245,-1756.3297090670917,-1815.9515307038473,-1611.0481753286513,-1680.7506443973639,-2539.767544540892,-2278.81272234,-1463.189295280557,-1470.5724978719736,-1158.8134673915888
16,-1995.6458015961252,-2356.274921675521,-1614.1007406732228,-2053.863996256831,-2422.978649589322,-1614.1771352632945,-1623.7569888927858,-1865.7695172244016,-2764.6007887180244,-2131.512934092065
17,-2523.9722443758683,-2060.2692334738995,-1653.3816615770086,-1814.7185947982446,-1746.0107408257193,-1640.4670085490484,-2107.9230798515055,-2319.940120364528,-2080.3759504221525,-1473.5755333994339
18,-2693.1865577396475,-3009.8359989040932,-2698.712469793959,-2264.7412471408284,-2219.2066411614155,-3665.837320634063,-2332.574944398736,-1972.0167897571857,-1347.297003283141,-1846.6444664468831
19,-2387.789978222486,-2065.771207502547,-2855.7365560435264,-1274.0454342366486,-4125.32132906411,-2572.679809520386,-1879.1826632430318,-2822.444988990002,-1787.1609692944203,-2190.0017048616237
20,-2263.3142110021954,-2349.258331113475,-2707.244858972489,-1987.848870034035,-1926.158425051053,-2070.4669715772507,-2554.9276244604544,-2444.285499028922,-1801.7558275067797,-2772.6857233430223
21,-1593.0460631873573,-2077.7505579081017,-2462.3264962870944,-2002.2643681322922,-1475.9582923608532,-2079.5584824072466,-2132.2226329258992,-2298.511191950588,-2025.019103399104,-2200.441446941594
22,-1640.7294862136855,-1809.9995157166345,-1849.4670487274511,-2819.7105406517567,-1840.728767213665,-2751.916182290458,-1611.0302954158942,-1887.2479274145155,-2769.120329254397,-2208.663571168556
23,-2283.430733646228,-1355.2438738069823,-3638.945451333734,-1920.2469036935554,-1910.76643080828,-3596.3240510139412,-2535.623226407429,-2603.230752724069,-2448.596717742239,-3238.6215551463247
24,-2447.261544027547,-1606.9361057363499,-1842.761059087015,-2034.4544490437606,-2323.8188514072217,-1931.4270794013564,-1769.7382988341471,-2789.364156964591,-2293.7097569975904,-2194.570689162562
25,-2260.9289115463134,-2127.354704078859,-2380.2832250821257,-2240.187492003224,-1868.2401489365752,-2203.9538068523684,-2673.038709758348,-1807.9459651047705,-3129.568811124183,-1656.7280667926502
26,-2180.128671387667,-1615.3951264973796,-2794.348045619556,-3540.5697121435146,-2458.9593842222353,-2099.8205665736978,-1959.3919681241816,-2730.0847406331573,-1760.149620980042,-2361.202334329929
27,-3779.645872015505,-1958.008122616775,-1550.7287793989212,-2279.7245618409997,-2465.4206201244433,-2537.7364633306465,-2414.7137928387865,-2182.6503151346774,-1958.423899606659,-2186.9135218100423
28,-2205.482860438393,-1896.9209337516018,-2385.0222794518977,-2060.7897283285356,-3000.797075884907,-2046.2725495928673,-3067.331380524809,-1762.3089476822493,-1498.813235921028,-1508.627384702159
29,-2060.4922376651216,-2366.9480008870796,-3238.7519301247403,-1551.7238000647415,-1956.4532545349098,-1906.90667202349,-1978.0833276428039,-1977.5138704969897,-1687.224489015513,-2731.3380078400733
30,-2775.261538431743,-3383.835602213523,-2163.946332908593,-1599.1785487218262,-2469.012519185836,-3155.363249441154,-1953.7641287693052,-1808.9224062593898,-2213.6612625766256,-1744.7403127267771
31,-1464.895868268657,-2638.0399240028532,-1269.4472410660692,-2168.3625758686235,-3949.170620757048,-2078.3907354177763,-2243.0828897284705,-3467.6028697630095,-1652.2578910466984,-2024.2285198722298
