iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-118.72258852144273,-116.2506426159851,-116.50232862459171,-115.04080140103495,-122.10217134960648,-117.25424499946922,-120.37832572090917,-118.55720363243097,-113.4200290237293,-117.41237684251391
1,-108.36837379704,-107.16964709823242,-109.26351815344424,-112.19176930578813,-115.29092782374278,-117.00172738740068,-114.71736886367123,-105.78151459163618,-106.54059766993781,-112.0255637427613
2,-100.81985371026249,-104.85161546646262,-100.71597842719157,-109.02852494802804,-114.0854140795031,-116.332917755716,-107.33748877349316,-95.12214408680688,-98.42927478930774,-111.51805507047908
3,-95.04262920130401,-98.29898642287037,-97.19875470326676,-104.31790584700622,-112.33738765775057,-112.90412510833548,-103.20111622353306,-88.69594397215899,-96.93878360686674,-108.03913794238703
4,-91.50222382348834,-91.4072525007843,-92.57271740521179,-99.52832109135011,-107.18552388893272,-105.96825905580471,-94.88162705389861,-85.11930944015084,-92.17929241838456,-104.75541820604653
5,-88.11468308844132,-83.13876360365916,-90.36375337325899,-93.66893859863349,-104.7300193819859,-97.3839890219517,-85.06575709109487,-83.67570448163161,-91.27955119036366,-102.64981792897697
6,-86.42026891896546,-78.94182085200492,-89.8379497649245,-90.16009777465652,-104.7300193819859,-93.66951443016738,-84.98273792105905,-82.95063903576339,-89.07446232424442,-99.94427792605731
7,-83.87602885176533,-78.59095312946326,-85.21740602632491,-88.27654364398056,-98.4319978349579,-85.56163458746559,-83.3084638452555,-81.36990035333811,-86.22948069396446,-97.66575604309821
8,-83.26416891617535,-77.78762590108194,-80.13951294933709,-87.54275924777016,-94.04091857036681,-82.96523372780061,-81.36089479671566,-78.92324577898776,-85.90049072659905,-97.09776241158744
9,-80.36182005069551,-77.72792320581428,-78.0175010366586,-85.30470013064613,-91.4634330964888,-82.43304167995888,-79.94827008673411,-78.63160179125751,-83.40686485348792,-91.7512065559316
10,-78.03347263442164,-76.3927257245673,-77.29743505238216,-80.7929623869297,-87.49416649526191,-81.85401527352559,-79.7461108029427,-77.98305121533348,-81.03083408555557,-89.15102251036717
11,-73.20477217321248,-75.37273588730612,-76.66301091899794,-78.3571962725317,-80.8666758469915,-79.62599807399063,-79.50645499963147,-77.2617932733285,-77.17864621135301,-86.20518570701529
12,-72.06174323579332,-74.8656971773176,-74.7422223236246,-77.20451023008674,-79.1502581677942,-78.2368948409592,-78.66231049676934,-76.46082414776996,-76.99265184443144,-85.9402231773346
13,-71.77566633623894,-74.74520299585278,-74.54850526261662,-73.31198961125389,-76.36477577050988,-77.26059506045243,-78.66231049676934,-75.72967929680084,-76.99265184443144,-82.9702277037481
14,-68.96513243218402,-73.05696496791072,-73.71200629186794,-72.57933579419085,-74.12689243921577,-72.05904433877723,-77.90802748430534,-75.72967929680084,-76.1560534976912,-82.93931469110936
15,-68.96513243218402,-73.05696496791072,-73.52428607052762,-71.30417535237339,-74.12689243921577,-71.01031378748445,-77.56378590889118,-74.55752501031543,-76.1560534976912,-80.98825378573818
16,-67.9877091780969,-71.46884578600755,-73.52428607052762,-68.18739930613816,-74.12689243921577,-70.86993551622152,-73.57217615053115,-71.19131597725077,-72.83737155890128,-76.98589812522233
17,-67.9877091780969,-70.27020875567683,-73.52428607052762,-68.18739930613816,-74.12689243921577,-70.18461099681272,-73.28812422120072,-69.13999408188226,-72.83737155890128,-74.88461573846045
18,-67.9877091780969,-69.40941524618505,-67.99962207789035,-68.18739930613816,-73.71580218166457,-70.18461099681272,-73.28812422120072,-69.09097463394757,-72.0503073714525,-74.67117153382723
19,-65.12352614006056,-66.83250251854714,-67.99962207789035,-67.58648021035543,-71.95874485155679,-70.18461099681272,-73.10466959652967,-68.7060512936882,-71.419753981891,-74.67117153382723
20,-64.5405839729797,-66.69617275021365,-66.24676103504483,-67.26177005478527,-71.25562398021825,-70.18461099681272,-71.94629742767351,-68.7060512936882,-70.72221753508836,-73.87551913912927
21,-63.9975909285222,-66.69617275021365,-65.12091398452851,-67.26177005478527,-71.25562398021825,-68.2599351029829,-70.58934941004468,-66.58003260371692,-70.72221753508836,-73.04803733329331
22,-63.9975909285222,-66.2215836717437,-65.12091398452851,-64.62038874900175,-71.2293273273429,-67.74928730897241,-70.58934941004468,-66.16071881227143,-70.72221753508836,-73.04803733329331
23,-63.59485745122269,-66.1440624204611,-64.86736913972197,-64.33082538166133,-68.80253348781858,-67.74928730897241,-69.77144707175512,-64.86002929385137,-68.12615359257029,-71.85811138915076
24,-62.94419251785551,-65.13196014556411,-64.86736913972197,-64.33082538166133,-68.80253348781858,-64.97063489894418,-69.77144707175512,-64.86002929385137,-68.12615359257029,-69.9573274810109
25,-61.22598640879953,-63.71247885080131,-63.557495151985876,-64.03995072597,-66.36681677146339,-63.63618563032212,-68.42700224748181,-64.6819786377532,-68.12615359257029,-68.56627093530105
26,-59.76041802115094,-63.71247885080131,-63.557495151985876,-63.64974372251993,-65.3569271966995,-63.63618563032212,-68.42700224748181,-63.3077608313431,-65.99941708283514,-68.56627093530105
27,-59.76041802115094,-63.59725101796886,-62.893881621672335,-63.64974372251993,-65.18121506950465,-62.824465913062426,-68.35150381811357,-63.3077608313431,-64.06730362687189,-68.3313090451797
28,-58.13633278074958,-62.122116882212204,-62.47160983214282,-63.64974372251993,-62.264618842768485,-62.824465913062426,-67.5207504219858,-62.36516420666268,-64.06730362687189,-66.84875245247332
29,-57.2562693673856,-62.122116882212204,-61.835002529505815,-62.52886898968839,-62.264618842768485,-60.86303909527682,-66.73665439915214,-61.126000512469915,-64.01971354549461,-66.84875245247332
30,-57.21034405118829,-62.122116882212204,-61.835002529505815,-62.47105483552774,-62.17404242249482,-59.88735130788588,-66.73665439915214,-60.75519961750309,-64.01971354549461,-66.54906845070431
31,-57.21034405118829,-61.932817263327706,-60.91957546306334,-62.47105483552774,-61.74234604566966,-58.585813108643876,-65.95291574487567,-60.75519961750309,-63.877411398264556,-64.22412184379338
32,-57.21034405118829,-60.677540569629144,-58.79926155735447,-61.17887993550186,-61.74234604566966,-58.585813108643876,-65.95291574487567,-59.64482484548427,-63.68891643639496,-62.87179517048662
33,-57.21034405118829,-59.78071502288268,-58.79926155735447,-58.928314280730376,-61.74234604566966,-58.585813108643876,-65.92797651026837,-59.64482484548427,-63.28597368904998,-61.958113018487325
34,-57.00978808927135,-59.245477354621926,-58.09675227975987,-58.3123732940307,-61.74234604566966,-58.585813108643876,-64.95117475596777,-59.5593106974147,-63.28597368904998,-59.788893208879514
35,-57.00978808927135,-57.691651324352165,-55.98870132345516,-57.4464134533185,-61.74234604566966,-58.41539275958691,-64.01432460521934,-59.5593106974147,-63.28597368904998,-59.788893208879514
36,-55.42758464492053,-57.691651324352165,-55.98870132345516,-56.95851918296636,-61.66483843857547,-55.73936872316349,-63.583822161216276,-59.5593106974147,-63.28597368904998,-58.74872835886983
37,-55.37270081655858,-57.52351600865378,-54.87442425721815,-55.85336384386665,-61.5599457709046,-52.754354597770345,-63.583822161216276,-59.5593106974147,-61.670660380612745,-58.672877049045596
38,-55.37270081655858,-56.26519573379931,-54.87442425721815,-55.85336384386665,-60.28150996210519,-52.754354597770345,-63.08760185974282,-58.76276857374029,-61.39498495809601,-57.97930370939093
39,-54.786269044537164,-56.26519573379931,-54.87442425721815,-55.269743878403034,-59.7627458155266,-52.754354597770345,-63.08760185974282,-57.76611375290294,-60.77904250948763,-57.9240244964145
