iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-188.22835413160456,-189.18542295476215,-203.3455933578757,-201.54971621540238,-197.5271946056571,-194.06112883713342,-206.9235990114429,-198.19034869141515,-177.12843987995018,-186.8283428899216
1,-127.09714368426694,-125.40414282972687,-128.11426078427453,-137.79923111666997,-144.54340939751688,-140.9537886527957,-133.11292418296426,-120.67032691462003,-126.53410666105144,-134.6464321703367
2,-119.07008407259212,-140.67338083188469,-116.76245339162585,-127.43651522602227,-142.35181053318414,-142.15181422112767,-127.07454940486619,-111.64913698596845,-110.51041183869364,-142.9291287804936
3,-110.7971608758664,-115.4981265126375,-133.72456759560765,-126.88430758852606,-134.50574274335065,-134.0187130640274,-120.32983312394316,-111.48829045448652,-113.5545654064498,-140.6099103581928
4,-118.16876437682886,-105.71609814607554,-116.2241454931604,-120.39329657010471,-132.3562879574627,-119.87914643319671,-115.00208902896799,-112.8363210306408,-115.04409069926976,-129.9149917343159
5,-113.30288015915735,-102.06156331844063,-121.50554742763458,-110.72586141999263,-130.11087789980263,-115.83873285960563,-108.99281480558898,-113.13325799271416,-117.34687602702742,-127.19144239374856
6,-127.11479032749601,-104.10109992342475,-123.73345948874179,-116.9104544397386,-134.0205053771118,-118.7844760628322,-113.16543671185329,-110.4953277856435,-124.63602819268988,-130.23568543382078
7,-110.04449166817977,-103.86724473549954,-108.22990600490064,-118.27643694100601,-117.24235189723787,-105.1921112129402,-112.12094895940301,-117.43523542284629,-110.8496867953425,-113.6521309578645
8,-109.36252517462665,-107.35204361503241,-100.9666933349871,-114.88721576194129,-110.69001887157192,-105.43989404166467,-105.10146823839638,-101.41811184007014,-110.90689022859334,-121.00102702929624
9,-103.42271342669605,-112.15500305343852,-112.92527000110164,-105.34693331752746,-111.17713353795344,-111.0679696883648,-104.5723207974888,-112.77810682993768,-114.58677958670089,-113.39503043418388
10,-104.31648587463614,-101.95102402934378,-105.64718328806217,-106.90931711542959,-105.80116204046678,-103.82580017880598,-119.7913744929838,-110.71498461390439,-109.60744209157151,-113.32559320506691
11,-95.72107839243286,-112.493804200734,-118.50312998961634,-108.87533094030583,-103.13841621950858,-110.63555786777249,-110.43488271439847,-106.27687167413153,-101.75836201972432,-104.64494528829755
12,-107.78459777147515,-107.32966081886404,-109.92444043991541,-105.87373934088154,-107.87928431116069,-98.96115223847801,-102.09942289658206,-104.37436607853621,-109.63810016051472,-114.65453837442894
13,-99.69213215782204,-103.51499233211679,-114.31829996290301,-95.74475985024318,-104.15939674861364,-105.2630252938948,-105.137166914771,-114.91518690669488,-114.60834038977958,-107.21859938780567
14,-103.11262210832975,-106.18946609027105,-105.74828032751972,-100.08398664399952,-106.78062998055985,-89.02015594532403,-103.12702276451407,-109.64865626202497,-105.3984116383686,-109.52469637684685
15,-103.3607827824725,-112.55770220417699,-112.36966903536259,-110.46568611130958,-109.85564174739113,-98.38720805432202,-96.53205495073459,-102.91137938713894,-104.29863153703306,-110.78541744883589
16,-108.47050918761758,-97.56292113220005,-116.63120258800741,-96.6975867111745,-101.43447786223972,-98.16806532924943,-94.05806220992777,-102.28428937333177,-96.50742186048632,-102.38064354441912
17,-113.4688306118442,-95.31280048443352,-115.07758127434582,-109.31992270819518,-105.26232603439257,-99.22995810858683,-103.9880169112023,-102.93422696741735,-116.22915076838498,-109.89292952649689
18,-102.14747156556237,-98.56198961749786,-89.62123628778642,-109.41737780295398,-103.64481557723698,-104.11896629505179,-106.57711830020092,-97.19418262243133,-101.18814641010107,-108.74989600326253
19,-94.27781658957542,-98.21354926698527,-110.10562396693254,-90.94563119384645,-98.34053316837176,-102.23888473766743,-110.52912739020451,-100.77872402251212,-104.32400300740122,-104.12531313120769
20,-104.02499886178182,-96.85810712574161,-92.892199493437,-95.83178478184385,-99.74486998896978,-105.26307345132058,-99.7745926457307,-105.50711964448865,-101.05171115365292,-106.90131719184191
21,-101.38982539400077,-101.08336690361548,-107.002024983347,-114.73425953245516,-107.45821437366102,-96.18832589079088,-108.30976777870194,-97.90058042150815,-114.2052433113089,-99.60465726664678
22,-93.3783255520354,-106.02771620875399,-103.65029994982834,-109.99021630744359,-100.2890446299245,-102.2066873454227,-108.17866271517366,-98.90015741786559,-103.30106826726346,-95.63391046224966
23,-92.40256535951407,-98.65530729599914,-99.10534862194348,-108.9358142578821,-90.27874009418477,-101.2975190916917,-103.33836485433395,-100.5806215624948,-104.00919848203175,-107.77227308527435
24,-95.25883752866797,-100.72564441643378,-101.26887469914956,-97.72139504087006,-117.23142799607258,-93.58833466412985,-106.3584069186403,-102.3824913854161,-98.71856684327699,-101.20955725489097
25,-90.21013355052082,-96.03719532133964,-95.59771520895427,-92.90547736346323,-101.54076787477624,-88.22886597691524,-105.60695144706362,-103.50657412052598,-101.30774130109057,-96.3311823428331
26,-98.9832422466291,-95.9039016422028,-87.71522236031512,-101.37948863581772,-101.36547435080811,-99.40977563273881,-102.56400598062454,-93.20372179551413,-105.54618289420223,-113.35189795329336
27,-100.31463520967353,-103.3879569615481,-106.45466849406756,-104.6410293064606,-90.94973493892697,-99.41072274187755,-94.26156230109189,-110.58020858545049,-100.5262533015713,-109.32800886213711
