iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-118.72258852144273,-116.2506426159851,-116.50232862459171,-115.04080140103495,-122.10217134960648,-117.25424499946922,-120.37832572090917,-118.55720363243097,-113.4200290237293,-117.41237684251391
1,-118.72258852144273,-116.2506426159851,-116.35182312844138,-115.04080140103495,-119.42688414327674,-117.25424499946922,-120.37832572090917,-115.75418989174693,-110.97686742873674,-116.015604681303
2,-117.85154057646085,-115.27239782721486,-116.30905886130964,-113.75388443407891,-119.42688414327674,-117.25424499946922,-119.93614204051119,-115.75418989174693,-110.97686742873674,-114.68501495931046
3,-115.85615556366557,-114.52702703588942,-114.73290542256359,-113.75388443407891,-119.42688414327674,-117.25424499946922,-119.93614204051119,-115.75418989174693,-110.97686742873674,-114.68501495931046
4,-115.85615556366557,-114.52702703588942,-114.73290542256359,-113.75388443407891,-119.42688414327674,-117.25424499946922,-119.93614204051119,-115.75418989174693,-110.45047268953338,-113.87396428594386
5,-114.48399357207012,-114.52702703588942,-114.73290542256359,-112.65641630318785,-119.42688414327674,-117.25424499946922,-119.93614204051119,-115.75418989174693,-110.45047268953338,-113.87396428594386
6,-113.19236426146409,-114.50443807097872,-114.73290542256359,-112.65641630318785,-118.58390464143636,-114.77891934189465,-116.14701131556174,-115.75418989174693,-110.36755529509006,-110.82804336269785
7,-113.13699222503114,-114.50443807097872,-114.73290542256359,-112.65641630318785,-117.23042421039932,-111.5849733952061,-116.14701131556174,-115.75418989174693,-108.89791214693963,-109.69656710046158
8,-113.13699222503114,-114.50443807097872,-114.73290542256359,-112.65641630318785,-117.23042421039932,-111.5849733952061,-116.14701131556174,-114.71886792661189,-108.89791214693963,-109.69656710046158
9,-113.13699222503114,-114.50443807097872,-113.89428885629314,-109.16868199431438,-116.5050033921184,-111.52990612040357,-116.14701131556174,-114.71007562245259,-108.89791214693963,-109.69656710046158
10,-113.13699222503114,-114.40858943468152,-113.4177708930487,-106.84733492084486,-115.46119501206267,-110.92898124748962,-111.41194115941198,-114.71007562245259,-108.89791214693963,-109.69656710046158
11,-113.13699222503114,-114.40858943468152,-113.4177708930487,-106.84733492084486,-115.46119501206267,-110.92898124748962,-111.41194115941198,-114.71007562245259,-108.4043071350541,-109.69656710046158
12,-113.13699222503114,-112.94072188206904,-112.5077792646978,-106.84733492084486,-115.46119501206267,-110.92898124748962,-110.30066208484953,-114.71007562245259,-108.4043071350541,-108.44628074070542
13,-112.9769136027076,-112.27413518654576,-112.5077792646978,-106.84733492084486,-115.46119501206267,-109.4716256389507,-110.30066208484953,-112.98186089935804,-106.70236953875806,-108.02115377605571
14,-111.14172022768543,-112.27413518654576,-112.23912936939013,-106.84733492084486,-114.66815456293983,-109.4716256389507,-110.30066208484953,-112.98186089935804,-106.37721932267316,-106.35100897438436
15,-111.14172022768543,-112.27413518654576,-112.23912936939013,-106.1307631844324,-112.4308885275467,-109.4716256389507,-109.01506570399171,-112.92082562104422,-106.37721932267316,-106.35100897438436
16,-110.17600429902687,-112.26123189222164,-112.23912936939013,-105.79539194139731,-112.4308885275467,-109.14361136456796,-109.01506570399171,-112.81180178727058,-106.27768025141668,-105.57964971215341
17,-109.80065326803988,-111.85527541723567,-112.23912936939013,-105.79539194139731,-111.48403911877102,-109.14361136456796,-103.95770707233444,-106.73176359612287,-106.27768025141668,-105.57964971215341
18,-107.6310264037457,-111.85527541723567,-112.23912936939013,-105.79539194139731,-110.54658566960322,-107.3756658242295,-103.54218353156244,-106.73176359612287,-106.27768025141668,-105.57964971215341
