iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-188.22835413160456,-189.18542295476215,-203.3455933578757,-201.54971621540238,-197.5271946056571,-194.06112883713342,-206.9235990114429,-198.19034869141515,-177.12843987995018,-186.8283428899216
1,-182.90103992511575,-187.98973951684474,-182.475509652918,-194.56643569585168,-171.16786868988885,-202.11052304678742,-193.02419498130956,-178.6029276617175,-174.09940222976053,-183.03167789082485
2,-180.41871174188964,-181.36371339457838,-193.6520703145144,-169.8234836854549,-185.33770741651716,-189.36985961440269,-172.9397273307669,-179.95225302215792,-187.60750387520335,-178.53618637340878
3,-168.79609317513484,-187.54445713354414,-175.14532364274226,-182.46168798286232,-181.76158480264542,-168.0819871237017,-182.2091061880223,-189.5233390137776,-184.3751307705832,-198.58636624356024
4,-180.5367749251619,-171.04891159705198,-183.77268892713744,-182.04111116315124,-181.74080683377372,-183.8595901278942,-191.10045145811836,-179.78908248965297,-176.65089762952593,-185.69158632776936
5,-181.6235216158337,-190.17619750978685,-183.75590803296768,-182.73576751493155,-185.1078052352546,-186.95375302620522,-186.21121360656792,-179.72480403337218,-181.99998485962445,-186.82408766731155
6,-181.09495787447773,-179.85842540730516,-168.6049814827839,-195.38608036882223,-183.59115632475948,-158.29697923371862,-165.0019250485181,-192.26565679237427,-177.93684335778696,-172.51713657523374
7,-165.6433341066492,-178.14352050526855,-183.67341551764417,-180.95118488074564,-189.83412034631132,-156.06128367642674,-191.15503610306428,-172.56748163806932,-182.51947028312472,-180.78114108728428
8,-181.10584938736662,-196.69674874989204,-171.63869740702955,-191.85215892701905,-189.14386220467836,-173.1271542038457,-190.09031859680871,-172.66772516485355,-179.39162857386077,-188.60077047046929
9,-179.84255498136378,-191.42486094317815,-177.54314956543828,-179.9092313478546,-175.78590894523643,-171.23110905915397,-183.54414218838215,-170.86361024957225,-184.03509181365072,-183.67636701641754
10,-183.6629159423582,-185.55332430013542,-174.9798676391677,-173.3842623660417,-160.9629751675172,-167.04228766048521,-173.44613849414768,-171.05520388134693,-186.96578634901306,-175.62377278930228
11,-176.58463768990333,-189.71690857579145,-172.89166408625488,-167.2777130772992,-179.7643469852133,-178.494215259767,-185.0064679727118,-175.27875688352432,-174.76260802933777,-161.13908846345504
12,-177.59264764092805,-176.30292513236185,-184.3605262684107,-170.79918269638273,-176.0921912560081,-183.36543084549453,-179.41427164711283,-172.0260453012611,-182.342834481297,-178.12424966088463
13,-180.8400384782007,-173.18073747587468,-172.3125579141477,-182.38379055263255,-182.2914799092971,-174.02756617671167,-192.59985446762346,-163.7027266640437,-173.81430371353645,-182.43851479748704
