iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-118.72258852144273,-116.2506426159851,-116.50232862459171,-115.04080140103495,-122.10217134960648,-117.25424499946922,-120.37832572090917,-118.55720363243097,-113.4200290237293,-117.41237684251391
1,-105.038136838588,-113.47718274586532,-110.46617989167724,-108.4324821051124,-111.09456665299678,-113.41829880158058,-106.6096847672022,-108.37400024750247,-103.36479182678202,-113.75782957022315
2,-102.61549361334582,-107.0522584300345,-93.55245906971003,-95.77711199339926,-99.11378903920331,-107.7716102914287,-100.40868825796151,-97.33421958728874,-97.7050451423456,-106.15972406560135
3,-99.80744713474184,-99.42971315409856,-92.63248647658565,-89.49438783804813,-95.3358219979668,-103.98572471459565,-95.71719370464137,-91.90615950669118,-95.01431220576043,-102.45718854979435
4,-97.81953836303882,-89.86347451925734,-88.87014952946342,-85.2571673299312,-92.95655774593814,-96.2016371695913,-92.4141871374911,-90.29975506226049,-90.26588861548308,-95.35974736891959
5,-96.56851623406996,-88.77040952909624,-88.74883995557066,-80.92757912086154,-87.8383251648232,-94.70227394562075,-92.08560902058072,-86.19068246791502,-88.95896286102128,-87.85778906656039
6,-93.44903116355005,-87.03679205044091,-87.61135308112624,-77.75607854213474,-84.10020440847391,-90.66347446291822,-85.9401197128874,-82.45553215953299,-82.2438027298308,-83.8100311827282
7,-91.58647856114942,-87.03679205044091,-86.08880736723766,-76.76410134432729,-80.16373927297806,-84.92116311311568,-83.62546101512524,-82.31226375341308,-75.74158330463348,-82.58850797495148
8,-85.73499952831985,-80.69770517974766,-83.44168159127096,-76.11339700176505,-79.90389015356519,-81.28866073297925,-82.40775421134191,-76.7798316354431,-75.51085471508304,-81.4129754969245
9,-84.29126187239041,-78.37528707986365,-82.15280314495268,-74.93870259892984,-77.08727862603683,-80.45706787401275,-81.75970208879072,-75.3861413107351,-75.51085471508304,-79.48220369794515
10,-82.25434672117366,-77.69731113254872,-79.43121501791718,-73.16518313813742,-75.37778623170855,-78.0118103425409,-79.22670254878331,-74.28792219508092,-72.71632726952816,-75.2401417819105
11,-82.25434672117366,-75.73063632429346,-78.96662936225125,-70.75078590309784,-75.37778623170855,-75.74638469972386,-79.08977874022297,-72.25363665796051,-72.71632726952816,-74.46132607472836
12,-81.18079449495087,-72.5488139962733,-78.05436589005278,-69.8163291717348,-75.37778623170855,-74.81187992262474,-78.10092454725914,-72.25363665796051,-72.71632726952816,-72.27230087090894
