iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-188.22835413160456,-189.18542295476215,-203.3455933578757,-201.54971621540238,-197.5271946056571,-194.06112883713342,-206.9235990114429,-198.19034869141515,-177.12843987995018,-186.8283428899216
1,-119.44394992311277,-126.20932406041453,-124.7559506666145,-128.77238980563197,-124.4325877594804,-126.17658818063069,-117.62737631516217,-118.02385573275319,-117.60137881173142,-143.22959652973898
2,-131.68734843488858,-137.60385019826998,-104.84763402834477,-116.46008001122831,-124.75657769874601,-130.03058947188364,-114.29000027495462,-114.9026395052534,-116.30613815473242,-133.44793536524855
3,-130.88103221268713,-115.8069686978263,-118.410124800766,-113.79446343943746,-117.8315679148881,-126.75284241116756,-117.03121822088535,-113.22258996309675,-121.82367449006414,-133.82819058555975
4,-117.25020704185826,-106.79279856844533,-116.82903709632822,-112.87732701046501,-111.27343445894539,-112.8829528612049,-119.73691360921542,-112.2972422606948,-111.16570229558697,-118.84776629310237
5,-132.92180814778737,-117.19147894284148,-129.638070603684,-111.0546636736486,-111.76508402008625,-119.84748112646676,-125.75524303806836,-111.56570723919963,-119.28344045645923,-108.27331071139153
6,-120.63657030894595,-116.0501875492228,-114.2813013542921,-111.39013851057588,-108.57169262386422,-113.70494253650341,-113.72611480945551,-110.27475595923504,-100.36514141191316,-106.87079526280905
7,-126.57417378383539,-117.74834414461276,-115.14239046727069,-106.35110494018814,-110.78687117255922,-97.09057813554107,-103.08092985901104,-104.32462165080304,-107.64099501732368,-113.3668262470475
8,-109.43211785601252,-105.45672112113692,-120.02771091775291,-115.65822746417291,-109.37265412070606,-106.93463860226497,-111.04339305783068,-99.18567767002352,-111.18469092969389,-108.40261150568321
9,-111.12844744407259,-114.69778277649553,-114.75456084955313,-119.99012837457457,-103.90043218716085,-109.5745407278854,-113.0547682926171,-101.72398134686878,-115.02803278080624,-108.46480381132149
10,-109.14228774503576,-122.20129091421967,-100.15925351010941,-104.32871795253541,-110.72998810066875,-110.76660231000723,-111.89864459901278,-108.70052122027278,-105.39487937500917,-105.35104337087758
11,-119.87605548249289,-106.96641218968304,-108.33175872956124,-103.42379853303802,-120.1835176712617,-111.81513213582559,-114.92332767958277,-107.27383563538771,-113.71138792299776,-115.99808405000073
12,-109.4690278809341,-115.5713290748681,-108.69731785389112,-104.00324495893759,-111.36373220280225,-107.30993794328222,-104.33345801638451,-112.12642576556235,-111.62153018593176,-103.26439982064431
13,-102.52559540870195,-111.38860866724139,-117.12707115097824,-105.81458678550928,-109.28736202980562,-103.3910428984972,-114.4465812784449,-100.97698268609261,-112.82164714061838,-117.96954124847377
14,-115.76651819335504,-106.5813220775712,-110.21008413277485,-105.93643779409919,-116.55385912845692,-112.69621774770505,-107.49372322914608,-100.9647930241315,-111.71486400358852,-118.49530071245897
15,-108.47304216947659,-103.42343885853401,-110.92520699934613,-109.16150328311903,-111.97574928171514,-100.3679679172792,-120.47250867043962,-111.96474614860401,-120.17319142473896,-122.87215112259446
16,-105.73046080021122,-107.31158948735423,-108.54929726582907,-108.67971997807848,-109.33776996957788,-94.92199181557403,-110.42719426003606,-119.5859546543569,-122.24132631134616,-111.61905021866191
17,-117.91801250562693,-110.56344457753517,-116.22006770091224,-101.38744540921859,-111.39375310776697,-109.38378481597273,-109.52252591304728,-115.32962813549042,-114.54879242209648,-111.98500217925036
18,-112.63241727076444,-107.62034949465026,-110.0765526013071,-101.00344741742938,-106.21743086642752,-112.30515751977646,-113.5450663555082,-95.07313991036983,-108.356578688103,-120.55465471284879
19,-117.19161898984487,-104.94926184048403,-118.22427758510091,-109.1806824723956,-101.12808618287013,-106.81220437268841,-117.82917866340998,-113.35255420145968,-100.6806254990138,-103.3323685735318
20,-120.0349708713184,-107.63866406785186,-106.82032027607218,-111.02150035725923,-100.77514693831552,-116.05781772553468,-112.11086509416886,-106.89023386131501,-115.00388210687929,-107.31592260789998
21,-120.25758555527361,-104.76641660368978,-112.74563926595351,-100.57379869524445,-110.30475813346287,-104.50979377716651,-108.59373238540293,-115.19210703837709,-119.60038865566433,-111.59687422176161
22,-111.25383034270895,-112.6710421122047,-107.34855761215613,-110.99136735310356,-106.75110777627245,-97.26440067335234,-102.48651030475531,-111.58365921903547,-103.88732450406762,-109.71855314662173
23,-116.988951580739,-102.60444956725365,-104.81470059367739,-106.92320942065783,-107.42418446155938,-106.39033650240106,-117.25594013098065,-104.73759630908819,-121.18264447539829,-107.6829618616191
24,-109.43753438442874,-98.723029021918,-105.16045915187615,-106.54391960712113,-107.4777794365636,-111.40530817143062,-109.71045182627637,-104.60108443000257,-112.28504615137695,-107.00088235488332
25,-109.54622180508288,-99.70182224716174,-98.44335998830945,-101.82347272989367,-101.32445352985151,-108.15994990584306,-116.27428702210022,-92.57192126266472,-108.2409850547572,-115.0215486237997
26,-124.05372152913134,-117.88380421602561,-115.24455772208805,-101.84187021201674,-104.62721426203825,-103.96562958269712,-97.07530325445441,-97.6649594369874,-112.58335426450655,-113.32395795948779
27,-112.13563248764454,-109.14548059918707,-112.09184091057692,-105.39085867986267,-121.09712399774398,-107.30909847876346,-105.96114835976934,-106.23802475191246,-116.4773194928857,-110.02072774886892
28,-108.53478399664033,-115.1522080618843,-108.9899308606987,-106.99019973630044,-110.116514555978,-108.96642177764505,-117.76137358725391,-101.63279544700619,-108.28237198236218,-111.79219731897516
29,-99.58810459905386,-111.87981409342972,-112.38087212248317,-111.82503689251061,-104.73100219455273,-119.3846238485211,-101.82344616843197,-112.10189896432212,-105.83466101040067,-113.51407431024019
30,-101.07448047561942,-109.75147345857707,-112.22640618947926,-101.07766311823231,-106.8617811808971,-109.18641536766184,-108.77959781194761,-117.57197938254554,-115.55201229783215,-120.8190380270116
31,-114.2191700958019,-106.93665120053899,-120.25040134835295,-97.78546727101013,-102.12903702044315,-99.6930410080848,-108.99638658419141,-99.71564206795918,-123.30979468505593,-101.70732229255626
32,-104.36047354029867,-106.9621546665358,-111.90123094150263,-105.31830886090046,-110.04626704520714,-106.22306377280319,-99.3475097463767,-102.36930807207901,-103.01853332012793,-105.1110758223081
33,-107.96985931720991,-112.48884793235354,-108.26204279651014,-101.16924925256794,-104.69701805954304,-110.71649804511677,-110.27972485418135,-102.93728398026913,-111.74923034051564,-100.88768466823453
34,-110.6056381627146,-101.25420713749787,-114.60114043680056,-109.92949658736555,-104.8880727953677,-110.66302104515204,-110.31429130351302,-115.62020255534868,-104.14148280452173,-115.64202752674204
35,-113.99249349349432,-109.87963907581715,-100.78066094504675,-108.41426386827655,-107.6273300332532,-106.47182455155979,-112.13067097917545,-102.80629013117235,-106.42190234020504,-97.50532654464212
36,-102.42388349468824,-105.15408843301594,-106.3400548655856,-105.51758350413763,-106.04929690262693,-102.40039100072204,-118.37735444929132,-106.29768846915294,-114.33203083386879,-113.0655108595777
37,-97.26663259529369,-110.24187948404594,-96.72475033684825,-102.8505664817387,-108.501267620329,-98.4938874127651,-117.29511228908422,-109.93980110107651,-113.54901031445209,-118.99221221232438
38,-97.78878936421705,-111.27440609476112,-106.63520669858039,-101.61892741697008,-109.25517075181128,-98.5171935113826,-105.15457356535696,-101.02406400781744,-111.21621462849868,-108.34175246151167
39,-117.51975846568784,-114.82601489905107,-106.3087076878195,-112.9862343616274,-105.33451695045122,-106.75043936696795,-115.51915179236356,-110.3453235518157,-105.96162932724258,-111.06242483340067
40,-109.66838742493401,-106.35709373418938,-103.39948378921562,-98.9748894530139,-109.90734016192093,-112.48706437535634,-109.43234015450741,-105.75707049603348,-109.15572176239631,-115.20207650076239
41,-101.74492808054869,-102.79412645956535,-92.6515602113326,-107.06884730288894,-105.7028215832945,-106.61162098111893,-109.89868107410871,-106.4914197956844,-110.82005068199209,-113.3442744276552
42,-123.07418167909498,-106.03038588772034,-99.1934141675268,-112.36115334947407,-108.37297728145506,-103.707336485534,-97.97029851683503,-109.52305077186017,-114.49596011686515,-103.88348987970355
43,-102.98339544386855,-100.91735378812496,-107.27070777862801,-118.8439108621597,-105.5766176667693,-99.6830224517783,-97.66098805025547,-107.49874282672586,-116.35477211549124,-110.73821306655549
44,-109.93656874123909,-107.90938335201088,-112.95143268008398,-112.2136572409238,-108.96029187987236,-101.54987008397399,-108.19301013687124,-114.77712227732371,-116.61146662575774,-98.81406354380032
45,-102.25846288340497,-108.55694281371095,-112.11556641852079,-114.26781199836495,-102.12098034294792,-99.05382877678775,-97.13378168348619,-105.459862257282,-111.72812835741823,-104.77305640342777
46,-111.98820349725713,-98.51984413009211,-111.39314610916016,-102.71657454725374,-101.86915528904731,-111.37954264864055,-94.0234989172993,-113.31674070293587,-105.08712520192731,-99.51574694073665
47,-116.20298473113539,-105.24772141752545,-107.26033594633044,-104.07137380045214,-108.08118085081804,-101.58324219820534,-113.77444542917254,-116.81657424121785,-104.15719346016773,-106.6758999713656
48,-100.9577971192206,-108.81378171134475,-102.36027689205893,-100.79544129074483,-100.0941477611931,-99.79003379725756,-112.57094251383083,-107.0382600453519,-103.57358988007832,-94.72424955988794
49,-111.20646068962486,-101.1088693214417,-109.81500433996929,-110.30459407996864,-117.44418951582905,-106.4512995672818,-99.45504286967119,-106.06789125467901,-108.34573320005435,-113.54106765154769
50,-105.50841275321703,-99.4121100316319,-113.78622207533613,-97.30724476534493,-104.37169031388595,-117.90789171920488,-103.79375682045978,-109.70799429715542,-103.2095851129194,-106.86208066436903
