iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-119.1993574461992,-121.44285388423424,-123.42136105903649,-113.80830632141999,-121.42230957478716,-117.16216266942303,-122.34580931447248,-115.22282474115298,-123.51634673979098,-117.73012187151207
1,-116.26356101792216,-117.50612676906101,-116.79685264377672,-108.78941927573953,-117.17261311214368,-113.86707420299187,-117.37925999895012,-109.27457851671424,-116.0226544290344,-113.85611116773583
2,-116.07017932937482,-115.04749804723838,-109.57483407834954,-105.68156243410388,-115.63568749108234,-112.53007599614985,-111.40413750173184,-108.84189032095216,-109.35091384708485,-109.39227636348105
3,-114.93574564424523,-113.24074702259665,-105.49397377773677,-105.19041691468591,-109.78268429719031,-111.14192324454231,-109.41488759053982,-103.91839195739365,-106.4040436600481,-109.39227636348105
4,-114.47240312068978,-109.04814780281113,-105.0547040956858,-102.170324496956,-108.52266532692455,-107.94742212683248,-107.45493447085548,-103.62006378973199,-104.42678371265276,-106.849441247985
5,-114.47240312068978,-107.60471346708943,-103.16942973891057,-99.34693340882612,-106.92736635653583,-107.72975185331806,-106.29161831936199,-103.47525164698614,-101.55358071922507,-105.84816236394218
6,-111.56878501984937,-105.30071411449646,-102.06719995617308,-98.46843472930718,-106.23366491262263,-107.72975185331806,-105.34518428863096,-102.62007715457935,-95.91867249154733,-102.358638866278
7,-108.50243970123914,-104.67819498304368,-101.08191363147428,-96.39950005836562,-104.37666837506258,-106.04925975584231,-104.06958838920437,-102.62007715457935,-95.80877755050504,-102.0954190826055
8,-107.77951170090823,-103.88892764319851,-100.77625000473135,-96.26534412722935,-103.0074088691487,-102.15008678140882,-101.46597766308017,-100.77639057742365,-95.26632066714006,-99.58827756578364
9,-106.13307122420647,-102.97438967424279,-100.49121484899683,-96.23104301191474,-99.68438255198895,-101.96332777756882,-101.40795892252108,-100.68326765494207,-91.87965565500812,-98.827755009257
10,-104.31911290227478,-101.78425742294752,-97.72409653319023,-92.91480057630733,-95.62592985144447,-99.81177266830512,-99.75114716832314,-97.30606689660203,-91.87965565500812,-98.07404789873407
11,-100.80785195349125,-100.96457536027881,-94.95880315188369,-92.91480057630733,-94.17809668707935,-98.0844555401077,-97.35257330613982,-95.40460896071733,-91.27238110053494,-97.68387253640738
12,-100.80785195349125,-98.62331493244147,-94.40967797763264,-91.87633431038478,-94.17809668707935,-95.80620081654877,-95.6523925022401,-95.33157061238703,-91.27238110053494,-94.4927395495726
13,-100.0597875915219,-97.51910962007757,-90.20178575280215,-88.70724858773113,-93.66080984155249,-94.61222946352169,-95.11741049593917,-92.95653981394383,-91.25632508157315,-93.33335970511749
14,-100.05411343928293,-97.33494243863262,-89.15778797286481,-88.70724858773113,-89.73429114606225,-90.02893364565823,-94.1348992966473,-90.96745257897351,-89.36217443302445,-91.37287666652121
15,-98.62535541373013,-96.14981062382643,-88.19627028314639,-88.70724858773113,-87.84692245051585,-90.02893364565823,-92.89019041788652,-89.66751405446954,-87.31837811876179,-90.15536103294987
16,-98.62535541373013,-96.14981062382643,-88.19627028314639,-87.44828117709729,-85.32584190197488,-88.76334356372283,-91.91529575280776,-89.37682932336762,-82.04002539599567,-90.15536103294987
17,-95.29016664387225,-94.71037927890009,-88.08893889439844,-86.60321056353904,-85.32584190197488,-86.95350495544693,-90.58471564337584,-88.85977081674183,-81.85670893785296,-88.29887747508354
18,-95.29016664387225,-93.07572714821941,-87.43509048708727,-86.3931030736735,-83.97947086356756,-86.45327397010641,-88.52009909694655,-88.56274408813123,-80.31043367721016,-87.44409607028862
19,-95.22559433540161,-92.3058050553907,-84.88195049574705,-86.14757034529129,-83.85608290040301,-84.1530432235825,-86.05934756831286,-87.81222021409843,-79.9229023822237,-86.94025758607626
20,-95.17152292234414,-88.33311949050504,-84.01037244152121,-84.94187771550033,-83.60866679835456,-84.1530432235825,-85.25630910041622,-87.54678739098931,-77.10818054210394,-84.96798397463373
21,-93.14245271333051,-88.33311949050504,-83.58285840809486,-84.94187771550033,-80.94293165234042,-83.42267187356649,-81.29798023710828,-87.54678739098931,-76.2147128292543,-82.36878281887014
22,-92.69605627888585,-87.18836291425855,-81.41534665125688,-84.84454422942414,-80.94293165234042,-82.49767316518071,-80.53954085042194,-84.50685486798119,-76.2147128292543,-82.06392645605769
23,-91.28642063886889,-86.19467066170657,-79.90163640423934,-82.91611543921225,-80.9384707040806,-82.49767316518071,-80.53954085042194,-84.50685486798119,-76.2147128292543,-82.06392645605769
24,-91.28642063886889,-83.05310623386353,-79.75995609302714,-81.60792827447656,-80.56195260545016,-82.29729546666098,-80.47279075778758,-83.22520136309643,-75.19343548946347,-82.06392645605769
25,-91.1037431583653,-81.82263708409275,-78.14334072238996,-81.60792827447656,-79.89157790569035,-78.59221586407821,-80.36166061525144,-83.22520136309643,-74.85476092046127,-80.91665472452905
26,-88.89974720626536,-81.77401068503643,-75.93582821621865,-80.55630862896214,-79.89157790569035,-75.49342785951471,-80.36166061525144,-83.22520136309643,-74.85476092046127,-80.70826218284202
27,-88.89974720626536,-80.89438310066153,-75.73388076057522,-79.60894252097813,-79.5449092509404,-75.49342785951471,-78.99527977517423,-82.81804081483719,-74.63594271203658,-79.47019927423827
28,-86.15210756986977,-80.31911076341798,-75.12186601187071,-79.47066065306191,-78.91255471847035,-74.79805812666905,-75.67627704146216,-82.492800714559,-73.89995584983238,-77.72202144907872
29,-83.91706088309653,-79.15341947968872,-73.72827238162122,-78.6672103773198,-78.91255471847035,-72.37202096555812,-75.53929766513475,-82.2409986082076,-73.4729133580669,-77.61560094892684
30,-81.77904433313657,-78.75624809705857,-73.17173840441626,-78.6672103773198,-78.91255471847035,-71.92929838364688,-74.9420778455326,-78.10812638501162,-73.4729133580669,-76.49817916540368
31,-81.77904433313657,-78.74483939492092,-72.37728200142091,-77.04343551754616,-78.91255471847035,-71.92929838364688,-74.21286461792596,-78.10812638501162,-73.35881688794501,-75.5752855045604
32,-81.43071289256407,-78.74483939492092,-72.31541039155962,-76.92242026235144,-78.91255471847035,-71.41815762436048,-74.21286461792596,-76.08122929125322,-73.34719419661255,-75.5752855045604
33,-80.632514391038,-77.72850950595425,-71.90815518973616,-76.92242026235144,-78.8541437447613,-70.93326593389932,-73.17213969714156,-75.69074757729013,-69.95859217871092,-74.81012257673657
34,-79.85174799336963,-77.72850950595425,-71.90815518973616,-76.00260151853797,-75.5226914093335,-70.31911303642718,-73.17213969714156,-75.69074757729013,-69.95859217871092,-73.83320227805945
35,-79.81352731248955,-77.72850950595425,-69.07585525080682,-76.00260151853797,-74.64519013354064,-70.31911303642718,-71.57598279478374,-75.69074757729013,-69.93217693537301,-73.20702809311777
36,-79.81352731248955,-76.91306543494898,-68.6251189905536,-73.30549155440852,-74.64519013354064,-70.31911303642718,-71.02261693359576,-75.58334598015773,-68.99226631769004,-71.23942584419646
37,-79.81352731248955,-76.60192072683554,-68.26113139518921,-73.30549155440852,-73.30048224685525,-70.31911303642718,-71.02261693359576,-73.7769264135885,-68.3909037105149,-70.4962041934939
38,-79.81352731248955,-75.87071643017904,-67.23669075449769,-71.69072916345148,-72.97134989967661,-70.31911303642718,-71.02261693359576,-73.38613395391053,-68.3909037105149,-70.4962041934939
39,-77.89666969239737,-75.84693538295929,-66.1628177540942,-70.27293480778292,-72.38234143977303,-70.09722417781408,-69.18024698325817,-73.06848811326573,-66.55861995871706,-70.4962041934939
40,-77.61732052895078,-75.84693538295929,-65.40332425594865,-68.27750988485835,-71.15863758096401,-69.96690221557468,-68.91271245273046,-73.06848811326573,-66.55861995871706,-70.4962041934939
41,-77.56171095661398,-75.7106386820916,-65.40332425594865,-67.93772931088694,-71.15863758096401,-68.08695999298882,-68.91271245273046,-73.06848811326573,-66.30558201240086,-70.4962041934939
42,-77.56171095661398,-75.61791634371052,-65.40332425594865,-67.93772931088694,-69.97364165118206,-68.08695999298882,-68.49356229071093,-73.06848811326573,-66.30558201240086,-69.77452546886839
43,-76.96646563053093,-74.65710220195898,-65.40332425594865,-67.93772931088694,-69.97364165118206,-67.92753563074268,-68.49356229071093,-72.78584859194379,-63.35381101819061,-69.2497681876018
44,-75.64196844484538,-74.33959541879399,-64.78042872529852,-67.38178683998433,-69.97364165118206,-67.92753563074268,-68.49356229071093,-72.78584859194379,-62.495738691460886,-69.2497681876018
45,-75.64196844484538,-73.36782662387796,-64.78042872529852,-67.38178683998433,-69.97364165118206,-67.92753563074268,-68.49356229071093,-72.2145358312334,-62.495738691460886,-69.2497681876018
46,-73.59869556058298,-73.36782662387796,-64.78042872529852,-66.58164484818438,-69.97364165118206,-66.71889620937043,-67.20898892732652,-71.67051370317019,-62.09860179343542,-69.2497681876018
47,-73.54401317605718,-72.41508441286712,-64.78042872529852,-66.58164484818438,-69.97364165118206,-66.38701682162322,-67.20898892732652,-70.15414868684056,-61.88038947207227,-69.2497681876018
48,-73.54401317605718,-71.25325139413239,-64.78042872529852,-66.58164484818438,-68.76465997961705,-65.68635825898063,-66.85165425839543,-69.98582051341529,-61.849733364704576,-68.6631853678328
49,-72.75069119518328,-71.16937942311793,-64.78042872529852,-66.58164484818438,-67.8209301899047,-64.64899464280126,-66.85165425839543,-69.98582051341529,-61.849733364704576,-68.6631853678328
50,-72.75069119518328,-71.16937942311793,-64.43137930364762,-65.7404973182554,-67.8209301899047,-64.64899464280126,-66.85165425839543,-69.78847737508823,-61.68778334731243,-67.9478796314051
