iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-193.6601126209091,-185.8331955758129,-211.57175904169975,-189.21753547046438,-183.67483728901846,-192.57579687859624,-187.16715746556406,-186.2075977346267,-183.09474045346724,-191.83296002908776
1,-133.78153913368067,-147.05927255620003,-134.84368712365617,-122.9940847141734,-140.83946595440568,-135.8655253867883,-132.35801411202982,-135.075847404014,-125.87118985591822,-132.0441539946051
2,-158.35306127350452,-148.73973936478782,-136.13086760505092,-135.89812375993273,-148.68537969241567,-139.85069504466077,-135.16486833986366,-153.82308854238954,-137.90098241278804,-137.5009028706823
3,-149.536777129729,-133.64882600251866,-132.76277220327773,-135.5580937757757,-138.1898326290029,-143.3582244873991,-132.02055340407665,-141.0570484838691,-128.29381218968473,-154.40125748411702
4,-152.28132870954445,-133.66095767581433,-132.0860143737991,-123.92391765722499,-141.28165869167782,-124.49033382335585,-137.19416404054678,-132.2497900087858,-124.31015711005193,-136.0330652516881
5,-155.57978368539239,-130.43227663084937,-128.9289934844711,-137.3460892863936,-138.2855802969596,-137.42621578056097,-130.26177124515874,-137.2906631789862,-118.56463163115359,-131.69845562965702
6,-140.7400230518677,-129.97919521688954,-133.44110473841152,-138.77036293245033,-132.2958693102321,-139.59872087739075,-128.94223995320897,-138.48524548872854,-110.06275962670253,-130.26664486174158
7,-138.1420465818042,-133.26021348945358,-130.60274967298835,-122.88461940552864,-139.79410249652454,-127.95070992223233,-129.03885680378335,-129.25540636724514,-132.44056538263646,-137.80609536624837
8,-135.55712318367048,-134.2106944486767,-137.3707341000104,-132.37658543867394,-124.99567221543813,-132.45866458790232,-121.35870901060666,-122.03464924642229,-125.27747449623615,-128.16795226954005
9,-134.0935143594111,-138.11481169019345,-122.42751884114554,-127.39538552627249,-136.3103009774818,-128.6100322468722,-127.2464177741447,-140.2575825496251,-123.26830281738299,-137.912757453254
10,-131.4357804746479,-138.32624173275934,-124.41638864547406,-115.4187740031185,-122.76028499862099,-124.4859046998752,-131.9933296692292,-122.97677681861568,-123.0430814773533,-121.2327872215285
11,-127.03401787045964,-136.14827778732766,-118.35055422208438,-122.38474415981952,-118.4181089154392,-122.68814568705628,-134.37275804930414,-121.52658969185954,-124.47907489554812,-131.34996988092618
12,-139.32806830548873,-119.64071643948088,-126.3321957502816,-124.06866121499058,-125.58552048072849,-121.37669987941354,-122.87843789996828,-127.17646764024133,-120.1396825646636,-126.7688501417428
13,-133.0386908757401,-132.01410893532895,-122.51665046973598,-124.03351424290142,-128.50629063301437,-119.36239572006087,-122.56606096106452,-128.98896473508222,-120.63373815057071,-128.64568492058345
14,-130.88969612077324,-128.11309797053133,-123.4570233317334,-122.15746307259471,-126.14564343377774,-124.78503510999815,-128.55433713279172,-121.92070525442817,-110.77034776711612,-120.1365592283079
15,-122.14871403226088,-127.41754281054233,-123.52783869815963,-119.36729645458158,-132.79370693713926,-118.32426331617097,-126.9097478075382,-122.87879965392926,-112.93411958397132,-117.66995689605031
16,-130.94875661946796,-122.73592023137955,-116.35697380628145,-113.07050187426458,-116.35934008000828,-120.114324424653,-125.15334149677172,-128.42080456888797,-100.89668561633741,-127.90737676552288
17,-121.7252239242116,-122.54727129790479,-114.13294850904384,-116.67251810181963,-126.94533406855598,-114.74529553395679,-121.56920034645425,-129.28016732129493,-113.2019791037876,-119.26597224266555
18,-126.78658279819203,-122.39094548441744,-121.49790751869197,-124.72671415673227,-132.00309525559422,-128.40486446610805,-120.96088672276349,-118.6974330231229,-108.62975246255495,-116.98057295370471
19,-124.89374777035208,-124.31895102799898,-108.92989448746204,-120.31611944602997,-127.78353372952375,-117.88922368671548,-117.8594893683487,-118.39381524061135,-111.15456978754578,-123.14011633670373
20,-122.9784510038676,-118.41557600194946,-114.05319982553195,-112.85715338382124,-132.77470075441343,-124.34205928505395,-121.88611271236458,-122.56737335147562,-103.66551549361859,-113.34838852566878
21,-120.08644230384657,-130.15918460343858,-111.4923544022477,-128.063872502548,-120.06867357268867,-134.05514618206408,-109.45689825905113,-129.39671927943488,-114.79840292913234,-125.90402114134113
22,-124.10461397645341,-120.36849790460323,-114.76187716370185,-119.29536742965696,-107.81740653535189,-111.86343223560405,-119.7901238415872,-110.02873967830855,-112.53338640629887,-116.2299022811143
23,-120.05148415122108,-127.626478424491,-112.35458587764475,-125.26282988346506,-128.43460642188094,-113.3718704360735,-126.89990069047947,-119.6192908925391,-103.97755776970916,-120.63943097884668
24,-131.6570831133426,-116.1368906784256,-119.4530700917738,-110.04947985470561,-125.35177974874594,-126.43016186854541,-129.41194927854593,-113.83315375043387,-110.29485961087528,-123.63607396918552
25,-124.36390445400582,-125.95802075944565,-116.02884470630278,-114.93180620030498,-128.26723229156653,-120.98743991666996,-122.7134972165264,-124.64002821301106,-117.54557082209168,-121.74609910462624
26,-113.19402367708659,-109.43858536837789,-119.95992692785848,-111.7865972788276,-137.89737765446478,-113.75653684173155,-112.01084433121271,-122.50352483597351,-119.22999039803844,-128.85621530832563
27,-121.79775546171366,-125.38415746747746,-118.27234860333343,-102.2236607135415,-128.5029358797019,-126.00144566493864,-123.03099639324552,-116.52658138117154,-113.79740351775888,-119.75930129493891
28,-120.86834647248472,-123.30527005972863,-119.50808540351144,-131.26150000825882,-128.11165914886803,-118.43822892890984,-118.5061293815539,-125.19824533576381,-110.34194121897278,-104.49341775080259
29,-114.27754601359345,-116.85346406884665,-101.01742718188112,-122.48890847567984,-132.98403906901603,-112.10383736357453,-124.27030341247786,-115.73912752031801,-105.98379168146377,-106.31081655540984
30,-113.87148453154185,-133.8165142445667,-106.94638579325775,-122.48630250194199,-122.96110677362915,-127.16153630164814,-132.6920996947894,-119.7318241871238,-120.80545775714808,-110.41403839260639
31,-118.45415199915513,-130.4559916039865,-110.48474680946023,-112.12658730309279,-122.49154346960515,-135.49164076811172,-135.22275415993732,-110.44853166149721,-112.83772806379324,-111.65473197812398
32,-112.53311923729868,-124.86271738936573,-109.77581038271487,-118.89386765897507,-133.8154084251528,-119.39494119631937,-115.39436396862496,-115.67224603882804,-128.9196002841361,-127.12155321631485
33,-114.29183449843819,-134.58305510173392,-101.99813993899623,-118.49369480808758,-123.63065689460893,-121.82434935716441,-124.81565537679279,-116.3839486177849,-106.42730183822562,-123.81086853267715
34,-114.07376270633779,-148.21350712170252,-120.47306715699642,-114.1276436683452,-113.33901216360435,-119.06105517672378,-121.80824182598325,-124.40350717943677,-107.16099991541859,-128.75872394499513
35,-128.20264525452077,-128.69586195190027,-105.6951672639534,-121.93453575691483,-138.47173427478688,-131.4621796716794,-125.79320276945874,-119.10435443395227,-122.00937544400963,-110.13510031896078
36,-132.49766724802708,-122.01335528423667,-119.14290585416293,-110.9679952737541,-122.7451010683042,-132.86452517452528,-122.2496942158742,-127.63357504202409,-108.96363457633058,-119.61672268488732
37,-127.43155195110283,-131.20860004497604,-124.16081137902577,-122.0623652619133,-119.7770071391306,-124.87242421688867,-126.78195741209908,-129.1844303439118,-119.31268470386811,-128.28099673531705
38,-121.24368775196167,-124.98005046390153,-103.83588993986021,-115.1594027117442,-122.10358717279269,-122.92087845237617,-122.82245773139158,-119.77235165123012,-118.59389781603565,-112.80315218068915
