iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-122.11363928901183,-129.12350014577578,-117.00327509232724,-128.8931441424741,-116.60109727079798,-126.53842951076011,-124.76481725891014,-121.79722745077035,-114.69387410808193,-116.48123282843284
1,-122.11363928901183,-128.59327188106937,-117.00327509232724,-128.8931441424741,-116.60109727079798,-126.53842951076011,-124.76481725891014,-120.5461061325926,-113.35743156614133,-113.21276069610799
2,-122.11363928901183,-128.59327188106937,-116.66867863568437,-126.95229216127365,-116.60109727079798,-125.85314038776376,-123.70651799987388,-118.68412692350135,-113.35743156614133,-112.28014450575404
3,-122.11363928901183,-127.10613344267283,-114.76508525390929,-126.95229216127365,-116.60109727079798,-125.85314038776376,-123.70651799987388,-118.68412692350135,-113.35743156614133,-112.28014450575404
4,-121.452985565118,-127.10613344267283,-114.76508525390929,-126.95229216127365,-116.60109727079798,-125.85314038776376,-123.70651799987388,-118.68412692350135,-113.0084872904036,-112.28014450575404
5,-120.2533249293266,-124.97275884633414,-114.45276093589277,-126.35325239539809,-116.37756981109793,-125.81533322956963,-121.85245544172322,-118.68412692350135,-111.60980094788695,-112.28014450575404
6,-120.2533249293266,-124.8159267355285,-114.45276093589277,-126.35325239539809,-116.37756981109793,-125.81533322956963,-121.08191494779541,-118.68412692350135,-110.54518146462212,-112.28014450575404
7,-120.2533249293266,-123.7566923690323,-114.45276093589277,-125.38988434251607,-116.37756981109793,-123.34374191235094,-121.08191494779541,-118.68412692350135,-109.27028969843954,-112.28014450575404
8,-119.76269561455601,-123.7566923690323,-114.45276093589277,-125.38988434251607,-116.37756981109793,-123.34374191235094,-120.17760958603344,-118.68412692350135,-109.27028969843954,-112.28014450575404
9,-119.76269561455601,-122.33936545441146,-114.45276093589277,-124.67887295256766,-115.76686118127758,-122.88107568131215,-119.66649589305564,-118.68412692350135,-109.27028969843954,-110.05565210917251
10,-119.44911672442606,-121.97716787757392,-114.1445701664656,-124.67887295256766,-115.76686118127758,-122.88107568131215,-119.63745499024989,-118.68412692350135,-109.27028969843954,-110.05565210917251
11,-119.44911672442606,-121.97716787757392,-114.1445701664656,-124.67887295256766,-115.76686118127758,-121.83629074327993,-119.63745499024989,-117.71511186763955,-108.25409679013018,-109.89655835357348
12,-119.44911672442606,-120.88441181959831,-114.1445701664656,-124.67887295256766,-115.76686118127758,-120.20650340870336,-117.97777997891076,-117.71511186763955,-108.25409679013018,-109.89655835357348
13,-118.98633144895277,-120.88441181959831,-114.1445701664656,-124.64475882599616,-115.76686118127758,-118.91523188448468,-117.43833993995865,-116.30639787763926,-105.11265288315059,-109.89655835357348
14,-118.44217691449322,-120.88441181959831,-114.1445701664656,-124.48495301562102,-115.76686118127758,-118.91523188448468,-117.25073494828044,-115.15795916508108,-102.73709358937752,-109.43289993836595
15,-118.44217691449322,-117.14972699582546,-114.1445701664656,-122.1407386648135,-115.73679240386411,-118.91523188448468,-117.25073494828044,-114.7493517732388,-102.73709358937752,-107.50907245059292
16,-117.41493836231817,-114.60441356078765,-114.1445701664656,-120.4074947487327,-115.73679240386411,-118.01289219826393,-117.25073494828044,-114.7493517732388,-101.82506257714823,-107.50907245059292
17,-117.41493836231817,-114.60441356078765,-113.74529701009912,-115.7067621912367,-115.73679240386411,-118.01289219826393,-115.62562079510207,-114.48385933375884,-101.82506257714823,-106.1520385232141
18,-117.30361889687393,-114.60441356078765,-113.74529701009912,-115.36520394715338,-113.49084348392358,-117.92028691676967,-115.53761881174987,-112.36863307389271,-101.82506257714823,-105.39764303003
19,-117.30361889687393,-114.44542721219541,-112.90515792355443,-115.36520394715338,-113.12521209453976,-116.43538240468179,-115.21080461929893,-112.36863307389271,-101.82506257714823,-105.39764303003
20,-116.69107633043645,-113.27906466166907,-111.47139856369799,-115.36520394715338,-113.12521209453976,-114.12001030058623,-114.93460469860682,-112.36863307389271,-101.82506257714823,-103.71206665335154
21,-113.9012598067076,-113.27906466166907,-110.28412588451563,-114.73525730264355,-113.12521209453976,-114.12001030058623,-114.04568246602699,-111.35778599048932,-101.82506257714823,-103.71206665335154
22,-113.1491907548733,-113.27906466166907,-109.88049576966264,-114.70764796447178,-113.12521209453976,-113.79712465420238,-114.04568246602699,-111.35778599048932,-101.82506257714823,-101.82469255026389
23,-113.1491907548733,-112.74204234520656,-107.7096027933691,-113.74387668799592,-110.69090036829343,-113.79712465420238,-114.04568246602699,-111.35778599048932,-101.82506257714823,-100.1651110596442
24,-110.79714169298538,-111.98790650370884,-106.24578951040732,-113.74387668799592,-110.69090036829343,-113.79712465420238,-114.04568246602699,-110.00887261658096,-101.26502811326553,-98.92802949848841
25,-110.63531777942734,-110.50088415119743,-106.24578951040732,-111.96062672161821,-108.84273674830148,-112.46765435701946,-114.04568246602699,-110.00887261658096,-100.88943944130557,-98.92802949848841
26,-109.04927082613278,-109.6635101471122,-106.24578951040732,-111.45809073858383,-106.43680445955658,-110.01161167132106,-112.62203614986139,-109.64929912573481,-100.88943944130557,-98.92802949848841
27,-109.04927082613278,-108.73866649769472,-106.24578951040732,-111.45809073858383,-106.05134122152157,-109.74059977664919,-112.62203614986139,-107.77359522467194,-100.88943944130557,-98.4488285929969
28,-109.04927082613278,-108.73866649769472,-103.98129042459087,-110.5473771585582,-106.05134122152157,-109.74059977664919,-111.42780973869955,-107.77359522467194,-99.8579911570947,-98.4488285929969
29,-109.04927082613278,-107.06785752516271,-103.98129042459087,-108.15548331918387,-105.60102537729323,-109.74059977664919,-109.13892453330504,-107.77359522467194,-99.8579911570947,-98.4488285929969
