iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-172.09080956199216,-204.49259892923882,-169.7411149442873,-200.13853564077795,-187.2233922405324,-188.36146993346492,-195.9829915626152,-194.03957672654576,-183.66446852930676,-190.13842664001498
1,-200.2363449719723,-215.46442305677888,-226.69805066015823,-236.94504021222184,-246.25906575973403,-243.9756665408391,-234.46451734604307,-230.46369446034612,-220.50943411174768,-226.1027755637965
2,-224.78865630675855,-263.2671157602252,-242.3811461844566,-251.00886176634884,-259.2613939331112,-272.02954576941585,-234.51884632976999,-255.01580663267515,-281.9060434364616,-261.4787955686687
3,-258.34141939752965,-247.45267732312035,-244.04426260979562,-241.48405429890954,-246.58849005817848,-256.89814437978714,-218.64749224076306,-216.01764836872786,-227.31878057593553,-209.985075470547
4,-243.76925342181994,-256.46009046737686,-227.57458491746112,-241.45176812083545,-209.51961732018592,-222.83102692871228,-233.0331844457062,-231.64320509597445,-221.55027614154216,-236.87460425747344
5,-205.15364665439088,-205.19433200443817,-243.08276628893475,-213.90022349109023,-214.47901031673,-225.17975192388758,-227.8848977966041,-213.66718415549178,-231.9400768775889,-236.39361326769514
6,-223.32324046511252,-244.99407628031167,-215.50092571973937,-190.37617862358303,-253.92828746942934,-230.67584141863296,-207.10747133320731,-230.3222716704869,-236.37500034158464,-240.17384892725943
7,-212.5723079117142,-216.17983392755275,-202.52670746476548,-218.72015180299732,-226.11996051249514,-230.20652498703072,-228.2712024452345,-217.24635868618344,-248.33500753517637,-183.0213571698127
8,-194.07123461612335,-197.438926103011,-221.1827061157249,-255.73586866915923,-228.57505224428976,-247.6236693677822,-194.86214729585376,-200.53520167359306,-187.26938563085986,-187.53312604731042
9,-206.46787406442135,-225.34764186000058,-220.86361459733743,-215.85332046938794,-199.5713523373168,-198.3792989460659,-206.0857244216424,-208.80440353052106,-230.24393029814007,-228.04308451649433
10,-235.85831763487985,-192.92799661904172,-179.1494355304718,-253.12197275085958,-220.54571499945786,-215.41543209086097,-234.25528076639787,-224.8320644131348,-229.4074866462268,-193.77480746540164
11,-229.1156598114958,-203.13354587540368,-221.98810516691367,-226.11650958120092,-212.15344228639,-192.45579843917233,-176.5210377924559,-228.387446878114,-205.6744930902068,-218.25886813802492
12,-195.64193186196366,-205.0217009204443,-213.56655079291826,-217.30457939133507,-198.40116534719695,-229.64243457376267,-205.55507259240278,-229.18065438693924,-213.80394672269406,-187.37023947394175
13,-224.99663296407118,-234.93696944191498,-190.59280202672625,-214.96996670777844,-202.67781276354125,-210.21429009181477,-201.32204597564015,-196.95090845793624,-177.03996775420796,-184.06465596770596
14,-199.889657830283,-202.4387920723012,-200.12087565554128,-240.0616679390787,-207.4067370710913,-192.35070752140538,-204.72463629491955,-181.95796641109982,-187.92608216845525,-220.7478756231601
15,-218.48015107423822,-187.5145417420707,-205.8096702393796,-229.69573313820123,-210.8684347201332,-197.2273510604495,-219.76494252151628,-221.15031279551906,-206.5435029542842,-174.89797404182724
16,-207.98572097340912,-188.38572788174247,-191.52621705260282,-195.44673195935906,-232.15650097146096,-171.9820396324483,-200.06213798696052,-197.45049092392685,-179.14371572467587,-210.50433139881738
17,-210.30907884111838,-199.76408303071986,-206.03676049567053,-206.16442126857993,-192.67379475793473,-201.34537873924245,-166.9384585484915,-194.11870759242615,-187.3059023784735,-168.66529515839002
18,-184.88973433443834,-205.07488994451995,-201.1082272499895,-197.10107493418758,-208.5669097298566,-198.79069505923616,-207.7693739987999,-184.38688650086073,-188.63332437320778,-191.4092568436266
19,-189.60148869009913,-209.66765001960255,-192.03605818218585,-190.44726381711553,-224.38568562577416,-213.45050313163375,-196.4473985690735,-203.1688135489951,-196.94597780277093,-204.71912503753768
20,-180.25221496816096,-199.12498829513987,-184.4028789296422,-182.95438481361933,-244.30045024340467,-224.59344834115393,-185.3895405155838,-214.57880820527814,-173.36063479860042,-197.72031773747557
21,-165.09755751198853,-186.81696934705883,-182.4117038970491,-187.98522775238098,-198.73624102934065,-186.39344928998344,-197.8258030835122,-171.2467191330976,-203.27194254910611,-193.18839611059457
22,-211.1597305834382,-213.74763437055648,-199.74837699491326,-194.17068788905164,-194.32426010377918,-166.24767400859736,-230.9581951206834,-201.048693866243,-200.268851666783,-192.67357351586526
23,-186.39625770086298,-185.00315105433572,-199.82561449352914,-195.27747131174033,-176.8247268743192,-228.31718508358904,-210.36874038391386,-216.9234074206896,-202.53496040298586,-196.42505278850788
24,-175.719770069359,-184.60691113284895,-197.17798810795628,-205.17880981394472,-196.34377455384043,-200.551485342881,-176.93907313662788,-184.886949011978,-189.62269115072138,-176.36485267023826
25,-159.27437166062623,-202.8383081678068,-176.89563163381575,-197.4345472250778,-208.3236400819755,-164.81440843851857,-187.70747648190425,-202.78489760248746,-191.3733241866865,-191.358265658446
26,-166.30075764065703,-167.6881209066022,-195.88010702402315,-197.20317715945964,-160.36863227870833,-190.88936755286022,-188.87348998155375,-163.83325156239118,-226.2330271436852,-183.46265361915937
27,-212.90662651196226,-167.35675539264776,-181.31715118161873,-200.48197506773246,-167.941994722561,-184.20454714686414,-223.43922084302605,-194.27142582774857,-195.36538085136144,-154.0899379584054
28,-180.7965196271257,-171.535898331409,-195.7465024143445,-175.43176763579734,-218.55177794023052,-198.17280542211395,-196.58962151093237,-186.26801708456605,-199.75758780637688,-196.11216042025026
29,-206.82589495591714,-169.67900404430546,-182.56291770748328,-187.26431188699505,-184.37345603810098,-176.56763049531298,-182.50423639165618,-188.75373354449428,-187.51673705457281,-177.48373638811825
30,-176.66595519592622,-205.39832326978538,-164.60433429209104,-182.9204214897071,-182.92381680298507,-168.5355414172356,-188.95832476729,-203.24767251581926,-184.27120049782087,-181.0290434834959
31,-177.67887173354865,-179.67110850507885,-190.6492127929551,-160.97015489660228,-165.5324558539219,-200.5401582824844,-182.9487377240823,-174.5029432352574,-203.5242808281758,-176.85257064924855
32,-192.07780094709534,-175.44191971552817,-176.93909556213453,-209.0276308020479,-185.5482979344704,-199.3020121772824,-178.93621951678273,-202.38532749991614,-180.44959877558796,-195.372891593791
33,-190.08682291135014,-171.31769303332388,-218.31659843411853,-179.90903031237207,-187.99399956919305,-181.6741783828889,-159.6942272512011,-217.23600289851484,-189.31080581318017,-168.49136477264463
34,-202.09808237262376,-214.78760555486127,-187.99908104932717,-193.18223155016233,-200.36520955451795,-172.9418416105351,-189.99645248636784,-208.93950090474596,-174.31665228837772,-168.41187851978688
35,-198.52520805947756,-183.49818171087898,-176.4811243655249,-173.30786222059072,-169.82098375171296,-200.08477176494682,-174.2305457904293,-199.43256592642842,-164.05155218682168,-184.48479649759776
36,-160.42946259409996,-185.69687005031074,-187.9764911635933,-188.4789322620157,-211.51918715999324,-174.30403080623768,-178.15856053296739,-183.81026931277023,-165.3076383539637,-205.13671167522472
37,-143.24585627217795,-208.74550216807032,-181.59623790481072,-184.46531109604905,-159.6881226777685,-179.884016093362,-172.1902994178433,-173.2016641661912,-179.06840661638637,-175.0852684469009
38,-188.12852765348168,-185.90962546351767,-189.1122848064489,-187.90831950503255,-191.23136772210407,-208.41620754381572,-176.44675303794162,-173.37973229875584,-176.19723087700615,-176.34422670883825
39,-156.83046056385672,-191.49489259575603,-180.08243385057065,-167.7300114419765,-195.268868709133,-190.42942277397188,-175.1410962182344,-177.50164654810914,-180.11782992657794,-196.90353923807461
40,-178.17937732918568,-160.44190497550647,-179.83267914073423,-174.29544076473425,-174.31742255316317,-154.10898475036458,-189.8320734478836,-168.99036428625547,-167.01217516388743,-183.07226109359001
