iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-119.1993574461992,-121.44285388423424,-123.42136105903649,-113.80830632141999,-121.42230957478716,-117.16216266942303,-122.34580931447248,-115.22282474115298,-123.51634673979098,-117.73012187151207
1,-119.16739201480344,-121.44285388423424,-122.42307848821207,-113.80830632141999,-121.42230957478716,-117.16216266942303,-121.73300983627992,-115.22282474115298,-123.00156284684591,-117.73012187151207
2,-119.16739201480344,-121.44285388423424,-121.53992328052213,-113.80830632141999,-121.42230957478716,-117.16216266942303,-118.4726869989647,-115.22282474115298,-121.25263140689256,-117.73012187151207
3,-119.16739201480344,-121.44285388423424,-121.53992328052213,-113.80830632141999,-121.42230957478716,-117.16216266942303,-118.4726869989647,-115.22282474115298,-121.25263140689256,-117.73012187151207
4,-119.16739201480344,-121.44285388423424,-121.53992328052213,-113.80830632141999,-120.51641871477875,-115.81191428206381,-118.43672200665256,-114.54986197336277,-120.44323103227876,-117.73012187151207
5,-118.61995269267737,-121.44285388423424,-119.93281259410254,-112.54638168548497,-120.51641871477875,-114.35455261729567,-117.64475574948177,-114.54986197336277,-120.25968173915251,-117.21925447279358
6,-118.61995269267737,-121.15645469238393,-119.93281259410254,-112.20115970793073,-120.45547754747327,-114.10452805374759,-117.33707492778719,-114.54986197336277,-119.50799006103267,-117.21925447279358
7,-117.24481339445923,-119.33635584903415,-119.93281259410254,-112.20115970793073,-119.50772314453239,-114.10452805374759,-116.35127558907058,-114.54986197336277,-117.88268643645938,-117.21925447279358
8,-117.24481339445923,-118.57919485829157,-119.93281259410254,-112.20115970793073,-118.46414816497361,-114.10452805374759,-116.35127558907058,-113.56224419341746,-116.293452057173,-117.21925447279358
9,-117.24481339445923,-118.57919485829157,-118.98328702604533,-112.20115970793073,-118.46414816497361,-114.10452805374759,-114.79244673781547,-110.10704376392306,-116.293452057173,-116.95183504223381
10,-117.24481339445923,-118.57919485829157,-118.98328702604533,-112.20115970793073,-118.46414816497361,-114.10452805374759,-114.79244673781547,-109.19662349353298,-116.293452057173,-116.95183504223381
11,-115.96358587834368,-117.85235174765985,-118.6580976218153,-112.20115970793073,-116.89467783084181,-114.10452805374759,-114.38038452832619,-109.19662349353298,-116.293452057173,-116.91137100950654
12,-115.96358587834368,-117.85235174765985,-117.93825099725633,-112.20115970793073,-116.89467783084181,-114.10452805374759,-114.38038452832619,-109.19662349353298,-116.293452057173,-115.88403703588884
13,-115.96358587834368,-117.85235174765985,-117.93825099725633,-112.20115970793073,-116.89467783084181,-114.10452805374759,-114.37411989169325,-109.19662349353298,-116.293452057173,-115.88403703588884
14,-115.96358587834368,-115.19192374125109,-117.93825099725633,-112.20115970793073,-116.89467783084181,-113.71030708096046,-114.37411989169325,-109.19662349353298,-116.293452057173,-115.63291942241787
15,-115.96358587834368,-115.19192374125109,-116.11859825442569,-112.20115970793073,-116.89467783084181,-113.44438140698412,-113.42297606588377,-109.19662349353298,-116.293452057173,-115.63291942241787
16,-114.40666770905719,-115.19192374125109,-113.31800857200606,-111.90445087223623,-116.89467783084181,-113.44438140698412,-112.334089379014,-108.80594488594247,-116.293452057173,-115.63291942241787
17,-114.40666770905719,-114.25263117532552,-111.33265455546166,-111.90445087223623,-116.46416124439348,-113.44438140698412,-112.334089379014,-108.80594488594247,-114.36776632716712,-115.35672333161911
18,-114.40666770905719,-112.28426446606576,-111.33265455546166,-111.52935761732019,-116.33215923322106,-113.44438140698412,-110.21668742794351,-108.6886422879234,-114.36776632716712,-115.26244990732661
19,-114.40666770905719,-111.42942534404293,-111.33265455546166,-111.52935761732019,-116.25640204794061,-113.44438140698412,-110.11592167563612,-108.6886422879234,-114.36776632716712,-114.4563589901698
20,-114.40666770905719,-111.42942534404293,-110.33595263121721,-111.52935761732019,-116.25640204794061,-113.44438140698412,-110.11592167563612,-108.6886422879234,-114.36776632716712,-112.88324071939594
21,-114.25614604879043,-111.42942534404293,-110.33595263121721,-110.41151965199631,-114.5143933138813,-113.44438140698412,-110.11592167563612,-108.6886422879234,-114.36776632716712,-112.88324071939594
22,-114.25614604879043,-108.13165595905382,-110.33595263121721,-110.41151965199631,-114.5143933138813,-112.66317627161257,-110.11592167563612,-106.2991321017019,-114.36776632716712,-112.88324071939594
23,-114.25614604879043,-108.03354853484927,-110.33595263121721,-110.41151965199631,-113.80076288078376,-112.66317627161257,-110.11592167563612,-106.2991321017019,-114.36776632716712,-112.88324071939594
24,-114.25614604879043,-107.84849949165383,-110.33595263121721,-110.1001836803636,-110.13517003918932,-112.32842387213924,-110.11592167563612,-105.99133567796571,-112.01476694689796,-112.88324071939594
25,-114.25614604879043,-107.84849949165383,-110.33595263121721,-110.1001836803636,-110.13517003918932,-112.32842387213924,-109.786306049627,-105.99133567796571,-112.01476694689796,-112.88324071939594
26,-113.8807224274982,-107.84849949165383,-106.56826423902905,-110.1001836803636,-110.13517003918932,-112.32842387213924,-108.26139315910673,-105.43187682769253,-112.01476694689796,-112.08794739016847
27,-113.8807224274982,-107.84849949165383,-106.56826423902905,-110.1001836803636,-109.6853442216138,-111.70096738920844,-108.26139315910673,-105.43187682769253,-112.01476694689796,-111.22307273585204
28,-113.8807224274982,-107.84849949165383,-106.56826423902905,-108.65678467399626,-109.05662072971234,-111.70096738920844,-108.26139315910673,-105.33060691421662,-110.44557581771244,-109.88189372268994
29,-111.95856251911768,-107.84849949165383,-106.56826423902905,-108.65678467399626,-109.05662072971234,-111.26936033447126,-108.26139315910673,-105.33060691421662,-108.64507187082722,-109.88189372268994
30,-111.70661112108634,-106.3528607532925,-106.56826423902905,-108.57335883804971,-108.3905032423375,-111.26936033447126,-108.26139315910673,-105.24116662092098,-106.44881372997304,-109.51965642720059
31,-110.31312047945504,-105.83449850971522,-106.56826423902905,-104.75867939044635,-108.3905032423375,-111.26936033447126,-108.26139315910673,-105.24116662092098,-105.47857236878825,-109.51965642720059
32,-110.31312047945504,-105.83449850971522,-106.29228088526207,-104.75867939044635,-102.93037947253384,-111.26936033447126,-108.02868248651913,-105.24116662092098,-104.58323954748826,-108.94053870938491
33,-110.31312047945504,-105.83449850971522,-106.29228088526207,-104.74793866602361,-102.93037947253384,-110.52104482213421,-108.02868248651913,-104.5727234333583,-104.58323954748826,-108.94053870938491
34,-108.97137729718975,-105.83449850971522,-106.29228088526207,-104.64366496237113,-102.93037947253384,-107.8000264449094,-108.02868248651913,-102.86932416959758,-104.58323954748826,-108.94053870938491
35,-108.97137729718975,-105.17919639106981,-106.29228088526207,-104.31837502161935,-102.93037947253384,-107.8000264449094,-107.10351016792661,-101.41597001783066,-104.58323954748826,-108.79078209051053
36,-107.71483880889204,-104.80179897672824,-105.3520903724671,-103.56633176769117,-102.93037947253384,-107.8000264449094,-107.10351016792661,-101.21963228102759,-102.61159846502667,-108.73058731044824
37,-107.71483880889204,-103.70507502394061,-105.30968118144591,-103.56633176769117,-99.45214783745342,-107.8000264449094,-106.03837072040311,-101.21963228102759,-102.5934486734761,-107.88407344294731
38,-107.71483880889204,-102.9730777715203,-105.30968118144591,-103.56633176769117,-99.45214783745342,-107.8000264449094,-106.03837072040311,-101.21963228102759,-102.5934486734761,-107.88407344294731
39,-107.71483880889204,-101.82247558453031,-105.30968118144591,-103.45489718984038,-99.45214783745342,-106.90826391950752,-106.03837072040311,-101.17417368094351,-102.5934486734761,-107.88407344294731
40,-106.4001801726413,-101.66569870380727,-105.30968118144591,-103.45489718984038,-99.45214783745342,-105.6845962465668,-106.03837072040311,-101.17417368094351,-102.5934486734761,-106.33147399506585
41,-106.4001801726413,-101.66569870380727,-104.74566398427336,-103.29506246679892,-99.36666211240865,-105.6845962465668,-105.42589091458558,-101.04021036438562,-102.5934486734761,-104.40728159269543
42,-103.94853018520442,-101.66569870380727,-102.88990629711215,-102.47349455305852,-99.36666211240865,-105.6845962465668,-105.42589091458558,-101.00581615080472,-102.5934486734761,-102.0161924034066
43,-103.94853018520442,-101.66569870380727,-102.88990629711215,-101.61777395334724,-99.36666211240865,-105.6845962465668,-105.42589091458558,-100.14524321952868,-102.5934486734761,-102.0161924034066
44,-103.94853018520442,-101.66569870380727,-102.88990629711215,-101.61777395334724,-99.09436761959732,-104.04823384141697,-105.42589091458558,-100.14524321952868,-102.5934486734761,-102.0161924034066
45,-103.94853018520442,-101.66569870380727,-102.18063439556374,-99.68546344916001,-97.26906042678542,-102.17720930555217,-105.42589091458558,-100.14524321952868,-102.5481108653423,-102.0161924034066
46,-103.90014654899723,-101.66569870380727,-102.18063439556374,-99.68546344916001,-97.17975637542953,-102.17720930555217,-105.42589091458558,-100.14524321952868,-102.5481108653423,-100.71594715526669
47,-102.59982658550513,-101.66569870380727,-101.25773817646245,-99.68546344916001,-97.17975637542953,-102.17720930555217,-105.42589091458558,-100.14524321952868,-102.5481108653423,-100.71594715526669
48,-102.59982658550513,-101.66569870380727,-101.08992205121089,-99.68546344916001,-97.17975637542953,-102.17720930555217,-105.42548561601204,-98.15506437862958,-102.5481108653423,-100.71594715526669
49,-101.62014184775771,-101.66569870380727,-101.07238133810739,-99.32317471984845,-97.17975637542953,-102.17720930555217,-104.41262531980118,-98.15506437862958,-101.15692175530285,-100.71594715526669
50,-101.62014184775771,-100.32480059836938,-101.07238133810739,-99.32317471984845,-97.17975637542953,-101.49555613681788,-104.41262531980118,-98.15506437862958,-98.64268684171111,-100.04436872180025
