iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-193.6601126209091,-185.8331955758129,-211.57175904169975,-189.21753547046438,-183.67483728901846,-192.57579687859624,-187.16715746556406,-186.2075977346267,-183.09474045346724,-191.83296002908776
1,-184.18993417689668,-195.4674081230233,-186.88568893188545,-185.34754130262448,-183.01125355345252,-204.88693933480442,-181.11727364423194,-179.2305765221583,-183.74591320388475,-181.74093899578088
2,-194.11535615381186,-197.59872073570523,-181.10438697269635,-181.76230581557107,-179.19701293299795,-180.7901145197274,-180.10962688050677,-187.56868685096822,-174.2962991577029,-184.2571532054679
3,-178.12208885378385,-176.41677921237783,-186.3946616356752,-173.72372013758184,-184.63095002925024,-188.24492124759922,-172.96330499483588,-180.09281263937942,-183.4816102765648,-175.13435253544077
4,-187.8583699048226,-189.90699632020747,-186.5120624930786,-196.01809028729537,-184.57112319114972,-165.69819221719715,-181.1457361040567,-190.82830466999434,-177.38421766104335,-200.14484235644602
5,-178.66638629466703,-180.667898863328,-181.51988858381858,-177.1272080699341,-190.74068419073242,-177.28987574625506,-164.01102921795558,-180.62651663136438,-197.2104937723319,-182.85123760376297
6,-181.36850192972614,-186.74819231033172,-191.86734150698493,-183.34406953920615,-180.2459805060581,-179.53987581160266,-182.8324366104322,-176.63112714328565,-185.23106245901823,-180.76774973498817
7,-157.96115137764366,-184.6827141260839,-202.58559969719877,-193.0378165427396,-185.62575856502485,-181.32829802399309,-187.16277234755648,-183.67115776122665,-162.430742049456,-188.5382081465507
8,-181.21639310405303,-175.97899377705028,-173.77983512109589,-181.5469521368106,-176.659748805177,-186.68853504119215,-166.48756877289358,-179.45245486085543,-160.7153328037191,-180.2625758455946
9,-185.3425413223324,-185.09868315028967,-177.27495757195794,-191.18019407463834,-196.39105849323838,-201.2804010553813,-184.82859490448408,-163.66567952451499,-181.81140218722228,-169.0841710241441
10,-188.70760342862405,-170.45341461304776,-180.45501023457064,-185.95925680788727,-181.0597757221471,-171.62342990817427,-171.98877834927004,-166.44710547694143,-200.82837070692096,-189.7336005905867
11,-176.1033252470393,-166.4769754355678,-170.22571864011735,-182.5710916896954,-165.36785908212767,-184.32283639197544,-171.97285843463183,-181.17459425218289,-186.49330131534597,-189.57174610569692
12,-170.10693862088758,-183.02979582685913,-172.0886246003263,-191.96908000751785,-175.53486543051355,-166.63416637931334,-190.03890684320328,-183.9248306496596,-185.09449043566383,-174.82289534376935
13,-187.06308101240768,-194.3173651510072,-170.5446728492134,-175.4085959351913,-184.98412027665566,-175.74577238280398,-178.9409308344013,-166.21726553087194,-174.7344524194179,-182.54219527682332
14,-175.59342886227932,-181.69067771377024,-201.43692470596199,-183.6097976731766,-179.62821603116313,-187.8275878259211,-172.4088350627478,-171.46263933669601,-184.937506403229,-180.9811220745476
15,-188.0063379144366,-185.57098918452414,-173.76182648075394,-169.97240411743746,-171.82487380993712,-174.18220375691698,-176.78468558133392,-171.70161488742775,-188.8327385837843,-185.0155623351494
16,-166.92004976134996,-167.00827211429953,-168.36930972250406,-191.96912260059526,-190.6944319240153,-185.8223665662416,-168.6752953139395,-177.20470849826944,-185.34436601176793,-186.16696415283246
17,-192.22144669515092,-181.31221214372857,-172.56309666197888,-183.41904235224288,-176.13711192914036,-179.95348228648265,-170.2989405276005,-188.268992561094,-172.79018570801412,-175.69498295310387
18,-179.4074508993615,-181.23112098146615,-188.4848420025645,-173.8060638666026,-171.3251446492852,-174.3365479932408,-169.56982034463527,-168.57733119432203,-190.82775486455586,-178.31895741960534
19,-189.74664447993473,-154.26949769258948,-176.80513883714605,-184.58049561048483,-174.25866301170277,-173.47678526853224,-176.42463134633476,-163.92010483094663,-184.12696963517624,-174.80661138064704
20,-184.45233666581254,-197.89546525570393,-169.80963204184394,-167.57910929770526,-172.9461865052647,-178.44685051901934,-180.62604905507285,-178.71165305822342,-165.86591932396425,-167.3162072756899
21,-175.26812217557028,-184.8986230412446,-186.23857851018937,-172.61083452867825,-177.99094967811223,-170.14368908501106,-159.94653475323474,-160.05967880062747,-183.81419519392256,-168.89018082150588
22,-188.59448486946906,-169.66341714465807,-169.6417750993057,-182.2416689480595,-185.02112798736837,-177.72503886254432,-181.74957186677597,-162.81274249504202,-182.98823101208154,-170.94686175361431
23,-165.0580749750685,-177.56467550688274,-181.57613500538497,-179.8890335598329,-159.33543817227658,-176.5949957457544,-183.4669152583163,-160.28231480266848,-168.8087532505437,-166.6460758810024
24,-177.8163252933419,-168.00030788195872,-186.3060616268632,-166.25799306230527,-158.75565564463787,-169.9892216450855,-170.9086843569741,-165.34060522553202,-181.69120722124472,-174.9905896838176
25,-170.95569421946908,-175.13688302945928,-173.9165523988902,-167.62763128708895,-171.35658602730797,-181.63542420996203,-172.09905779161204,-177.29955096380962,-174.2357981608165,-186.85896592852833
26,-153.42806779074527,-177.7492221968945,-161.5077822307075,-165.60301232883586,-168.01916729173703,-176.76227774132656,-166.08858217418899,-174.33168433294003,-181.83661642119932,-186.47877978999125
27,-170.66363170260527,-168.5870383078273,-187.86472919847262,-171.32771108815083,-176.3286262149693,-171.454199663725,-170.29252719874404,-171.40358561909704,-184.16765259821503,-167.8724771856259
28,-182.80182598498672,-177.9558751688307,-175.16547373644028,-154.32865412643093,-174.13917842794064,-167.31275026274977,-178.9263103260924,-156.72351906689994,-155.61200536580924,-183.26754328544263
29,-165.87885568353866,-182.38902135251402,-166.0570072579083,-188.11956031911103,-174.83494318520098,-174.5613769081303,-189.80853289911235,-166.15994851162455,-165.42646282503804,-178.5532799986821
30,-185.47966122307523,-169.8606735697303,-167.0334754097462,-170.5693028948034,-161.07279546099687,-178.34430140023102,-165.07300761030393,-151.3000155061307,-168.42197353637698,-156.15038859524748
31,-146.62659763928156,-162.46279786751938,-171.57838269945313,-165.3869038949709,-172.56274494205616,-168.0282561718636,-179.0074819342637,-169.06045485304227,-166.19968532264275,-159.7848433855797
32,-167.44579308048498,-171.23140353827927,-183.59258556813018,-175.47013360919476,-145.0220987448306,-188.35058735402544,-170.10916649466503,-177.01756641327717,-180.43514209003962,-171.2186690088227
33,-167.4920346883476,-179.62195287097217,-164.25740552803583,-171.4625061829651,-173.23640120188236,-162.7960631631879,-168.77878744246337,-175.1455159344091,-168.68769656588097,-163.95066922105335
34,-161.4141973379418,-168.61924495031306,-176.76536789106456,-164.36967030344329,-178.25700599892943,-165.97744095758753,-166.2900690995909,-175.87527846182286,-173.4441876901122,-169.58915411003812
35,-182.79308811010335,-170.23375989340786,-160.1157104859069,-156.79911022540668,-155.0678969639403,-185.37627333431365,-166.53816341781874,-169.7338926673897,-179.5125679583063,-182.95292098716118
36,-176.31452731587942,-162.92052259564028,-169.69872065385124,-172.2138015961863,-167.62257233310524,-180.37843026901834,-168.66375659423218,-169.29100004762986,-164.00655831760707,-157.8703515660236
37,-179.4454565085002,-188.41697182155787,-170.73935923302744,-185.04345106549943,-153.6181004433646,-172.84723725602726,-172.74762186427864,-167.41518565178524,-182.3785292175334,-163.75913358401402
38,-173.61843765357688,-172.20589639962955,-174.20774007487927,-157.05908059595436,-165.75612763635752,-162.90070784643387,-161.37388768942932,-178.0364844715798,-154.81370895451033,-164.58106018406932
39,-177.52973437781725,-160.83797672656524,-162.3601916669558,-157.1789099112038,-162.77316134006168,-168.17999548174055,-187.1569603379097,-168.14133250788979,-172.56898107915745,-177.97861562243583
40,-174.17918231373926,-169.05582337760774,-182.36241127142236,-169.470829349396,-164.91838098020148,-162.12284272554587,-181.72232367957906,-184.20840569637818,-169.27594371873988,-160.19243939208081
41,-187.60714945376813,-171.8293770127421,-173.32795563681887,-160.8456006769294,-161.3534521545962,-167.8965380532968,-168.25740121772088,-167.96717151508875,-185.9423229143728,-155.93537455825975
42,-168.60443816973608,-175.1497256609294,-164.49294723547555,-147.27816135678478,-170.0170247063465,-159.01530746681198,-175.74884285794406,-165.8162668205929,-165.5080101558976,-155.76824904133662
43,-168.87347589160322,-159.05623854254162,-168.40065910012646,-151.28969115002565,-161.42000670892213,-164.04147528519204,-165.19149169952738,-160.8428585850466,-182.75711891551134,-166.74290167993576
44,-154.15586072720495,-187.67173257281468,-158.8796726394912,-167.51641533964448,-159.05244976143706,-155.28468818165626,-171.29330909027524,-154.6407326087962,-177.5346445424479,-172.71026971422657
45,-170.64627768025716,-163.2197845366572,-174.47648123668475,-162.14503872044702,-165.76737238117244,-157.25078073182402,-167.7326439396993,-177.67118415101174,-163.37222437658184,-185.16553508417144
46,-162.58352090192398,-175.76530115589088,-167.28145729740936,-158.2777171979335,-161.4776472697675,-165.2032853997544,-171.26322435760414,-160.1387740886725,-170.76765997452947,-154.3669160397171
47,-169.22536037549324,-175.34239781358815,-150.1579354544241,-171.22598823668227,-163.1493644052577,-160.72417071826047,-165.0507489955187,-169.51687349279308,-174.70026009839177,-165.6436667208339
48,-168.93247811594688,-175.8097979388607,-176.40069963541652,-163.43537457429457,-174.60228829101993,-157.4400970453159,-170.42507866110918,-152.94939483651646,-170.04410508806075,-151.96506403331873
49,-163.1888672309281,-189.26432467625756,-162.136305259805,-161.38834617336624,-159.9385934460329,-173.63643612882498,-186.68134379687018,-171.7107570946162,-164.88631593778155,-161.60159226698076
50,-160.01796323576013,-153.13926994889826,-152.4205968759342,-159.7423739036202,-177.41769015687046,-161.8137286272621,-177.36670603917793,-170.3106603351252,-167.10836705475492,-160.43522645249973
