iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-119.1993574461992,-121.44285388423424,-123.42136105903649,-113.80830632141999,-121.42230957478716,-117.16216266942303,-122.34580931447248,-115.22282474115298,-123.51634673979098,-117.73012187151207
1,-103.30652233023764,-105.73640331607359,-98.28504658749861,-97.79571349241492,-95.58303236697876,-99.96729198123553,-87.12784748305201,-91.51986255780017,-103.35169684646917,-98.5835528398131
2,-94.22618286290864,-89.82925462788481,-91.08768041125737,-91.57836111410816,-80.37527205706948,-85.16189414363379,-82.44806828098106,-83.84651792924362,-98.3909088354458,-83.17863780934795
3,-82.98839997475692,-86.23996484072005,-80.99970680329231,-88.45260967517062,-77.99585683201549,-79.3270396976344,-79.55877735297896,-81.81193910523565,-93.1175763762776,-80.99398148685512
4,-81.67276345604418,-81.02142534286888,-78.21860362735765,-87.0191514598075,-76.3562854935438,-74.06148305760968,-77.83355186611554,-81.73955211174763,-89.17278031046446,-77.70114530861252
5,-79.82766331058214,-75.10193648287114,-76.80964694529979,-84.96449647822251,-76.30104522845697,-71.3859201022629,-76.70438959892613,-75.92220274357437,-87.57724824886714,-76.78491525665552
6,-77.46173350894466,-74.11107766066235,-74.62006738601346,-81.54975252393093,-75.96292644578372,-67.6883388241807,-72.46512671056492,-74.15255239371172,-85.08191106125642,-74.83474326167442
7,-73.72988291387364,-73.40833623186562,-72.03263226714522,-81.05306692666719,-70.23306861321507,-66.51461246107536,-69.52515802499323,-71.21694778185386,-84.82328416332538,-72.84401076509639
8,-72.32486613885345,-72.96126616320547,-70.90299728356251,-79.74086652294969,-69.00701014151062,-66.51461246107536,-69.15279301880523,-70.49337349663006,-81.13189024436781,-72.78996169331168
9,-71.68521261075281,-72.61579883567023,-70.7177103445471,-76.28446698249329,-69.00701014151062,-64.51896921613707,-66.78792530497255,-70.49337349663006,-80.37496761220373,-72.78996169331168
10,-70.75692265152888,-70.01442613502927,-69.80738063678633,-75.878820482106,-65.3788645168504,-64.03718515977053,-66.27029089432322,-70.49337349663006,-78.41393882254984,-69.66737040304056
11,-70.75692265152888,-69.72452549806007,-69.80738063678633,-73.88742374154938,-65.24331740825225,-63.12908543266662,-65.26179133357272,-69.46874608289163,-77.62626912807225,-68.11187222130637
12,-70.27885819303567,-69.72452549806007,-67.24049410901179,-73.88742374154938,-63.04654780260054,-61.673162373398135,-65.26179133357272,-68.73655550607889,-77.62626912807225,-66.45137869805336
13,-69.48371712098367,-69.54737588790015,-66.49029974412203,-71.62443163771653,-62.75944562058415,-61.673162373398135,-65.26179133357272,-68.30243141041302,-74.34380669081366,-66.45137869805336
14,-67.81916649379862,-69.54737588790015,-64.96747359639538,-70.92542790954815,-62.13510279920952,-61.12026958771112,-63.63753187261922,-68.30243141041302,-72.58672453226488,-66.45137869805336
15,-66.85032423754973,-67.91906999912842,-63.18992391961142,-67.04921833747868,-60.61601823589312,-61.12026958771112,-62.398401744808396,-65.78166394209157,-71.03151787520152,-65.19942479687592
16,-66.49683156350895,-65.74720534787383,-63.18992391961142,-65.58718348515048,-60.61601823589312,-60.7546921161755,-62.372409349830065,-64.06996842082242,-70.65484733755534,-63.16778069381218
17,-66.49683156350895,-65.41194377469348,-62.878285870698,-65.58718348515048,-57.81132207047615,-59.83854557197327,-62.20194936928051,-64.06996842082242,-69.55095867903775,-60.75490623311907
18,-64.16639447567343,-65.31015095744607,-62.878285870698,-65.58718348515048,-56.03006591118813,-59.503535572719485,-62.20194936928051,-64.06996842082242,-67.81620256779823,-59.77340414573
19,-64.16639447567343,-64.28656038229008,-59.97946030537975,-65.58718348515048,-55.23606667020116,-57.150147495318095,-62.071164630114936,-61.74250454858923,-67.14731980659849,-59.06365537974732
20,-63.687893289908814,-64.28656038229008,-59.651601629164375,-65.40972056484968,-53.87261399283571,-57.099640193366945,-61.450502185792075,-61.070894586276964,-66.07925432231595,-59.06365537974732
21,-63.687893289908814,-63.864696568681865,-58.45581871963775,-65.23624446351923,-53.83202975486874,-57.099640193366945,-59.607662681631915,-59.360373279626955,-62.30120049565048,-59.06365537974732
22,-62.943764089040336,-63.864696568681865,-57.88884402962097,-63.520872957635284,-51.56784626489941,-55.40357643462684,-59.607662681631915,-58.86984562740581,-61.12231922455039,-58.66767519953169
23,-62.174849376595546,-61.32036682081577,-57.88884402962097,-62.73185097837751,-51.56784626489941,-54.924703608282,-59.607662681631915,-58.76441777968362,-60.630435556577,-58.66767519953169
24,-61.362548017844276,-60.58286827168267,-56.46153759646438,-61.894157279486905,-51.489816051183695,-54.828746218502886,-57.2541506116363,-58.68032571653189,-58.20017481520994,-58.33405435258388
25,-58.10903613102166,-57.64233041861486,-55.49522807151888,-61.47653397969238,-51.09431842685021,-54.828746218502886,-55.00168901577878,-57.56677377361899,-56.881093588059464,-57.17854917596064
26,-57.948259331123175,-56.70335802670712,-54.177820547324245,-60.39624099931328,-51.09431842685021,-53.963913196429544,-54.61796322769541,-56.86828552967435,-55.60680563604945,-57.17854917596064
27,-57.24114011454978,-56.70335802670712,-53.28763019617548,-58.27140724300408,-50.049267211920224,-53.963913196429544,-54.61796322769541,-53.9773574508163,-55.27665340150211,-56.73688486247784
28,-57.24114011454978,-56.565555787120246,-53.28763019617548,-58.27140724300408,-50.049267211920224,-53.13078582465836,-53.70606574474377,-53.70974689660362,-55.27665340150211,-56.73688486247784
29,-57.24114011454978,-55.38070297264318,-51.89321402436679,-58.097775232224336,-50.049267211920224,-53.13078582465836,-52.10364020823938,-53.14950645750335,-54.49904988610372,-56.41595871028115
30,-56.823933518957645,-54.94620040471226,-50.81458850967779,-58.097775232224336,-49.52526766188648,-52.61611765845397,-52.10364020823938,-53.12918454078685,-53.90052063342134,-56.41595871028115
31,-56.06804875678955,-54.224838210982554,-50.74174705859252,-56.84235180038906,-49.52526766188648,-52.06427125616469,-52.10364020823938,-53.01067619224645,-53.90052063342134,-55.22067820507094
32,-54.87666011464451,-52.247828692477285,-49.569149691590226,-56.84235180038906,-49.2795734819081,-51.06782911629514,-52.0374138596851,-53.01067619224645,-53.64074668092852,-54.44871513594499
33,-53.842602992907004,-52.24090948347295,-49.30770121229013,-56.84235180038906,-49.2795734819081,-49.77839793043183,-50.37095257899796,-52.25172410533811,-53.64074668092852,-53.884294232808735
34,-53.842602992907004,-52.24090948347295,-48.051691308797714,-56.84235180038906,-49.2795734819081,-48.24969694597009,-50.12534880601788,-52.25172410533811,-53.64074668092852,-53.884294232808735
35,-52.569748127571486,-51.34857489691983,-48.051691308797714,-56.84235180038906,-48.89895498661875,-48.24969694597009,-50.12534880601788,-51.85588975534521,-53.61768718267574,-53.52297551635448
36,-52.569748127571486,-51.346567435375576,-48.051691308797714,-54.42186489197878,-47.849008625468734,-48.24969694597009,-50.12534880601788,-51.70791428304688,-52.62870990083694,-51.18751970772988
37,-52.569748127571486,-51.346567435375576,-48.051691308797714,-54.42186489197878,-46.89965719017055,-46.1968257877115,-48.294267515052766,-51.52020209226768,-52.0453942386539,-49.9613371319055
38,-51.498577603527046,-51.095928443724276,-48.051691308797714,-54.26206840861102,-46.89965719017055,-46.07385591670234,-48.294267515052766,-50.96870604512516,-52.0453942386539,-49.18545228083945
39,-50.05235025214118,-49.848599617688855,-48.051691308797714,-51.623548119565406,-45.220012087853235,-46.07385591670234,-48.294267515052766,-50.96870604512516,-52.0453942386539,-49.18545228083945
40,-49.39336644585708,-49.19372314605864,-47.94062435114442,-51.59711234116749,-44.18131393426674,-46.061628733440386,-48.142133295762505,-50.397611721333014,-51.62392307314894,-49.18545228083945
41,-48.733584238607875,-49.19372314605864,-47.73340224525407,-50.75971217464128,-44.02575252513945,-46.061628733440386,-47.20339402146698,-49.84133401992588,-51.62392307314894,-48.61739938988009
42,-48.181722488289736,-49.10969843495634,-47.73340224525407,-50.75971217464128,-42.182717471897504,-45.96698591409748,-47.20339402146698,-49.84133401992588,-49.41099166052879,-48.61739938988009
43,-48.181722488289736,-47.413891146284485,-47.19560214513704,-50.75971217464128,-42.09231765142734,-45.890357746233505,-47.007494832160255,-49.84133401992588,-48.86240421954511,-48.61739938988009
44,-48.181722488289736,-47.145832914379426,-46.672583758719696,-50.75971217464128,-40.35216614989383,-45.890357746233505,-46.29640690975472,-49.84133401992588,-48.86240421954511,-46.90656252289593
45,-48.181722488289736,-47.145832914379426,-46.672583758719696,-50.75971217464128,-39.38431382641853,-45.48080636249757,-46.29640690975472,-48.168685318175605,-48.07717454422533,-46.90656252289593
46,-48.181722488289736,-47.145832914379426,-46.672583758719696,-50.75971217464128,-39.38431382641853,-45.406008915142756,-46.27310202226876,-47.977132707616434,-48.07717454422533,-46.90656252289593
47,-46.83934902494126,-46.69847152895697,-46.672583758719696,-49.76305390878497,-39.38431382641853,-45.406008915142756,-44.79912988630008,-46.64329764056812,-47.10303079653052,-46.45972927377489
