iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-119.1993574461992,-121.44285388423424,-123.42136105903649,-113.80830632141999,-121.42230957478716,-117.16216266942303,-122.34580931447248,-115.22282474115298,-123.51634673979098,-117.73012187151207
1,-115.94546548059716,-116.10485093612519,-115.44250721014402,-106.69616152527563,-116.56618741493838,-113.91440066497475,-117.67810657851065,-108.0433668164451,-115.75016761650528,-113.89277020747167
2,-115.40915073927073,-114.86284525844954,-108.38032060003488,-102.07318846338998,-112.53787556632673,-111.8274342796714,-110.28841210213974,-105.98800812528752,-108.50784064522291,-108.0762522364607
3,-105.46721636029365,-113.10201222702462,-102.87313055059232,-100.1269354234982,-110.84493944728567,-108.25821958894736,-109.18907251326524,-104.8385325437986,-106.65169940432293,-107.55712722830519
4,-103.1976446541093,-110.08701530393972,-101.42003127820415,-98.50344694491348,-110.76974536256638,-107.25105230766614,-107.71276416606031,-102.68079761279607,-103.0525295319116,-106.33558539835352
5,-102.01238309570766,-109.87614311489915,-100.38514326106275,-97.96429136695807,-109.23544895531825,-104.65288807094866,-105.70071775591978,-102.68079761279607,-102.89594421182004,-105.9319651470603
6,-98.83905603158033,-109.87614311489915,-99.93040501079616,-97.05966672912734,-107.3408803258308,-103.2445037900138,-104.64451540032849,-100.60676637908767,-102.89594421182004,-101.6518457133322
7,-97.63073048735976,-107.71727618426932,-96.86173795379284,-94.90917223104928,-105.08339122842882,-102.25401912930009,-103.35905577455583,-98.77676340124512,-102.76678854315622,-99.03936096969784
8,-94.41002890164634,-106.14241676837382,-94.52473382819048,-94.78275675754978,-104.17497393096846,-100.39627637080977,-101.24699332476452,-97.43030611631664,-97.98629820595755,-98.98297790897317
9,-93.34839445292246,-104.60707828846525,-94.52473382819048,-93.91483511951633,-103.46731034038262,-100.2566714695225,-99.25809631236272,-96.3999700321093,-96.69286585130261,-98.78650892330506
10,-92.87881307851578,-103.99887361202954,-91.02551907192276,-93.91483511951633,-102.44259728163092,-97.80793566657468,-96.98014289329707,-96.3999700321093,-96.20773598753959,-97.34799646495583
11,-92.87881307851578,-103.9731475389639,-90.01758105080154,-92.47642247433393,-100.06140707349559,-97.67614531977364,-96.03477431021756,-94.31743844513096,-94.71666242544565,-96.74433657166608
12,-91.68316156312397,-102.79999114285303,-88.4386614647769,-92.34997323540601,-99.00813548437503,-97.33859837217818,-93.28405751572816,-92.62126141709028,-93.18606195314821,-96.74433657166608
13,-91.11650800524662,-102.59953440828689,-87.02685973841972,-91.94332825374929,-98.26985837182458,-94.84198569350274,-91.31483492105872,-91.76709298762471,-91.91806386455428,-95.6632782309654
14,-91.11650800524662,-100.12689934935318,-87.02685973841972,-88.39253182410258,-96.21262046857102,-94.62367634091538,-91.31483492105872,-90.66792816591915,-90.5482033917929,-95.59491964544833
15,-91.11650800524662,-98.75712027060267,-84.68899586339035,-86.19410796617339,-94.79844970120352,-92.46879326063191,-90.22059458058976,-90.50806607431775,-89.51412904093007,-90.78283406457291
16,-89.34439390183971,-98.18016330516,-81.67652298589286,-85.51332704759268,-94.19007709792001,-92.3124732054711,-87.2476438004693,-89.84895983573823,-87.02990051343335,-87.92240723954339
17,-89.1524802967675,-97.76650573200028,-80.97550264102219,-85.109397624383,-92.98436663221914,-88.58967381513162,-84.33063403708005,-88.61869589133332,-85.1795671149227,-86.45686815807287
18,-89.14045477374074,-97.38973631281334,-80.973597483834,-83.58234161008971,-91.87526873637964,-88.58967381513162,-83.51940787102318,-87.65574823067723,-82.65466713926617,-85.84562062802935
19,-89.14045477374074,-93.45673062921489,-79.95067853723435,-83.58234161008971,-91.46047270048199,-86.04288955751902,-83.51940787102318,-86.86194140560806,-82.48164872509082,-85.37957575176719
20,-89.14045477374074,-93.45673062921489,-79.58075428490963,-81.14263845727342,-89.34070111363286,-85.32004988473365,-83.51940787102318,-84.85813929694856,-81.99057110451182,-85.37957575176719
21,-87.75748626785597,-93.45673062921489,-79.05191755388896,-80.5169777612965,-89.34070111363286,-85.16109072672225,-83.50505165838709,-84.85813929694856,-77.93846077213195,-85.37957575176719
22,-86.91321331896744,-93.02564962538281,-79.05191755388896,-79.9686582620221,-89.34070111363286,-85.16109072672225,-82.84301499685031,-84.85813929694856,-76.68124119678325,-82.42139512248909
23,-84.46804883095571,-92.79770748706633,-75.99767378066471,-76.2942506130286,-89.14697112223575,-83.06782106956081,-80.43869912802498,-83.77649270422536,-76.56280867215813,-78.73399380424145
24,-84.46804883095571,-90.77814348009443,-75.08918329527236,-75.41508428203386,-89.14697112223575,-82.65655960699654,-79.61130132402263,-82.7226290856264,-75.3904355314666,-78.73399380424145
25,-84.34408737486605,-89.43695139448039,-75.08918329527236,-74.57095612801044,-88.30293100872478,-82.65655960699654,-79.49285976190295,-82.62663671142127,-74.10562966185577,-78.59015931795251
