iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-119.1993574461992,-121.44285388423424,-123.42136105903649,-113.80830632141999,-121.42230957478716,-117.16216266942303,-122.34580931447248,-115.22282474115298,-123.51634673979098,-117.73012187151207
1,-119.1993574461992,-121.44285388423424,-121.8872399754359,-113.80830632141999,-121.42230957478716,-117.16216266942303,-122.34580931447248,-113.89371272353605,-123.50007615063036,-117.73012187151207
2,-119.1993574461992,-121.44285388423424,-121.48092463927539,-113.80830632141999,-120.77884038342862,-117.16216266942303,-121.59566532681012,-113.89371272353605,-123.50007615063036,-117.73012187151207
3,-119.1993574461992,-121.44285388423424,-119.92668799964835,-113.80830632141999,-120.77884038342862,-116.8203569470925,-121.59566532681012,-112.67436538950685,-123.50007615063036,-117.73012187151207
4,-118.36469772237291,-121.44285388423424,-119.92668799964835,-113.80830632141999,-120.77884038342862,-115.5747313265329,-121.59566532681012,-112.12166504057802,-120.41405422338835,-117.73012187151207
5,-118.36469772237291,-121.1232747757141,-118.65106541431447,-113.80830632141999,-120.77884038342862,-114.91916205169221,-121.59566532681012,-112.12166504057802,-118.53530913065103,-117.73012187151207
6,-118.36469772237291,-121.1232747757141,-118.65106541431447,-113.80830632141999,-119.51243698833373,-114.91916205169221,-121.44964483328211,-112.12166504057802,-118.26035344744707,-117.25499269775304
7,-118.32005895783254,-119.05606099631143,-118.65106541431447,-113.80830632141999,-119.51243698833373,-114.68318293552703,-120.04938199846487,-111.8558646499223,-118.089554388165,-117.25499269775304
8,-118.2370538954431,-119.05590493108335,-118.65106541431447,-113.80830632141999,-119.51243698833373,-114.67385234385543,-119.36589090239012,-111.8558646499223,-118.089554388165,-117.25499269775304
9,-118.2370538954431,-118.32207121276555,-118.65106541431447,-112.02202551902481,-119.51243698833373,-113.08377339373996,-118.84668504335033,-111.8558646499223,-118.089554388165,-117.25499269775304
10,-118.2370538954431,-117.27415927175805,-118.26791664392,-111.44295227227039,-117.57439560018756,-113.08377339373996,-118.2586435286598,-110.67188566574993,-118.089554388165,-117.06070742125735
11,-118.2370538954431,-117.27415927175805,-115.5714618387801,-111.44295227227039,-116.83701932979153,-113.08377339373996,-118.21409635201434,-110.67188566574993,-118.089554388165,-115.72595288568742
12,-118.2370538954431,-117.27415927175805,-113.335077713505,-111.44295227227039,-116.83701932979153,-113.08377339373996,-117.1419856155773,-110.67188566574993,-118.089554388165,-115.72595288568742
13,-116.4927678245008,-115.90218200050506,-113.335077713505,-111.44295227227039,-116.83701932979153,-112.80351300737213,-117.1419856155773,-110.67188566574993,-116.13428180301962,-115.72595288568742
14,-113.72723584379742,-115.90218200050506,-109.85186215945744,-111.41299107814322,-116.83701932979153,-112.12447834859843,-115.37243176496199,-110.67188566574993,-116.13428180301962,-115.72595288568742
15,-113.72723584379742,-115.4044422792062,-109.85186215945744,-111.41299107814322,-116.52902345798117,-112.12447834859843,-114.8813437859356,-109.17282712785698,-115.64713515054686,-112.82375885883536
16,-111.52949554147891,-114.78709807802205,-109.49547865517425,-109.20656197011499,-116.52902345798117,-112.12447834859843,-113.54230194523132,-109.17282712785698,-114.30201135352517,-112.82375885883536
17,-111.52949554147891,-114.78709807802205,-108.79719271540569,-108.72342114531624,-116.52902345798117,-112.12447834859843,-113.18588582161287,-109.17282712785698,-113.18670190951086,-112.34053443219351
18,-111.52949554147891,-114.78709807802205,-108.79719271540569,-107.77774779060303,-116.52902345798117,-112.12447834859843,-113.10140252063353,-109.17282712785698,-113.18670190951086,-112.34053443219351
19,-111.52949554147891,-114.78709807802205,-108.79719271540569,-107.77774779060303,-116.52902345798117,-112.12447834859843,-112.95808024504791,-109.17282712785698,-111.90276728609048,-112.34053443219351
20,-111.52949554147891,-114.74833245056121,-108.79719271540569,-107.21519957782775,-116.52902345798117,-112.12447834859843,-112.95808024504791,-109.17282712785698,-109.89889593898512,-112.34053443219351
21,-111.52949554147891,-114.74833245056121,-108.79719271540569,-106.65669003893257,-116.52902345798117,-112.12447834859843,-112.54819019530278,-109.17282712785698,-109.89889593898512,-112.34053443219351
22,-111.52949554147891,-114.733599453773,-108.47510992406177,-106.585981623675,-116.52902345798117,-110.1520611382137,-112.54819019530278,-109.17282712785698,-108.70724114523532,-110.7479532290441
23,-111.52949554147891,-113.99910621276783,-106.79095488307858,-106.585981623675,-116.26771174037981,-109.69648900151904,-111.01967864024581,-109.06615719614572,-107.9220935058571,-110.7479532290441
24,-110.42475056298285,-113.99910621276783,-106.79095488307858,-106.585981623675,-114.41349408808095,-109.69648900151904,-110.345430686289,-107.57306668474061,-107.17133983477473,-109.44034632005375
25,-110.42475056298285,-113.99910621276783,-106.3495358308064,-103.7992881858124,-114.37861196645378,-109.69648900151904,-110.345430686289,-107.04158849041309,-106.2571231653721,-109.44034632005375
26,-110.42475056298285,-112.55607206728834,-106.3495358308064,-103.71366753216671,-114.37861196645378,-109.69648900151904,-109.55594271565965,-105.14844237042894,-106.2571231653721,-109.44034632005375
27,-110.42475056298285,-111.27555334645795,-106.3495358308064,-103.71366753216671,-114.37861196645378,-109.49223068216614,-108.33763320599832,-105.14844237042894,-106.2571231653721,-109.44034632005375
28,-110.42475056298285,-108.53027253479881,-104.81256748060662,-103.71366753216671,-114.37861196645378,-109.2597781721519,-108.33763320599832,-105.14844237042894,-105.91825930443457,-108.55081105861112
29,-108.6066491772855,-108.32272379997752,-104.72850277636648,-103.71366753216671,-114.37861196645378,-108.74265794546298,-108.33763320599832,-104.99088676820375,-104.84425410411279,-108.55081105861112
30,-108.38674337924854,-108.2939178489889,-104.72850277636648,-102.61046025910812,-113.65647162869934,-108.74265794546298,-107.18447660981082,-104.99088676820375,-104.84425410411279,-108.3762468520222
31,-108.38674337924854,-106.92275782914707,-103.68438805111604,-100.72265804532438,-111.9394485494683,-108.61157817260269,-106.50190940687582,-104.99088676820375,-104.84425410411279,-108.3762468520222
32,-108.38107867808742,-106.8214932704469,-103.68438805111604,-100.72265804532438,-111.9394485494683,-108.61157817260269,-106.50190940687582,-104.99088676820375,-102.74892398245277,-108.34886934802114
33,-108.38107867808742,-105.54157567141421,-103.38491867778897,-98.92192477492758,-111.9394485494683,-107.80587747820766,-106.50190940687582,-104.99088676820375,-102.42143999799023,-106.87589052592519
34,-108.38107867808742,-104.76648852377807,-103.37942215428674,-98.92192477492758,-111.36849625723005,-107.80587747820766,-106.50190940687582,-104.99088676820375,-102.42143999799023,-106.87520717891732
35,-108.38107867808742,-104.76648852377807,-102.67752942042499,-98.92192477492758,-111.30859081242647,-107.80587747820766,-106.50190940687582,-103.76353059903573,-102.42143999799023,-105.92906906186943
