iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-193.6601126209091,-185.8331955758129,-211.57175904169975,-189.21753547046438,-183.67483728901846,-192.57579687859624,-187.16715746556406,-186.2075977346267,-183.09474045346724,-191.83296002908776
1,-181.86999441617863,-194.75627082482524,-177.49133053732743,-180.6973630883793,-194.13828763765494,-191.68377671597744,-183.4471643135471,-183.84185073747273,-191.75698982437166,-185.3199590338009
2,-177.90224982397402,-188.49279121607975,-168.94529235540531,-181.23933699574837,-173.99783671013654,-184.55846383616915,-173.09423856191987,-188.9684815028136,-177.43049570952257,-172.95906413882832
3,-180.23767648273588,-180.09580611283195,-182.3313438612013,-191.96917646993057,-194.89848971863657,-191.30024411581672,-189.352541403536,-186.64872684957797,-192.81860539418963,-175.33812337019626
4,-184.1183634644979,-176.26269945785862,-191.7326799952062,-178.1341480359053,-178.5187555167582,-163.13240197939734,-175.0027179104789,-184.85944246028748,-176.84572512649288,-194.8867586775241
5,-191.3432700134742,-180.45788523544945,-194.0141189604933,-187.1902051184975,-180.79560777697498,-180.0866517776538,-184.89647412959818,-184.48168634059923,-170.566118496576,-176.74452618667985
6,-193.97383216279553,-180.80635402236982,-175.00572137056116,-199.87217680310658,-176.01324677811996,-190.10734692216204,-180.45308968594782,-196.70092933034402,-183.84178344758888,-195.12082455796278
7,-188.7320496838333,-169.76569884697125,-174.54846080712238,-184.45300924981711,-189.615474942371,-173.2087483796489,-180.98174499136036,-183.88481876003175,-166.3116121688022,-184.86764167369643
8,-181.37682763799148,-179.10787374517292,-178.21588961507985,-166.2408214564345,-176.31778370313307,-184.60185024269913,-178.65975830397053,-171.7566225009713,-188.74601270707956,-168.28219298920578
9,-178.83618831328704,-169.5943207093298,-180.6056170655691,-171.42126268915825,-193.8543689499893,-179.1738981431135,-171.16756183839493,-178.22997511805926,-179.78044690044106,-185.70396915910044
10,-170.65095893665213,-177.08241072528705,-173.18975816905947,-189.0891034261299,-181.93133233675542,-177.9986447779291,-170.23979119136504,-177.05351891354658,-187.44001339258512,-162.58086464398946
11,-191.26749328379188,-176.60368210421692,-170.90949883967923,-172.38798174165322,-183.2087684562124,-182.00705596634134,-184.75205503112153,-174.93562775096325,-186.77926950992165,-180.9260246527751
12,-188.13082123018643,-191.12762705819927,-175.1728632134687,-169.4445700205069,-181.86883212349457,-188.07491939608786,-173.21504555061753,-181.74393623546592,-192.36056454877894,-182.93882797813313
13,-178.11848186746732,-175.0476640873061,-202.9380878417495,-187.99171204674133,-177.04507631011765,-182.76448889596622,-186.327232012654,-192.14347411036232,-167.1655051235099,-189.1886231730265
14,-170.00994459936638,-179.0308427078984,-172.39916262675476,-171.87501942130882,-181.9655345474191,-173.71719065292152,-179.24563148487482,-178.4940436912135,-180.0802059525123,-177.00182837908906
15,-181.4478597331759,-187.18882934600157,-189.8743753538463,-186.84223419382795,-164.85705545452572,-162.64441598028674,-164.22949148759182,-177.61789169375706,-194.96893750941786,-163.89971087739255
16,-166.67152609769784,-184.16627991955033,-173.91670418460427,-182.4050255034033,-179.1002503985628,-174.2262144541263,-179.21927282811376,-183.80034184712088,-186.55885019831783,-179.270414859831
17,-176.42546109494225,-181.6615746498224,-184.97149833990989,-164.01023480742845,-193.770382463331,-182.3496565535257,-181.33779503952096,-178.69123015777268,-170.28643488932136,-178.06274085501673
18,-169.80615967347103,-187.57754577411387,-180.84551414825933,-168.3478185698453,-167.58925897515664,-181.49040349587233,-160.02197831385706,-169.9569168468483,-191.73093529462935,-176.53998558104
19,-177.6479610557965,-186.11009335974916,-167.89473950719838,-175.50987790258148,-169.1376913894639,-179.50130986111242,-170.20690269403548,-173.72149202138775,-166.67671410447016,-172.14137802620334
20,-192.1546379510317,-183.27209404589541,-179.07910426121572,-167.8474666657827,-167.9597382132959,-176.97291962378122,-171.58927148854656,-164.97413878711419,-171.69573176002868,-159.97590117881475
21,-187.21641488629436,-183.3871737578495,-181.98613476816286,-159.58660231604426,-189.58965831931695,-181.80774703326733,-181.60666126063143,-175.99245969333242,-172.4307160619042,-191.0024150333961
22,-177.26953089690977,-161.38727753988823,-177.49781225703646,-165.01269377220757,-183.24989370154003,-172.8834717691819,-168.58270630742277,-166.26508797466278,-172.29482697509883,-175.2289908841534
23,-149.5238061899484,-155.77770696215597,-159.8725768807094,-179.45249924319015,-167.94850663413578,-164.5290234811778,-177.9841945208761,-180.9788561266083,-171.34088756008205,-169.41116194370392
24,-174.87290196106864,-169.61565142054928,-175.47404575058007,-168.19407858122574,-178.45389740353994,-170.18762987790222,-175.45000874273552,-168.0881376377243,-170.53327794718535,-169.8313988532394
25,-193.89797804776066,-187.7025208758036,-169.43721108770814,-181.54255584539843,-174.7072801701574,-176.23564279063174,-176.3968329270781,-176.6637455389121,-155.70525986879252,-183.12068214029404
26,-178.27078509312875,-172.99721762965828,-174.15096807442467,-170.55805899542452,-175.119143206146,-165.2644144932318,-174.07940636026987,-154.88216994854713,-185.24332843651024,-177.12178647391238
27,-170.55210787762454,-164.9972506933175,-171.11356207433116,-178.10355910840352,-173.18892655756264,-162.5749305936302,-168.69301507315373,-181.37738103390595,-186.40165303716014,-162.69860788333028
28,-186.35462576203997,-161.21595229475454,-163.23127709062663,-166.83949463261757,-161.1814026269829,-171.5676269769897,-168.65788199045937,-179.47271043241554,-158.8714376949008,-172.52525899253448
29,-173.10612923080564,-166.4329395941179,-172.96156551780382,-183.0176449353911,-187.64894530830958,-153.42810539824262,-178.98921038600264,-165.6959867989002,-167.07568662719962,-180.91590040820878
30,-172.7261464648223,-168.16867657323152,-177.29921465519587,-156.89539369128863,-165.60580628856118,-169.6670309774123,-164.39224293719008,-165.4288508341856,-169.82629814508002,-171.85666506515065
31,-162.37416642250528,-166.8208199642233,-168.9888211680057,-163.84712873941515,-161.2153564287608,-160.00382845374375,-170.22230760547748,-171.63031897495185,-175.509924704483,-173.0928698389765
32,-181.91530517505424,-164.25612779761846,-158.9621690322649,-177.83880630103573,-168.46472751112626,-167.46763886756167,-172.48479306579932,-171.24278747007747,-169.2297039379701,-162.53612719364466
33,-180.46796651611191,-164.54275136280035,-164.58736848478935,-175.81066502332357,-166.04454337630068,-174.2045297805446,-165.45027519671316,-161.01790486895538,-154.41624384151544,-158.211911681163
34,-181.33906995034928,-163.70444460247808,-181.84577212227867,-176.8649078733113,-165.76286160238504,-168.8158294767396,-166.9129083010872,-184.18189133735436,-157.92047807327947,-176.04489507849388
35,-181.32501163485315,-169.3988650863889,-161.03682881932792,-169.00411952645533,-159.50722803869326,-173.63837613234972,-169.09868487270415,-181.1351724781353,-161.96374477451698,-177.01692350784847
36,-179.71994326546778,-170.84279813942516,-171.7477286244635,-163.93013517196357,-164.93767279519227,-165.85900895974135,-185.21500804061742,-161.31913056259629,-165.45282696311443,-159.91855197915265
37,-166.0936374137851,-158.5498359599884,-160.86677103076474,-166.74857371226815,-169.2103162800238,-174.4844650440628,-171.63417608483212,-165.23435957576294,-165.02997878110784,-155.72721505058354
38,-170.4734739486508,-175.6484109758093,-173.10417037579657,-189.23189632711262,-163.05238141895842,-175.2514408163047,-183.3170213150524,-158.24005741121007,-170.86017350584063,-175.31830587608067
39,-156.06674780674467,-160.95201824399925,-172.39544108893742,-168.87831045031373,-193.2832355697771,-160.92238781768413,-166.70344502646265,-166.8830517201685,-174.5825386204412,-179.63197745742346
40,-168.56732348987572,-165.32316374171273,-170.57432993849596,-162.99255696688283,-164.98115938934066,-163.49508315175385,-173.07716019316115,-172.50183341498257,-172.8703183176177,-164.2912547591183
41,-181.98172905042685,-157.5965006737644,-179.19584745391103,-160.22008980284897,-164.28569317634094,-176.2183756571917,-163.5264041848947,-177.70696760493223,-160.61554817916863,-163.05666257797816
42,-178.59157338935722,-174.97781341488172,-170.43137112380708,-165.7910521381962,-176.51838739772768,-167.2278521281326,-157.26460284819524,-155.29719384836068,-176.7991737910687,-166.4705781615895
43,-164.8196909500555,-162.79815636245013,-164.13851584736793,-175.78355948844114,-164.26339195033307,-186.99168052430548,-161.46639232172356,-159.37843489239611,-152.6144273130518,-171.39306578003107
44,-173.1058255000682,-154.6879945643384,-172.0619066796192,-188.69456227746628,-177.245133187197,-179.99584414200513,-162.68862558829468,-177.00468245115917,-177.60063135276872,-175.8218078520685
45,-174.16092684156087,-164.43537085210744,-161.2464885964359,-173.1635016190342,-182.13325977417338,-177.48474284301537,-168.24109150864263,-164.14176422238705,-158.2176201244304,-168.14554324226276
46,-172.53088995127592,-149.7871834725235,-153.63134358969484,-171.01203247650756,-169.195217372111,-177.12731442312116,-173.74539667484487,-164.47806196857152,-173.98295072639894,-178.479668007057
47,-172.11301934515643,-166.0119839862476,-163.38857841404416,-168.08119623060145,-184.89271250824117,-169.9022999554213,-182.78622613257974,-175.24739308171533,-160.3946618978245,-185.85555495954964
48,-155.71936540941397,-165.59494783228251,-158.22114034962487,-166.80871398956293,-164.76822683483496,-170.36815920442697,-177.84275950679535,-162.16490717461858,-167.511817661726,-173.1488788919418
49,-147.0296578324302,-142.56724465946039,-170.84980216491832,-166.41447749290023,-160.39353582171586,-169.59790375318386,-165.6092496896157,-164.39480460415885,-150.7892176912007,-167.95048991489327
50,-166.1077459346743,-166.8113077810368,-172.2695805539414,-159.48207901441083,-160.87730344695683,-184.01894841601393,-174.08438996033473,-173.30559268173317,-169.46668631466133,-165.10872736346525
