iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-119.1993574461992,-121.44285388423424,-123.42136105903649,-113.80830632141999,-121.42230957478716,-117.16216266942303,-122.34580931447248,-115.22282474115298,-123.51634673979098,-117.73012187151207
1,-114.60345398944709,-115.99760805283503,-118.05537473278876,-110.59730094510923,-117.51837150484414,-114.26407512637938,-117.73604914482002,-108.23510493385646,-109.67482879167486,-112.33915374110482
2,-112.38684991556426,-114.8722256109655,-115.2043015486802,-105.03499705569931,-112.59312261663538,-113.5703615162631,-112.42860693756501,-106.79630364060189,-109.55411320810582,-109.01123776295597
3,-109.8545260279034,-109.49035639609738,-111.24305759976393,-104.94176434810183,-108.62478744513209,-109.6588748214313,-107.371650576207,-104.12175597983696,-103.63798668764687,-108.79519457281292
4,-109.29166242261248,-108.7328985623797,-107.60393289353883,-104.35699985247186,-107.45458941348305,-108.24535654884973,-105.89524418089329,-103.04507912655492,-98.35346064436213,-106.9540319538162
5,-109.16713924289574,-106.76690177502331,-100.37874588469029,-104.35699985247186,-104.00482709047009,-106.99942791676332,-103.24927440128965,-97.03554056398976,-97.60879302623269,-106.5456744662518
6,-109.16713924289574,-99.97434113957281,-98.28070260384457,-103.48413000625355,-102.28246260528856,-106.99942791676332,-102.53854274042604,-96.37912834190597,-95.52260702760292,-105.0222241719512
7,-107.80685648245596,-98.25086617291566,-97.36591017778335,-103.32892676209968,-100.65264024801073,-105.87554706241153,-100.59569724413204,-96.37912834190597,-89.79757043317771,-99.00504995990582
8,-107.80685648245596,-96.7720618286155,-95.63432717293867,-101.4627753662823,-98.8791836469959,-105.87554706241153,-98.82558561068052,-93.68772856276593,-89.05497970417198,-98.35730346218116
9,-105.659568664829,-96.7720618286155,-95.01755897409589,-100.69062800708583,-98.8791836469959,-105.67315533369236,-98.35110188662883,-92.85879060931723,-87.81458183559636,-96.09289879421092
10,-103.79841054343616,-95.1063045537178,-94.20475859343608,-97.12315321737785,-98.0552217338221,-105.11791722499655,-95.83885398363604,-92.17138347227183,-86.57903895050217,-95.74703090446855
11,-100.40405807778234,-94.58798395800034,-92.19036401051457,-97.12315321737785,-96.27906049348212,-104.35163787268057,-95.6036831990323,-92.17138347227183,-85.58063201825928,-95.54201499340675
12,-100.28306269342971,-93.13703791399764,-91.76985137758084,-97.12315321737785,-92.94130173961973,-103.17179400360604,-94.56879659356795,-90.9584141538684,-82.09129283491546,-95.54201499340675
13,-100.13063334108375,-93.05058763106157,-88.2284692293888,-97.12315321737785,-92.94130173961973,-103.17179400360604,-93.78275614418514,-89.13120349285296,-82.09129283491546,-95.54201499340675
14,-99.21733799698681,-91.21446992951074,-88.2284692293888,-96.84143230815602,-92.94130173961973,-96.71717725134977,-92.25972617626712,-88.38281138103935,-81.71973227574935,-95.54201499340675
15,-99.21733799698681,-89.95339627637395,-87.43879192851789,-96.02921284120319,-92.94130173961973,-96.71717725134977,-92.25972617626712,-88.38281138103935,-80.94784721936794,-93.53802973108371
16,-98.84900038327989,-89.87089190024602,-87.43879192851789,-95.50362343832138,-91.2787129234409,-96.71717725134977,-92.25972617626712,-88.0633069757787,-80.94784721936794,-93.17308581439188
17,-95.80380304112563,-89.27542147970681,-87.14991233910511,-93.531192108635,-90.52237563526988,-94.45911419730115,-91.20730445482957,-86.87290150661025,-80.94784721936794,-93.17308581439188
18,-94.67035556522421,-86.10552851152497,-86.37090892685575,-93.531192108635,-89.84746500217662,-94.45911419730115,-88.78375005065237,-83.92073764116248,-80.93405305588531,-93.17308581439188
19,-94.67035556522421,-85.48691003960388,-86.37090892685575,-92.61847852339929,-89.03205324224913,-92.80419931736014,-88.78375005065237,-83.78082842677895,-80.93405305588531,-91.72315010220912
20,-94.67035556522421,-83.65731553111533,-84.43727568068873,-92.42772055877685,-88.07795831320963,-92.52281735516621,-88.78375005065237,-83.78082842677895,-78.84583853725533,-91.46136050586927
21,-94.00725331711578,-81.17158146507846,-83.4308080720493,-90.85274960986419,-88.07795831320963,-92.45609160294765,-88.78375005065237,-83.19061546004485,-78.71449259458512,-91.34901148092132
22,-93.56440591179717,-80.2798176435154,-83.17502454909283,-90.0927574509954,-88.07795831320963,-91.78428559474057,-88.32229373529418,-83.05098511235303,-78.06322572294563,-90.73178232910635
23,-93.56440591179717,-80.21997585245784,-83.17502454909283,-89.46128809933353,-87.02513062736095,-91.53023982394448,-87.61435165697455,-82.25112068157452,-75.54262934311384,-90.60645784613027
24,-93.474228425523,-78.90925950131623,-83.17502454909283,-89.46128809933353,-86.70296077350875,-91.53023982394448,-87.14600695135263,-82.25112068157452,-74.81507700058141,-86.71221847978771
25,-93.474228425523,-78.1241275478035,-81.35349449172305,-89.46128809933353,-86.70296077350875,-91.1406667295557,-86.84148705656202,-82.25112068157452,-74.48112628621436,-84.80577350465376
26,-93.34036334750468,-77.86067744814135,-79.9748340143932,-89.46128809933353,-86.1739528023025,-91.1406667295557,-86.84148705656202,-80.8337507245027,-74.48112628621436,-84.80577350465376
27,-90.60797905293904,-77.86067744814135,-79.65673277313527,-89.46128809933353,-86.1739528023025,-90.05237439684923,-86.84148705656202,-80.8337507245027,-74.20918673744038,-84.68450973495848
28,-90.42281673260068,-77.50621869034403,-79.27147236683393,-89.46128809933353,-85.7319965325404,-90.05237439684923,-85.76009151389451,-80.8337507245027,-71.56830188505779,-84.23476336301326
29,-87.69746240023545,-77.50621869034403,-79.27147236683393,-86.81140022671335,-83.28053101253278,-88.44376284905034,-85.71758220005361,-80.77667598668421,-69.51819180833328,-84.23476336301326
30,-86.47605754061199,-76.1964666794645,-78.05613297771933,-84.34885775863896,-83.28053101253278,-87.38352195410694,-85.01026431546072,-80.7139078038632,-67.8079951213251,-84.15556223924693
31,-83.90174554529781,-76.1964666794645,-77.16498316114738,-84.34885775863896,-83.28053101253278,-85.96366270206107,-83.19943295890018,-78.99675345572919,-67.8079951213251,-83.41489570993818
32,-83.82658992186828,-75.34679301342167,-77.16498316114738,-82.5505266654062,-82.72796661091999,-85.96366270206107,-81.69801536397938,-78.33388069826253,-67.44793095518371,-82.16962714193474
33,-83.23737053759444,-75.34679301342167,-76.5306768491998,-82.5505266654062,-82.72796661091999,-85.2660471712906,-81.69801536397938,-78.33388069826253,-67.44793095518371,-81.99080834532592
34,-83.02499630071401,-73.01179728412744,-75.30005309067539,-82.5505266654062,-82.72796661091999,-84.84532927107274,-81.69801536397938,-78.33388069826253,-67.08944940632549,-80.91845189186796
35,-82.2529452119663,-71.68122391922878,-75.30005309067539,-81.93095884999313,-81.7226002109652,-84.68908805518026,-81.69801536397938,-78.33388069826253,-66.60643984589635,-80.49337629104988
36,-80.36540290245219,-71.68122391922878,-74.70727355665845,-81.89478743659282,-80.34990879275962,-84.12158125483204,-80.9149550132122,-78.23649246266356,-66.13011833205482,-80.49337629104988
37,-78.85107306086485,-71.44869238969311,-73.25045716499237,-81.89478743659282,-80.34990879275962,-84.12158125483204,-80.9149550132122,-78.05739850588971,-66.13011833205482,-79.66616037295609
38,-78.85107306086485,-70.82016942170252,-73.17310273300828,-81.16130602802369,-79.17952400624313,-84.12158125483204,-80.60011018526204,-78.05739850588971,-65.71354677703857,-79.66616037295609
39,-78.54665796613885,-70.81806580164235,-73.17310273300828,-81.16130602802369,-79.06825593658297,-82.11944598744199,-80.60011018526204,-77.95650729881095,-65.71354677703857,-79.66616037295609
40,-78.02621698172277,-70.81806580164235,-72.65309756087704,-81.16130602802369,-76.98236717917709,-81.20280909967587,-80.33943196772563,-76.79242169094837,-65.71354677703857,-77.12710411929753
41,-76.32753821299632,-69.70160312489296,-72.65309756087704,-80.91487390285633,-76.98236717917709,-80.72299307022854,-78.56889620719461,-76.10243261175427,-65.538915736325,-77.12710411929753
42,-73.64993017894248,-69.58183951760668,-70.95320274135808,-79.81640284731726,-76.47148219381083,-80.72299307022854,-78.15054591369653,-75.86541889068397,-65.538915736325,-77.12710411929753
43,-73.15129699690453,-69.58183951760668,-69.59378247417231,-79.08006419384468,-76.17741932806737,-80.0951265967097,-77.39485978460806,-74.1631538399613,-64.82060497568318,-74.9478817991226
44,-73.15129699690453,-68.64785076513708,-68.38369990299513,-78.92130612896072,-76.17741932806737,-79.7566016162622,-75.1113955138698,-74.1631538399613,-64.50433979110272,-74.9478817991226
45,-73.15129699690453,-68.32803254123499,-68.38369990299513,-77.89898022502823,-74.79079697160708,-79.2415099689713,-75.05566034122762,-73.01508920897945,-61.66410425046785,-74.17392578565313
46,-71.3962362120295,-65.09363647812017,-68.38369990299513,-77.89898022502823,-74.79079697160708,-75.41371148064584,-75.01055762041295,-72.31090654530992,-61.408697594231064,-74.17392578565313
