iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-193.6601126209091,-185.8331955758129,-211.57175904169975,-189.21753547046438,-183.67483728901846,-192.57579687859624,-187.16715746556406,-186.2075977346267,-183.09474045346724,-191.83296002908776
1,-134.12609504596708,-134.64949570436667,-129.49229761252218,-126.135917250471,-137.47086835322514,-138.3439147885407,-126.63094749759205,-127.73663247332529,-117.59834244602348,-128.85819142924112
2,-151.74013774628747,-147.80481293303097,-132.30113767090756,-127.98640995734179,-143.6719532276819,-148.54609203633845,-138.2275416804345,-142.37610465025284,-135.8113793529879,-135.4433832501682
3,-134.2896599329872,-145.25015975946312,-137.74048133541788,-144.89397934145723,-130.82839607689326,-143.49323334713776,-135.5064960216892,-130.81882763577698,-131.28576214043227,-149.0121265733543
4,-138.0211091723574,-130.50034710873516,-137.01347515052169,-146.2818387206891,-131.56694000165803,-142.62839097206864,-125.54717870886246,-133.80009782709098,-128.95626101227737,-144.01408213413157
5,-132.0661190839527,-142.48786099693763,-132.26784511456597,-134.2885300179472,-135.1259018915257,-148.2145903116127,-137.59303631693274,-127.43718105469112,-129.78816608673992,-137.98133286927327
6,-146.2552930667211,-127.03797782196453,-125.67086228265,-140.6663035347928,-140.37437656675422,-135.94948590687906,-138.83492206588664,-127.74757098201212,-124.51277079021037,-143.84210547012492
7,-140.70137101633898,-127.62263977323951,-121.98560591282612,-130.3004718851596,-128.68913725218493,-135.68722890911738,-131.33208159544,-131.90734936031095,-115.06377729735725,-132.758147381217
8,-143.08520389751354,-138.6998228543605,-133.1536952973945,-138.79586004214104,-124.12773517709026,-144.22607929293787,-133.1105058105723,-119.1362127429092,-126.0674720007168,-128.24697023136747
9,-145.06220760792704,-144.9793176493263,-131.953187649434,-137.20142343193896,-126.45984423787624,-141.6709269666889,-138.45824252289975,-120.03965864006189,-112.88063521061862,-124.59503097344847
10,-121.53032369952571,-126.6611260370849,-127.31775841755534,-125.70120235865534,-133.22682145990683,-139.7076144426998,-130.27510739323282,-127.29304861245723,-125.20223511990288,-131.38836645128924
