iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1113.872202326761,-1006.4213826216405,-1084.3964711522747,-1261.6191063851861,-1280.2096179427947,-1108.1510878857166,-1122.9820114324814,-1056.8377533402659,-870.1022035731346,-1091.8367385111596
1,-383.3901615889772,-428.8788195350129,-409.7322904564949,-492.5100324333937,-471.46269154272056,-396.8047966439074,-335.48829768173147,-339.47118281758924,-329.4882252269856,-376.8324769197576
2,-146.3095996832209,-163.7944313028047,-164.8130049996692,-109.27649824357404,-165.27028737317815,-137.13448888828833,-157.17006864981155,-123.44496310337755,-180.09650970392522,-141.52320258567505
3,-121.91815253125496,-128.60024830317872,-140.29680064488272,-99.14897781178684,-122.13791556858354,-113.78902547553363,-125.38782856813674,-107.72237635507938,-104.66849034666726,-112.35273417314195
4,-110.66402549426746,-120.63990313459232,-131.25002003646588,-94.74024879375196,-117.39604435738393,-102.53392897097538,-118.70605348691545,-103.81130062452851,-93.98845818881215,-107.48901490305448
5,-108.67249514006753,-120.63990313459232,-125.98275509928939,-87.75016566155936,-108.59284205730066,-101.2514598843872,-109.51976597041573,-101.76085741926804,-91.78214948690285,-105.08201774456704
6,-100.28756384918589,-120.63990313459232,-119.8329806180196,-81.26740939210413,-102.85765007123209,-94.2593268642238,-103.96299629594222,-89.41388901899022,-91.61217358468288,-100.02791960620054
7,-100.27848425338223,-115.61226296343229,-108.62161861218684,-76.90444921580232,-96.2633454308689,-93.21780962092757,-102.277724544438,-87.54877141025167,-91.46014601882864,-100.02791960620054
8,-95.60622050072826,-106.20911373177083,-103.76281486525212,-73.71700070183695,-89.94506115198129,-91.65343183742402,-102.277724544438,-84.64536213919018,-89.26882267124404,-95.4108409453847
9,-94.71503104539089,-101.94997710245184,-95.78550543282034,-70.5725796038241,-88.11914285645148,-88.1934459007329,-94.59673872725168,-83.0399899274252,-85.71653136353338,-89.28038189566567
10,-93.13223989637832,-96.49419716551472,-91.19432182909281,-65.10151260558244,-88.11914285645148,-82.2643538473126,-92.7912860065994,-78.78077737807136,-83.45802525785885,-87.12959564140891
11,-86.04171411647735,-94.29162217519855,-87.49999053314227,-60.45151795059036,-81.55279143222245,-75.34420949199611,-89.84239117662435,-69.27740641957513,-79.15145893942119,-77.38238072446244
12,-83.31546929835316,-84.37032273742102,-81.29474596383966,-57.6606973670571,-78.7528251876343,-72.37896606872877,-79.56894096884302,-65.04809811713119,-73.20137661911724,-75.83078140666186
13,-80.60482332574361,-82.32605076417346,-78.27563975195153,-56.013831975425845,-75.24280119580558,-69.03757346999781,-78.27688966270415,-59.30759326559456,-71.97911714009723,-74.01028758832592
14,-79.04132186182846,-69.88708098560515,-72.35925400428228,-55.98775691074751,-70.30606044483157,-68.87723134844887,-71.75516280468466,-55.63898162386497,-67.40397299761008,-71.27087368001892
15,-74.92880600670367,-69.09981854760656,-72.35925400428228,-54.66704090711198,-67.8292143486205,-65.46573965962898,-70.23228363932613,-51.84928466743,-67.28424091888911,-71.24830824277893
16,-70.68523934820485,-69.09981854760656,-71.87287492858701,-54.14645796200232,-65.85888032201191,-64.83787319392073,-70.20804241464772,-51.84928466743,-65.97668054547378,-67.69054012764116
17,-66.80133580664089,-68.02708463821503,-69.82173118400769,-54.14645796200232,-62.05553091749745,-64.05967696517806,-70.18791949216407,-51.25110285052588,-64.57750136127268,-67.69054012764116
18,-66.80133580664089,-68.02708463821503,-69.82173118400769,-54.14645796200232,-62.05553091749745,-64.05967696517806,-65.35984669389168,-49.12698811181597,-62.60218410205765,-67.57405395557032
19,-63.62959416535901,-65.8051275234171,-69.82173118400769,-52.79491015685252,-61.909482705427116,-62.74943025893491,-64.23095801435383,-49.12698811181597,-59.91640687970596,-67.57405395557032
20,-63.5484896773648,-64.16015870983223,-66.05630624628678,-51.44961835389207,-60.49733404887918,-62.18163864653981,-61.3332619167396,-49.12698811181597,-59.55641442926735,-66.64242061586744
21,-60.79154811758262,-63.57719540136516,-65.07975402618085,-51.44501937947224,-60.49733404887918,-60.74058178068718,-61.3332619167396,-47.36819785049741,-57.76372292827855,-65.63302514173047
22,-57.7404568879949,-62.369979819514114,-65.00126577623114,-51.44501937947224,-58.92084707534067,-60.09298943971886,-57.25902211567263,-46.98319716582794,-57.76372292827855,-65.4516137779888
23,-57.7404568879949,-62.369979819514114,-63.637719302957656,-50.517880949742214,-58.92084707534067,-58.425706061130185,-57.25902211567263,-44.63907160469963,-57.195476521477666,-63.75723069669231
24,-56.33275720419985,-61.250387117542196,-59.721558627116025,-50.517880949742214,-58.92084707534067,-56.85645751673097,-57.25902211567263,-43.83667743648138,-54.93029448595341,-63.75723069669231
25,-52.6457962385776,-60.96657063506375,-58.65805733475564,-48.689386719462775,-57.56785772082057,-56.37681537417433,-56.59961836848525,-43.83667743648138,-53.12496006219321,-61.87441437798837
26,-51.59019376899071,-60.03602195944676,-58.65805733475564,-48.19012388849552,-56.008269926058034,-56.37681537417433,-56.59961836848525,-41.99427141453049,-53.12496006219321,-61.87441437798837
27,-50.62615471897017,-58.5790954096431,-57.372167331426496,-47.73337292051123,-56.008269926058034,-55.6269446944488,-56.358334905535614,-41.99427141453049,-50.614661684981606,-61.734637822848626
28,-49.20611135616391,-58.5790954096431,-54.523277143258895,-47.698312496156646,-56.008269926058034,-55.62003135149621,-55.50314522680715,-41.35630197475372,-49.89774484266445,-61.02469294727841
29,-48.369993600389165,-57.93336618050077,-53.659117998803815,-47.62203553210588,-55.85879913044794,-55.22964499190149,-54.453787323951815,-41.35630197475372,-49.89774484266445,-60.08315645523218
30,-47.522854075200335,-57.53200302827885,-51.505449572648445,-45.09878938339214,-55.04585028075645,-55.078510893039976,-54.453787323951815,-41.35630197475372,-47.53468399761099,-58.33937848861321
31,-46.86112473852875,-56.86664315575105,-50.3717960152089,-45.09878938339214,-54.76507295432766,-55.078510893039976,-54.453787323951815,-41.35630197475372,-47.32095239450948,-56.893250324776474
32,-46.651263286436624,-54.96451046623742,-47.83234542317161,-43.75019862671592,-54.44700510390117,-55.078510893039976,-53.07371144600013,-41.35630197475372,-46.20708688928011,-55.829525519776844
