iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-4311.379593734181,-4204.477993819364,-5068.484765517512,-4298.710717227361,-4185.287347000355,-4548.891594045237,-5099.320835405644,-4758.2558618414005,-3985.211042203331,-4154.936986927311
1,-383.3901615889772,-429.8243750317133,-409.7322904564949,-492.5100324333937,-471.46269154272056,-396.8047966439074,-335.48829768173147,-339.47118281758924,-329.4882252269856,-376.8324769197576
2,-155.09033931699338,-183.9468339215471,-174.80112625394196,-125.22718615373269,-184.9202590879506,-148.61743929314017,-170.7373141966216,-125.94615116215407,-208.4531321554424,-161.09724816072122
3,-172.64239838644085,-189.74405912820046,-204.0248012259545,-200.89215130741553,-156.32861776983071,-183.0853244886561,-189.42547852360624,-194.74538301995614,-142.03874767308537,-171.8478899947405
4,-168.97840737797208,-181.92101034873548,-250.00778452704847,-178.51230459708648,-226.34658729500632,-166.81061954237984,-245.83808026720365,-171.34392497704914,-151.50624527008063,-152.55325315495142
5,-206.79501802609593,-274.8110239603067,-247.74106566105598,-153.6817381434143,-208.92439443096416,-173.43415683149937,-239.05058080926966,-199.66023857813926,-175.75956149624443,-244.43538376849872
6,-206.95871251715286,-230.51400066818687,-208.84828098852,-152.99037813414301,-170.55393103248127,-171.2745605444092,-206.70496225008043,-152.27466701796408,-169.71219691388518,-186.45607587350622
7,-165.87498380129114,-191.02224735535032,-202.87250885782808,-149.3617734098015,-160.09148516823961,-210.9843849889561,-225.0655096446407,-188.1479352366982,-167.60562289746693,-195.66182220766188
8,-175.0554543199146,-179.56369578507878,-221.31585664853242,-124.72004523312759,-158.52471661300046,-179.2734305381972,-229.04113390001683,-161.5007905929894,-184.2109386202254,-167.49929634656382
9,-145.10701870648148,-182.04840681991067,-212.2856583007308,-109.8264754567315,-179.12666490706675,-157.24929279666546,-166.01831713015972,-146.35519706656817,-155.64924589350062,-138.75397634308547
10,-134.98577409881074,-145.90822576420936,-181.43526258767918,-104.67242989382929,-156.72654235251244,-125.5886252846548,-165.70218208936,-198.38739782409635,-120.95218570114719,-142.8555271482736
11,-132.2301135426269,-152.38687064234992,-155.43736154073875,-102.90077769861509,-154.26284611082497,-141.2885359107135,-158.9387052451571,-112.13998395264423,-129.59293187817994,-116.7296931443637
12,-138.20243027783346,-138.64362999632456,-185.93828051988902,-122.70000151940106,-129.32536889749434,-142.5366634847893,-117.42678317888421,-147.51139627431905,-143.82702514188213,-140.97804942048566
13,-127.6979011209063,-130.09162444375346,-155.72824120366778,-105.89038366738944,-188.52496405418378,-168.2424010589,-167.47584312576592,-133.15835750147136,-194.22606802427873,-153.92502234422236
14,-172.13464854367479,-159.08067017896343,-157.12405826652898,-142.8559279713279,-170.3946535905653,-161.31178871656672,-148.8654461994074,-182.28587246626876,-178.19507043161488,-173.12593657690445
15,-192.3866725277853,-226.28533852316002,-300.2863773753864,-152.0766014484441,-202.51408749572096,-160.88699793186126,-124.84356941222629,-137.89805445351934,-198.04566335148812,-238.76134272770278
16,-230.19514489264955,-225.00884188699013,-170.76690442674607,-202.16938490629477,-204.8349444322604,-150.14648984211553,-271.4377433346039,-198.63547323482757,-163.25151085737048,-162.36048829266568
17,-197.69978683288556,-210.2914006590368,-235.6894198016438,-269.09805181026616,-233.82863389140743,-248.92254072636123,-214.40171096058953,-246.3672574437606,-188.46936924428462,-229.417925137798
18,-183.85712069127823,-240.14772076256452,-202.3735884909101,-214.16027286663518,-300.71151044442274,-217.62607162484477,-147.55526212792608,-227.10868357230163,-218.72211496562625,-213.93995711163237
19,-134.34173261190475,-177.554458937947,-274.0098085940697,-199.64403605435893,-243.45665838220563,-197.60240649958814,-235.95979112079814,-286.91900729902517,-249.54496974081422,-173.05737199755777
20,-161.4659426072977,-101.90833944783141,-243.83281187846555,-217.12216196591834,-220.32134393800453,-250.11853642939639,-183.24803207688672,-255.44949269000853,-197.09807799216614,-175.87109485096266
21,-163.3845501054838,-169.91116699323356,-194.12622859915336,-173.47062797503702,-165.193904223809,-297.6628249739081,-206.68252215799873,-179.19544756254075,-170.71988237052435,-196.7375886675058
22,-134.3320240503389,-196.66117167356308,-194.49742308835476,-190.74995024216648,-159.6688139635207,-275.0745798832662,-212.7575911365278,-216.2276925700177,-177.7775428159531,-228.95265420755817
