iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1113.872202326761,-1006.4213826216405,-1084.3964711522747,-1261.6191063851861,-1280.2096179427947,-1108.1510878857166,-1122.9820114324814,-1056.8377533402659,-870.1022035731346,-1091.8367385111596
1,-1095.6745619928192,-997.0453498306011,-1084.3964711522747,-1244.1851683716727,-1252.343724991867,-1108.1510878857166,-1099.9873484013276,-1036.2403241686452,-863.2122669486367,-1040.356650086862
2,-1080.9600329096097,-971.3516272430833,-1084.3964711522747,-1219.9458235115399,-1141.631863904071,-986.4639061131584,-1007.4015206958125,-1036.2403241686452,-804.9894719095962,-1011.7327921982422
3,-1080.0868581197658,-943.9182849223456,-985.9782079506042,-1217.9580015760039,-1132.0958346245106,-967.9288575620692,-972.7734960031082,-1017.718025046854,-804.9894719095962,-979.1783285399032
4,-1080.0868581197658,-943.9182849223456,-966.9050696130903,-1104.1482372737855,-1097.0635346351,-932.0047993214876,-950.0328381462851,-920.2983736609316,-804.9894719095962,-926.3824462973797
5,-1080.0868581197658,-925.7336972391935,-849.6264059646785,-1058.2360959822192,-999.6721441356051,-929.2230111647089,-950.0328381462851,-920.2983736609316,-767.1401232462326,-911.6785094839906
6,-1025.970402759821,-925.7336972391935,-785.4447278055688,-912.135769223007,-982.783590879957,-896.9238343589645,-886.2173895945712,-920.2983736609316,-746.3067817683213,-911.6785094839906
7,-998.4946061000053,-916.3445083748368,-767.8228496901777,-887.0737737903797,-982.783590879957,-853.5498719843291,-886.2173895945712,-909.3673250308266,-746.3067817683213,-911.6785094839906
8,-946.1571886102375,-872.6119234076779,-767.8228496901777,-819.2276331991751,-982.783590879957,-853.5498719843291,-880.9450452460436,-909.3673250308266,-746.3067817683213,-856.1330757448876
9,-896.6093167697275,-872.6119234076779,-762.3575518353264,-806.5093108262382,-946.3262765338097,-853.5498719843291,-847.7619095054388,-909.3673250308266,-746.3067817683213,-791.5466664251052
10,-896.6093167697275,-805.3792295966452,-731.0122591474687,-797.2946571898096,-880.6332500694066,-831.5410263728594,-750.7744935450885,-886.2224343295691,-746.3067817683213,-791.5466664251052
11,-896.6093167697275,-805.3792295966452,-730.149438684233,-766.3220153553526,-837.7155903140674,-831.5410263728594,-747.1378391881487,-834.2869766772244,-746.3067817683213,-731.445783627171
12,-896.6093167697275,-805.3792295966452,-685.5724013701241,-766.3220153553526,-837.7155903140674,-803.8057628278382,-747.1378391881487,-834.2869766772244,-705.341745755393,-687.4351665635745
13,-875.9237815778615,-794.2056512518113,-679.5596843128808,-766.3220153553526,-827.8168979097148,-775.1817727014884,-737.3162838060559,-834.2869766772244,-705.341745755393,-687.4351665635745
14,-875.9237815778615,-787.84612226113,-654.9158367798171,-766.3220153553526,-789.7418070456258,-768.6815227175539,-737.3162838060559,-834.2869766772244,-686.8162099094496,-624.9125557682185
15,-853.6620329996863,-739.8076765069852,-608.9184474476755,-739.2119092219438,-722.9768341883498,-758.5176668677191,-727.4263544247877,-817.8589223072927,-686.8162099094496,-624.9125557682185
16,-794.1847611714591,-661.7874407278515,-608.9184474476755,-739.2119092219438,-669.3746445304598,-748.2043148255829,-718.8927988312362,-816.2165374080337,-673.4763199948816,-618.7710419676813
17,-788.7429020458867,-634.8249454059414,-608.9184474476755,-739.2119092219438,-633.5656592261635,-736.4977614221481,-718.8927988312362,-816.2165374080337,-673.4763199948816,-618.7710419676813
18,-752.8512984232448,-634.4036916419727,-591.0161749637554,-726.0312562576138,-633.5656592261635,-700.3602933033543,-660.5696093126262,-802.2172671447581,-673.4763199948816,-609.4069899130996
19,-704.1629923860353,-630.7779445375891,-584.0359431075885,-701.1674920295743,-633.5656592261635,-583.8577292766829,-660.5696093126262,-738.9607077919266,-673.4763199948816,-578.3572922769821
20,-665.6903428808641,-630.7779445375891,-558.0932680641297,-692.6826806001259,-633.5656592261635,-569.3123807504091,-660.5696093126262,-699.7255621433228,-667.7515831525639,-578.3572922769821
21,-643.3033545787505,-625.0358061930082,-548.6868188568108,-649.9826986056701,-633.5656592261635,-569.3123807504091,-633.8953199719625,-698.2935234058531,-636.6678108755689,-578.3572922769821
22,-608.0993906473071,-572.8142762477614,-548.6868188568108,-649.9826986056701,-633.5656592261635,-569.3123807504091,-633.8953199719625,-698.2935234058531,-603.471523017761,-578.3572922769821
23,-596.4919649256963,-559.6995771280049,-506.38321677264014,-643.3068913620798,-602.7421279989778,-564.4217099462539,-633.8953199719625,-659.1767447801985,-603.471523017761,-504.6976588754943
24,-591.7842271669319,-559.6995771280049,-491.3393369681688,-643.3068913620798,-545.8992707807085,-562.0487993482625,-591.9846479920931,-647.9756627804225,-548.1102250792984,-499.73963591443703
25,-591.7842271669319,-541.4625969654599,-491.3393369681688,-600.8850981418493,-545.8992707807085,-557.4145146812683,-591.9846479920931,-639.441090475772,-531.5113501906551,-499.73963591443703
26,-577.1329420164641,-526.4290612709774,-483.7237192027818,-595.8895384295126,-543.2543286801811,-519.3286125394591,-591.9846479920931,-639.441090475772,-511.75595202950234,-490.16444153169596
27,-561.7245842506125,-471.0508511200711,-483.7237192027818,-595.8895384295126,-543.2543286801811,-519.3286125394591,-591.9846479920931,-639.441090475772,-501.714059950282,-490.16444153169596
28,-549.1198653243603,-464.72444413881703,-461.2658758726016,-583.0673556069585,-543.2543286801811,-519.3286125394591,-591.9846479920931,-603.2524360180561,-490.56856332249,-483.11245036427135
