iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-4311.379593734181,-4204.477993819364,-5068.484765517512,-4298.710717227361,-4185.287347000355,-4548.891594045237,-5099.320835405644,-4758.2558618414005,-3985.211042203331,-4154.936986927311
1,-3961.107564600047,-3440.0740839685495,-3747.8062501693994,-4202.604029192447,-3831.9643185407135,-3738.1500556409,-4642.779775954636,-3653.6988797396316,-4337.6737427948165,-3530.986339744153
2,-4455.245170582682,-3650.1073330807867,-3173.5538679376104,-3091.703822947737,-3332.902878791935,-2713.611698546594,-3591.275004989501,-3640.557077963019,-3846.124889542852,-3534.204845550189
3,-3263.015396809708,-3495.4142484809145,-3165.9828124287383,-3437.4562308903523,-4303.494000710159,-4562.539011182869,-4467.7146429993845,-3730.817940494505,-3657.9172661724856,-3532.2874630858087
4,-4127.485267696545,-4518.158198932188,-3838.79020753876,-3002.3088627148873,-3988.628188356009,-4129.653305181222,-3490.416168754593,-2821.012188321468,-3768.5225189337043,-3675.161495989588
5,-4477.443748236141,-2987.7603147245045,-3077.6410568276224,-4053.850050920296,-2776.73471209307,-2647.867541438007,-3210.1073515265252,-3437.579992083558,-3740.820688808,-4246.088283100754
6,-3107.1568124021032,-4354.298208330369,-3138.1079474514254,-3394.367453923771,-3686.750575743087,-3120.9539905004813,-2858.793313037952,-3814.751243151296,-3319.4275109731316,-3595.1134537439502
7,-3249.4454053075524,-3244.5594265401787,-2964.4505624929448,-3311.8483274659375,-4280.834252894097,-2409.1494373806595,-3746.733859260946,-2490.856795414835,-3930.4574581662314,-3630.724662215476
8,-3218.1615605852307,-3322.7870584483235,-3799.436200509497,-3900.240689636685,-3727.423376291542,-2869.3265281571867,-2791.212282907343,-3937.0807646487574,-3801.666671492133,-2781.8623245096223
9,-3017.328321102087,-3200.368797998806,-3203.894429224406,-3919.6413363212237,-3179.570853085617,-3905.0380968378427,-2914.580097678411,-3836.666159894805,-2962.4672127115095,-3347.2653153405863
10,-3210.822849186957,-3217.2914666015417,-3202.98856205016,-3468.99108573423,-3234.901765385178,-3746.487437377764,-2764.7331792467994,-4295.253897683428,-3113.0516873306324,-3224.175366093272
11,-3510.484560699887,-3299.3689828778515,-3163.2714946606907,-3818.272109474767,-3740.1900473843043,-2865.4789152098715,-3226.147081971564,-2808.6533180719016,-3084.954038345416,-3727.8275377619657
12,-3399.6363405026746,-3873.419205318002,-3093.730999100849,-3497.6256295128633,-3448.368747871652,-3404.487784724218,-2931.4972872932785,-3954.7699514635055,-2800.5572900903094,-3130.0438711196075
13,-3115.5295214630187,-2954.7599469701017,-2840.543293280364,-3806.6424079503036,-3201.2171762393837,-3218.1252876762537,-2907.092970595678,-2923.3726222722876,-3277.27851986306,-3500.9291024964996
14,-3786.0472930594447,-3297.3778400732344,-2697.4157597410804,-2961.657782078028,-3191.0463891666122,-3051.647486640134,-4444.498966565809,-3372.0443319004094,-2891.5520934807437,-4128.321314780334
15,-2164.921114345997,-2943.6588786290476,-2348.2968903705305,-3924.0453684394047,-3042.2286830649336,-3048.14340554261,-3373.0418881508995,-3120.0356296108184,-3093.20281891739,-2751.655009302529
16,-3054.3710567080648,-2756.3338634581073,-3633.1410020303365,-3133.655541708222,-2689.8712662122853,-1931.0563671288442,-2896.3968073111246,-2435.197484117863,-2755.7841778306665,-2731.27756906946
17,-2901.321057162867,-3328.0414345324475,-3415.4074070254037,-3677.168802084416,-3350.2325589119428,-2639.5732822003565,-3571.1011062245816,-3384.015306511977,-2482.0822956009656,-2861.6588008552353
18,-2860.0620397397006,-3010.717349929534,-2364.891883641969,-2336.965706115405,-3040.7335634459478,-2884.1242349342056,-2721.2250391305915,-3319.4511719203665,-2761.6544381689264,-2720.704211806445
19,-2217.2381308586364,-3102.811934661815,-2636.6152089252364,-3231.5702095076995,-2768.434582712841,-1782.0577376923738,-3420.033253406738,-3259.5369045853795,-2447.196325678499,-2685.2119561526983
20,-2471.722303360979,-2780.3359958085975,-2216.090652134936,-1978.213923038029,-2946.767814549377,-2569.218340101521,-3707.710711354628,-2713.997782986336,-2482.404208418132,-2752.1195994027325
21,-2698.049049027157,-3025.2320296578027,-2716.037664568083,-3015.961075990107,-3925.0108572486397,-3528.601290671437,-2553.578450164814,-2404.9255499314177,-2659.2971011239633,-3025.004739778936
22,-1933.3944137733633,-3286.5569810591032,-3909.7200997724076,-3202.0253472692557,-2970.8398045776275,-3419.492029705855,-2382.595476894462,-3468.1331862804577,-2142.4935086290416,-3329.952376388442
23,-2330.7247802942884,-2863.1648080697164,-2672.8628929956394,-3079.292641778661,-2204.278894829587,-2611.039331825844,-3045.288112135427,-2710.1146452176336,-2882.33541390168,-2909.6322105623094
24,-2634.3046489733615,-3201.795510594456,-2763.1499409551075,-2805.7504386820756,-2644.735618116192,-2918.772744006143,-2313.768066852698,-2513.616944439219,-2557.203086934398,-2003.0031871327033
25,-1994.3648803068625,-2480.221931228884,-2974.1032865967645,-2651.3177360219765,-2754.5062519372777,-1712.0345010511746,-2691.9776692165597,-2030.3282690377077,-2737.1279597451594,-2103.2282906643204
26,-2597.939795536075,-2949.4363582000437,-1950.7998700267108,-2533.862808863144,-2532.4762972076715,-2191.14187803078,-3029.7954110073906,-2814.7287795177317,-2429.298909872188,-2301.700948159709
27,-1823.2907963497207,-2706.6618326339167,-2230.4061854978963,-2576.3989798312937,-2904.7551497548893,-2039.4286027881126,-2357.057124715666,-3111.071435124039,-2205.9615209974772,-2467.1934675827433
28,-3089.2581424386785,-2332.7060690237436,-2794.3398027431904,-2765.1110829494155,-3360.1929334863707,-2673.6615596528213,-3351.70160632721,-3259.6131662997113,-2226.0571968264644,-1815.0529289168112
29,-2296.098724431802,-2047.594865802534,-2330.1608751757162,-2454.3645031490682,-2796.579270947184,-2829.3583648777894,-3081.639183645715,-2840.2952225297595,-2286.6435066791264,-2503.0217364811215
30,-2226.0158288984476,-2117.7482370755047,-2770.674690185803,-2257.8423211577265,-1851.7787998765095,-2062.244732079217,-1691.394774885217,-2155.438424883995,-3142.9167606575875,-1946.3724832932542
31,-2356.78694817807,-2194.1357380264976,-2055.5770617493545,-2551.5870502787866,-2613.9001724668233,-2405.202290070035,-2788.7621517653497,-2200.0768464768616,-2205.805665690935,-2122.4167623554386
32,-2953.607678339035,-1855.6411264412227,-2388.2744466270515,-2459.5231602928307,-1568.778094641615,-2267.7240844712446,-3039.130028444759,-2431.377016853573,-1826.7524837302399,-2166.0389221535142
33,-1143.5713445312374,-1983.552161421745,-2247.8625189429977,-1655.678711255733,-2260.4574778664646,-2302.622349467677,-2496.251710013067,-1945.2903192623346,-2461.5810643356344,-2265.869971165741
34,-1765.705763226633,-1957.2174798342928,-2078.8648105093125,-2319.6577368910075,-2753.8844020324636,-2137.861666788426,-2148.84128442185,-2300.810840994568,-2140.0905656151144,-2551.0657584916516
35,-1997.479917608649,-2291.3551000889693,-2228.1457761332385,-2333.116202236605,-2197.552519873681,-1872.5931768318455,-2421.982325066529,-2385.769661304794,-1901.1212539408896,-2057.649765098106
36,-2251.5835592564163,-2251.658433658302,-2483.0582979346364,-2226.4293754312394,-1992.3959184669575,-2535.7858455232426,-2286.97141259782,-2560.3202440266846,-2111.2426451635965,-2837.8464211627343
37,-2317.1622870862943,-2996.8189798055873,-1903.656329909637,-2665.086340066243,-3033.88617783492,-1892.3429041287677,-2242.2270706877766,-2603.9278796254707,-2668.362480143105,-2291.9895903892216
38,-1801.1379774370969,-2153.5191944816243,-1898.8634184944501,-1878.2268786578188,-2558.571432208364,-1860.4634049937094,-2382.29914832723,-3075.0322815111144,-2816.978900261193,-2630.88322968313
39,-2176.1647474508864,-2802.5780858185954,-2286.4763654177777,-1970.7762753404581,-2811.1080914369377,-2347.6448784293834,-2182.636873225644,-2839.796806010433,-1688.081184456824,-2356.9657273187695
40,-2464.2422194582464,-2149.992478165865,-2780.652819936571,-2277.8069237147124,-2924.565782083044,-2583.4349703846474,-2265.3653887758364,-2751.7830456953407,-2175.3347025647645,-1771.2652413554747
41,-2988.522180057035,-2185.2900929602715,-1709.421895649681,-2265.7753260122736,-1664.7889218900825,-2424.527514063439,-2333.399133662746,-2273.7769381467638,-2128.507359211484,-1860.97756832243
42,-1876.568303218067,-1901.1563791882656,-2266.866684057178,-1887.1228862844807,-2819.8907420164132,-2159.7930613826134,-1677.3018037792756,-1748.739208354374,-2235.6278993365786,-1796.9436509321247
43,-1798.4949602046981,-2352.70139974167,-2057.7681600092383,-2045.0174912583475,-2111.504760509618,-2250.9024446338917,-2533.4672762850682,-2359.9776695105975,-2032.4739020652025,-2317.0910542899537
44,-2016.7257704398246,-1889.2783238645657,-2748.089064703645,-2256.885800922641,-2096.976071975784,-2237.4074917077487,-1608.3923435789952,-2400.4034971225547,-1440.988551637437,-2020.6980515230696
45,-2130.8392959654116,-2044.4303731865923,-1395.0457481825288,-2246.1762855786965,-1727.6615960945905,-1984.5082194345614,-1663.1735603916536,-1631.2318728998853,-2153.7127998255082,-1948.4437063573318
46,-1985.794646666543,-2714.45696495561,-1392.6155606457355,-2320.2936801771775,-2763.4326113516313,-2929.0663633929807,-1920.4122162059614,-1782.4004009480034,-1598.5601761810312,-2692.1189318873676
47,-1851.919201636908,-1879.9122499627038,-2525.894331801227,-2203.535842414357,-2289.4120484847,-1839.800210507076,-2473.8488395232794,-1902.1998810067107,-2609.486021151795,-1544.4351291092835
48,-1601.9726337992226,-2108.4038733062785,-2470.3397380031133,-1923.870200086929,-2027.3476374016911,-2569.245509872774,-1912.6358529389531,-1617.6610819255147,-1721.3234329640918,-1740.774474818054
49,-1963.7843859055456,-2247.746948994827,-2042.0165455858619,-1860.063709215124,-1781.746956897819,-2148.931722295183,-2038.1212644260052,-2325.073755066555,-1912.1136298322695,-1762.137604911646
50,-1749.6051737436371,-2029.5301872127984,-1668.030670315839,-2186.2536115229304,-1886.059433771374,-2063.4075190466533,-1911.7013954091096,-2064.7810684933584,-1859.6871432158914,-2344.766124773845
