iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1113.872202326761,-1006.4213826216405,-1084.3964711522747,-1261.6191063851861,-1280.2096179427947,-1108.1510878857166,-1122.9820114324814,-1056.8377533402659,-870.1022035731346,-1091.8367385111596
1,-220.38029256966132,-263.3598782429351,-224.00840683840505,-236.60866334878622,-202.93576860022773,-202.42866181060873,-248.06390435666825,-167.36358861344291,-200.5934119015559,-216.63680226917648
2,-151.810950524404,-161.0015486449772,-151.45233864556914,-123.87471014127168,-138.53268683356242,-141.20254414025797,-167.47556030957253,-128.4582349351213,-162.5703413189768,-160.0968271967771
3,-151.810950524404,-147.98132390231518,-137.3917725380205,-109.42880844087357,-126.50123618318105,-138.91847008521955,-161.45280086496768,-128.0975115399794,-155.19867451516063,-120.2794502154367
4,-140.91732254378206,-147.98132390231518,-137.3917725380205,-109.42880844087357,-118.43502168797576,-138.5047161874775,-161.11224394445907,-128.0975115399794,-140.61865929047778,-120.2794502154367
5,-137.21229170466805,-142.0560007044981,-137.3917725380205,-109.42880844087357,-118.43502168797576,-138.5047161874775,-156.60603177282997,-118.01573561405175,-137.39571307008518,-117.79611821670602
6,-136.14471439359812,-137.61271851459708,-137.3917725380205,-108.73610627622718,-116.72660604223506,-134.68681692155783,-150.86529023673614,-118.01573561405175,-137.39571307008518,-117.79611821670602
7,-133.44830794102234,-136.21756401154124,-134.88279813734778,-108.63830570824759,-116.72660604223506,-134.68681692155783,-150.86529023673614,-117.61669073640485,-137.39571307008518,-115.71102580824842
8,-129.51575112615205,-126.81090901603096,-134.88279813734778,-106.56711543321423,-116.72660604223506,-134.59103384158945,-144.09844641986376,-114.74048741568024,-134.20595348323997,-110.96613154174625
9,-126.39350243329028,-126.81090901603096,-131.77407229337302,-106.4925258455739,-116.72660604223506,-132.4521367311258,-137.8936794003154,-114.74048741568024,-129.84033188538478,-110.96613154174625
10,-117.3587602503806,-126.81090901603096,-130.4185168985323,-106.4925258455739,-114.28550710922883,-131.47897665802554,-137.48518402241353,-111.04196399270964,-128.8754751579121,-110.96613154174625
11,-115.56946791915422,-121.08933236356299,-125.97231083294236,-103.7256268240647,-104.89449423530367,-131.33045701082258,-134.34914701909966,-111.04196399270964,-126.77542140336755,-110.59978154365209
