iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-4311.379593734181,-4204.477993819364,-5068.484765517512,-4298.710717227361,-4185.287347000355,-4548.891594045237,-5099.320835405644,-4758.2558618414005,-3985.211042203331,-4154.936986927311
1,-220.38029256966132,-263.3598782429351,-224.00840683840505,-236.60866334878622,-202.93576860022773,-202.42866181060873,-248.06390435666825,-167.36358861344291,-200.5934119015559,-216.63680226917648
2,-268.1851917664481,-286.4483159767117,-279.41420367025637,-276.8060743424709,-250.75306105005188,-215.09955121492672,-455.2692508696837,-261.3298866634833,-316.6123036125904,-347.02621472372584
3,-398.6999415819332,-512.356568065898,-404.1822800766348,-431.4128504875292,-409.3022925155477,-505.72580185982474,-562.7274276311871,-364.16455784454524,-383.01261127334084,-422.2063175081313
4,-374.5588370014664,-546.2972316059729,-383.5171573412045,-484.9110755442798,-416.9021064188897,-458.9777843622412,-582.5414695627323,-360.30465298005527,-466.2142471423511,-419.50450046084563
5,-467.52570844426737,-529.1578808090892,-504.55163847260224,-421.0940805345832,-325.74662619388687,-457.71642497747604,-543.1912232390391,-475.9369593885309,-368.720858439892,-394.3528206240577
6,-379.10161705237033,-428.10157528488713,-457.11297649811326,-408.06183883765823,-344.08435438634876,-484.0008909874256,-409.39533807119517,-463.2989125366263,-386.6418423034413,-453.6992225073818
7,-367.3274853585196,-508.1888821323369,-493.0822005028658,-376.93097632282854,-398.62698919356626,-564.8243394011381,-460.29661699424116,-353.9853575614334,-430.50282806300845,-453.288939998325
8,-370.07203880376255,-434.46968225064035,-400.0436717439469,-345.0285973012644,-426.75953028090487,-472.7241707630093,-454.6290164581467,-536.1989161338537,-444.5349037616221,-316.38813128975573
9,-353.57602495824256,-436.7145217713055,-610.6672558438154,-348.17422587473,-368.7236177376647,-362.4799584845815,-425.48583114122164,-326.8727399995323,-305.85890282374396,-286.566163997859
10,-365.9541482117461,-344.6220564394302,-353.8636505571676,-342.40347384908375,-386.3202777352409,-425.3442471827543,-409.72635372917205,-293.2734749674027,-405.25275849346644,-338.1926003006138
11,-230.01158743799147,-380.62364642708314,-366.3471390948378,-307.5579250650111,-371.31243367089206,-327.37644444266425,-289.2249269861932,-322.7566060988926,-480.3967035520575,-386.77667980660425
12,-350.9528720189127,-189.31080272819608,-344.5057583279013,-343.9394457194773,-424.25449400932325,-375.5365120665601,-391.32459274097255,-249.0429676580281,-358.66220393331344,-312.701468695795
13,-381.46395711932087,-424.9001972634708,-331.49380900219995,-321.65610026467783,-481.95933773106987,-360.1793046115053,-391.74212329737907,-453.06829986876994,-273.4878314383688,-353.8780616417189
14,-358.1161444793664,-387.30625962467286,-324.2779171681202,-395.35271512218134,-387.6114297293898,-353.96143282708425,-442.5313450623688,-473.01726609497894,-295.0884712173254,-423.2672643175258
15,-366.72239833995314,-299.39724647101644,-464.10189551864346,-478.03517037731615,-347.2723150279089,-511.048263141506,-425.2291544720482,-425.0191430943683,-363.5851148429911,-286.37496888549174
16,-368.38202777694727,-344.35541888028877,-474.1759414158234,-327.1197803185497,-404.8905240948088,-422.202846514312,-415.4995206348133,-435.3443230806746,-335.2559124104588,-406.9871972743723
17,-349.01798133530986,-372.3043686642738,-485.17014337386667,-345.8372963838575,-322.4107391589752,-461.28668854929765,-490.87764950010154,-283.4320934567925,-346.1620121607539,-344.91583443399065
18,-320.5041893284876,-275.76643441646405,-403.3464768875499,-508.86044564979454,-409.4263518198585,-391.712979209741,-421.81199701032176,-471.4081898409502,-273.3456864669197,-352.36763734465524
19,-347.1873533425602,-365.8071124135537,-429.6111316988155,-445.95502070075304,-343.27477131388946,-481.5660727763182,-580.4886330043341,-296.7040960112417,-329.2870546855386,-308.7824456251458
20,-257.75487988819464,-243.75539378056862,-364.0230247131016,-534.154323867818,-344.6163513622697,-369.8394985358192,-473.41223711389136,-510.2323887837733,-397.69411606743256,-397.23966719469104
21,-267.6597381403948,-265.2155566669345,-536.3773173131369,-371.45116540411846,-319.8184250159318,-340.9989976435811,-440.6061095127503,-378.2322735608625,-266.45433277448046,-237.7803685495835
22,-291.35657379098143,-355.8155394420545,-328.62457663757755,-319.314353777021,-311.33839139216957,-284.01162040140844,-435.2490549731088,-267.5626386995173,-282.06238786439314,-399.0860246056683
23,-209.21044225671676,-264.29849060016636,-324.9312170998178,-283.4647074470871,-339.6926432309255,-316.37306619219424,-445.28557692927666,-327.00107664108054,-284.10160208663797,-433.78863797318206
24,-305.3101233937316,-217.06754378544935,-468.66007811232157,-252.2140966234544,-394.6788097566782,-443.11448687557777,-446.0450395302463,-289.99404820370944,-308.4450617889941,-461.0861806897027
25,-304.90331487742856,-230.40275081840085,-386.7409209721491,-433.3117683124242,-301.64267819524355,-555.0752921766339,-327.8612939498389,-316.82146034482736,-412.0736256653729,-477.3086097192462
26,-501.99063181630004,-271.5090767477519,-412.6777791484118,-416.76682814906485,-278.97823449499185,-372.91720290912144,-408.56721459428536,-250.28176979849346,-298.3739777571243,-302.0546196270387
27,-391.22397717841875,-275.0711842919317,-475.4084928061902,-471.48458148418774,-341.50566348315954,-321.05164388397725,-324.04236241849475,-322.9886208066679,-285.8506037751638,-429.5874641564749
28,-326.87236656526295,-476.6008555432481,-399.7100869850249,-412.8711631390591,-266.4323720361783,-301.2638768775835,-520.6186393895623,-289.5802812594352,-436.43521234019585,-292.0247505518805
29,-392.8914548004701,-187.1023863600426,-459.4472403540393,-421.11029717677945,-314.77149500157657,-384.2784251829817,-408.80442580100487,-272.7280098888249,-344.7382804406436,-401.48402895584746
30,-346.22416401453813,-227.45761678920303,-353.71311848514904,-338.32478182184,-464.46440336235645,-344.94301770362495,-354.35467186134764,-505.38630428282954,-349.7889812001256,-442.8772775586469
31,-314.30161549381876,-224.13685490478827,-339.1634113613035,-297.25451320177206,-375.23860782610257,-370.56647441325106,-392.8294389928569,-374.14513476109494,-422.81459963088355,-418.95142166447965
32,-308.91153887233224,-304.48634332997864,-395.36428895010505,-293.16132239191035,-361.06952034917725,-400.8054263437134,-477.5869048424079,-445.51180397068686,-407.56207035230716,-554.0430831699048
33,-354.30619336092195,-284.6523940688923,-509.4421763834981,-506.8181853356491,-403.58483659208144,-450.84442094231395,-476.37074510416284,-439.111602461116,-325.36690265414313,-339.96540124693934
34,-375.42223148248974,-297.31267375645643,-400.3318468088937,-210.04483960590952,-260.9998952592424,-304.2074299203849,-400.621824312376,-356.3942312702939,-345.0624819750759,-230.51116819966535
35,-285.16507580360843,-249.12158760264597,-298.90888801841794,-366.4289825749604,-256.4106724887338,-405.70272298624593,-492.1827897043016,-327.6040786416298,-239.9027646436973,-327.1610142550562
36,-361.6028885605183,-391.2410694012322,-278.5943234523396,-281.4614829678726,-473.28771307805437,-388.6339219537797,-299.34236296904874,-443.61997630789267,-330.48634812810815,-316.16156480272946
37,-233.19689434144976,-289.2997974921493,-213.85529232508043,-565.8902060105515,-434.6460230088196,-373.68610981163124,-429.086089505469,-468.4452024905646,-319.4032782288748,-406.5716926083994
