iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1006.9473318427308,-1066.9048206143816,-1046.6635016645896,-1111.0486696277467,-1215.6578514540208,-1155.2176828130955,-1073.3667387062537,-1169.0242805991093,-973.6741017185084,-1089.6809299192305
1,-298.5138736244757,-329.5267654030812,-274.3372110269611,-331.7991384299495,-336.46362435752917,-333.62209314278596,-286.93509503349367,-344.5642723705641,-363.2935353788989,-377.38759356882093
2,-218.89430145055417,-258.30115909360217,-183.6059698752591,-218.8237146324199,-239.88883557603614,-220.5571241349714,-211.71729866191717,-204.58770237353627,-232.7015911522393,-206.65554936420472
3,-160.50054333486682,-228.50905376699671,-162.4954443444352,-180.91869415002617,-155.07455480775775,-175.30686526561848,-174.51406402972032,-152.51225782514848,-167.48009322085466,-151.25125491590234
4,-151.03611840019124,-213.74615469748636,-145.98221826224923,-169.48993406980293,-130.9482684168954,-157.2349125856105,-141.58073027986734,-133.89530647171512,-144.24074115898156,-137.17207089570283
5,-148.94851826469522,-208.2218304654393,-145.5056323902683,-159.17876269373673,-127.98794526762157,-152.3729810710683,-135.7647429274237,-133.89530647171512,-127.1152880906609,-137.17207089570283
6,-139.2291972105617,-168.07329441829307,-139.72650590151264,-154.09358007457755,-121.0137693611393,-150.42707779376866,-127.66282788000858,-128.63212554925263,-122.42207196566085,-135.53235992021013
7,-136.00254541136604,-158.34464881706435,-130.44255929910628,-148.1288487795385,-118.16312886822976,-138.96099232245786,-126.20680756253023,-126.34366449750183,-121.78545257258071,-132.4610555116348
8,-135.49404235800344,-134.92141589622048,-129.77942172873503,-131.25823024811265,-115.53471946763912,-122.74818342148407,-117.3404999408218,-123.41552588840923,-119.47521252429318,-126.09717063362655
9,-125.96517394581278,-131.29527537596903,-111.40855225234475,-116.02173233372227,-107.9470461378655,-111.59965030899625,-113.03666311183503,-116.79993917871388,-115.5787278297409,-124.5588735885629
10,-113.71080568083924,-129.75515727580785,-105.83957900429084,-111.30502431155668,-102.25328525859032,-107.04105814752813,-111.23692147143889,-111.58715327720097,-108.17688300499461,-120.52364071612381
11,-103.63977792000233,-117.93055564777457,-97.29906315572153,-102.43112412278059,-97.10264832610801,-88.3189632902398,-105.30898963142323,-94.8598420521732,-103.76432823449284,-106.88854484837063
12,-93.86985949450522,-112.9746034089035,-88.08831290741803,-93.46683862899692,-90.15017425277458,-81.75114353463303,-97.58805851716019,-89.75331045297398,-95.83664594207379,-99.05066297039673
13,-90.2550689302932,-103.43111535439937,-86.50851614422646,-88.96729320900504,-85.4324981966478,-80.21284481370185,-93.81300038722031,-82.94656344697358,-95.56901777111818,-91.13002610560557
14,-90.01955070422602,-92.46145482714255,-86.50851614422646,-84.04275782219273,-79.10999016964377,-76.40003617775034,-90.21624109090222,-76.9446912669451,-91.06455616139921,-90.79648198389248
15,-89.81559033187276,-91.79264488744559,-82.81650523547489,-78.52526480268611,-74.83824942659096,-74.20126579139381,-88.3649053592317,-75.36811008160765,-89.32612048050112,-90.01438945110183
16,-87.81992428285567,-88.4306248395624,-80.0759078563982,-75.12882069113667,-74.3331259766376,-72.78121421406466,-82.73815162125143,-74.77787683866994,-86.68546047895029,-86.61366432283293
17,-84.37373113478458,-83.39310375954952,-78.46131836491963,-72.79468046920925,-74.30405130560854,-72.78121421406466,-81.6637730616181,-71.8386677495055,-83.71249692587702,-85.8793493671548
18,-84.37373113478458,-79.86319232443104,-78.46131836491963,-67.72229887382808,-69.6715777566164,-71.25849513947769,-81.6637730616181,-71.8386677495055,-79.58505660380989,-85.8793493671548
19,-81.58265170815966,-76.39325261359531,-77.28397615274756,-67.52300629070042,-68.65965244541641,-68.05365656783599,-79.42414128097943,-71.20181822680368,-76.08589466078163,-83.32489878502324
20,-78.98684845389197,-76.39325261359531,-76.03481923561498,-67.52300629070042,-68.65965244541641,-67.6872101166507,-79.42414128097943,-69.96592170036534,-74.13528799546455,-82.15580188128715
21,-76.16560695459971,-68.89632890132002,-75.40756544663483,-63.95325649436907,-67.96542899262761,-66.92166170346823,-79.30470395460489,-69.96592170036534,-71.32674264295001,-80.43202484191032
22,-75.17324480924583,-67.69528696823063,-74.4671186100829,-63.314597353875065,-67.96542899262761,-64.94445005409924,-75.60994456104785,-65.80780682602341,-71.32674264295001,-78.78604181209263
23,-70.83414054467261,-66.05467254767076,-73.79240676271797,-62.57108452830747,-66.91125512719825,-64.3385130368936,-74.53440907568468,-62.33065369423606,-68.8931803604541,-74.69928892331501
24,-70.12871655215797,-64.09789230066185,-69.69751627264161,-62.57108452830747,-65.1660870342256,-64.02871440730839,-72.95796225691267,-61.954204052553365,-68.87718799490311,-74.57179716993397
25,-68.94638655450255,-61.572670041536895,-69.69751627264161,-61.02101491365231,-63.44685292619933,-62.700952190941805,-71.24355843355652,-61.47650043902405,-68.02981371144018,-71.14699688281767
26,-68.94638655450255,-60.942507120779574,-69.69751627264161,-61.02101491365231,-63.44685292619933,-62.333570893995784,-71.06998893327001,-61.47650043902405,-67.58016606904744,-70.56860816611264
27,-67.55322991962656,-60.85104612357755,-64.25764884000951,-58.808294352709126,-62.58304927836218,-60.59865202741817,-67.32023885722225,-60.86628888641622,-66.35692800645093,-69.48151375212632
28,-62.78099619198167,-58.737822380067456,-63.72563051938411,-56.842819671076995,-60.64956424796751,-60.35477916660888,-65.69582286051367,-59.99008392360987,-66.35692800645093,-67.93584319112735
29,-62.443884903783285,-57.17648024787833,-62.029458331592636,-56.41985511054723,-60.64956424796751,-60.315611435799084,-65.69582286051367,-59.59307493079461,-64.86135338771588,-65.77939706439074
30,-62.443884903783285,-57.17648024787833,-61.14421596095865,-56.41985511054723,-59.14515682555589,-58.53890001949495,-62.15602578722698,-57.92254374892789,-61.604101760327694,-63.53551476894583
31,-60.80280533388635,-56.57275790012004,-60.24072014611264,-55.85333051692075,-58.63999275481571,-58.24928359127448,-59.49155323468688,-57.7071707499803,-60.56890053667599,-63.381400851567996
32,-60.48267245243197,-56.57275790012004,-58.08617303038518,-55.83936587590619,-58.63999275481571,-56.21371560098585,-56.00391619276251,-57.365003861208464,-58.33327170425664,-62.883326493039455
33,-58.70799278292405,-55.97955855730602,-56.408755496592846,-55.07054741619036,-56.929743200831126,-56.21371560098585,-56.00391619276251,-57.365003861208464,-58.136694266101344,-61.58147002895801
34,-58.48686802392389,-54.1237276521929,-54.35174614316081,-54.327242128237806,-56.929743200831126,-55.323231312224614,-55.536708749571474,-56.13717847711593,-57.37267863184326,-58.24229101228717
35,-58.48288357288245,-54.1237276521929,-53.133492509499376,-53.184858073803596,-56.60334853525012,-55.03330021171672,-54.25909930257708,-56.13717847711593,-57.21062229225643,-54.9389214405889
36,-57.662089493288434,-53.95299891354206,-52.489754500700855,-51.27150948952136,-56.41736451602339,-54.446295354212296,-53.07834573221413,-55.386649096521396,-54.84714249819452,-54.777774662272854
37,-57.47034079250463,-52.693481273779575,-51.74782956899111,-50.86520151897624,-53.625640348736525,-52.679336827442924,-53.07834573221413,-53.65034842163293,-54.61766132852975,-54.76782840853741
38,-56.38064641008286,-52.21504265634921,-50.504941582748465,-50.02198529218962,-53.625640348736525,-49.06025926889066,-50.81315111154884,-52.909203861496444,-54.543327480590314,-53.804276274985654
39,-55.87855816828716,-51.96411237922128,-50.416809697782625,-45.99903524798813,-53.2644433212312,-49.06025926889066,-50.46328012550222,-51.12439887069593,-52.5342855145787,-53.804276274985654
40,-55.87855816828716,-50.515837433211274,-50.416809697782625,-45.86341066873552,-53.2644433212312,-48.508734514985875,-49.337030443170505,-50.43631567832912,-52.5342855145787,-53.4685825499876
41,-55.424730194791934,-49.882349639422365,-48.51069076128628,-43.96992652038091,-53.2644433212312,-46.70049685690338,-48.81976386804175,-49.53624798514873,-52.26687044809805,-52.863346390545004
42,-54.916419858594,-49.35712639855309,-47.6671791566599,-41.84355959533792,-53.2644433212312,-46.257594329624595,-48.81976386804175,-49.53624798514873,-50.80245632406951,-50.74411139645874
43,-54.118841789258326,-49.343717632467104,-46.37121578752368,-40.94085536787402,-53.1392227778832,-45.04110007977026,-47.79791679548856,-49.53624798514873,-48.30497297286197,-50.61234859507941
44,-51.89522359147924,-48.38506270338855,-46.37121578752368,-40.78894524149258,-52.460860967913234,-44.6726920729307,-47.29139486949744,-48.7724811222816,-48.112452363524184,-48.73012568789514
45,-51.89522359147924,-47.50387131882726,-46.14297794941205,-39.60604232351719,-51.808760120301855,-44.6726920729307,-47.00130079929487,-48.47991884808733,-47.9768151698613,-48.08223059352639
46,-50.48781452959872,-44.580640614711896,-45.628330963203744,-39.15835615324356,-50.151195462452876,-44.36252132586404,-46.623580362255304,-46.79650286191401,-47.0287589146954,-48.08223059352639
47,-50.16898526936704,-44.580640614711896,-44.33934646625737,-38.756212279531084,-49.89045607166328,-43.58530564774411,-45.28552501194997,-46.75723292382877,-46.02385768582957,-47.8465820550618
48,-48.59267381894115,-44.05693945932754,-43.929712838719695,-37.126429387420856,-47.02134781847232,-41.718954663955074,-45.16278544676176,-44.647447985527464,-46.02385768582957,-47.08093400366588
49,-47.862058307297474,-42.71789261574066,-41.83747161439478,-37.095335507983215,-46.624943672120956,-40.33618299871494,-45.16278544676176,-43.93716481298963,-45.29504178914763,-45.72692106859185
50,-47.862058307297474,-41.89913403998911,-40.254799744874475,-37.061246098461666,-45.40529277186667,-39.897796753062174,-45.16278544676176,-43.67702921971697,-45.29504178914763,-45.50881191765552
