iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-4358.081863461555,-4493.361881952121,-5382.552486604243,-4068.5152940658763,-4020.1554516393203,-4415.744419936982,-5134.87771431106,-4938.958818826471,-4320.224153197907,-4332.076724464792
1,-298.5138736244757,-331.8807612739628,-274.3372110269611,-331.7991384299495,-336.46362435752917,-333.62209314278596,-286.93509503349367,-344.5642723705641,-363.2935353788989,-377.38759356882093
2,-250.21406706163015,-343.3464457227937,-207.93895751249386,-245.06954252051582,-259.43632650811514,-283.14422370561186,-245.62535394420883,-218.9927573651065,-300.26108808406264,-227.1756789097912
3,-177.59675722710233,-341.43112816296934,-235.84899395036217,-259.9262802866393,-193.67310458660336,-250.66699054774205,-222.5366680110696,-200.4819220875354,-212.87115895372256,-207.16699538809905
4,-208.6051547038719,-309.01825755422936,-250.04152049050631,-237.0034353380511,-204.64655548139166,-219.3955034588567,-203.94854824594512,-227.1722560401142,-232.4082884107828,-227.2137096330787
5,-216.73992110475848,-357.44385489372985,-281.42576052024083,-231.85535187381376,-266.1809105812315,-240.3909735061974,-247.46111674621562,-285.0116476009281,-186.11614939032674,-252.9804521678961
6,-240.70264664776647,-289.60718732270965,-275.5764544420341,-276.1961181919172,-222.6641441827767,-290.4470863557812,-250.25466397802398,-261.8285284278236,-280.04861858258266,-277.1711399331266
7,-227.93122901127333,-272.84962457355755,-267.8451934506536,-265.08533645735486,-201.62305516458383,-238.32085962686608,-277.4031033402721,-208.5131180013233,-228.78446416988874,-245.69117021417782
8,-221.62612418911726,-225.84076918360387,-214.47605041472926,-209.40418141920324,-223.3760573183436,-248.30319732135084,-227.65522001201543,-208.46025420942163,-248.20895862685785,-208.0846955358403
9,-184.17977369937933,-273.50850748386364,-223.13323479594476,-204.38395731405035,-216.46997101923702,-188.54215143893373,-211.84638353901008,-197.37328200695646,-184.96114957972196,-182.3923167999843
10,-163.095836894552,-203.8831177494801,-185.72707924104802,-202.8381319004706,-180.04786825119095,-206.22879913496465,-179.98764839202843,-158.3300227019952,-167.6898761853265,-161.82459325947428
11,-140.86709202208394,-180.47198055765745,-176.39929408403376,-156.41390626119286,-169.94610214228328,-131.181021366964,-192.2316700402905,-125.73555597733984,-179.21960390716148,-167.07874125055656
12,-160.16232365670885,-217.16383273914496,-170.4509880846926,-144.7530694792112,-176.58975289502368,-150.08043780092214,-147.85645146497927,-198.71824898814447,-154.43692858807833,-147.24948971219018
13,-172.94968731541508,-175.99699370010998,-195.35562274063162,-212.66244300542877,-169.50780119439355,-148.9811479592378,-174.64697183349773,-175.5034158854014,-209.8682881244602,-176.5345593705157
14,-214.39630282414686,-128.85286036743602,-263.7221353215084,-199.95477072681507,-158.77695353469656,-170.09189372278888,-202.32960531953432,-172.24945818130576,-215.8124145801863,-208.2085990681244
15,-195.54849149126773,-204.96930320830626,-211.30714708973085,-179.51562328817798,-233.45618289377416,-167.51817785550844,-223.0686799175195,-148.34085633638824,-258.95824961807887,-301.77772108215396
16,-186.94415134338823,-180.2478218335467,-165.55884274298552,-257.22802482215917,-198.80581681234398,-192.71971316393683,-187.88966634827148,-160.90977113480676,-195.3229215038223,-282.7323420125172
17,-216.0374460546916,-241.31941007955345,-219.49508917185852,-210.44071637733566,-184.51201917986177,-241.72090900235708,-236.4220349006367,-190.98453078335297,-203.80727533256635,-187.42840409133382
18,-217.36839653586912,-253.34767780973925,-247.76687243111098,-173.95019793431663,-203.39992002987515,-327.49376113325565,-341.8823344641448,-288.7285201179764,-162.08752132460748,-208.93417429303292
19,-184.89067332032621,-193.92756574207175,-232.4707271161627,-216.2665575425193,-189.53895122131382,-168.25716018501285,-255.56465127135496,-205.37756861319414,-167.48880190865893,-194.41400130489978
20,-130.2298916591774,-292.8983119876717,-203.00119116769642,-182.53994869815418,-148.72048276350833,-201.21367646903047,-296.7956955527461,-198.52792377825216,-204.39253634968776,-169.75743498331667
21,-233.4062738652936,-238.52553853351492,-237.21975308080332,-196.91906489045252,-198.4138928449202,-172.7905186640022,-216.49177440969999,-219.49993062378104,-159.29615571086106,-182.62753012421734
22,-173.0395228736299,-204.32376770909147,-162.9591388100401,-228.11826502442275,-149.22881893613808,-199.2742945820201,-168.22903366187498,-122.58774549218946,-188.95560065254494,-140.32188239803168
23,-176.17173135831746,-190.39411357813842,-156.28567480267265,-224.91013097679098,-183.46539864573282,-188.08530734574418,-175.37788581043264,-141.59656417405458,-157.20206635466155,-223.4076497873778
24,-178.79944780515666,-127.40473967758874,-146.07954552747242,-233.2143773562628,-140.1790191357867,-141.60895603711532,-205.32287013977412,-139.12017299217447,-232.24684259702337,-136.8230145466484
25,-151.10905095661326,-187.19666479636243,-146.49059191927427,-174.7275227678133,-158.510785309984,-171.49308457124795,-193.53838038896495,-229.44111885195744,-206.34185470976206,-159.46833324630433
26,-172.3643919746384,-124.29689385816057,-272.51392770389225,-204.29805348063408,-305.42322355645297,-223.01341321982443,-188.5365197457341,-126.76141454127905,-149.3701645524859,-150.1388358990722
27,-153.09609516467805,-110.1792631727858,-170.94093019855129,-213.85179084265027,-219.94878757878556,-183.21945432519692,-236.56834057445872,-223.88782067453621,-104.43797268824795,-138.30836410864563
28,-118.84247726152356,-108.15898691392479,-203.74591759404592,-147.55077430081928,-197.84751781732473,-156.52466843053253,-182.54714180970467,-179.7571878201748,-222.29033305948968,-157.81921994222768
29,-178.550717315686,-158.21145281188956,-164.85287212712427,-144.5674096966991,-178.31103906653857,-182.1315629129344,-209.72302959989622,-189.25962421414542,-135.39007282311525,-193.04842462442997
30,-176.24608071312716,-152.68608965905256,-162.26233806987693,-154.34371366171212,-158.00519771446446,-153.26824723121138,-167.47421860603933,-132.3532619222646,-105.3109516751303,-117.54032416154134
31,-134.00664395876038,-150.39225100421123,-194.98297498864028,-169.40970281707314,-170.2934653194792,-112.00106253078089,-159.34058571341194,-177.7577164835266,-155.08021717016814,-199.29224205888332
32,-194.54615869248738,-167.62295719832974,-154.79001752135548,-226.09308572877615,-243.24942612382597,-181.19220934029363,-196.72071508941812,-154.37839952976327,-102.8405560785458,-134.36903378626846
33,-125.59065047851679,-207.52114469344886,-122.70638467816056,-151.32213850964433,-198.5044036823436,-157.47687457112744,-235.4076421898066,-149.22025685889275,-173.3056479516042,-164.51113303667663
34,-135.35456277310396,-199.982496831949,-195.11974006700115,-136.13465939726976,-163.78350289660335,-193.28193301836382,-233.396177241852,-163.33573427635002,-123.72783930811431,-154.2824255790798
35,-137.9193721816579,-240.7034010423967,-156.86966366886548,-260.9135677073862,-223.24915235391308,-152.23042679286175,-123.42667114586065,-228.26246165557836,-153.02078312429023,-134.40499154310726
36,-141.89293458227098,-134.44571712422436,-179.84806275983178,-160.5667840648892,-197.10372934580715,-146.4110517705474,-171.61698441071871,-136.39075527994265,-230.2166369006958,-147.611785191657
37,-167.26836744611677,-116.92448126310984,-156.01625285178537,-197.27105801986306,-157.62119504504813,-182.4078293750734,-158.08040063855,-180.9479359096115,-144.80714368570932,-136.8862018759165
38,-210.38446014162253,-130.82109801520403,-214.47109121561707,-198.99258264202805,-159.185879092181,-351.91192500137186,-202.46745670153405,-123.38812606780336,-154.98431137123504,-160.42984791447316
39,-211.5752969641241,-238.5688075783641,-204.96001298023344,-118.88602034507619,-129.3482416732227,-168.6734333053823,-139.7452573971466,-92.36850410202138,-114.24415202352183,-151.16057748416637
40,-130.38654896899186,-159.85976841544368,-202.21556601038762,-118.83750441863384,-202.98681789916742,-138.98847567190788,-246.22030512217117,-162.34904761587424,-141.74111426379037,-160.34346559667085
41,-165.4416677265209,-219.04687390744522,-144.01099295011892,-200.53881000406744,-240.99379720357337,-117.57645368844786,-134.23002886179967,-198.18379583985129,-94.42305938451472,-139.8048086747247
42,-131.74431073857224,-122.52369378922769,-109.00378231252259,-138.9192021672668,-157.17999299162793,-166.6967170847194,-176.03472469530777,-126.2580820402963,-99.21344518470832,-102.00280158255546
43,-96.34903134669463,-181.8005832119586,-171.09883369648952,-122.44181823494611,-86.20530473482481,-100.47694479269913,-240.95184732077573,-138.22201021724396,-157.85184267889235,-101.24668002851492
44,-88.1481184503763,-149.59545042312655,-114.54609809481633,-118.85936798035465,-99.4123572873976,-101.92362891224278,-106.88876148805795,-149.1761434022489,-104.14568241897132,-111.85685528512965
45,-116.83113920742676,-93.24461039673861,-168.3947173443143,-119.04249550378577,-112.98847699913489,-150.52617614939612,-138.4236721752057,-151.16416216047276,-118.03149544637255,-133.660776088242
46,-132.2409659674314,-123.69281323917625,-136.64488039144183,-197.051048543372,-98.81684170582665,-150.95819180270354,-161.5355649658705,-133.31182530752693,-105.22964550180394,-132.61771160624136
47,-196.25974469344789,-202.78642687837197,-145.0222671006365,-119.15988113676971,-189.7884139502599,-127.77873366497886,-135.20853559981163,-174.28956835180045,-125.68368378953294,-105.67276602992513
48,-90.70567830301874,-230.15354483124068,-155.0645716532369,-139.47554781183408,-122.84402495325352,-228.1120347258165,-154.7633140033719,-116.34314019742605,-112.33358276438321,-185.51761696489484
49,-122.80778792145121,-173.33360220216179,-96.2613343254378,-139.47747887331315,-119.34709678883306,-173.25098369622887,-204.85547008511008,-142.86950816669395,-136.03284057577554,-93.58982339459317
