iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1027.1807575786952,-1337.8760724991307,-944.7924347996584,-1114.952735616586,-1267.6488023468557,-1183.4257822364455,-1271.3274671390282,-1184.1320407187436,-1028.6347385074055,-1129.670245345832
1,-956.8416806200119,-1337.8760724991307,-944.7924347996584,-1109.9430518761244,-1190.9342077240199,-1166.4411121626454,-1239.1870382932775,-1184.1320407187436,-1018.6326620525138,-1129.670245345832
2,-956.8416806200119,-1335.4109273721429,-944.7924347996584,-1109.9430518761244,-1173.6355803299627,-1166.4411121626454,-1239.1870382932775,-1141.4674364952643,-958.5454180497568,-1129.670245345832
3,-954.9029751250256,-1335.4109273721429,-944.7924347996584,-1064.7779641821885,-1098.4914390040533,-1166.4411121626454,-1177.1901774730868,-1124.3916301356658,-958.5454180497568,-1129.670245345832
4,-954.9029751250256,-1205.305694232815,-924.2548958503569,-1053.5577595931645,-1098.4914390040533,-1166.4411121626454,-1157.8727734185118,-1101.286100787534,-938.3353766886505,-1129.670245345832
5,-954.9029751250256,-1171.9999857065682,-924.2548958503569,-1034.6498755636944,-1046.9455772209735,-1086.1619554976396,-1157.8727734185118,-981.9021377903989,-878.0014819601408,-1079.4333508869029
6,-954.9029751250256,-1171.9999857065682,-879.0407884276538,-1034.6498755636944,-1032.5499863486484,-1065.5466480152331,-1140.42852660175,-971.6350149715634,-878.0014819601408,-1079.4333508869029
7,-954.9029751250256,-1131.0672814986806,-838.2119946045777,-1034.6498755636944,-1032.5499863486484,-1065.5466480152331,-1140.42852660175,-971.6350149715634,-870.8328037037622,-1079.4333508869029
8,-954.9029751250256,-1075.705606293397,-817.6024371505956,-1034.6498755636944,-885.5574371994257,-1065.5466480152331,-1129.7660025343966,-967.8445760995261,-870.8328037037622,-973.8589410625473
9,-954.9029751250256,-1075.705606293397,-806.3757802805414,-1034.6498755636944,-885.5574371994257,-1065.4835992491112,-1129.7660025343966,-967.8445760995261,-847.5796830900458,-973.8589410625473
10,-954.9029751250256,-1075.705606293397,-758.0457103357843,-957.9170741337475,-885.5574371994257,-1020.348127220749,-1122.3100277565422,-933.282305564011,-847.5796830900458,-973.8589410625473
11,-954.9029751250256,-1066.0654648394407,-756.5817882714351,-900.4841013727387,-868.5496336226631,-1013.2590752142203,-1041.3743046377417,-933.282305564011,-841.3396441625763,-973.8589410625473
12,-925.9481141254777,-1063.0640061305403,-736.7024565993794,-900.4841013727387,-828.9722643420678,-1010.4747111378502,-1041.3743046377417,-929.0548438973143,-841.3396441625763,-973.8589410625473
