iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-4183.619609921343,-5926.2476628054355,-3770.415105913922,-5769.912851137236,-4897.517299386688,-4235.459231017132,-3999.998217418998,-4430.726872977331,-3984.052921874195,-5291.088457722179
1,-4688.179575154187,-4017.8186983214196,-4879.425339249143,-6210.793940206286,-4988.45272194674,-4567.623542920281,-4878.807058489702,-4701.775511887225,-4272.462643471709,-5387.316273584656
2,-5314.704965210419,-6213.942987285957,-4968.951288429638,-6157.2591878548,-3810.168512751843,-5606.863252845872,-6738.469782194927,-4975.211924715137,-3471.4601135110797,-7807.575247906018
3,-5129.786180322048,-7431.484020057506,-5932.439455517051,-7316.176873712639,-4124.468021607197,-4212.040951845609,-4175.898813741254,-3931.611535250741,-5184.728289756147,-5848.090529132738
4,-4333.559525239876,-4887.301603574584,-4454.583603645077,-5378.8285755696015,-5349.729938800943,-4034.1511150956067,-4556.206956075528,-4523.1661648429945,-3624.4088603775026,-5928.277137060627
5,-4186.791394526146,-4651.64952185097,-7003.675995858521,-4663.58259094522,-5400.788106367838,-5170.724088938845,-4350.895956772617,-4030.227004095999,-3568.6484190951314,-3916.126149379702
6,-4614.927918482059,-4618.54683155842,-4407.724182486147,-4877.421330960246,-5074.370739823604,-4377.698354226715,-4740.805043751615,-3127.982275725177,-5991.532506616797,-5846.921436599854
7,-4962.965367630448,-4069.6856720833675,-5547.934780354135,-5772.369752034476,-6171.284343140705,-5534.217394383344,-5210.466166676966,-4622.4768015640075,-3724.9681398674684,-5016.940084937833
8,-4783.410639508207,-4155.065328012584,-3818.338903859409,-4773.003880249251,-3395.2014360329667,-3731.128789944826,-4781.662040516422,-4905.687143524388,-5028.620743048081,-5204.298815687416
9,-5447.285718807646,-4147.695212182248,-4289.076065162617,-3015.607450887597,-3233.4160931989663,-4499.383897196364,-5389.0533661808395,-4342.373976513472,-3649.718853956554,-4786.366553307225
10,-5852.015627311389,-3330.0232884067964,-3656.461302176249,-3347.869958984038,-3885.2511869925493,-3390.297457490527,-4555.497781981644,-3999.566380085549,-5497.219466981339,-4434.895090762953
11,-5469.582643762387,-4959.17627022291,-2986.7447787414503,-4979.912734967404,-3184.8235308188587,-4133.160785512682,-3140.7409071826646,-5590.952992504252,-4879.78988229135,-5169.081164287917
12,-4314.524297169455,-4321.941365927079,-3445.776397983601,-6048.650018495344,-5357.7121498756005,-5630.436412477806,-4289.560482656948,-4744.858462908112,-4260.219826273755,-3497.276608199038
13,-3991.467120837569,-4823.984978217961,-3864.7006117045894,-4100.531253202886,-4419.999448637009,-3406.0459324416674,-4767.483303503019,-3123.575726217082,-2875.7263488514463,-3643.0287461072357
14,-3628.6073740334814,-4544.10904059442,-4124.499968120883,-3680.9508211596067,-3930.5829406935827,-4010.976282640012,-4828.814910101262,-4727.114588293774,-4881.856444538718,-4029.932494528376
15,-5780.367518237936,-4977.453661590833,-4682.997874336664,-4800.620210945404,-3710.0043656280413,-4642.913445597373,-4106.225259168823,-5173.039649888662,-4695.42306779836,-4861.8993007641675
16,-4821.682557874236,-3920.340847146245,-4493.978058450075,-3745.5145588877685,-3785.9995983250765,-3895.33319601654,-3512.6399288104208,-3832.0406032773926,-4596.990729107447,-4088.712991468993
17,-4746.310056462977,-3542.997378768385,-5036.75752871818,-4146.1151698716885,-3827.2497394315965,-4644.488476332097,-3333.0230553329156,-3690.4879231159202,-3607.1193863567037,-3698.8118734013515
18,-3453.741910823741,-4177.883404954413,-4112.310544699848,-4823.397352524539,-3909.0166339141842,-3334.642634312082,-3588.4139859856195,-3385.27176376893,-3824.0399816239624,-4375.581274471811
19,-2709.965248959141,-4807.0192594929895,-3296.620830390377,-4774.063690092842,-4493.31176304286,-4656.344665202688,-1898.936982118726,-5068.665163295468,-3905.9531070804264,-4073.5270895381186
20,-2881.88699912534,-6131.919827919885,-4806.4204960497345,-2746.853156422607,-3614.2673696921383,-3370.797099739788,-3441.4816424929572,-3439.127133109808,-2966.893072764089,-4196.900318158672
21,-3877.192566372636,-3205.011701270173,-3017.156866844398,-3889.6358808729206,-4255.9768016539965,-4187.6590885770465,-3853.994603630138,-3679.735229545645,-2118.3805408044036,-3276.6157456806914
22,-3461.5848456938456,-3135.256710437646,-5089.360374784308,-2819.996677613641,-2034.1262586520807,-3232.7357561487934,-3025.494532438461,-3879.8307507016807,-3543.0552758399003,-4472.705873504352
23,-2842.1385070832916,-3771.3074652052283,-3113.755169908729,-3002.9224267940162,-2663.9798413475064,-3283.5302996511646,-3182.884627876526,-3395.1514912076354,-3464.4634536734466,-3634.7911509361875
24,-2668.1590031491087,-2924.43631391692,-3084.7482126069804,-4255.116794496502,-2616.7674170593314,-2777.471636368954,-2284.462373282448,-4099.953154689752,-2121.8575953728946,-3784.747589495717
25,-2257.292992270577,-3724.6538261913165,-2685.366154900517,-2042.3760365594117,-4138.4148255476275,-3205.503976758293,-4597.805559755905,-2256.560876176865,-3570.5136036587055,-3612.9819256339515
26,-2825.0608527908853,-4740.321211990984,-5019.43890817492,-2442.1588483628334,-2370.4573024940487,-3871.8780908880326,-2560.075561879719,-2684.116272249634,-2639.333281467027,-3439.7162639349463
27,-3578.5335348779245,-4796.9568233394375,-2325.0292356693735,-2121.790048331132,-3451.9511923797345,-2592.73847814759,-3933.508893733606,-2330.6222644640948,-1676.5023208113334,-3921.4536676646912
