iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1006.9473318427308,-1066.9048206143816,-1046.6635016645896,-1111.0486696277467,-1215.6578514540208,-1155.2176828130955,-1073.3667387062537,-1169.0242805991093,-973.6741017185084,-1089.6809299192305
1,-1006.9473318427308,-1066.9048206143816,-994.318120538466,-1111.0486696277467,-1215.6578514540208,-1155.2176828130955,-1065.988524806351,-1148.2122043129696,-973.5007705606372,-1073.901014220898
2,-1006.9473318427308,-1066.9048206143816,-981.0042377800448,-1098.2969806373908,-1179.6487124869773,-1155.2176828130955,-1065.988524806351,-1148.2122043129696,-905.2952115287702,-1048.0534248537742
3,-1006.9473318427308,-1066.9048206143816,-981.0042377800448,-1098.2969806373908,-1137.6758540630558,-1127.1175179652691,-1065.988524806351,-1148.2122043129696,-883.4244835048262,-1048.0534248537742
4,-948.2578478274447,-1066.9048206143816,-979.6351352527897,-1098.2969806373908,-995.7087177725862,-1000.655180364325,-1065.988524806351,-1146.1573259299653,-852.490632108206,-1047.9244695482346
5,-947.9403792744785,-976.2500255061193,-979.6351352527897,-1028.2260712432028,-945.9642117985211,-935.2427094996016,-1065.988524806351,-1146.1573259299653,-852.490632108206,-1013.0697994317256
6,-942.9401993169046,-976.2500255061193,-979.6351352527897,-1028.2260712432028,-945.9642117985211,-895.6250824018109,-971.4470590167853,-1071.6024981701416,-852.490632108206,-944.8217727031173
7,-942.9401993169046,-925.6914684428405,-979.6351352527897,-1028.2260712432028,-935.9664116338424,-891.9851372387308,-921.2643419093495,-1053.871370349474,-852.490632108206,-944.8217727031173
8,-938.0018252746856,-902.8906830624885,-955.1032489440175,-1012.0780427962056,-888.0988067686924,-741.6599573712679,-908.7204655326531,-1014.7098768438469,-852.490632108206,-944.8217727031173
9,-913.9453464256867,-902.8906830624885,-937.4130896780022,-1012.0780427962056,-888.0988067686924,-741.6599573712679,-899.0857791418925,-964.8922458933283,-852.490632108206,-912.2255526168922
10,-913.9453464256867,-884.2108537418094,-937.4130896780022,-1012.0780427962056,-888.0988067686924,-741.6599573712679,-899.0857791418925,-950.9208557590696,-845.7041427470867,-912.2255526168922
11,-891.5689376030792,-781.3999892088525,-937.4130896780022,-959.534031144472,-884.9902931769968,-741.6599573712679,-864.0078851882815,-894.4833533786184,-829.4637482617597,-912.2255526168922
12,-837.707032551273,-768.4304972197119,-937.4130896780022,-888.2384861754165,-836.5400534812065,-741.6599573712679,-864.0078851882815,-887.7432401417508,-829.4637482617597,-898.7986139074228
13,-800.7128840156299,-768.4304972197119,-937.4130896780022,-885.6769673302442,-811.5309020225898,-741.6599573712679,-861.718673938316,-802.2423611395285,-802.7514413991325,-852.6895432665731
14,-793.7481344091672,-768.4304972197119,-873.0964818111462,-885.6769673302442,-801.2664885912213,-729.3118887955037,-805.3691552439531,-802.2423611395285,-802.7514413991325,-852.6895432665731
15,-793.7481344091672,-768.4304972197119,-873.0964818111462,-865.1855988814732,-801.2664885912213,-693.655872209421,-801.4352850105914,-802.2423611395285,-741.553114653911,-852.6895432665731
