iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-4358.081863461555,-4493.361881952121,-5382.552486604243,-4068.5152940658763,-4020.1554516393203,-4415.744419936982,-5134.87771431106,-4938.958818826471,-4320.224153197907,-4332.076724464792
1,-3982.644883907278,-5291.278820194191,-3624.1807084497755,-3196.6326408830546,-4926.017162883332,-4285.634153426922,-4056.4015339684584,-2879.0376339018444,-3728.26079996068,-3281.8175287065365
2,-4086.2023002545625,-5377.680759873849,-3385.875943838535,-3564.808687861212,-4501.496020644889,-3899.2929046766785,-4109.5039303874355,-4571.624756270565,-4339.261939616094,-3796.8487808438567
3,-4509.847048416804,-3338.7274165221916,-5167.860137932697,-3622.1447178965873,-3920.15868126642,-3465.328295358841,-3534.1710131711625,-4914.500188095344,-3699.995887230607,-3689.711378489473
4,-3639.9830139207393,-4416.299440952222,-3470.1842026186914,-4154.179687797987,-3628.265275372555,-2900.921924367365,-4026.2614717346833,-4551.942705124877,-3084.354278024504,-3942.845362330528
5,-3520.1653302652844,-3641.2279628435194,-3819.680851975925,-3980.400571700947,-2983.8705958853243,-3547.853430349072,-3619.502514069908,-3823.6299189416814,-3834.941469675663,-3502.77109309774
6,-2938.698752126181,-3865.2684258025574,-4501.800966262601,-4077.234933893436,-4304.8178635591885,-3881.6449143386253,-3674.4916902453347,-2702.6888750903604,-3660.729969178258,-4408.29794005805
7,-3428.5735290509665,-3467.0646200110336,-3656.278204488146,-3395.3187694271405,-3459.6476085666145,-2489.743775401627,-3268.4067605131313,-4160.572256242083,-3167.259618811033,-3243.9021346546906
8,-3266.1594735833223,-2981.9909820853018,-2802.543013297589,-3512.650362338251,-3137.6856488729945,-2552.371741542047,-4152.439241109987,-2569.506319954312,-3878.5709785317217,-4655.602000221317
9,-2962.596356078341,-4132.638513835107,-3228.6216113843557,-4358.721356487526,-3124.3852852804293,-3598.373416451125,-3642.3857470953662,-3250.2073248203387,-3238.461348447013,-3634.7439267384784
10,-3003.5784340083806,-2804.03927369329,-4390.4485248501005,-4785.065482294322,-3420.7941936287643,-3999.5866693343874,-3614.5396915670854,-3845.8648599500166,-4946.624370182397,-3892.4886656710096
11,-3458.8747057086302,-3321.2022543959797,-3573.79654833141,-3058.2779526316726,-2820.06002921293,-3066.6756934036775,-3251.5475732295117,-4217.6210214177845,-3768.9491505806327,-3673.5586849644556
12,-3209.5923455150087,-3294.687332402348,-3528.424154536638,-3187.441475047153,-3532.9571035998833,-2551.7110955199405,-4292.915404899687,-2939.0375018479704,-3708.033971797712,-4039.7225546714926
13,-3657.4499862597386,-3569.0951747806002,-3790.185235375451,-2951.163056229436,-2732.8870253518194,-3771.5476619553983,-3170.229725640579,-3603.9241838074395,-3069.876700745931,-3768.625442842462
14,-3031.4614472525836,-3386.9260189945453,-3029.077399266501,-3329.429647926242,-2567.0166624696494,-4016.707017547844,-2894.117658591018,-3631.7197844626526,-3495.2753825860254,-3619.7774207429957
15,-2689.9604132813874,-3196.6953054106643,-2923.3532373291137,-3196.625115206786,-3656.8308303007307,-2447.012055654298,-3261.046024297096,-2750.3053773918273,-2732.515697556598,-3133.7305746668735
16,-3890.439867920083,-2806.5860773514005,-3110.1301999164893,-3339.338406396078,-3896.6978652705548,-2775.99588837407,-2835.413610690369,-3035.005710797014,-4020.0717065652693,-3428.6765773849147
17,-3073.8962355018703,-3591.2357759988713,-2386.258310649425,-3309.3028340520204,-3653.426464142839,-3416.700850516961,-2666.562834855984,-4079.6236315091005,-3281.4852882433993,-3406.0302467233278
18,-2237.681924130692,-3656.802048614707,-3513.88252900813,-2842.9018499278914,-2937.702059582255,-3197.0556042125736,-2887.827488936522,-2608.2870049049407,-3540.820315073631,-3444.3897718857274
19,-2691.3848178365442,-3466.4114354735407,-3067.3850905130985,-2402.1640922152346,-3577.8874841136826,-2704.81122755461,-2734.2218611108024,-2800.9902636013544,-1715.97398941883,-3477.0862827441597
20,-3557.4519877184475,-2945.6336331900648,-2613.469363784453,-2657.9690141246847,-3699.497185357752,-2971.1669854848815,-3547.608829905215,-4492.724586475203,-2917.7440661522533,-2652.326686397756
21,-2786.0681548906473,-3806.96461925628,-2759.926150473087,-2854.2198731434555,-2661.8604906050896,-2468.2150302259115,-2222.3163703797272,-2589.046648446147,-2863.9664924167346,-2920.5214537590045
22,-3334.332058376649,-2271.1963753817513,-2752.1630209666428,-2911.493789922735,-2593.222026227589,-2346.25028140784,-2469.1787505800553,-2328.201721958426,-2946.1049091624336,-3780.8020044758982
23,-2761.097457591529,-2345.2096534623693,-2813.7595344087454,-3784.357042989454,-1817.5451880728456,-2360.340677443618,-2511.619088029401,-2707.811496188752,-1993.541952034861,-2385.350832665882
24,-3932.2366937495876,-3196.7568541949395,-3131.4395360253075,-3515.2109412480104,-2177.127814019367,-2315.730701907965,-2428.3748626940114,-2190.2475036659152,-2517.330562766319,-2891.1937419229635
25,-1614.0415781447612,-2709.636525636549,-2179.6692432476743,-2790.6240549522054,-2475.4720323625343,-2451.561830067526,-2948.00602606798,-2596.951318513671,-3008.168840416459,-2437.898677833879
26,-2544.172120392035,-3278.0731678191873,-2173.75338789509,-2329.2811486266974,-2217.236871659941,-2168.323808631244,-2255.532405266203,-2305.3890297643475,-2483.506632265117,-3106.02526642676
27,-2572.9702428070045,-2457.9273292078133,-2653.3007448466633,-2898.2774687566825,-2941.6090643586585,-1760.4442024743762,-2469.4872064448978,-2422.190452257093,-2275.044664609403,-2432.94597022286
28,-2744.7982560165915,-2684.836235162256,-2505.0681262351245,-2846.1164402111503,-2248.7041147202544,-2467.280570214667,-2692.3206349881993,-1814.7320208972476,-2237.3796061207813,-2399.018144584398
