iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-1006.9473318427308,-1066.9048206143816,-1046.6635016645896,-1111.0486696277467,-1215.6578514540208,-1155.2176828130955,-1073.3667387062537,-1169.0242805991093,-973.6741017185084,-1089.6809299192305
1,-35.916861010655985,-57.39789028359833,-29.76704313051411,-33.33525732761765,-30.8357848096018,-40.86465241420915,-66.42273714865439,-51.28520936784463,-46.79634710065384,-79.65550600492506
2,-29.2247844349335,-40.00509550563943,-28.62050180619358,-30.731334345522782,-30.8357848096018,-38.07630587661404,-38.31294433464208,-40.29710007237367,-39.19000589627994,-30.92061796254143
3,-28.26837451961429,-37.971225466689276,-28.62050180619358,-30.334055984164735,-29.37049951082574,-35.84981157377845,-36.95696497845188,-38.96021412619609,-34.69468301073175,-30.47765682166913
4,-28.26837451961429,-34.08164790211304,-28.62050180619358,-29.811676362170903,-28.10077818944786,-35.14815537585782,-36.95696497845188,-35.9511472764939,-34.69468301073175,-26.94502593682585
5,-28.095128589478126,-33.236410375074456,-28.62050180619358,-29.811676362170903,-28.10077818944786,-33.71932196704396,-34.47434457438656,-35.478110847058396,-34.69468301073175,-26.03200069256105
6,-27.669058076870126,-33.236410375074456,-28.62050180619358,-29.811676362170903,-27.248309151385612,-33.71932196704396,-34.46797016371538,-34.97840540128861,-32.133031570396554,-26.03200069256105
7,-27.669058076870126,-32.06758945048649,-28.62050180619358,-29.811676362170903,-26.257919651582498,-31.027487977298392,-34.46797016371538,-33.48391951925717,-31.96782988567191,-26.03200069256105
8,-27.14681881980529,-31.820514750235954,-27.964760507838868,-28.608349676152308,-26.014564276662114,-30.426921399385314,-33.697172650741145,-32.73322311327715,-31.96782988567191,-24.201174658855845
9,-27.123095706405508,-30.864321771475606,-27.964760507838868,-28.142736299208963,-26.010335329627104,-30.02925412515549,-31.441109331332953,-30.28321092910715,-31.58560519686113,-24.201174658855845
10,-25.77030948023691,-28.63896686832236,-27.588125810281475,-27.89741636462641,-26.010335329627104,-28.64617453157385,-29.844765467540473,-28.869565976127607,-29.598159777081175,-23.942116256429873
11,-25.732461093394136,-27.570345774074895,-26.741296553227013,-26.417506375289776,-25.306829766431846,-28.64617453157385,-29.101369615635235,-27.396408607015037,-27.482840564879496,-23.809436628787445
12,-23.13075028690406,-24.160545992520692,-25.8260338910467,-24.743760346294398,-24.90136639959091,-25.602964702515603,-25.94851235990174,-24.997752191687834,-25.175712048455857,-23.357692371904697
13,-22.528727523596775,-23.354993704502654,-25.80523245777858,-24.743760346294398,-23.821132774066562,-23.449454473111143,-24.977378264069173,-22.84406141440506,-23.07164343362152,-21.558080182917898
14,-21.947501914887482,-22.223063180261395,-23.98091009813848,-24.743760346294398,-23.379520482936037,-21.9914354913142,-24.249747033764525,-22.606814497456547,-21.613399919277082,-21.085734490003187
15,-18.841562165090224,-21.594858287381456,-23.578789139546164,-23.272071257302507,-22.211581181896836,-21.150533542506906,-21.524452521703214,-21.80717951242243,-21.243156692954773,-20.5524242792525
16,-18.56692647232545,-20.507269822102586,-21.991523937680657,-22.504403177976787,-21.04749747989762,-20.43908470844397,-20.304867195535696,-20.536326591431955,-19.61541723776615,-20.5524242792525
17,-18.534850040599775,-20.247098916384672,-21.514150808714092,-22.260735038726022,-19.678222687302476,-20.37637611812003,-20.3027785732489,-20.384656771562444,-19.524100988006204,-19.7099466060502
18,-18.109155085364215,-20.08668061199041,-21.023623505656005,-22.122157608017183,-19.314322198159687,-19.963157490972016,-19.627522250991593,-20.211994749954435,-19.4277563498853,-19.337770584264074
19,-17.64879837298281,-20.08668061199041,-20.747807428483473,-21.988782583298125,-18.60650722795195,-19.167115100742578,-19.49492061487907,-20.048919849484733,-18.81454979879655,-19.262889690504718
20,-17.017552281709605,-19.86237991512716,-20.747807428483473,-20.842419647585743,-18.55514676610267,-19.112154765305895,-18.727561597745932,-19.24518338504889,-18.51554572817868,-19.262889690504718
21,-17.017552281709605,-19.37258549766819,-20.299505895719207,-20.043248670464237,-18.218283728141287,-18.39688494593889,-18.64388179209405,-18.921361854817583,-18.51554572817868,-18.575599906388717
22,-17.017552281709605,-18.739578152919613,-20.024420524301885,-19.50789475552483,-17.992151572297615,-18.113895639656725,-18.166144484954575,-18.32087135378319,-18.393030214157122,-18.481969049174218
23,-16.526369833013856,-18.739578152919613,-18.901597819184413,-19.184089704908416,-17.7931807755929,-17.618604824215147,-17.952224086289092,-17.520741041136503,-18.253093623267702,-18.11649962933351
24,-16.526369833013856,-18.31729266579331,-18.901597819184413,-18.410773244010407,-17.591998800596407,-17.311159618216216,-17.85569668136113,-17.520741041136503,-17.813533444703623,-18.11649962933351
25,-16.368679075294743,-18.00614802803039,-18.26659624686245,-18.301499532094507,-17.244173530745474,-17.275534550295117,-17.574024650250017,-17.520741041136503,-17.813533444703623,-17.98359059397432
26,-16.368679075294743,-18.00614802803039,-18.07913072156734,-18.11046601550135,-17.244173530745474,-17.275534550295117,-17.54981995535941,-17.520741041136503,-17.813533444703623,-17.98359059397432
27,-16.262303624488506,-18.00614802803039,-18.07913072156734,-18.11046601550135,-17.244173530745474,-17.214207316197676,-17.41318362714714,-17.520741041136503,-17.813533444703623,-17.872098436902395
28,-16.162563720507073,-17.57583628415795,-18.04985239866415,-18.11046601550135,-17.164817861437598,-17.106309108886183,-17.41318362714714,-17.287977567850742,-17.753332316507898,-17.83894235969672
