iteration,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0,-4358.081863461555,-4493.361881952121,-5382.552486604243,-4068.5152940658763,-4020.1554516393203,-4415.744419936982,-5134.87771431106,-4938.958818826471,-4320.224153197907,-4332.076724464792
1,-35.916861010655985,-57.39789028359833,-29.76704313051411,-33.33525732761765,-30.8357848096018,-40.86465241420915,-66.42273714865439,-51.28520936784463,-46.79634710065384,-79.65550600492506
2,-59.36001605611669,-59.18898518386466,-74.47047049011961,-77.5334683490268,-66.98337378375516,-66.54677821147241,-42.60637438620648,-51.88140540710649,-64.87816720431957,-40.80764564864705
3,-58.437985943207735,-71.94014056876699,-77.62948448718996,-91.63097096685914,-70.46664502375111,-66.96262024285134,-68.20941931648797,-90.56403986339964,-61.83761424387332,-77.90566820087622
4,-73.68215744067021,-75.13771230460134,-88.16963382870038,-86.81567656488592,-98.72207342115487,-74.34304172407883,-94.65085194527265,-56.483331536468775,-68.29201369031337,-64.22117157520893
5,-62.098987654481434,-58.457482221887794,-78.16271903459017,-103.3713078179916,-65.93117561279655,-70.17455607482077,-70.06045976289869,-77.41209667529276,-76.84114900708165,-50.069664905922686
6,-62.7016064242382,-67.29290211094724,-86.84014538429278,-75.14167179382778,-54.36329805748016,-74.1158318540774,-77.38728096350195,-60.314457713396834,-49.14506644155665,-70.88508512077271
7,-58.040559608868975,-62.11822039319206,-57.8353202035472,-65.35191161786895,-49.93784316846856,-58.96160550050041,-60.33888863185621,-57.99743020389437,-57.56042836359724,-60.30380400112356
8,-55.2199477610311,-61.785105928968896,-57.573978699969906,-54.001331899024095,-64.10485080153603,-50.320307908298034,-57.87957771283467,-60.66680127759547,-63.97195564864045,-49.21887477980508
9,-52.786935849905646,-51.40796356438644,-74.82751147885801,-53.179136344796916,-52.75871462454947,-57.653884281111914,-45.34324043327987,-45.81740214738728,-52.61147734101969,-54.74594263134469
10,-45.195887789549005,-40.714370518010554,-52.432167249627035,-56.29266430337292,-51.67213758043127,-43.64690359727459,-44.58361293793689,-38.03575375987561,-52.575650419520606,-38.39501480052672
11,-55.20212481171375,-46.55053204121886,-44.54069588760143,-39.31108794227053,-43.92564555218616,-50.830456647762105,-47.3217636577055,-46.69249053523285,-47.9145813269706,-42.13517014221347
12,-37.52371887074205,-30.567157008579134,-38.43682512309539,-33.3426649769686,-37.06590787795755,-31.97643697530347,-35.32125610879274,-30.173941250214085,-31.480152004830877,-39.28539602767357
13,-30.25713102025979,-33.92212927727824,-36.16086979123311,-45.105521566446754,-38.26739439093386,-34.83747835159305,-36.622612088110046,-31.216365554039555,-28.241541821965868,-33.7934031178691
14,-37.9130232716516,-30.808976589296357,-34.12360560050415,-38.88476645498372,-34.97518694784848,-29.601083255518294,-34.68761038410352,-34.477747650463854,-30.137003100385204,-31.418576011674034
15,-24.614590925999728,-33.740729874116326,-33.1179334794127,-36.02434811100673,-39.008735427404424,-29.781587247573825,-29.03406267286153,-32.85506232626558,-28.72555365766451,-38.573494291583216
16,-29.174621620081076,-25.65867294269905,-32.11070955108298,-30.597257161239636,-30.996078279049335,-34.613066645239975,-24.398838417912415,-31.454755967251824,-33.77595055433274,-35.304320276369744
17,-30.207891072519484,-33.31640784809046,-27.621478791828494,-33.446463864468384,-29.53561667820995,-27.42685410982615,-29.960826144956414,-28.778098634400504,-31.529014430754785,-32.02643473686739
18,-35.18005523559728,-35.29411242493738,-33.2949955067358,-37.84570150772976,-30.73169994777537,-30.920698593837727,-30.718051597044006,-41.296724640105396,-32.22212835513166,-32.19435223250717
19,-29.380090893218444,-29.57881049659288,-33.527060977492155,-33.12672364720798,-29.300510696087287,-30.85613847842342,-37.500807326462606,-41.41872245446909,-24.12211214319177,-31.846274749732707
20,-25.294522820250332,-31.304828484463716,-37.85412207475436,-35.21108726129799,-30.676434153767985,-39.287687170250145,-28.490551668006784,-27.861054754465044,-29.482465899023893,-27.919489010786993
21,-27.707408149077043,-29.3505901731407,-31.846939666642683,-26.366937034423024,-27.25443792945927,-24.10328005857618,-28.755139760482326,-30.48069913098353,-30.54253102798515,-27.164359507727056
22,-37.304407866220345,-27.240085689862124,-31.28082716885227,-28.535005383218305,-27.35238107901623,-30.470565464885617,-29.930742339080346,-26.23304950727297,-31.549112214444403,-35.80685169055137
23,-32.47073091851427,-32.20538530449078,-26.174603815211388,-31.627708379462945,-28.19850682414144,-25.426131314631213,-25.775375535813552,-28.640640544791076,-32.00184994276209,-30.25808751519677
24,-26.601271496489495,-27.91101300641174,-31.98454781775746,-28.045715719681976,-26.753524784947466,-30.998940826060846,-33.489022018379515,-34.95194129531972,-27.022876843721274,-37.00475108654789
25,-26.869964857990972,-31.185462067925272,-34.65284008823991,-31.395002991518552,-27.03860192137848,-44.0581666437549,-30.28828220174111,-30.463851807508014,-27.82213220729825,-29.304184868437133
26,-29.095086024318647,-31.827105153807853,-26.734989485252186,-27.256288248487756,-36.96825217415389,-29.53747978050031,-35.13801563415102,-30.164839157200518,-26.827630080671256,-31.178055033653585
27,-27.251930974017096,-34.53138880769294,-29.73419370253859,-34.16029739118248,-31.398662653757217,-27.93397925167915,-28.16111542071984,-31.467723874988405,-28.16689801579289,-32.83294304407495
28,-24.947716844526713,-26.783540528548865,-25.826486375958584,-43.45942263240846,-25.533357852307518,-30.21272959189879,-28.28855749041378,-30.271891231429016,-29.461019561987356,-28.597943745561565
29,-29.755041429970028,-27.709942865523935,-35.91894216252973,-29.031287774845318,-31.554191572135238,-30.521033207960244,-28.966698965469924,-25.713243780020235,-28.02142155015329,-28.40724988004331
30,-30.78053355606825,-28.266930334552658,-28.270597335108206,-35.53440262988856,-23.50816157123831,-27.056159159874923,-30.868383118515947,-27.276678725656794,-33.35971009421789,-33.24473741973785
31,-29.694503510410932,-36.38375036985688,-24.92885401593039,-32.62670492313357,-31.631192237459285,-26.445831964183967,-27.465921690833753,-25.082562656623228,-30.09909485409732,-26.60052119697538
32,-29.35939257668172,-29.08032111201255,-27.985927598909363,-28.87061938699826,-24.062148211301757,-29.325087054740703,-27.543636968894052,-35.94432741736806,-29.5615315100766,-29.711648076577795
33,-30.45100553046656,-31.982317114798345,-39.505100129828115,-28.825243931653098,-30.97861299507155,-22.762184700446372,-29.68566881100329,-31.99681361660027,-32.01541998649744,-29.58889343760355
34,-34.24236192635304,-28.471260622451275,-36.32542380361373,-28.6527431251275,-36.14908618979734,-32.481504994402776,-28.993275450999747,-32.326893539518736,-36.91729092140706,-29.344172868539818
35,-28.277664589970495,-27.01499792066597,-34.61597483738556,-25.74019118043649,-32.66198193043245,-29.493989878822696,-27.948464092203537,-30.494181932744365,-31.180137036595948,-31.222872262783937
36,-30.74956005102224,-30.53652989815872,-32.10631469135882,-23.877676950112065,-27.639871367058582,-33.29401525623588,-26.313559235820954,-28.85467416257401,-29.76673725244418,-33.84602544146213
37,-32.248518107542935,-30.227853385489773,-27.853202518392088,-29.388837242623588,-27.601742250709773,-39.14787800269724,-37.466163115593076,-29.629454392641225,-28.730986073618347,-31.965417058727155
38,-41.018212350782996,-30.922591601877805,-28.44816712537454,-29.665332686813798,-27.693175323677597,-27.897024528983685,-35.80134833662718,-25.828146362326613,-43.456197023617335,-33.16581942635082
39,-49.868092402099975,-27.77390455114616,-37.283588551964485,-30.030386078357353,-40.74555888249663,-25.638008070635554,-29.803148350892116,-28.266744096574826,-27.330292881118858,-27.017288080114128
40,-29.058334372195347,-32.73787848412643,-34.23628397028422,-26.6701926193458,-29.694024192973174,-30.735150800937873,-29.23913004529591,-27.31273833466725,-38.824396970913384,-35.624125357239755
41,-34.50198350396995,-31.845931423197143,-35.41805473209881,-32.79518985474124,-26.33186900074139,-36.43852626160081,-30.605485793228702,-29.815121921111437,-31.798357037939546,-26.719238311346928
42,-30.249744772634337,-39.7781735064726,-33.36868616164065,-37.878496262880134,-31.25607099941879,-35.60542185267379,-49.040196311734164,-33.107758010730485,-34.38007714490503,-32.96111833744412
43,-30.97459374084851,-36.732803763861,-36.519552799494285,-32.424593548368456,-29.365836851468906,-32.05246304075124,-27.583856963519224,-37.98354537513215,-30.79212872269843,-30.461071760613045
44,-30.909860969936734,-29.826334249335027,-29.14106191922386,-29.172184920622012,-24.57034847520806,-27.47868376080945,-33.50649226441837,-29.721638914481943,-26.25182513998721,-31.1036296356788
45,-33.35985716580862,-32.520528895108484,-38.54930417834227,-39.036293940524274,-27.284088243163513,-32.75142737761083,-35.100350434830474,-28.479536550408227,-32.23613298581881,-31.544099337329545
46,-43.38270023296465,-44.825089153987214,-28.193123182246694,-31.04747581166403,-40.98552138601612,-37.28079735625969,-48.9366578131189,-31.436005636155578,-33.55273786221895,-32.68644528306775
47,-28.777045028110958,-31.151001533830854,-30.827725219000055,-36.39214798693219,-26.28216736930026,-32.86415164065699,-26.309164497822962,-29.725839215687117,-28.869320456709477,-29.848032512658403
48,-35.72124984723348,-33.558333794466385,-43.92181319014445,-38.133646596968944,-46.83219236549204,-27.901633671621937,-35.91939192812359,-30.497206299388623,-31.43560743738363,-34.14554352408608
49,-28.47235372632198,-25.46173335776129,-30.43161500544044,-27.345479586147245,-30.7293410358468,-29.86877084102577,-31.00622544613572,-30.327518549760935,-36.71042340624506,-34.89323089229399
50,-34.20702005864356,-26.727065106687405,-33.58269941653023,-40.376617021958594,-29.934933193464364,-35.47746403664574,-33.756442735549356,-39.16174526622254,-36.48729583486255,-41.40164368165796
